Polling Station No.,Building,Polling Areas
11,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu Nagar Pudhur Palaniyappa Nagar (Ward 80):, (2)-Chennai Corporation S.V.Nagar, Redhills Salai (Ward 79):, (3)- Chennai Corporation Puthur , Redhills Salai (Ward 80):, (4)-Chennai Corporation S.V.Nagar, D.P.Elumalai Street (Ward 79):, (5)-Chennai Corporation S.V.Nagar, D.P.Elumalai Street (Ward 79):, (6)-Chennai Corporation S.V.Nagar, Sathiyavani Muthu Street (Ward 79):, (7)-Chennai Corporation S.V.Nagar, Babuji Street (Ward 79):, (8)-Chennai Corporation S.V.Nagar, Perumal koil street (Ward 79):, (9)-Chennai Corporation S.V.Nagar, Sivashanmugam Street Ward 79:, (10)-Chennai Corporation S.V.Nagar, Kakanji Street Ward 79:, (11)-Chennai Corporation S.V.Nagar, Sivaji Ganesan Street Ward 79:, (12)-Chennai Corporation S.V.Nagar, Meenambal Sivaraj Street ward 79:, (13)-Chennai Corporation S.V.Nagar, Valliyammal Street Ward 79:, (999)-OVERSEAS ELECTORS:"
12,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Puthur , Banu nagar 19 th Avenue ward 80:, (2)- Chennai Corporation Pudur , Pudhur 1st Main Road Ward 80:, (3)-Chennai Corporation Pudur , 3rd main Road Ward 80:, (4)-Chennai Corporation Pudur , Banu Nagar Pudhur 4th Avenu Ward 80:, (5)-Chennai Corporation Pudur , Banu Nagar Pudhur 5th Avenu Ward 80:, (999)-OVERSEAS ELECTORS:"
13,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation Pudur , Banu Nagar Pudhur 15th Avenu Ward 80:, (2)- Chennai Corporation Pudur , Banu Nagar Pudhur 15th Cross Street Avenu Ward 80:, (3)-Chennai Corporation Pudur , Banu Nagar Pudhur 6th Avenu Ward 80:, (4)-Chennai Corporation Pudur , Banu Nagar Pudhur 7th Avenu Ward 80:, (5)-Chennai Corporation Pudur , Banu Nagar Pudhur 7th Cross Street Avenu Ward 80:, (6)-Chennai Corporation Pudur , Indira Gandhi ward 80:, (7)-Chennai Corporation Pudur , Dhanalakshmi Street Ward 79:, (999)- OVERSEAS ELECTORS:"
14,"Ebinezer Marcus Matriculation higher Secondary school, S V nagar Pudur , Oragadam-600053","(1)-Chennai Corporation, Banu Nagar Pudhur, 5Avenu Cross Street:, (2)- Chennai Corporation Pudur , Banu Nagar Pudhur 11th Avenu Ward 80:, (3)- Chennai Corporation Pudur , Banu Nagar Pudhur 20th Avenu Ward 80:, (4)- Chennai Corporation Pudur , Banu Nagar Pudhur 21th Avenu Ward 80:, (5)- Chennai Corporation Pudur , Banu Nagar Pudhur 22th Avenu Ward 80:, (6)- Chennai Corporation Pudur , Banu Nagar Pudhur 23th Avenu Ward 80:, (7)- Chennai Corporation Pudur , Banu Nagar Pudhur 27th Avenu Ward 80:, (8)- Chennai Corporation Pudur , Banu Nagar Pudhur 27th Cross Street Avenu Ward 80:, (999)-OVERSEAS ELECTORS:"
15,"Sethu Baskara higher Secondary school, pudur Oragadam-600053","(1)-Chennai Corporation oragadam, 28 th Avenue Banu nagar Puthur ward 80:, (2)-Chennai Corporation oragadam, 26 th Avenue banu nagar Puthur ward 80:, (3)-Chennai Corporation oragadam, 25th Avenue Banu Nagar Puthur ward 80:, (4)-Chennai Corporation oragadam, 24 th Avenue Banu nagar 5 th street ward 80:, (5)-Chennai Corporation oragadam, S V Nagar Bakyalakshmi street ward 79:, (6)-Chennai Corporation oragadam, East Amarar Rajeevgandhi street ward 80:, (7)-Chennai Corporation oragadam, Puthur West Banu nagar E Ve Ra Periyar street ward 80:, (8)-Chennai Corporation oragadam, West Banu Nagar Govindhan street ward 80:, (999)-OVERSEAS ELECTORS:"
16,"Sethu Baskara higher Secondary school, pudur Oragadam-600053","(1)-Chennai Corporation oragadam, Puthur West Banu nagar Kalainar Karunanithi street ward 80:, (2)-Chennai Corporation oragadam, Puthur West banu nagar Thiruvalluvar street ward 80:, (3)-Chennai Corporation oragadam, West Banu Nagar Puthur M G R street ward 80:, (4)-Chennai Corporation oragadam, Puthur West Banu nagar Kubera Ganapathi street ward 80:, (5)- Chennai Corporation oragadam, Puthur West Banu nagar Munusamy Pillai street ward 80:, (6)-Chennai Corporation oragadam, Puthur West Banu nagar Iyyappan street ward 80:, (7)-Chennai Corporation oragadam, East Banu nagar pillaiyarkoil street ward 80:, (8)-Chennai Corporation oragadam, East banu nagar Puthur 2 nd Street ward 80:, (9)-Chennai Corporation oragadam, East banu nagar Puthur 3rd street ward 80:, (10)-Chennai Corporation oragadam, Banu Nagar puthur Thanappan street ward 80:, (11)-Chennai Corporation oragadam, East Banu nagar Kandhasamy street ward 80:, (12)-Chennai Corporation oragadam, East banu nagar Srinivasan street ward 80:, (13)- Chennai Corporation oragadam, Puthur East banu nagar 5th street ward 80:, (14)-Chennai Corporation oragadam, Puthur West Banu nagar :, (999)- OVERSEAS ELECTORS:"
17,"Sethu Baskara higher Secondary school, pudur Oragadam-600053","(1)-Chennai Corporation oragadam, 29 th Avenue EXtn Bani Nagar ward 80:, (2)-Chennai Corporation oragadam, 29 th Avenue Banu Nagar Puthur ward 80:, (3)-Chennai Corporation, Pudhur Banu Nagar 30th Avenu Ward 80:, (4)- Chennai Corporation, Pudhur Banu Nagar 31th Avenu Ward 80:, (5)-Chennai Corporation, Pudhur Banu Nagar 32th Avenu Ward 80:, (6)-Chennai Corporation, Pudhur Banu Nagar 33th Avenu Ward 80:, (7)-Chennai Corporation, S.V,Nagar Veeralakshmi Street S.V.Nagar Ward 79:, (8)-Chennai Corporation, Perumal koil street (Ward 79):, (999)-OVERSEAS ELECTORS:"
18,"Sethu Baskara higher Secondary school, pudur Oragadam-600053","(1)-Chennai Corporation oragadam, West banu nagar Vijayalakshmi street ward 80:, (2)-Chennai Corporation oragadam, Puthur West Banu nagar Mahalakshmi stret ward 80:, (3)-Chennai Corporation oragadam, Oragadam West S V nagar Ranganathan street ward 79:, (4)-Chennai Corporation, S.V.Nagar Gopal Street Ward 79:, (5)-Chennai Corporation, Vengataraman Street Ward 80:, (6)-Chennai Corporation, S.V.Nagar Govinthrajilu Street Ward 80:, (7)-Chennai Corporation, S.v,Nagar Jothi Vengatachalam Street Ward 79:, (8)-Chennai Corporation, Gandhi Main Salai Ward 79:, (9)-Chennai Corporation, Bakkiyalakshmi Street:, (10)-Chennai Corporation, Jeevanantham Street:, (11)-Chennai Corporation, Gandhi salai Ward 79:, (999)-OVERSEAS ELECTORS:"
19,"Infant Jesus Matriculation School, Kallikuppam-600053","(1)-Chennai Corporation, Murugambedu main Road kallikuppam 82:, (2)- Chennai Corporation, Vijai nagar kallikuppam ward 82:, (3)-Chennai Corporation, Kanthakottai nagar kallikuppam ward 82:, (4)-Chennai Corporation, Thiruvallur nagar Srinivasanagar kallikuppam ward 82:, (5)- Chennai Corporation, Govindharaj street Srinivasan nagar kallikuppam ward 82:, (6)-Chennai Corporation, Anna street Srinivasan nagar Kallikuppam ward 82:, (7)-Chennai Corporation, Sivasakthi street Srinivasan nagar Kallikuppam ward 82:, (8)-Chennai Corporation, kamarajar Street Srinivasan Nagar Kallikuppam ward 82:, (999)-OVERSEAS ELECTORS:"
20,"Infant Jesus Matriculation School, kallikuppam-600053","(1)-Chennai Corporation, Sakthi nagar pillaiyar koil street Becksiad kallikuppam :, (2)-Chennai Corporation, E Ve R Street Srinivasan Nagar Kallikuppam ward 82:, (3)-Chennai Corporation, Yoga Anjineya street srinivasan nagar Kallikuppam ward 82:, (4)-Chennai Corporation, M G R Street Malar nagar kallikuppam ward 82:, (5)-Chennai Corporation, kalainar street Srinivasan nagar kallikuppam ward 82:, (6)-Chennai Corporation, Sakthi nagar pillaiyar Koil street ward 82:, (7)-Chennai Corporation, Balavinayagam First street kallikuppam ward 82:, (8)-Chennai Corporation, Balavinayagam 2nd street kallikuppam ward 82:, (9)-Chennai Corporation, Sakthi nagar 3rd street Kallikuppam ward 82:, (999)-OVERSEAS ELECTORS:"
