Sl. No,Polling Station No,nNo.StatiogPollin,K MDAIA .REDNAXELA V,RRADHA.NCP,SAMUEL JOSEPH DMK,THENNARASAN.R ANBU NTK,S VEENA. AMAK,S VEDHACHALAM. AMMK,S VAITHEESWARAN. MNM,M.SARUMUGAM.IND,N GANESAN. IND,A.SKESAVAN.IND,G SRINIVASAN. IND,G SOMASUNDARAM. IND,P DHANRAJ. IND,NANDHAKUMAR NARMADA IND,G BHARADAN. IND,K BHARATHI. IND,S PRAVEEN. IND,A.R MURUGAVEL. IND,MUNIYANDI.T IND,RRAVI.IND,C RAGHUL. IND,G VIJAYAKUMAR. IND,T SAMUEL SANTHAKUMAR. JOSEPH IND,Total Valid Votes,Rejected Votes,Total Votes
47,27M,95,0,162,51,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,338,0,4,342
48,27A(W),107,3,167,29,0,2,28,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,342,0,3,345
49,28M,129,2,203,78,0,1,35,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,452,0,3,455
50,28A(W),136,2,209,45,0,3,34,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,434,0,2,436
51,29M,112,2,151,58,0,3,26,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,356,0,4,360
52,29A(W),174,2,158,51,1,4,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,427,0,6,433
53,30M,134,1,249,88,0,5,41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,520,0,6,526
54,30A(W),120,0,224,57,0,2,51,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,460,0,5,465
55,31,166,1,254,95,1,3,55,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,579,0,6,585
56,32,140,0,325,84,0,7,80,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,641,0,9,650
57,33M,128,1,200,60,0,5,39,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,436,0,4,440
58,33A(W),143,2,192,46,0,5,37,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,427,0,7,434
59,34,220,2,262,56,0,4,33,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,580,0,6,586
60,35,210,1,266,108,0,5,67,1,0,0,0,0,0,2,0,8,1,3,0,1,0,0,0,673,0,7,680
61,36M,112,0,202,91,0,6,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,459,0,6,465
62,36A(W),136,0,197,47,0,1,56,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,441,0,8,449
63,37M,133,0,197,54,0,5,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,6,450
64,37A(W),107,0,189,25,0,5,49,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,381,0,7,388
65,38M,127,1,188,43,1,3,57,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,422,0,4,426
66,38A(W),104,0,182,21,2,6,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,6,387
67,39M,163,0,192,41,0,7,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,491,0,4,495
68,39A(W),136,2,195,15,1,2,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,454,0,5,459
69,40M,103,0,162,29,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,3,346
70,40A(W),82,1,130,15,1,0,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,282,0,2,284
71,41M,66,2,164,39,0,7,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,306,0,7,313
72,41A(W),72,2,159,26,2,7,25,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,298,0,4,302
73,42,104,0,184,24,0,2,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,356,0,5,361
74,43,269,2,260,59,1,4,34,1,0,0,0,0,0,0,2,4,0,0,0,1,1,0,1,639,0,6,645
75,44,122,1,271,38,0,5,36,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,478,0,4,482
76,45,137,1,294,45,1,4,33,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,519,0,5,524
77,46,249,2,300,60,1,16,54,0,0,0,0,0,0,0,1,1,1,3,0,0,1,0,0,689,0,6,695
78,47,287,1,246,74,1,24,25,2,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,665,0,3,668
79,48M,111,1,177,54,0,11,28,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,386,0,2,388
80,48A(W),120,0,154,27,1,11,33,1,0,0,0,0,0,1,0,2,1,1,3,0,0,0,1,356,0,6,362
81,49M,102,0,253,28,0,6,58,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,450,0,9,459
82,49A(W),84,1,207,18,0,3,60,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,376,0,5,381
83,50,201,1,465,64,0,2,24,0,1,0,0,0,0,0,1,2,1,1,2,0,0,0,0,765,0,7,772
84,51M,108,0,266,48,1,8,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,463,0,4,467
85,51A(W),106,1,257,33,1,3,31,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,437,0,2,439
86,52M,129,1,143,46,2,4,40,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,368,0,6,374
87,52A(W),142,2,147,34,2,2,35,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,372,0,2,374
88,53,157,3,233,61,0,7,52,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,517,0,7,524
89,54,188,2,234,55,0,8,21,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,513,0,1,514
90,55M,139,1,227,54,0,8,36,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,467,0,4,471
