Sl. No,Polling Station No,nNo.StatiogPollin,K MDAIA .REDNAXELA V,RRADHA.NCP,SAMUEL JOSEPH DMK,THENNARASAN.R ANBU NTK,S VEENA. AMAK,S VEDHACHALAM. AMMK,S VAITHEESWARAN. MNM,M.SARUMUGAM.IND,N GANESAN. IND,A.SKESAVAN.IND,G SRINIVASAN. IND,G SOMASUNDARAM. IND,P DHANRAJ. IND,NANDHAKUMAR NARMADA IND,G BHARADAN. IND,K BHARATHI. IND,S PRAVEEN. IND,A.R MURUGAVEL. IND,MUNIYANDI.T IND,RRAVI.IND,C RAGHUL. IND,G VIJAYAKUMAR. IND,T SAMUEL SANTHAKUMAR. JOSEPH IND,Total Valid Votes,Rejected Votes,Total Votes
204,127,163,0,198,41,0,2,63,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,472,0,8,480
205,128,229,0,175,50,0,3,59,0,0,3,0,0,0,0,0,2,0,1,0,0,1,0,0,523,0,9,532
206,129M,136,1,102,28,0,0,52,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,1,327,0,0,327
207,129A(W),136,1,89,23,0,1,55,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,311,0,2,313
208,130,216,1,238,46,1,2,59,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,569,0,8,577
209,131M,132,0,143,34,0,1,43,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,359,0,10,369
210,131A(W),155,1,126,21,1,1,48,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,358,0,3,361
211,132,204,1,120,23,0,8,52,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,413,0,6,419
212,133M,118,0,128,16,0,0,60,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,328,0,6,334
213,133A(W),118,2,125,11,0,0,54,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,314,0,7,321
214,134M,176,1,168,46,0,5,38,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,442,0,7,449
215,134A(W),155,0,169,28,0,8,49,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,417,0,3,420
216,135M,96,3,180,50,0,0,12,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,346,0,2,348
217,135A(W),165,2,206,32,0,0,10,0,0,1,0,1,2,1,1,9,2,0,1,0,2,1,0,436,0,0,436
218,136,122,0,229,27,1,0,39,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,423,0,3,426
219,137M,114,1,198,25,0,0,15,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,361,0,5,366
220,137A(W),117,3,198,14,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,355,0,2,357
221,138,244,0,372,55,0,1,22,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,2,703,0,3,706
222,139,164,1,520,39,1,2,16,1,0,1,0,1,2,1,0,26,1,0,1,0,1,0,0,778,0,5,783
223,140M,124,0,170,32,1,2,58,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,390,0,7,397
224,140A(W),98,1,156,23,0,0,55,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,340,0,6,346
225,141,212,2,212,18,0,7,113,1,0,1,0,0,0,0,0,5,1,0,0,1,0,0,0,573,0,10,583
226,142,178,0,160,22,1,5,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,429,0,11,440
227,143M,139,0,206,77,0,3,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,470,0,3,473
228,143A(W),160,3,232,59,1,6,56,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,524,0,3,527
229,144M,104,1,188,47,1,5,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,383,0,5,388
230,144A(W),118,4,185,39,1,12,37,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,399,0,2,401
231,145M,162,2,275,55,1,4,38,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,545,0,5,550
232,145A(W),191,4,227,33,1,1,37,0,1,1,0,0,1,2,0,3,1,0,0,0,0,0,0,503,0,4,507
233,146,216,4,159,29,2,4,71,1,0,1,0,0,1,1,1,6,0,0,0,0,0,0,0,496,0,6,502
234,147,186,1,136,32,0,2,66,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,431,0,3,434
235,148,82,0,109,12,0,3,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,245,0,2,247
236,149M,60,0,260,37,0,4,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,404,0,1,405
237,149A(W),53,1,244,22,0,2,32,0,0,0,0,3,0,1,0,5,2,0,0,0,1,0,1,367,0,4,371
238,150,176,1,272,51,0,4,38,1,1,0,0,1,0,0,1,7,1,0,0,0,0,0,1,555,0,2,557
239,151,139,0,273,79,0,6,28,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,531,0,1,532
240,152M,95,1,219,55,0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,401,0,2,403
241,152A(W),98,2,231,30,1,0,23,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,392,0,4,396
242,153M,85,1,251,67,0,2,25,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,436,0,7,443
243,153A(W),94,1,259,44,1,1,18,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,424,0,1,425
244,154,154,0,225,37,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,4,458
245,155,182,0,373,62,0,7,51,0,0,0,0,0,0,0,1,5,1,1,0,1,4,0,0,688,0,3,691
246,156M,132,0,190,48,1,3,41,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,427,0,5,432
247,156A(W),127,1,191,22,1,1,51,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,401,0,5,406
248,157M,114,3,163,42,1,2,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,357,0,2,359
249,157A(W),137,1,166,26,1,2,29,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,367,0,4,371
250,158,112,3,245,38,0,6,40,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,450,0,3,453
251,159,109,3,444,54,2,5,38,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,1,665,0,2,667
252,160,116,0,226,43,0,3,50,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,443,0,2,445
253,161,148,0,288,51,0,1,24,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,518,0,2,520
254,162,183,0,316,48,1,3,62,0,0,0,0,0,0,0,1,9,1,0,0,0,2,0,0,626,0,3,629
255,163,166,0,251,29,2,1,56,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,509,0,1,510
256,164,178,0,309,68,0,4,52,1,1,0,0,0,0,0,0,4,1,0,1,0,0,1,0,620,0,4,624
257,165M,89,0,226,60,1,4,22,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,405,0,3,408
258,165A(W),87,1,237,30,1,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,378,0,0,378
259,166M,120,2,197,31,0,7,28,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,390,0,3,393
260,166A(W),133,1,199,19,1,5,25,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,389,0,1,390
261,167,227,0,275,69,0,5,11,0,0,1,0,1,0,0,2,1,5,0,0,0,0,0,0,597,0,6,603
262,168,166,0,324,28,0,3,4,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,0,533,0,1,534
263,169M,159,1,282,56,1,6,15,1,2,0,0,0,0,1,0,2,0,1,0,0,0,0,1,528,0,6,534
264,169A(W),182,2,292,37,0,3,2,0,0,0,0,0,0,0,0,5,6,0,1,1,0,0,1,532,0,4,536
265,170M,116,1,179,46,0,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,398,0,1,399
266,170A(W),135,1,163,30,0,20,52,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,406,0,2,408
267,171M,106,0,148,28,0,7,58,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,353,0,4,357
268,171A(W),111,1,141,19,0,2,61,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,339,0,4,343
269,172M,125,0,152,21,1,10,45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,356,0,5,361
270,172A(W),126,2,129,14,1,8,51,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,335,0,4,339
271,173M,129,0,169,39,0,6,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,383,0,4,387
272,173A(W),126,0,170,18,1,8,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,375
273,174M,127,1,173,41,1,11,60,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,418,0,5,423
274,174A(W),132,0,155,25,2,14,66,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,399,0,5,404
275,175,172,0,238,47,5,11,121,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,600,0,9,609
276,176,132,0,170,29,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,5,442
277,177M,79,1,165,33,0,21,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,323
278,177A(W),111,3,157,27,3,21,31,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,357,0,2,359
279,178M,124,0,157,33,1,18,53,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,388,0,6,394
280,178A(W),120,0,166,21,2,11,53,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,379,0,5,384
281,179,196,1,138,33,5,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,4,441
282,180,161,1,158,25,0,11,79,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,438,0,7,445
283,181M,143,0,153,30,1,3,61,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,396,0,4,400
284,181A(W),148,0,149,21,2,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,2,379
285,182M,171,4,164,25,0,4,55,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,426,0,2,428
286,182A(W),178,1,133,20,0,5,51,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,394,0,5,399
287,183M,153,0,163,27,2,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414,0,10,424
288,183A(W),146,0,157,25,2,6,73,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,414,0,7,421
289,184M,125,1,154,32,0,2,49,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,367,0,2,369
290,184A(W),127,0,114,18,0,2,50,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,322,0,4,326
291,185M,111,0,190,40,0,6,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,388,0,2,390
292,185A(W),117,186,25,0,6,36,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,376,0,4,380
293,186,154,0,230,46,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,2,481
294,187,142,1,233,39,2,2,60,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,486,0,2,488
295,188M,149,0,191,45,0,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,428,0,3,431
296,188A(W),170,1,163,36,1,10,24,1,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,412,0,4,416
297,189M,203,0,157,71,1,3,23,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,463,0,4,467
298,189A(W),187,2,151,46,0,3,19,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,413,0,0,413
299,190,188,1,350,39,1,8,23,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,613,0,3,616
300,191,199,1,289,71,1,18,55,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,639,0,4,643
301,192M,122,0,182,54,1,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,390,0,3,393
302,192A(W),95,2,158,29,0,7,30,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,324,0,2,326
303,193M,112,0,190,55,0,5,32,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,398,0,8,406
304,193A(W),150,3,163,34,1,2,36,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,396,0,2,398
305,194,98,1,190,53,0,2,13,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,362,0,1,363
306,195M,152,0,191,42,0,6,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,403,0,1,404
307,195A(W),177,2,184,28,0,3,10,0,0,1,0,0,0,0,0,5,1,2,0,0,1,0,0,414,0,3,417
308,196M,117,1,213,44,0,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,394,0,1,395
309,196A(W),157,0,196,30,0,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,402,0,1,403
310,197,192,1,292,57,0,16,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,609,0,4,613
311,198M,105,1,285,35,0,8,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,447,0,0,447
312,198A(W),126,0,259,24,0,7,10,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,431,0,1,432
313,199,133,8,294,40,1,4,6,0,0,0,0,0,2,0,0,0,2,0,2,1,1,0,1,495,0,3,498
314,200,126,1,363,33,0,6,11,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,546,0,2,548
315,201M,95,1,193,25,0,7,17,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,342,0,6,348
316,201A(W),84,2,188,16,0,4,28,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,325,0,3,328
317,202M,99,1,280,56,0,5,29,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,1,478,0,2,480
318,202A(W),88,0,231,34,0,2,36,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,397,0,4,401
319,203,87,1,397,26,1,5,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,548,0,0,548
320,204,124,1,354,65,0,3,40,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,593,0,7,600
321,205M,59,1,293,29,0,8,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,404,0,5,409
322,205A(W),64,0,256,12,2,1,5,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,347,0,0,347
323,206,77,3,215,40,0,12,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,356,0,0,356
324,207M,99,0,244,37,0,5,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,402,0,1,403
325,207A(W),84,2,213,27,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,347,0,1,348
326,208,72,0,191,34,1,9,25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,334,0,0,334
327,209,82,0,308,43,1,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,466,0,3,469
328,210M,73,0,253,54,1,5,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,403,0,2,405
329,210A(W),81,0,239,32,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,379,0,0,379
330,211,68,0,290,47,0,7,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,426,0,3,429
331,212M,46,0,343,28,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,440
332,212A(W),36,1,336,20,0,4,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,411,0,0,411
333,213M,123,2,214,26,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,4,402
334,213A(W),102,0,204,23,0,1,24,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,359,0,5,364
335,214,133,1,412,20,0,0,20,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,594,0,3,597
336,215,92,0,371,21,0,1,9,0,0,0,1,0,0,0,0,14,1,0,1,0,0,0,1,512,0,2,514
337,216M,84,0,239,33,0,0,24,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,392,0,3,395
338,216A(W),82,1,232,20,0,1,17,0,0,0,2,0,0,0,0,3,1,0,2,0,0,0,1,362,0,1,363
339,217,146,3,304,41,0,2,25,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,534,0,2,536
340,218,108,0,357,44,2,4,26,0,0,0,0,0,0,1,0,8,1,0,0,0,1,0,0,552,0,3,555
341,219,140,1,234,39,2,1,74,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,495,0,4,499
342,220,63,1,241,36,0,0,17,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,366,0,1,367
343,221M,62,0,281,24,0,1,16,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,391,0,4,395
344,221A(W),72,0,263,15,0,1,15,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,371,0,3,374
345,222,106,0,293,50,0,5,23,1,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,486,0,4,490
346,223,158,0,347,35,0,10,22,0,0,0,0,0,2,0,0,4,1,1,1,0,0,0,1,582,0,6,588
347,224M,90,0,208,45,0,2,29,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,382,0,7,389
348,224A(W),102,0,176,30,0,2,29,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,2,347,0,8,355
349,225M,89,0,157,46,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,3,329
350,225A(W),81,0,151,16,0,1,37,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,289,0,2,291
351,226M,135,1,234,100,0,4,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,507,0,4,511
352,226A(W),135,0,204,57,0,6,38,0,0,0,1,1,0,0,0,3,1,0,1,0,1,0,1,449,0,7,456
353,227M,132,0,223,74,0,2,36,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,472,0,5,477
354,227A(W),133,2,218,43,0,5,41,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,446,0,5,451
355,228M,102,0,207,56,0,4,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,392,0,0,392
356,228A(W),140,3,241,37,1,1,17,0,0,0,1,3,1,0,0,1,1,0,1,0,0,1,0,449,0,4,453
357,229,164,2,330,58,1,5,15,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,583,0,0,583
358,230M,106,0,173,72,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,9,401
359,230A(W),107,1,140,47,0,13,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,346,0,3,349
360,231M,98,0,179,65,0,1,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,360,0,5,365
361,231A(W),107,2,193,37,0,2,5,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,351,0,1,352
362,232,181,3,347,89,0,3,22,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,651,0,4,655
363,233,116,1,246,57,0,3,38,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,1,473,0,6,479
364,234,161,2,324,37,0,5,49,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,585,0,5,590
365,235,183,0,261,59,0,1,35,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,545,0,1,546
366,236,170,3,272,56,0,6,20,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,532,0,2,534
367,237M,118,0,199,62,0,7,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,429,0,5,434
368,237A(W),140,1,209,44,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,448,0,2,450
369,238M,141,0,196,67,0,3,28,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,439,0,2,441
370,238A(W),131,0,198,42,0,1,29,0,0,0,0,0,0,2,0,2,1,0,1,0,1,1,0,409,0,2,411
371,239M,108,1,176,43,0,6,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,356,0,4,360
372,239A(W),117,1,165,17,1,3,21,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,329,0,2,331
373,240M,108,0,181,44,1,6,18,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,361,0,6,367
374,240A(W),102,0,173,34,0,5,19,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,337,0,3,340
375,241M,93,0,336,60,1,4,27,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,525,0,6,531
376,241A(W),125,1,319,26,0,6,20,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,0,504,0,4,508
377,242M,99,1,132,22,0,4,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,301,0,2,303
378,242A(W),89,1,131,8,0,0,50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,282,0,2,284
379,243,224,3,474,40,0,4,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,761,0,2,763
380,244,172,0,213,13,3,6,78,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,1,494,0,3,497
381,245,154,1,169,43,1,6,68,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,1,449,0,11,460
382,246M,116,1,160,12,0,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,381,0,6,387
383,246A(W),92,0,152,18,1,6,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,338,0,10,348
384,247M,83,1,162,20,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,1,318
385,247A(W),69,3,123,13,1,2,54,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,267,0,6,273
386,248M,109,0,129,24,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,5,327
387,248A(W),95,0,109,17,2,3,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,285,0,3,288
388,249M,91,0,152,14,0,2,44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,305,0,6,311
389,249A(W),84,0,113,13,2,0,56,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,270,0,5,275
390,250,168,0,214,43,0,4,74,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,505,0,13,518
391,251,148,1,307,49,2,6,76,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,592,0,6,598
392,252M,95,1,182,42,0,3,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,369,0,5,374
393,252A(W),80,1,209,29,0,1,37,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,361,0,3,364
394,253,130,1,234,52,0,8,20,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,449,0,9,458
395,254,134,3,286,57,0,5,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,532,0,9,541
396,255M,114,0,195,47,0,3,44,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,405,0,6,411
397,255A(W),127,0,186,22,0,0,42,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,382,0,5,387
398,256M,133,0,135,33,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,5,355
399,256A(W),110,1,132,19,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,320,0,4,324
400,257,167,3,312,83,0,8,50,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,630,0,5,635
401,258M,135,0,192,43,0,2,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,399,0,5,404
402,258A(W),136,1,192,40,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,4,407
403,259,190,0,250,37,0,7,40,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,529,0,2,531
404,260,148,0,341,92,1,8,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,9,664
405,261,152,1,297,65,0,7,67,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,596,0,6,602
406,262M,120,1,188,56,0,16,29,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,416,0,6,422
407,262A(W),117,0,173,39,1,5,22,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,363,0,5,368
408,263M,108,0,304,49,0,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,1,479
409,263A(W),158,3,275,27,0,3,21,0,0,0,0,0,0,2,2,0,1,0,2,0,1,0,0,495,0,1,496
410,264,124,0,288,50,0,10,18,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,494,0,2,496
411,265,195,2,306,50,0,3,34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,592,0,8,600
412,266M,93,0,149,37,1,3,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,301,0,4,305
413,266A(W),101,1,123,12,0,2,29,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,272,0,2,274
414,267M,100,0,177,44,1,10,32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,366,0,4,370
415,267A(W),104,0,165,26,1,6,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,339,0,2,341
416,268M,115,0,185,39,0,5,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,367,0,2,369
417,268A(W),100,0,182,26,1,3,23,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,2,343,0,2,345
418,269M,113,0,231,53,3,8,22,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,434,0,4,438
419,269A(W),123,0,196,39,3,1,29,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,395,0,1,396
420,270M,106,1,227,52,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,2,430
421,270A(W),158,1,203,17,1,0,47,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,431,0,1,432
422,271,141,0,278,58,1,6,63,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,554,0,7,561
423,272,119,0,170,37,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,5,413
424,273,207,1,345,83,2,14,78,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,735,0,12,747
425,274M,159,1,178,56,0,8,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,417,0,5,422
426,274A(W),170,3,198,46,0,5,28,0,0,2,0,0,1,1,0,6,1,0,0,0,1,0,0,462,0,2,464
427,275,206,4,380,86,0,15,16,1,1,0,0,0,0,1,0,3,1,0,1,1,1,0,0,717,0,4,721
428,276,205,1,235,77,0,11,17,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,551,0,5,556
429,277M,93,0,175,17,0,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,5,353
430,277A(W),67,0,158,7,0,14,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,309,0,3,312
431,278M,102,1,151,24,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,323
432,278A(W),87,0,131,15,1,3,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,1,286
