Sl. No,Polling Station No,SAMAJ M.GIRIDHARAN BSP-BAHUJAN PARTY,CONGRESS A.M.MUNIRATHINAM INC-INDIAN NATIONAL,KATCHI A.M.KRISHNAN PMK-PATTALI MAKKAL,TAMILAR PAVENDHAN NTK-NAAM KATCHI Y.R,VISWANATHADOSS THOZHILALARGAL VTVTK-VEERATH VINOTH THIYAGI KATCHI R,IYAKKAM SIRUPANMAYINAR VIJAYAKUMAR DSMI-DESIYA MAKKAL G,NEEDHI MNM-MAKKAL JAWAHAR MAIAM R,IND-Independent T.RAJENDRAN,IND-Independent R.ELUMALAI,IND-Independent K.SEKAR,IND-Independent PALANI A,IND-Independent P.PARTHIBAN,IND-Independent BALAJI J,IND-Independent K.MANI,IND-Independent N.MANI,C.MUNIRATHINAM IND-Independent,M.MUNIRATHINAM IND-Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
54,41M,0,205,17,138,28,0,0,10,1,0,1,0,0,0,0,0,0,0,400,0,3,403,0
55,41A(W),1,265,13,107,19,0,0,3,0,0,0,0,0,0,0,1,0,1,410,0,2,412,0
56,42,1,275,57,45,14,0,0,4,1,0,0,0,0,0,0,0,0,1,398,0,3,401,0
57,43,0,457,90,92,9,0,0,17,1,1,0,0,0,0,0,0,0,2,669,0,3,672,0
58,44,1,184,313,47,7,4,0,2,4,0,0,1,1,2,0,1,0,0,567,0,4,571,0
59,45M,3,252,216,44,13,0,0,5,0,0,0,0,0,1,0,0,0,0,534,0,2,536,0
60,45A(W),8,273,197,36,5,0,0,2,7,0,2,1,2,0,1,0,1,0,535,0,0,535,0
61,46M,0,365,19,41,13,2,0,10,0,0,0,0,0,0,0,0,0,0,450,0,2,452,0
62,46A(W),2,373,19,43,4,0,0,11,0,0,0,1,0,0,0,0,0,2,455,0,2,457,0
63,47,0,327,130,104,24,0,1,10,3,0,1,0,1,0,0,1,0,0,602,0,4,606,0
64,48,0,197,42,59,15,0,2,9,0,0,0,0,1,0,1,1,1,0,328,0,1,329,0
65,49M,0,286,116,42,14,1,0,12,1,1,0,0,0,0,0,0,0,0,473,0,6,479,0
66,49A(W),1,325,112,24,10,1,1,12,0,1,0,1,0,2,1,2,0,1,494,0,1,495,0
67,50,1,447,24,162,43,0,1,14,1,1,0,1,1,2,0,1,0,2,701,0,10,711,0
68,51,1,300,11,156,44,0,2,8,0,0,0,0,1,1,0,0,1,0,525,0,3,528,0
69,52M,0,209,11,233,39,0,0,11,0,0,0,0,0,0,0,0,0,0,503,0,1,504,0
70,52A(W),1,268,6,190,22,0,2,5,1,0,0,1,0,0,0,0,0,1,497,0,0,497,0
71,53M,2,305,22,31,15,4,1,6,0,0,0,0,0,0,0,0,0,1,387,0,3,390,0
72,53A(W),1,291,21,18,13,5,0,3,1,0,1,2,0,0,5,0,1,2,364,0,1,365,0
73,54M,0,344,55,54,28,5,0,9,0,0,0,0,0,0,0,0,0,0,495,0,2,497,0
74,54A(W),0,346,43,27,12,1,0,14,3,1,0,1,1,0,1,0,1,3,454,0,3,457,0
