Sl. No,Polling Station No,SAMAJ M.GIRIDHARAN BSP-BAHUJAN PARTY,CONGRESS A.M.MUNIRATHINAM INC-INDIAN NATIONAL,KATCHI A.M.KRISHNAN PMK-PATTALI MAKKAL,TAMILAR PAVENDHAN NTK-NAAM KATCHI Y.R,VISWANATHADOSS THOZHILALARGAL VTVTK-VEERATH VINOTH THIYAGI KATCHI R,IYAKKAM SIRUPANMAYINAR VIJAYAKUMAR DSMI-DESIYA MAKKAL G,NEEDHI MNM-MAKKAL JAWAHAR MAIAM R,IND-Independent T.RAJENDRAN,IND-Independent R.ELUMALAI,IND-Independent K.SEKAR,IND-Independent PALANI A,IND-Independent P.PARTHIBAN,IND-Independent BALAJI J,IND-Independent K.MANI,IND-Independent N.MANI,C.MUNIRATHINAM IND-Independent,M.MUNIRATHINAM IND-Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
239,181,2,273,218,42,51,1,1,2,3,0,0,2,3,2,1,2,2,5,610,0,4,614,0
240,182,1,336,138,27,24,0,2,2,2,0,0,0,0,0,1,0,2,3,538,0,2,540,0
241,183,0,86,676,49,33,0,0,4,2,0,0,0,0,2,0,0,0,0,852,0,0,852,0
242,184,0,46,479,27,17,0,0,2,1,0,0,0,0,0,0,0,0,0,572,0,1,573,0
243,185,0,320,46,26,17,1,0,1,0,0,0,1,0,0,0,0,0,3,415,0,1,416,0
244,186M,0,100,333,63,11,0,0,2,1,0,0,0,0,0,0,0,0,3,513,0,3,516,0
245,186A(W),2,94,332,58,2,0,1,1,3,1,0,1,0,1,2,1,1,5,505,0,1,506,0
246,187,2,129,171,82,8,0,0,3,4,0,0,1,2,1,0,2,0,0,405,0,3,408,0
247,188,1,65,521,36,16,2,0,2,4,0,0,1,0,5,0,2,0,1,656,0,5,661,0
248,189,1,99,489,56,20,0,2,5,7,0,2,2,0,4,0,1,0,1,689,0,3,692,0
249,190,2,445,138,30,62,0,1,3,11,3,0,2,1,2,1,3,0,1,705,0,1,706,0
250,191M,3,280,89,27,41,1,1,0,1,0,0,3,0,1,1,0,1,1,450,0,2,452,0
251,191A(W),1,337,70,18,12,0,1,1,1,0,0,2,1,1,2,2,0,0,449,0,0,449,0
252,192M,4,198,225,29,26,0,0,3,2,0,1,0,1,2,0,0,0,4,495,0,3,498,0
253,192A(W),3,233,190,33,12,1,0,1,5,0,1,4,1,2,2,0,0,0,488,0,4,492,0
254,193,1,390,66,44,49,0,0,1,0,0,0,0,0,2,0,0,0,1,554,0,0,554,0
255,194,0,47,561,30,18,0,0,1,5,0,0,1,4,11,0,0,0,1,679,0,4,683,0
256,195,2,73,370,52,23,1,0,2,4,0,1,0,0,3,0,0,0,0,531,0,6,537,0
257,196,0,114,425,27,12,0,0,0,3,0,0,2,0,0,0,1,1,0,585,0,1,586,0
258,197,1,133,691,34,35,0,0,1,7,0,1,2,0,1,0,0,0,4,910,0,5,915,0
259,198,1,270,301,39,28,1,3,2,4,1,1,7,3,3,1,2,0,0,667,0,0,667,0
260,199,2,267,284,56,18,0,2,1,5,0,2,2,0,1,0,4,0,2,646,0,3,649,0
261,200,3,374,232,35,27,0,0,4,1,0,0,0,0,1,0,1,0,1,679,0,1,680,0
262,201,0,225,292,24,14,0,0,4,5,2,0,4,1,1,2,1,1,3,579,0,6,585,0
263,202,0,479,222,43,25,1,2,3,5,0,4,3,0,3,1,5,1,3,800,0,5,805,0
264,203,2,375,209,75,38,0,0,4,7,0,1,1,1,3,0,1,1,2,720,0,4,724,0
265,204,1,412,138,22,32,0,0,5,3,0,0,2,0,0,2,1,1,1,620,0,3,623,0
266,205,5,332,418,44,44,2,1,7,6,3,0,3,4,3,1,4,0,2,879,0,5,884,0
267,206,3,467,70,37,29,2,2,1,1,1,1,0,1,0,2,1,0,0,618,0,4,622,0
268,207M,0,305,139,32,47,0,1,0,1,0,0,0,0,0,1,1,0,2,529,0,3,532,0
269,207A(W),2,340,112,25,13,0,0,1,0,0,2,1,3,4,2,5,1,2,513,0,4,517,0
270,208M,1,246,149,20,55,3,0,1,1,0,0,0,2,0,0,1,1,0,480,0,4,484,0
271,208A(W),5,268,157,22,14,0,0,3,4,0,0,0,2,0,4,1,0,0,480,0,2,482,0
272,209M,2,323,100,20,34,0,0,2,1,1,0,0,0,0,0,0,0,0,483,0,2,485,0
273,209A(W),1,307,114,25,24,0,1,3,2,0,0,0,0,1,0,0,0,1,479,0,0,479,0
274,210,1,464,95,12,65,1,1,12,0,0,0,2,0,0,1,0,0,3,657,0,4,661,0
275,211,0,301,90,15,34,0,1,6,1,0,0,1,0,0,0,0,0,1,450,0,3,453,0
276,212M,4,318,84,55,80,0,0,7,2,0,1,0,0,0,0,0,1,1,553,0,3,556,0
277,212A(W),1,386,85,40,29,0,1,9,4,0,1,0,0,1,1,0,1,1,560,0,2,562,0
278,213,4,544,216,29,67,0,0,4,6,0,0,2,2,2,3,3,1,2,885,0,4,889,0
279,214,0,485,198,40,40,0,3,7,2,0,1,1,0,1,1,1,0,2,782,0,2,784,0
280,215,2,361,248,46,23,0,0,0,1,0,0,3,2,7,2,3,1,1,700,0,3,703,0
281,216M,2,287,116,43,44,0,0,2,3,0,0,2,0,0,0,0,0,1,500,0,1,501,0
282,216A(W),4,343,108,39,22,1,1,3,2,0,1,1,3,0,1,0,1,2,532,0,1,533,0
283,217,0,508,188,32,41,1,1,1,1,0,1,0,1,1,0,2,1,1,780,0,1,781,0
284,218,0,580,73,20,56,0,2,1,2,1,0,1,1,1,1,2,0,2,743,0,2,745,0
285,219,2,228,538,31,16,1,3,2,4,0,0,0,0,1,0,1,0,0,827,0,3,830,0
286,220,2,395,338,54,34,1,0,0,2,0,1,1,2,0,2,1,1,5,839,0,5,844,0
287,221,4,412,136,45,39,0,1,18,0,0,0,0,1,1,0,0,0,0,657,0,5,662,0
288,222,0,261,126,39,19,0,0,4,1,0,0,0,0,1,1,0,0,1,453,0,1,454,0
289,223,1,296,144,47,27,0,0,5,2,0,1,1,1,0,0,0,1,2,528,0,6,534,0
290,224,0,353,174,33,32,1,0,12,2,1,0,2,0,0,1,0,0,1,612,0,5,617,0
291,225M,2,314,101,37,23,0,0,3,0,1,0,4,0,2,2,1,0,0,490,0,2,492,0
292,225A(W),2,354,93,34,13,0,0,2,1,0,0,1,0,3,3,0,0,0,506,0,0,506,0
293,226,3,406,133,41,32,0,0,16,1,1,1,1,0,0,0,0,0,0,635,0,1,636,0
294,227M,2,212,266,12,12,0,0,3,3,0,0,0,0,1,0,0,0,0,511,0,5,516,0
295,227A(W),1,239,236,8,7,0,0,4,5,0,0,1,1,1,0,2,0,2,507,0,3,510,0
296,228,11,593,97,33,50,0,1,0,3,0,1,3,0,1,2,1,0,1,797,0,3,800,0
297,229,2,207,238,25,16,0,0,6,4,0,0,2,0,2,0,0,0,0,502,0,1,503,0
298,230,2,246,280,36,28,2,0,1,10,0,0,0,0,0,1,0,2,1,609,0,3,612,0
299,231,0,209,454,25,47,0,1,2,8,0,1,0,1,0,0,0,1,0,749,0,4,753,0
300,232M,0,121,326,17,12,0,0,1,5,0,0,1,0,1,0,0,0,0,484,0,4,488,0
301,232A(W),0,105,293,27,5,0,0,3,2,1,0,2,1,6,0,1,0,0,446,0,3,449,0
302,233M,0,358,89,39,36,0,0,3,2,0,0,0,0,0,0,0,0,0,527,0,2,529,0
303,233A(W),0,383,92,44,20,0,0,0,3,0,0,1,0,0,0,1,0,3,547,0,3,550,0
304,234M,0,294,101,29,47,0,1,7,0,0,0,1,0,0,1,0,1,1,483,0,6,489,0
305,234A(W),0,297,102,60,15,0,2,7,2,0,0,2,0,1,0,2,3,3,496,0,3,499,0
306,235,1,507,166,58,57,0,1,9,2,0,0,0,0,0,2,0,0,1,804,0,3,807,0
307,236,1,371,183,80,82,0,2,8,9,2,0,3,1,2,1,2,1,3,751,0,3,754,0
308,237,4,623,147,16,60,1,0,4,3,1,2,1,0,2,5,2,5,4,880,0,6,886,0
309,238,3,222,471,25,25,0,0,4,3,1,0,0,0,1,0,0,0,2,757,0,1,758,0
310,239M,1,211,187,26,36,0,2,3,0,0,0,1,1,0,0,0,0,1,469,0,3,472,0
311,239A(W),3,213,167,16,15,0,3,3,3,0,1,0,3,2,2,3,0,4,438,0,3,441,0
312,240,0,41,589,3,10,0,0,3,7,0,0,1,0,3,0,1,1,1,660,0,0,660,0
313,241,0,356,148,25,45,0,1,2,0,1,0,1,0,0,1,0,0,1,581,0,1,582,0
314,242,2,360,77,29,48,0,3,3,3,0,0,0,0,1,4,0,0,1,531,0,1,532,0
315,243,1,385,231,39,22,0,0,9,2,0,0,0,2,1,0,0,2,1,695,0,4,699,0
316,244,1,465,98,19,44,0,0,3,1,0,0,0,0,3,2,1,0,2,639,0,3,642,0
317,245,2,724,109,26,51,0,1,3,3,0,1,4,0,1,1,2,0,0,928,0,1,929,0
318,246,3,381,101,24,40,0,0,5,0,0,1,0,0,0,0,1,1,0,557,0,14,571,0
319,247,1,478,101,12,34,0,0,10,0,0,0,1,0,0,1,0,0,6,644,0,5,649,0
320,248M,0,276,82,13,37,0,0,11,0,0,0,0,0,0,0,0,2,2,423,0,6,429,0
321,248A(W),0,310,67,15,12,0,0,9,0,0,0,1,0,0,0,0,0,1,415,0,2,417,0
322,249M,0,311,80,20,36,0,0,12,0,1,1,0,0,0,1,0,1,0,463,0,6,469,0
323,249A(W),1,325,102,14,16,0,0,8,1,0,0,2,0,1,1,1,0,0,472,0,5,477,0
324,250,3,331,98,21,36,0,0,16,0,0,0,0,0,0,0,1,0,1,507,0,4,511,0
325,251M,0,293,69,18,48,0,1,7,0,1,0,0,0,0,0,0,1,1,439,0,4,443,0
326,251A(W),1,314,101,14,18,0,1,17,1,0,1,0,0,1,0,0,1,2,472,0,2,474,0
327,252,1,501,134,30,80,0,2,3,1,0,2,1,0,0,3,3,1,1,763,0,7,770,0
328,253M,1,298,71,19,66,1,1,4,0,0,0,0,0,0,0,4,0,2,467,0,0,467,0
329,253A(W),2,348,65,15,14,1,0,11,1,0,0,1,0,1,1,1,0,1,462,0,2,464,0
330,254,0,60,507,51,20,2,1,3,8,0,0,0,0,2,1,0,0,1,656,0,6,662,0
331,255,4,369,389,29,42,0,1,2,2,0,0,0,0,2,0,0,1,1,842,0,2,844,0
332,256M,0,184,302,21,20,0,0,2,1,0,0,0,1,0,0,0,2,1,534,0,2,536,0
333,256A(W),1,227,256,25,9,0,2,3,8,1,0,1,2,2,4,2,0,0,543,0,0,543,0
334,257,0,229,390,13,46,1,0,2,10,1,0,1,1,4,2,1,1,2,704,0,5,709,0
335,258,2,341,242,30,39,0,0,6,3,0,1,1,2,1,0,4,0,2,674,0,6,680,0
336,259M,0,291,68,22,48,0,0,8,0,0,0,0,0,0,0,0,0,0,437,0,4,441,0
337,259A(W),0,295,86,13,16,0,1,7,1,1,1,1,0,1,0,0,0,3,426,0,2,428,0
338,260,1,480,189,21,46,1,0,9,0,1,0,1,1,0,2,1,1,3,757,0,4,761,0
339,261M,0,356,70,31,58,0,0,6,0,1,0,1,0,0,0,0,0,1,524,0,5,529,0
340,261A(W),3,360,63,19,23,0,0,5,1,0,0,2,1,1,1,3,1,1,484,0,1,485,0
341,262,2,547,220,16,73,0,2,6,3,0,1,1,1,2,2,3,1,3,883,0,3,886,0
342,263,5,591,84,59,138,0,0,1,3,1,1,3,0,0,3,2,2,8,901,0,6,907,0
343,264,0,390,119,70,17,1,0,17,3,0,1,2,1,1,3,1,1,3,630,0,1,631,0
344,265,6,470,103,49,32,0,2,4,2,0,0,2,2,2,0,1,1,1,677,0,3,680,0
345,266M,2,299,71,23,52,0,0,1,1,2,0,0,0,0,0,0,0,0,451,0,0,451,0
346,266A(W),1,314,62,24,18,0,0,0,5,0,1,2,1,2,1,2,1,2,436,0,0,436,0
347,267,1,272,381,8,12,1,0,5,4,0,0,2,2,3,0,5,0,3,699,0,8,707,0
348,268,8,476,183,26,37,0,2,16,1,0,1,2,0,0,1,1,1,1,756,0,5,761,0
349,269,0,540,38,15,16,0,0,1,2,0,1,2,0,2,0,0,0,1,618,0,0,618,0
350,270,1,322,143,24,26,0,0,3,2,1,0,0,0,0,0,1,0,1,524,0,3,527,0
351,271,2,219,173,19,14,1,0,12,3,0,0,0,1,0,0,0,0,0,444,0,0,444,0
352,272,3,270,274,50,15,0,1,8,0,0,0,0,3,1,0,1,0,1,627,0,0,627,0
353,273,1,303,363,59,16,0,1,3,6,2,1,4,1,2,0,0,0,1,763,0,4,767,0
354,274,1,161,231,21,9,0,0,3,0,0,1,0,0,0,0,0,1,0,428,0,1,429,0
355,275,0,271,294,40,25,1,1,2,3,0,0,3,1,0,0,1,1,1,644,0,5,649,0
356,276M,0,251,188,30,17,0,0,12,0,0,0,0,1,0,0,0,0,0,499,0,7,506,0
357,276A(W),3,263,180,24,8,0,0,7,1,0,0,2,2,0,3,1,2,3,499,0,3,502,0
358,277,4,353,194,16,22,0,1,27,5,0,0,0,1,0,1,2,0,2,628,0,3,631,0
359,278,1,354,162,23,9,1,0,19,1,0,0,1,0,0,1,0,0,1,573,0,4,577,0
360,279M,2,227,78,25,20,0,0,7,1,0,0,0,0,0,0,0,0,1,361,0,2,363,0
361,279A(W),0,274,78,35,14,1,0,6,2,0,1,1,0,1,0,0,1,0,414,0,3,417,0
362,280,1,523,127,18,43,0,0,7,1,0,0,2,1,1,2,1,0,1,728,0,2,730,0
363,281M,0,184,198,8,20,0,0,4,0,0,0,1,0,1,0,1,0,0,417,0,3,420,0
364,281A(W),1,230,155,12,9,1,0,6,3,1,0,2,1,0,2,1,2,1,427,0,1,428,0
365,282,2,420,213,31,26,0,0,9,2,0,1,2,2,2,3,3,0,2,718,0,4,722,0
366,283,1,325,368,34,42,0,1,13,6,0,0,4,1,3,0,0,1,3,802,0,1,803,0
367,284,20,504,126,74,56,0,1,2,2,0,0,3,1,2,0,1,0,3,795,0,4,799,0
368,285,2,620,129,20,63,0,1,4,1,1,0,1,1,2,2,2,0,3,852,0,4,856,0
369,286M,0,233,143,23,31,0,0,2,2,1,0,0,1,0,0,0,0,3,439,0,3,442,0
370,286A(W),1,259,119,15,7,0,0,4,5,0,0,1,0,1,0,2,1,0,415,0,3,418,0
371,287M,1,332,63,25,41,0,0,2,0,0,0,0,1,0,0,1,1,1,468,0,3,471,0
372,287A(W),2,356,63,28,15,0,0,0,3,0,1,2,1,0,0,0,0,2,473,0,3,476,0
373,288M,1,354,142,22,31,1,0,1,1,1,0,1,0,1,0,0,0,3,559,0,1,560,0
374,288A(W),1,384,118,23,17,1,0,3,2,0,0,1,1,0,7,2,0,2,562,0,0,562,0
375,289M,1,236,120,25,39,0,0,3,2,1,0,2,0,1,2,3,0,1,436,0,3,439,0
376,289A(W),0,264,119,11,15,0,0,4,2,1,0,6,2,1,4,5,1,2,437,0,1,438,0
377,290,0,501,68,42,54,1,1,3,1,0,0,1,0,0,1,0,0,5,678,0,2,680,0
378,291,3,522,47,41,79,0,0,0,0,0,0,0,1,0,0,0,0,3,696,0,4,700,0
379,292M,0,205,251,24,30,0,1,4,0,0,0,0,0,0,0,0,0,0,515,0,3,518,0
380,292A(W),2,238,206,18,13,2,0,3,5,0,0,2,0,1,1,0,1,4,496,0,8,504,0
381,293,2,307,65,41,28,1,2,0,1,0,0,1,2,2,1,0,1,1,455,0,4,459,0
382,294,2,403,335,14,19,2,1,4,1,1,0,4,1,4,0,2,1,3,797,0,7,804,0
383,295,1,179,394,16,28,0,0,13,3,0,1,0,1,3,2,2,0,3,646,0,5,651,0
384,296,3,426,57,37,61,0,0,2,2,3,0,0,1,3,2,0,0,3,600,0,2,602,0
385,297,4,392,283,26,45,1,2,2,4,0,1,1,0,13,4,2,4,3,787,0,6,793,0
386,298,2,339,39,20,52,1,3,0,0,1,0,2,1,1,3,1,3,3,471,0,2,473,0
387,299,2,400,334,46,36,2,4,2,4,2,2,4,5,8,3,3,2,11,870,0,7,877,0
