Polling Station No.,Building,Polling Areas
14,Government Higher Secondary School East Main Building.South Side Room No 13 (12B),"1.Kalugumalai (s.p) Geriprakaramalaveethi , 2.Kalugumalai (S.P) Saravanapuram , 3.Kalugumalai (S.P) Sowlgower ROad Street , 4.Kalugumalai (S.P) Kalugumalai Nadu Street , 5.Kalugumalai (S.P) Nadustreet , 6.Kalugumalai (S.P) Therukkustreet , 7.Kalugumalai (S.P) MelaStreet , 8.Kalugumalai (S.P) Stalinstreet , 9.Kalugumalai (S.P) Pasumpon Nagar , 99.OVERSEAS ELECTORS"
15,"Panchayat Union Primary School, Main Building","1.Kulugumalai (s.p) Kaithey milath street , 2.Kulugumalai (S.P) Annamelatheru , 3.Kulugumalai (S.P) SaynaiyarStreet , 99.OVERSEAS ELECTORS"
16,"Panchayat Union Primary School, East Portion Kalugumalai","1.Kulugumalai (s.p) Annapudhustreet , 99.OVERSEAS ELECTORS"
17,Panchayat Union Primary School. North Side Karadikulam Colony,"1.Karadikulam (R.V) And (P) C.r. colony block 3 , 2.Karadikulam(R.C) And (P) C.r. colony block 4 , 3.Karadikulam (R.V) And (P) C.R. Colony Block 5 , 99.OVERSEAS ELECTORS"
18,Panchayat Union Middle School. Southern Portion,"1.Karadikulam (R.V) And (P) Karadikulam Block 1 , 2.Karadikulam (R.V) And (P) Karadikulam block 2 , 99.OVERSEAS ELECTORS"
19,"Panchayat Union Middle School, West Portion of PS No.18, Karadikulam",1.Karadikulam (R.V) And (P) Karadikulam block 2 99.OVERSEAS ELECTORS
20,"Panchayat Union Primary School, West Portion, Velayuthapuram","1.K. Subramaniyapuram (R.V) And (P) K. Subramaniyapuram K. Velauthapuram Block 1 , 2.K. Subramaniyapuram (R.V) And (P) Kalukasapuram Block 2 , 3.K. Subramaniyapuram (R.V) And (P) Vallinayakepuram Block 3 , 4.K. Subramaniyapuram (R.V) And (P) Jambulingapuram Block 4 , 99.OVERSEAS ELECTORS"
21,Panchayat Union Primary SchoolSouth Side,"1.K. Subramaniyapuram (R.V) And (P) Velauthapuram Block 5 , 99.OVERSEAS ELECTORS"
22,Panchayat Union Primary School. North Portion,"1.Southkulugumalai (t) Southkulugumalai block 1 , 2.SouthKulugumalai (T) SouthKulugumalai Block 2 , 99.OVERSEAS ELECTORS"
23,Panchayat Union Primary School. South Portion,"1.Southkulugumalai (t) Thulukkpatti Block 3 , 2.South Kulugumalai (T) Thulukkapatti Block 4 , 99.OVERSEAS ELECTORS"
24,"Panchayat Primary School, New Building, Kalankaraipatti","1.Kalangaraipatti (p) Kalangaraipatti block 1 , 2.Kalangaraipatti (P) Kchilapuram Block 2 , 99.OVERSEAS ELECTORS"
25,"Saral Tucker College Branch Primary School, East Side","1.Vanaramutti (R.V) And (P) Vanaramutti Block 1 , 99.OVERSEAS ELECTORS"
26,"Saral Tucker College Branch Primary School, West Side","1.Vanaramutti (R.V) And (P) Vanaramutti Block 2 , 2.Vanaramutti (R.V) And (P) Vanaramutti Block 3 , 99.OVERSEAS ELECTORS"
27,"Saral Tucker College Branch Primary School, North-West Side","1.Vanaramutti (R.V) And (P) South Street Block 5 , 2.Vanaramutti (R.V) And (P) Main Road Block 5 , 99.OVERSEAS ELECTORS"
28,"Saral Tucker College Branch Primary School, south-East Side","1.Vanaramutti (R.V) And (P) Poomariamman Kovil Street BLock 4 , 2.Vanaramutti (R.V) And (P) R.V.Raman Nagar Block 4 , 99.OVERSEAS ELECTORS"
29,"Govt Hr.Sec. School, East Building","1.Vanaramutti (R.V) And (P) Kallurani block 5 , 2.Vanaramutti (R.V) And (P) Muthusamypuram Block 7 , 99.OVERSEAS ELECTORS"
30,"Govt Hr.Sec. School, West Building","1.Vanaramutti (R.V) And (P) Ramalingapuram West Street Block 8 , 2.Vanaramutti (R.V) And (P) Ramalingapuram Colony Street Block 8 , 99.OVERSEAS ELECTORS"
31,"S. Thayammal Memorial Primary School, North Side","1.Kumareddiyapuram (R.V) And (P) Kumareddiyapuram block 1 , 2.Kumareddiyapuram (R.V) And (P) Veiulukandapuram Block 2 , 99.OVERSEAS ELECTORS"
32,Panchayat Union Primary School Sankaralingapuram,"1.Kumareddiyapuram (R.V) And (P) Sankaralingapuram Block 3 , 99.OVERSEAS ELECTORS"
33,"Govt Higher Secondary School. Main Building, Kalampatti","1.Kalampatti (R.V) And (P) West street block 1 , 2.Kalampatti (R.V) And (P) Middle Street Block 1 , 3.Kalampatti (R.V) And (P) North Street Block 2 , 4.Kalampatti (R.V) And (P) East Street Block 2 , 5.Kalampatti (R.V) And (P) South Street Block 2 , 6.Kalampatti (R.V) And (P) Nachiyarpatti Naickar Street Block 3 , 7.Kalampatti (R.V) And (P) Nachiyarpatti East Street Block 3 , 8.Kalampatti (R.V) And (P) Balakrishnapuram , 9.Kalampatti (R.V) And (P) Azhagappapuram , 99.OVERSEAS ELECTORS"
34,R.C.Primary School Main Building.,"1.Kattalangkulam (R.V)And (P) Chekkadi street Block 1 , 2.Kattalangkulam (R.V) And (P) Muthuthalamman Kovil Street Block 1 , 3.Kattalangkulam (R.V) And (P) East Street Block 1 , 4.Kattarangkulam (R.V) And (P) Chettiar street Block 1 , 5.Kattalangkulam (R.V) And (P) North Street Block 1 , 6.Kattalangkulam (R.V) And (P) South Colony Block 1 , 7.Kattalangkulam (R.V) And (P) North Colony Block 1 , 8.Kattalangkulam (R.V) And (P) Nadar Street Block 2 , 9.Kattalangkulam (R.V) And (P) Middle Street Block 2 , 10.Kattalangkulam (R.V) And (P) R.C.Street Block 3 , 11.Kattalangkulam (R.V) And (P) South Street Block 3 , 12.Kattalangkulam (R.V) And (P) Saravanapuram Block 3 , 99.OVERSEAS ELECTORS"
