Polling Station No.,Building,Polling Areas
11,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [Ward No.64]Ambedkar Nagar 1st Cross Street 2. Kolathur [Ward No.64]Ambedkar Nagar 1st Street 3. Kolathur [Ward No.64]Ambedkar Nagar 2nd Street 4. Kolathur [Ward No.64]Ambedkar Nagar 2nd Cross Street 5. Kolathur [Ward No.64]Ambedkar Nagar 3rd Street 999. OVERSEAS ELECTORS.
12,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.64] Church Street Kannagi Nagar 2. Kolathur [Ward No.64]Lakshmi Nagar 1st Street 3. Kolathur [Ward No.64]Lakshmi Nagar 2nd Street 4. Kolathur [Ward No.64]Lakshmi Nagar 4th Street 5. Kolathur [Ward No.64]Lakshmi Nagar 5th Street 6. Kolathur [Ward No.64]Lakshmi Nagar 6th Steet 7. Kolathur [Ward No.64]Lakshmi Nagar Junction 8. Kolathur [Ward No.64]N.V.M Nagar Aerikarai 9. Kolathur [Ward No.64]Lakshmi Nagar 7th Street 999. OVERSEAS ELECTORS.
13,"Chennai Primary School 3rd main road,Srinivasa Nagar,Kolathur ,Chennai-600099",1. Kolathur [ Ward No.65 ] Dhayalu Nagar Main Road 2. Kolathur [ Ward No.65 ] Dhayalu Nagar 1st Street 3. Kolathur [ Ward No.65 ] Dhayalu Nagar 2nd Street 4. Kolathur [ Ward No.65 ] Dhayalu Nagar 3rd Street 5. Kolathur [ Ward No.65 ] Dhayalu Nagar 6th Street 6. Kolathur [ Ward No.65 ] Dhayalu Nagar 7th Street 7. Kolathur [ Ward No.65 ] Dhayalu Nagar 8th Street 8. Kolathur [ Ward No.65 ] Dhayalu Nagar Extn 9. Kolathur [ Ward No.65 ] Dhayalu Nagar 4th Street 10. Kolathur [ Ward No.65 ] Sowbhagya Flats 4th Street 11. Kolathur [ Ward No.65 ]
14,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [Ward No.64]Venkateswara Nagar Kamaraj Street 2. Kolathur [Ward No.64]Venkateswara Nagar Anna Street 3. Kolathur [Ward No.64]Venkateswara Nagar Vinayagar Street 4. Kolathur [Ward No.64]Venkateswara Nagar Gandhi Street 5. Kolathur [Ward No.64]Venkateswara Nagar Sasthri Street 6. Kolathur [Ward No.64]Venkateswara Nagar Ambedhkar Street 7. Kolathur [Ward No.64]Venkateswara Nagar Rajaji Street 8. Kolathur [Ward No.64]Venkateswara Nagar Nehru Street 9. Kolathur [Ward No.64]Venkateswara Nagar Kalpana Flat
15,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 2. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 1st Street 3. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 1st Cross Street 4. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 2nd Street 5. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 2nd Cross Street 6. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 3rd Street 7. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 4th Street 8. Kolathur [ Ward No.65 ] Janakiram Reddy Colony 5th Street 9. Kolathur [ Ward No.65 ] Janakiram Reddy Colony
16,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rangadass Reddy Colony 2. Kolathur [ Ward No.65 ] Rangadass Reddy Colony 1st Street 3. Kolathur [ Ward No.65 ] Rangadass Reddy Colony 2nd Street 4. Kolathur [ Ward No.65 ] Rangadass Reddy Colony 3rd Street 5. Kolathur [ Ward No.65 ] Janakiram Reddy Colony Ganesh Nagar Extn 6. Kolathur [ Ward No.65 ] Teachers Guild Colony 1st Street 7. Kolathur [ Ward No.65 ] Teachers Guild Colony 2rd Street 8. Kolathur [ Ward No.65 ] Teachers Guild Colony 3th Street 9. Kolathur [ Ward No.65 ] Teachers Guild Colony 4th
17,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Nethaji Nagar 2. Kolathur [ Ward No.65 ] Silandhikuttai Ambedhkar Main Road 3. Kolathur [ Ward No.65 ] Silandhikuttai 2nd Street 4. Kolathur [ Ward No.65 ] Ambedkar Moganam Street 5. Kolathur [ Ward No.65 ] Silandhikuttai 6th Street 6. Kolathur [ Ward No.65 ] Bharathi Nagar Ext 7. Kolathur [ Ward No.65 ] Abirami Nagar 999. OVERSEAS ELECTORS.
18,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Annai Theresa Nagar 2. Kolathur [ Ward No.65 ] Sashtri Nagar 1st Street 3. Kolathur [ Ward No.65 ] Sashtri Nagar 2nd Street 4. Kolathur [ Ward No.65 ] Sashtri Nagar 3rd Street 5. Kolathur [ Ward No.65 ] Rajiv Gandhi Nagar 1st Street 6. Kolathur [ Ward No.65 ] Adhiammal Thottam 7. Kolathur [ Ward No.65 ] Rajiv Gandhi Nagar 2nd Street 8. Kolathur [ Ward No.65 ] Rajiv Gandhi Nagar 3rd Street 9. Kolathur [ Ward No.65 ] Rajiv Gandhi 4th Street 10. Kolathur [ Ward No.65 ] Rajiv Gandhi Nagar 11. Kolathur [ ward No.65
19,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Thanigai Street Rajaji Nagar 2. Kolathur [ Ward No.65 ] Pazhani Street Rajaji Nagar 3. Kolathur [ Ward No.65 ] Thenaruvi Street Rajaji Nagar 4. Kolathur [ Ward No.65 ] Venkateswara Street 5. Kolathur [ Ward No.65 ] Jothi Avenue 5th Cross Street 6. Kolathur [ Ward No.65 ] Vinayagar 5th Cross Street 7. Kolathur [ Ward No.65 ] Avvai Nagar 8. Kolathur [ Ward No.65 ] Avvai Nagar 2nd Street 999. OVERSEAS ELECTORS.
20,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Akbar Square 1st Street 2. Kolathur [ Ward No.65 ] Akbar Square 2nd Street 3. Kolathur [ Ward No.65 ] Akbar Square 3rd Street 4. Kolathur [ Ward No.65 ] Akbar Square 4th Street 5. Kolathur [ Ward No.65 ] East Railway Gate Kolathur Main Road 6. Kolathur [ Ward No.65 ] East Railway Gate Cross Lane 7. Kolathur [ Ward No.65 ] Kalaignar Karunanidhi Nagar 1st Street 8. Kolathur [ Ward No.65 ] Kalaignar Karunanidhi Nagar 2nd Street 9. Kolathur [ Ward No.65 ] Kalaignar Karunanidhi Nagar 3rd Street 10. Kolathur [ Ward No.65 ]
