Sl. No,Polling Station No,"M.S.M.ANANDAN,AIADMK","K. MUTHURATHINAM, DMK","A. MARIARAJ, ANTONY KIT","R.UMANATH,PISU","G. SHIVAKUMAR, DATPA KM","S. SUBRAMANIAN, NTK","K. THINAKARAN, KDA","G.MAYILSAMY,MNM","R. JOTHIMANI, AMMK","M.HAMEED,SHAHULIND","T.SARATHA,IND","A THANGARAJ, IND","R.THUYAMANI,IND","V. MARUTHASALAM, IND","M. MUTHURATHINAM, IND","L. MUTHURATHINAM, IND","K.MURUGESAN,IND","V.RAMESH,IND","M. VIJAYAKUMAR, IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
46,36A,1,277,117,0,1,0,29,0,12,1,0,0,0,0,0,0,0,0,2,0,440,0,0,440,0
47,37,1,195,103,1,0,2,63,0,22,3,0,0,0,1,0,1,0,0,0,1,393,0,1,394,0
48,37A,0,213,122,1,0,0,52,0,21,5,2,0,0,0,1,1,0,1,0,0,419,0,4,423,1
49,38,2,343,166,1,0,1,63,1,34,7,0,0,0,1,0,5,1,1,0,0,626,0,4,630,0
50,39,0,175,267,1,0,1,33,0,4,5,0,0,0,0,2,2,0,0,1,2,493,0,0,493,0
51,40,0,149,285,0,1,1,36,0,8,9,0,1,1,1,0,5,0,1,0,0,498,0,2,500,0
52,41,2,195,226,0,2,1,53,0,6,6,0,0,0,2,0,2,0,3,0,0,498,0,3,501,0
53,42,2,150,259,2,0,0,27,1,1,5,0,0,1,1,2,1,2,2,3,1,460,0,1,461,0
54,43,1,274,245,1,1,1,58,0,6,6,0,0,1,1,2,4,1,2,1,1,606,0,5,611,0
55,44,1,219,258,1,1,0,30,0,10,5,0,0,0,1,2,5,0,2,2,1,538,0,2,540,0
56,45,1,271,179,1,0,0,70,0,27,3,1,0,2,1,1,6,1,1,1,1,567,0,4,571,0
57,46,1,325,197,0,0,0,40,0,9,2,0,0,1,1,3,0,1,2,0,0,582,0,4,586,0
58,47,1,185,201,0,0,0,45,0,35,4,0,0,2,0,0,1,0,0,1,0,475,0,6,481,0
59,47A,1,103,112,1,3,0,31,0,17,2,0,0,0,0,1,1,0,1,1,0,274,0,2,276,0
60,48,0,154,151,1,0,0,29,0,19,2,0,0,0,0,1,0,0,0,0,0,357,0,3,360,0
61,48A,0,185,164,1,0,0,45,0,26,3,0,0,3,1,0,0,0,1,1,0,430,0,3,433,0
62,49,0,141,142,0,1,0,25,1,21,0,0,0,0,0,0,0,0,2,0,0,333,0,0,333,0
63,49A,2,123,185,1,0,0,44,0,23,2,0,0,0,1,0,2,0,0,1,0,384,0,5,389,0
64,50,0,146,154,1,1,0,11,0,4,4,0,0,0,4,2,2,0,1,0,0,330,0,0,330,0
65,50A,1,157,178,1,0,0,22,0,16,4,0,0,0,0,1,0,0,0,0,0,380,0,2,382,0
66,51,0,252,225,1,1,1,42,1,39,4,0,1,1,1,0,4,0,0,0,0,573,0,3,576,0
67,52,1,204,143,0,1,0,20,0,6,5,0,0,0,0,1,0,1,0,1,0,383,0,3,386,0
68,52A,1,222,171,2,0,0,54,1,32,9,0,0,0,0,0,0,0,1,0,0,493,0,5,498,0
69,53,0,172,121,0,0,0,23,0,8,16,0,1,1,0,0,4,0,1,1,2,350,0,3,353,0
70,53A,2,190,100,0,1,0,34,1,13,9,0,0,0,1,0,2,1,1,0,0,355,0,3,358,0
71,54,1,288,211,3,0,0,51,2,41,8,0,1,1,2,0,3,0,0,1,0,613,0,5,618,0
72,55,2,187,140,0,1,0,25,0,13,5,0,0,1,2,3,0,0,0,1,0,380,0,3,383,0
73,56,0,246,215,2,1,0,38,0,41,3,0,0,0,1,0,0,0,0,0,0,547,0,7,554,0
74,57,0,294,198,1,0,2,54,0,29,6,0,0,1,0,0,1,0,1,1,0,588,0,3,591,0
75,58,2,170,174,1,0,0,63,0,22,13,0,1,2,1,0,0,0,1,0,1,451,0,4,455,0
76,59,3,241,196,1,0,0,38,0,15,4,0,0,0,0,1,0,0,0,0,0,499,0,1,500,0
77,60,0,126,102,0,0,0,29,0,19,3,0,0,0,0,0,1,0,0,0,0,280,0,2,282,0
78,61,2,175,240,1,1,1,94,1,32,11,0,0,0,0,0,2,0,0,0,0,560,0,1,561,0
79,62,2,149,188,1,2,1,73,1,24,6,0,0,0,0,0,3,0,0,2,0,452,0,0,452,0
80,63,0,152,141,0,0,0,40,0,13,5,0,0,1,0,0,0,1,0,0,0,353,0,2,355,0
81,64,1,217,212,1,1,1,59,0,24,6,0,0,4,2,0,1,1,0,0,0,530,0,2,532,0
82,65,2,199,213,0,3,0,59,0,13,4,0,0,0,1,0,0,1,0,0,0,495,0,0,495,0
83,66,1,224,173,0,0,0,64,0,27,6,1,0,0,0,0,1,1,0,2,0,500,0,5,505,0
84,67,1,246,135,2,0,1,27,0,16,4,0,0,1,1,1,1,0,1,0,0,437,0,3,440,0
85,68,1,297,247,2,0,1,90,0,36,12,1,1,1,1,3,4,0,0,1,0,698,0,5,703,0
86,69,2,334,216,3,0,0,59,0,25,9,0,0,2,1,3,3,0,4,1,0,662,0,6,668,0
87,70,2,181,99,0,0,0,55,0,7,2,0,0,0,0,0,1,0,0,0,0,347,0,1,348,0
88,71,4,237,149,0,1,0,53,1,32,7,0,0,0,1,0,1,0,1,0,0,487,0,5,492,0
89,71A,2,208,143,0,0,0,34,0,19,5,0,1,0,0,0,2,1,0,0,0,415,0,6,421,0
90,72,1,226,133,0,2,1,25,1,23,4,0,1,0,0,0,1,1,1,1,0,421,0,3,424,0
91,72A,1,176,113,0,1,0,49,0,20,4,0,1,1,0,0,2,0,0,0,0,368,0,2,370,0
92,73,2,368,212,1,2,0,60,0,24,4,2,0,1,4,2,4,1,0,0,0,687,0,4,691,0
93,74,4,287,178,1,0,2,64,1,25,2,1,0,2,0,0,1,0,0,1,0,569,0,7,576,0
94,75,9,299,133,0,1,1,34,0,8,1,0,0,1,1,0,2,0,0,1,0,491,0,2,493,0
95,76,4,191,101,0,0,0,21,0,9,1,0,0,0,0,0,2,1,0,0,0,330,0,2,332,0
96,77,3,377,212,2,0,1,42,0,19,7,1,0,0,3,0,2,1,0,2,1,673,0,3,676,0
97,78,0,291,201,2,2,1,60,0,25,1,0,0,1,1,2,2,0,0,2,0,591,0,6,597,0
98,79,2,126,72,1,0,0,23,0,10,7,0,0,0,1,0,0,0,1,0,0,243,0,3,246,0
99,79A,1,128,85,0,2,0,37,0,23,10,0,0,0,0,0,1,0,1,0,0,288,0,4,292,0
100,80,1,244,191,1,0,1,44,0,39,7,0,0,0,0,0,1,0,1,0,0,530,0,3,533,0
101,81,0,282,181,1,0,0,41,0,37,13,0,0,0,0,1,2,1,0,0,1,560,0,5,565,0
102,82,0,189,121,0,0,0,30,1,21,6,1,0,1,2,0,2,1,1,0,0,376,0,3,379,0
103,82A,2,205,154,1,0,1,41,0,16,1,0,0,1,1,0,2,0,0,0,1,426,0,4,430,0
104,83,0,367,221,3,1,1,63,0,39,12,0,0,2,0,0,0,0,0,1,0,710,0,6,716,0
105,84,2,260,202,2,0,0,70,1,41,12,0,0,1,0,0,4,0,4,1,0,600,0,9,609,0
106,85,0,328,150,0,0,1,76,0,56,5,0,0,0,0,0,0,0,1,0,0,617,0,7,624,0
107,86,1,321,238,4,1,0,72,0,25,5,0,0,3,0,0,3,0,2,0,7,682,0,7,689,0
108,87,1,247,142,2,0,0,23,0,11,9,0,0,0,2,1,1,0,1,1,0,441,0,2,443,0
109,88,0,329,203,0,0,1,65,1,12,7,0,0,0,0,0,1,0,2,0,0,621,0,9,630,0
110,89,4,340,134,0,0,0,30,1,9,2,0,1,1,0,0,1,0,1,1,0,525,0,2,527,0
111,90,1,258,159,1,0,0,29,0,6,1,0,0,0,0,1,1,0,2,0,0,459,0,2,461,0
112,91,1,277,223,3,1,0,79,0,29,9,0,0,0,1,0,1,0,0,0,0,624,0,7,631,0
113,92,1,257,157,2,2,1,16,1,6,5,0,0,1,1,1,1,1,0,1,0,454,0,4,458,0
114,93,0,108,91,0,0,0,20,0,3,1,0,0,0,1,0,1,0,0,0,0,225,0,2,227,0
115,94,0,198,112,1,0,0,10,0,6,9,0,0,6,1,0,1,0,0,0,0,344,0,1,345,0
116,94A,1,254,214,1,0,0,10,1,11,2,0,0,0,1,0,0,0,1,0,0,496,0,1,497,0
117,95,3,247,177,2,1,1,19,0,33,8,0,0,1,1,0,0,0,1,1,0,495,0,5,500,0
118,96,2,330,244,4,0,0,29,0,25,7,1,0,0,0,0,0,0,6,1,1,650,0,4,654,0
119,97,0,242,221,1,0,0,31,0,37,9,0,1,0,0,1,0,0,0,0,1,544,0,3,547,0
120,98,1,235,248,3,0,1,48,0,30,8,0,0,0,1,2,1,0,1,0,0,579,0,7,586,0
121,99,0,115,131,0,0,0,37,0,31,5,0,1,1,0,0,0,0,0,0,0,321,0,5,326,0
122,100,0,177,209,1,1,0,34,2,30,9,0,0,0,1,0,0,0,0,0,0,464,0,2,466,0
123,101,3,203,242,1,1,0,31,0,33,10,0,0,1,2,0,0,0,0,0,0,527,0,6,533,0
124,102,0,157,182,0,0,0,26,1,4,5,0,0,0,0,0,0,0,1,2,0,378,0,5,383,0
125,102A,1,109,200,0,0,0,29,0,9,3,1,2,0,0,0,0,0,0,0,0,354,0,3,357,0
126,103,1,142,219,1,0,0,37,1,17,10,0,1,0,0,1,0,0,0,0,0,430,0,3,433,0
127,103A,0,141,189,1,0,1,62,0,20,5,0,0,0,0,0,1,1,3,0,1,425,0,8,433,0
128,104,1,194,219,1,0,0,45,1,23,9,1,1,1,1,1,2,0,1,1,1,503,0,1,504,0
129,104A,1,125,173,1,0,0,33,0,30,8,1,0,0,0,0,1,0,0,0,0,373,0,4,377,0
130,105,1,142,140,0,0,0,21,1,22,12,1,0,0,0,0,0,0,1,2,0,343,0,3,346,0
131,105A,2,232,159,0,1,0,53,0,26,9,0,1,0,0,0,0,1,1,1,0,486,0,5,491,0
132,106,0,126,147,0,2,0,36,0,17,3,0,0,1,1,0,0,0,1,1,0,335,0,8,343,0
133,106A,1,179,168,4,0,1,31,3,26,15,0,2,0,2,0,0,0,0,1,0,433,0,3,436,0
134,107,1,123,123,1,0,0,25,0,14,6,0,0,0,0,0,0,0,0,0,0,293,0,1,294,0
135,107A,1,207,138,0,1,0,50,0,25,3,0,0,0,1,0,1,0,0,1,0,428,0,1,429,0
136,108,0,167,252,2,1,0,48,0,24,9,1,1,0,1,0,1,0,1,0,0,508,0,7,515,0
137,109,2,123,191,1,0,0,28,0,20,2,0,0,0,0,0,2,1,0,0,0,370,0,0,370,0
138,109A,0,157,137,0,0,1,47,1,35,14,0,0,1,3,0,3,0,0,0,0,399,0,4,403,0
139,110,0,112,181,1,0,0,21,0,19,3,0,0,0,0,0,0,0,0,0,0,337,0,4,341,0
140,110A,1,122,160,1,0,0,24,1,36,2,0,0,1,1,0,2,1,0,0,0,352,0,2,354,0
141,111,0,203,320,0,1,0,32,2,34,11,0,0,1,0,0,2,0,2,0,0,608,0,9,617,0
142,112,1,209,173,2,0,0,30,1,21,7,0,0,0,0,0,2,1,0,4,0,451,0,4,455,0
143,113,0,259,169,1,2,0,28,0,20,5,1,0,0,0,0,4,1,1,0,0,491,0,9,500,0
144,114,0,324,254,2,0,0,30,0,29,3,1,0,0,1,3,2,0,6,4,1,660,0,2,662,0
145,115,0,268,156,0,0,1,32,0,27,3,1,0,1,2,2,2,0,0,0,0,495,0,4,499,0
146,115A,1,201,173,1,0,0,31,0,40,4,0,0,0,1,1,0,0,2,0,0,455,0,4,459,0
147,116,1,253,192,1,1,0,27,0,48,2,0,0,1,0,1,0,0,1,1,0,529,0,8,537,0
148,116A,1,121,95,0,0,1,15,0,17,3,0,0,0,1,0,0,0,1,0,0,255,0,4,259,0
149,117,1,270,198,1,1,0,38,0,32,4,0,0,0,2,0,2,1,0,0,0,550,0,3,553,0
150,118,1,224,131,0,0,1,38,0,23,4,0,0,0,1,0,0,0,2,0,5,430,0,1,431,0
151,118A,1,303,130,4,0,0,59,0,9,6,0,0,0,0,0,3,0,3,1,5,524,0,2,526,0
152,119,0,244,154,2,0,0,45,0,32,6,0,0,1,0,0,0,1,1,0,0,486,0,6,492,0
153,120,1,225,243,0,0,0,43,0,40,2,0,0,0,0,0,0,0,0,0,0,554,0,12,566,0
154,121,1,73,67,0,0,0,14,0,14,3,0,0,0,0,0,0,0,0,0,0,172,0,2,174,0
155,122,0,140,327,1,0,0,26,0,17,10,0,1,2,2,0,2,1,1,1,4,535,0,5,540,0
156,123,1,115,239,2,0,0,31,0,26,0,0,0,0,0,0,2,0,0,0,0,416,0,7,423,0
157,124,0,209,112,1,0,0,23,1,14,3,0,0,1,0,1,1,0,0,0,0,366,0,5,371,0
158,124A,1,234,183,0,0,0,30,2,17,3,0,1,1,0,0,0,1,1,1,3,478,0,4,482,0
159,125,0,220,156,1,0,1,46,0,16,2,0,0,2,0,0,2,0,0,0,1,447,0,2,449,0
160,126,4,361,226,0,2,0,61,0,44,3,0,0,0,0,2,3,0,1,0,0,707,0,1,708,0
161,127,2,214,128,1,1,0,32,2,19,4,0,0,0,1,0,1,1,3,0,0,409,0,7,416,0
162,127A,1,149,123,0,1,0,41,3,12,3,0,0,0,0,0,0,0,2,3,0,338,0,0,338,0
163,128,0,221,117,1,1,0,21,0,14,3,0,1,0,0,0,2,0,1,0,0,382,0,5,387,0
164,128A,2,196,115,0,1,1,36,4,19,7,0,0,2,1,0,3,0,2,0,0,389,0,5,394,0
165,129,0,229,91,0,2,0,14,0,9,2,0,0,0,0,0,1,0,1,0,1,350,0,3,353,0
166,129A,0,112,175,0,1,0,14,0,10,0,0,0,1,0,1,1,0,0,1,0,316,0,1,317,0
167,130,1,153,119,0,0,0,26,0,16,2,0,0,1,0,0,0,0,0,0,0,318,0,1,319,0
168,130A,0,117,207,3,1,1,35,0,11,2,0,0,0,0,0,1,0,4,0,0,382,0,2,384,0
169,131,0,269,123,0,0,0,14,0,16,1,1,1,0,1,0,2,0,1,0,0,429,0,1,430,0
170,131A,0,193,111,1,0,0,38,0,11,3,1,1,1,0,0,0,0,1,0,0,361,0,6,367,0
171,132,0,272,126,0,0,0,46,0,10,4,0,0,0,1,0,0,0,0,0,0,459,0,2,461,0
172,133,3,268,165,1,0,0,49,0,36,28,0,0,1,3,0,4,0,2,0,0,560,0,10,570,0
173,133A,0,241,180,0,1,0,40,0,18,20,0,0,1,0,0,1,0,0,0,0,502,0,3,505,0
174,134,1,257,212,1,0,0,50,0,29,7,0,0,0,1,1,2,0,0,1,0,562,0,5,567,0
175,135,0,379,214,0,1,1,46,0,35,4,0,0,0,0,1,1,0,3,1,0,686,0,4,690,0
176,136,1,225,150,0,0,0,14,0,13,7,0,1,1,1,2,3,1,1,1,0,421,0,2,423,0
177,136A,1,176,184,0,0,0,31,0,25,0,0,0,0,0,0,3,0,0,0,0,420,0,5,425,0
178,137,1,223,158,0,0,1,10,0,9,1,0,0,0,0,0,0,0,0,1,0,404,0,2,406,0
179,137A,1,140,156,1,1,0,36,0,25,5,0,0,0,0,0,1,1,0,0,0,367,0,4,371,0
180,138,0,183,135,1,0,0,29,0,51,3,0,0,0,0,1,1,0,0,0,0,404,0,7,411,0
181,138A,0,183,157,1,0,0,12,0,29,2,0,0,0,0,0,0,0,0,0,0,384,0,2,386,0
182,139,0,149,159,2,0,0,28,0,14,2,0,0,1,0,0,1,1,0,0,1,358,0,7,365,0
183,140,0,176,186,2,0,0,36,0,30,3,0,0,0,1,0,3,0,0,1,0,438,0,7,445,0
184,140A,0,139,115,0,1,0,18,0,22,6,0,0,0,0,0,0,0,1,0,0,302,0,2,304,0
185,141,2,289,129,0,1,0,49,0,22,2,1,0,1,1,1,1,0,0,0,0,499,0,3,502,0
186,142,1,250,127,1,0,0,62,0,31,4,0,0,0,0,0,1,0,0,0,1,478,0,8,486,0
187,143,2,369,118,1,2,0,32,0,49,4,0,0,0,0,0,1,1,1,0,0,580,0,4,584,0
188,144,2,329,156,0,0,0,32,1,12,2,0,0,0,0,1,1,1,0,1,1,539,0,4,543,0
189,145,1,269,148,2,0,0,12,0,15,4,0,0,0,0,0,0,0,0,0,0,451,0,2,453,0
190,145A,1,311,124,1,0,1,25,0,20,10,0,0,0,1,0,1,0,0,0,0,495,0,4,499,0
191,146,0,238,129,2,0,0,20,0,10,0,0,0,0,0,0,0,0,0,1,0,400,0,0,400,0
192,147,3,413,254,0,1,0,27,0,29,6,0,1,1,1,2,1,1,2,0,0,742,0,0,742,0
193,148,0,336,234,1,0,0,44,0,18,6,0,0,0,0,0,1,0,0,0,0,640,0,4,644,0
194,149,3,298,211,1,1,2,25,1,24,2,2,1,0,0,0,1,0,3,0,1,576,0,4,580,0
195,150,2,310,165,2,0,0,33,0,23,1,0,0,0,2,0,0,0,2,0,0,540,0,2,542,0
196,151,2,386,151,1,0,0,31,1,20,3,0,0,0,3,0,2,1,1,1,0,603,0,5,608,0
