Sl. No,Polling Station No,"M.S.M.ANANDAN,AIADMK","K. MUTHURATHINAM, DMK","A. MARIARAJ, ANTONY KIT","R.UMANATH,PISU","G. SHIVAKUMAR, DATPA KM","S. SUBRAMANIAN, NTK","K. THINAKARAN, KDA","G.MAYILSAMY,MNM","R. JOTHIMANI, AMMK","M.HAMEED,SHAHULIND","T.SARATHA,IND","A THANGARAJ, IND","R.THUYAMANI,IND","V. MARUTHASALAM, IND","M. MUTHURATHINAM, IND","L. MUTHURATHINAM, IND","K.MURUGESAN,IND","V.RAMESH,IND","M. VIJAYAKUMAR, IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
229,177A,3,203,98,1,1,0,27,0,18,3,0,0,1,1,1,3,1,2,0,0,363,0,2,365,0
230,178,3,208,126,5,4,0,45,0,22,1,0,0,0,1,0,0,0,0,0,1,416,0,4,420,0
231,179,1,162,97,0,7,1,52,0,9,0,0,1,0,0,0,3,2,1,0,0,336,0,1,337,0
232,179A,0,212,165,3,2,0,79,0,21,6,0,1,0,0,0,1,0,0,0,0,490,0,1,491,0
233,180,0,245,166,2,1,0,60,0,22,6,0,0,0,1,0,0,0,1,1,0,505,0,3,508,0
234,181,0,216,144,0,1,1,48,0,18,5,0,0,0,0,0,2,0,1,0,0,436,0,1,437,0
235,182,0,226,137,0,17,1,44,0,36,1,0,1,0,0,0,0,0,0,0,0,463,0,1,464,0
236,183,0,153,98,0,2,0,31,0,34,1,0,0,0,0,0,2,0,1,0,0,322,0,2,324,0
237,183A,1,267,164,0,4,0,41,0,61,1,0,0,0,0,0,2,0,1,2,0,544,0,5,549,0
238,184,1,220,104,0,2,0,24,1,47,3,0,0,0,0,0,0,0,0,0,0,402,0,3,405,0
239,185,1,298,169,2,0,0,35,0,84,5,0,1,0,2,0,0,0,2,0,0,599,0,12,611,0
240,186,0,224,125,1,2,0,64,0,49,5,0,0,0,0,1,1,0,0,0,0,472,0,7,479,0
241,187,1,107,82,5,0,0,18,0,48,1,0,1,0,0,0,0,0,1,0,0,264,0,0,264,0
242,187A,0,187,123,1,0,0,47,0,25,1,0,0,0,0,0,0,1,0,1,1,387,0,4,391,0
243,188,3,267,293,1,0,0,68,0,16,3,0,1,0,0,0,1,1,3,1,0,658,0,6,664,0
244,189,0,116,157,0,0,0,38,0,11,1,0,0,0,0,0,1,0,0,2,0,326,0,1,327,0
245,189A,1,118,125,1,1,0,30,0,13,3,0,0,0,1,0,2,0,0,0,0,295,0,2,297,0
246,190,2,136,94,2,1,0,28,1,15,4,0,1,0,0,0,1,0,0,0,0,285,0,3,288,0
247,190A,4,181,191,0,2,0,36,0,33,8,0,0,0,0,2,0,1,1,2,1,462,0,1,463,0
248,191,1,239,198,2,0,1,51,0,36,5,1,0,2,0,0,2,0,2,0,1,541,0,3,544,0
249,192,1,180,221,2,0,1,39,0,24,6,1,0,0,3,2,2,1,0,0,0,483,0,2,485,0
250,192A,0,104,91,0,0,0,22,0,19,1,0,0,0,0,0,2,0,0,1,0,240,0,1,241,0
251,193,0,448,199,2,0,0,53,0,48,19,0,0,0,0,1,2,1,1,0,0,774,0,1,775,0
252,194,2,473,162,4,0,0,30,0,32,10,0,0,3,0,0,0,0,0,0,0,716,0,4,720,0
253,195,0,94,494,2,0,0,26,0,15,12,0,0,1,0,0,1,0,0,0,0,645,0,4,649,0
254,196,3,98,414,2,0,0,27,0,13,10,0,0,0,1,0,1,0,1,0,0,570,0,2,572,0
255,197,1,100,480,3,0,0,49,0,18,10,0,0,0,1,1,5,0,0,2,0,670,0,2,672,0
256,198,0,49,257,0,0,1,24,0,6,5,0,0,0,0,0,1,1,0,0,0,344,0,2,346,0
257,198A,0,68,390,4,0,0,24,0,11,12,0,0,0,1,0,1,1,2,4,0,518,0,4,522,0
258,199,2,81,572,0,1,1,42,0,7,14,0,0,0,0,0,1,0,0,1,0,722,0,5,727,0
259,200,0,50,378,1,0,1,15,0,6,8,0,0,0,0,0,2,0,0,1,0,462,0,3,465,0
260,201,2,139,398,1,1,0,28,0,19,9,0,0,1,0,0,2,0,0,0,1,601,0,7,608,0
261,202,0,240,301,1,0,0,24,0,18,7,0,0,0,0,4,2,2,0,1,0,600,0,5,605,0
262,203,1,290,275,0,0,0,33,1,18,0,1,0,0,1,0,2,0,2,4,0,628,0,3,631,0
263,204,0,150,76,0,1,0,23,0,12,5,0,0,0,0,0,0,0,0,0,0,267,0,0,267,0
264,204A,0,195,214,2,0,0,33,1,19,7,0,0,0,2,0,1,2,4,1,0,481,0,0,481,0
265,205,3,348,212,1,2,1,35,0,31,18,0,0,0,0,3,3,0,1,2,1,661,0,3,664,0
266,206,1,322,270,0,0,1,51,0,34,3,1,0,0,2,10,1,1,0,1,0,698,0,6,704,0
267,207,3,368,184,0,0,1,50,0,39,3,0,0,0,0,0,0,2,2,0,1,653,0,5,658,0
268,208,1,385,194,0,2,1,68,0,44,10,0,0,0,2,0,0,0,0,0,0,707,0,4,711,0
269,209,1,338,195,4,1,0,31,1,20,2,0,0,0,0,4,2,0,0,0,0,599,0,1,600,0
270,210,0,152,345,0,2,1,31,0,8,12,0,0,0,1,0,2,0,0,3,1,558,0,2,560,0
271,210A,2,189,122,1,0,0,9,0,7,1,0,0,0,0,0,1,0,2,3,0,337,0,3,340,0
272,211,1,395,300,0,0,0,54,0,19,13,0,0,0,0,3,1,2,1,1,0,790,0,4,794,0
273,212,1,205,166,1,0,0,23,0,18,1,0,0,0,1,0,1,0,0,0,0,417,0,0,417,0
274,212A,0,206,167,2,0,0,31,0,17,2,0,1,0,0,0,0,2,0,2,0,430,0,3,433,0
275,213,0,225,116,1,2,0,19,0,17,5,0,1,0,0,1,2,0,2,1,0,392,0,1,393,0
276,213A,0,209,128,1,0,0,37,0,30,18,0,0,0,0,0,1,0,0,0,0,424,0,2,426,0
277,214,0,199,171,1,0,1,42,0,20,10,0,0,0,0,1,0,0,2,1,1,449,0,1,450,0
278,215,0,352,173,0,1,0,53,0,27,7,0,0,0,0,2,2,0,4,0,1,622,0,5,627,0
279,216,0,180,168,0,0,1,43,1,21,33,0,0,0,0,2,0,0,1,0,0,450,0,3,453,0
280,216A,4,176,201,2,0,1,74,0,25,9,2,0,0,0,0,1,0,2,0,0,497,0,2,499,0
281,217,2,234,199,0,1,1,83,0,32,10,0,0,0,1,0,0,0,1,0,0,564,0,3,567,0
282,218,0,176,169,0,0,1,24,0,30,9,0,0,0,0,0,1,0,1,1,0,412,0,1,413,0
283,218A,0,202,174,1,0,0,24,0,17,3,0,0,0,1,0,1,0,0,0,0,423,0,3,426,0
284,219,2,322,258,0,2,1,36,0,32,7,0,0,0,0,4,1,1,2,0,0,668,0,1,669,0
285,220,0,222,150,2,0,0,36,0,7,4,0,0,0,0,1,1,0,1,0,0,424,0,1,425,0
286,220A,0,238,146,0,2,1,50,0,30,7,0,0,0,2,1,1,0,1,1,0,480,0,6,486,0
287,221,2,217,154,0,3,1,52,0,17,2,0,1,0,0,0,0,0,1,3,1,454,0,7,461,0
288,221A,0,276,127,2,0,0,42,0,26,7,1,0,0,0,2,1,0,2,1,0,487,0,3,490,0
289,222,1,216,142,0,4,0,46,1,21,10,0,0,1,0,0,3,1,0,0,0,446,0,1,447,0
290,223,2,212,165,0,2,0,48,1,36,4,0,0,0,0,0,0,0,2,1,0,473,0,4,477,0
291,223A,1,272,147,1,1,1,46,0,17,5,2,0,0,0,2,3,0,0,0,1,499,0,1,500,0
292,224,1,263,134,1,0,0,55,0,28,5,1,0,0,0,1,1,0,0,0,0,490,0,3,493,0
293,224A,3,225,160,1,2,0,43,0,26,7,0,0,0,0,0,0,0,0,0,0,467,0,5,472,0
294,225,2,223,106,0,0,0,36,1,13,10,0,0,0,1,0,1,1,0,2,0,396,0,0,396,0
295,226,5,338,201,1,0,1,85,0,34,9,0,1,0,0,1,4,1,2,0,0,683,0,3,686,0
296,227,0,145,128,0,0,2,36,0,17,9,0,0,0,0,2,0,1,0,0,0,340,0,1,341,0
297,227A,2,220,115,2,0,1,31,0,31,8,0,0,0,0,0,0,0,3,0,0,413,0,3,416,0
298,228,0,217,158,0,0,0,29,0,27,11,0,1,0,0,1,1,0,1,0,0,446,0,2,448,0
299,228A,0,222,136,1,1,0,51,0,34,9,0,0,0,1,0,2,0,2,0,0,459,0,2,461,0
300,229,0,177,104,0,0,0,36,0,14,3,0,0,0,0,0,0,0,1,0,0,335,0,2,337,0
301,229A,0,165,109,1,0,2,67,0,27,12,0,0,0,3,0,2,0,1,0,1,390,0,3,393,0
302,230,1,288,221,3,3,1,61,0,36,12,0,0,0,0,0,1,0,0,3,0,630,0,7,637,0
303,231,0,109,77,0,0,0,22,0,14,1,0,0,0,0,1,0,0,0,0,0,224,0,0,224,0
304,231A,2,319,233,2,2,0,87,0,34,18,0,1,1,0,2,2,0,0,0,0,703,0,2,705,0
305,232,0,173,142,1,0,1,38,0,16,2,0,0,0,0,0,0,0,0,0,0,373,0,3,376,0
306,232A,1,216,143,0,2,0,50,0,14,4,1,0,0,0,1,3,0,1,0,0,436,0,4,440,0
307,233,1,167,131,0,2,0,38,0,11,8,0,0,0,1,1,3,0,1,0,0,364,0,2,366,0
308,233A,1,156,91,1,1,0,46,0,8,4,1,0,0,1,0,0,0,1,0,0,311,0,3,314,0
309,234,1,242,193,1,2,0,64,0,18,11,1,1,0,1,0,0,0,2,3,0,540,0,4,544,0
310,235,1,171,79,0,0,0,29,0,15,3,0,0,1,0,0,0,0,0,0,0,299,0,0,299,0
311,235A,1,168,146,0,0,0,42,0,24,6,0,0,0,0,0,0,0,0,0,0,387,0,4,391,0
312,236,1,276,180,1,0,0,57,0,17,5,0,0,1,0,2,2,1,3,2,0,548,0,6,554,0
313,237,1,141,140,1,0,1,21,0,12,5,0,0,0,1,0,2,0,2,0,0,327,0,0,327,0
314,237A,0,142,97,1,0,0,19,0,15,1,0,0,0,0,1,1,0,1,0,0,278,0,3,281,0
315,238,0,167,117,2,2,0,71,0,12,6,0,0,0,0,0,0,0,3,0,0,380,0,2,382,0
316,238A,1,148,123,0,0,0,46,0,33,4,0,0,0,0,0,2,0,0,0,0,357,0,1,358,0
317,239,1,214,185,3,1,5,59,0,20,9,0,1,0,1,0,1,0,0,1,0,501,0,9,510,0
318,240,2,250,178,1,0,1,83,0,28,7,0,0,0,0,0,0,0,2,0,1,553,0,3,556,0
319,241,0,145,114,1,1,0,27,0,26,1,0,1,0,1,0,0,0,1,0,1,319,0,0,319,0
320,241A,1,155,133,0,0,2,47,0,27,1,0,0,0,0,1,1,0,1,0,0,369,0,3,372,0
321,242,0,248,226,4,0,2,66,2,35,3,0,0,0,2,2,2,4,1,1,0,598,0,7,605,0
322,243,0,181,199,1,0,0,70,0,34,8,0,0,0,0,0,1,0,2,0,0,496,0,6,502,0
323,244,2,158,174,0,0,0,53,1,26,6,0,1,0,1,0,2,0,0,0,0,424,0,1,425,0
324,245,1,229,198,0,0,1,68,0,15,5,0,2,0,0,0,1,0,0,0,0,520,0,4,524,0
325,246,0,141,125,0,0,1,44,0,15,5,0,1,0,0,0,2,0,0,0,1,335,0,1,336,0
326,246A,0,112,122,0,0,2,52,0,18,6,0,0,0,0,0,0,0,1,0,0,313,0,2,315,0
327,247,0,161,103,2,1,0,43,0,22,5,0,1,0,0,1,1,0,0,0,0,340,0,3,343,0
328,247A,0,146,174,1,0,1,60,0,8,4,0,0,0,1,0,2,1,1,0,0,399,0,1,400,0
329,248,0,118,163,0,0,1,23,0,13,2,0,0,0,1,0,2,0,0,0,0,323,0,2,325,0
330,248A,2,177,133,0,0,1,41,0,16,4,0,0,1,0,1,0,1,4,0,0,381,0,1,382,0
331,249,0,290,185,0,0,0,80,0,45,8,0,0,0,0,0,1,0,0,0,0,609,0,1,610,0
332,250,1,141,145,0,1,0,38,1,12,11,0,0,0,0,1,0,1,1,0,0,353,0,1,354,0
333,250A,0,141,111,3,0,0,59,0,24,3,0,0,0,0,0,1,0,1,0,0,343,0,2,345,0
334,251,0,248,212,2,0,0,73,0,41,4,0,0,0,0,0,0,0,1,1,0,582,0,2,584,0
335,252,0,140,105,1,1,0,45,1,18,4,0,0,0,1,0,0,0,0,0,0,316,0,1,317,0
336,252A,0,137,89,0,1,0,31,0,17,9,0,0,0,0,0,0,0,1,0,1,286,0,1,287,0
337,253,0,179,169,1,0,0,46,0,24,6,0,0,0,1,0,2,0,0,0,0,428,0,3,431,0
338,254,1,265,200,2,2,3,90,0,45,5,0,0,1,1,0,2,1,2,2,12,634,0,6,640,0
339,255,2,206,132,1,0,0,41,0,25,1,0,2,1,1,0,1,1,0,1,1,416,0,3,419,0
340,255A,0,196,162,0,2,0,82,0,35,8,0,0,0,1,1,1,0,3,1,1,493,0,5,498,0
341,256,0,215,230,2,1,0,78,0,47,4,0,0,0,0,1,2,1,0,1,0,582,0,3,585,0
342,257,3,161,132,1,0,1,45,0,24,5,0,0,0,0,1,2,0,0,0,1,376,0,0,376,0
343,257A,1,138,144,2,1,0,61,0,30,3,0,0,0,0,0,1,1,1,1,1,385,0,5,390,0
344,258,0,205,168,1,0,0,29,0,11,1,0,0,0,0,0,0,0,0,1,1,417,0,2,419,0
345,259,1,118,116,0,1,0,31,0,21,6,0,0,0,0,0,0,0,1,0,0,295,0,2,297,0
346,259A,2,155,126,0,0,0,47,0,32,5,0,1,0,1,0,1,0,1,1,0,372,0,8,380,0
347,260,0,123,133,1,1,0,43,1,20,3,0,1,0,0,0,2,0,2,0,0,330,0,3,333,0
348,260A,1,161,123,0,1,0,35,0,9,2,0,0,0,0,0,1,0,0,0,0,333,0,7,340,0
349,261,1,170,169,5,1,1,55,0,29,1,0,0,0,0,1,3,0,0,1,2,439,0,1,440,0
350,261A,0,172,156,1,0,0,50,0,23,7,0,0,0,0,0,1,1,1,0,0,412,0,6,418,0
351,262,0,168,149,2,0,0,42,0,14,6,0,0,0,1,0,3,1,0,0,1,387,0,1,388,0
352,262A,2,95,76,0,0,0,25,0,18,5,0,0,0,1,0,2,0,0,0,0,224,0,2,226,0
353,263,1,144,111,0,0,0,22,0,16,0,0,0,0,3,1,1,0,1,0,1,301,0,5,306,0
354,263A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,264,0,270,221,0,2,0,77,0,28,8,0,0,0,0,1,0,0,0,0,0,607,0,1,608,0
356,265,2,223,159,0,0,0,54,1,10,3,0,1,0,0,1,2,0,1,0,0,457,0,0,457,0
357,265A,0,204,161,0,0,0,43,0,14,1,0,0,1,1,0,1,0,0,0,0,426,0,5,431,0
358,266,1,199,145,0,1,0,36,0,21,3,0,0,1,0,1,1,0,2,0,0,411,0,4,415,0
359,266A,1,213,155,1,1,0,47,0,16,1,0,0,1,0,0,4,0,2,0,0,442,0,3,445,0
360,267,1,139,134,2,0,0,38,0,22,2,0,0,1,0,0,3,0,1,1,1,345,0,2,347,0
361,267A,2,194,165,0,2,0,54,1,47,7,0,0,0,1,0,4,1,1,2,0,481,0,1,482,0
362,268,1,204,184,3,2,0,43,0,18,5,1,1,1,1,1,2,0,2,1,1,471,0,4,475,0
363,268A,1,143,107,1,1,0,40,0,16,8,0,0,0,0,0,0,1,0,0,0,318,0,2,320,0
364,269,0,120,78,0,1,0,25,1,17,7,0,0,0,0,0,0,0,0,2,0,251,0,3,254,0
365,269A,0,189,174,2,1,0,36,0,24,8,0,0,0,1,0,0,1,0,0,0,436,0,4,440,0
366,270,1,35,22,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,72,0,1,73,0
367,270A,1,196,173,2,0,0,43,1,22,14,0,0,0,0,0,2,0,0,0,0,454,0,5,459,0
368,271,0,155,160,1,0,0,45,1,30,5,1,0,0,1,0,0,1,0,0,0,400,0,3,403,0
369,271A,0,112,168,3,0,0,29,0,22,6,0,0,0,0,0,1,0,0,0,0,341,0,1,342,0
370,272,2,241,187,1,0,0,60,0,31,10,0,1,1,1,0,3,0,3,0,0,541,0,6,547,0
371,273,0,182,195,0,2,0,43,0,30,8,0,1,0,0,0,1,0,0,0,0,462,0,0,462,0
372,274,0,217,130,0,0,0,37,0,14,1,0,0,0,0,0,2,0,0,0,0,401,0,7,408,0
373,274A,3,209,152,1,0,1,53,0,24,2,0,0,0,0,0,0,0,0,1,0,446,0,2,448,0
374,275,1,152,110,0,0,0,31,0,30,4,0,0,0,1,1,1,0,0,0,0,331,0,1,332,0
375,275A,2,183,133,1,0,1,35,0,12,0,1,1,0,0,0,2,0,0,0,0,371,0,4,375,0
376,276,1,158,142,0,0,0,44,0,22,3,0,0,0,0,0,1,0,2,0,0,373,0,3,376,0
377,276A,1,161,155,0,0,1,43,0,23,0,0,0,0,1,0,0,0,2,0,1,388,0,2,390,0
378,277,1,223,156,0,1,0,53,0,31,2,0,1,0,2,0,3,0,0,0,0,473,0,4,477,0
379,277A,0,186,147,3,1,0,46,0,48,8,0,0,0,1,0,0,0,1,1,0,442,0,3,445,0
380,278,0,137,117,0,0,0,38,0,26,3,0,0,0,0,0,1,0,1,0,0,323,0,6,329,0
381,278A,0,289,194,2,0,0,75,1,56,3,0,1,0,5,0,2,0,1,0,3,632,0,5,637,0
382,279,2,127,114,1,1,0,31,1,17,9,0,0,0,0,0,0,0,0,0,0,303,0,3,306,0
383,279A,0,152,117,1,1,0,48,1,14,10,0,0,1,0,1,2,0,3,0,0,351,0,8,359,0
384,280,1,154,104,0,0,0,56,1,40,1,0,0,0,3,0,1,0,0,1,0,362,0,2,364,0
385,280A,1,176,147,0,1,1,48,0,18,3,0,0,0,0,0,2,0,0,0,0,397,0,4,401,0
386,281,0,302,178,1,0,1,90,0,37,4,0,2,0,1,1,4,2,1,0,0,624,0,6,630,0
387,282,0,183,121,0,0,1,39,1,30,8,0,1,0,0,0,1,0,0,0,0,385,0,4,389,0
388,282A,1,151,148,1,0,0,48,0,16,6,0,0,0,0,0,0,0,2,0,0,373,0,3,376,0
389,283,2,269,196,1,0,1,74,1,30,8,1,1,0,0,2,2,1,0,0,0,589,0,3,592,0
390,284,5,328,194,2,0,0,69,0,26,3,0,1,0,1,2,1,0,0,1,0,633,0,5,638,0
391,285,0,315,234,0,1,1,48,0,20,4,1,0,0,0,1,3,1,1,0,3,633,0,2,635,0
392,286,0,338,194,1,0,0,78,0,32,1,0,0,0,1,2,4,1,2,2,0,656,0,3,659,0
393,287,1,304,199,1,1,0,71,0,28,3,0,0,0,1,0,1,0,2,1,0,613,0,5,618,0
394,288,2,182,175,0,0,0,37,1,28,5,0,0,0,0,0,0,0,2,0,0,432,0,2,434,0
395,288A,1,212,170,3,0,0,27,0,32,3,0,0,0,0,0,0,1,1,0,1,451,0,6,457,0
396,289,0,210,140,1,1,0,43,0,11,2,0,0,0,1,2,1,0,1,0,0,413,0,2,415,0
397,290,1,219,102,0,1,0,41,0,19,0,0,0,0,1,1,0,1,1,0,0,387,0,3,390,0
398,290A,0,223,123,4,0,0,31,0,27,1,0,0,0,1,0,2,0,1,0,1,414,0,2,416,0
399,291,1,181,103,1,0,0,19,0,24,3,0,0,0,1,0,2,0,1,0,0,336,0,2,338,0
400,291A,1,186,118,1,0,0,26,1,30,2,0,0,0,0,0,0,0,0,0,0,365,0,3,368,0
401,292,1,151,183,0,0,0,31,0,28,5,0,0,0,1,0,0,1,1,0,0,402,0,6,408,0
402,292A,1,165,138,2,0,1,36,0,25,4,0,0,0,1,3,1,1,1,0,0,379,0,7,386,0
403,293,0,162,141,0,1,0,35,0,13,4,0,0,0,0,0,1,1,0,0,0,358,0,3,361,0
404,293A,2,132,138,2,0,0,31,0,25,7,0,0,0,0,1,1,1,1,0,0,341,0,4,345,0
405,294,0,185,100,0,0,0,38,1,10,5,0,1,0,2,1,0,0,3,0,0,346,0,4,350,0
406,295,1,132,132,0,0,0,24,0,14,10,0,0,0,0,1,1,0,1,0,0,316,0,0,316,0
407,295A,2,152,148,0,1,1,37,0,13,6,0,0,0,0,0,0,1,0,0,1,362,0,5,367,0
408,296,4,247,285,1,0,1,78,0,24,16,0,0,1,2,3,1,0,1,0,0,664,0,6,670,0
409,297,0,142,198,0,2,0,29,0,9,7,0,0,0,1,1,1,1,2,2,0,395,0,0,395,0
410,297A,0,113,165,2,1,1,52,0,23,33,0,0,0,1,0,1,1,0,0,1,394,0,4,398,0
411,298,0,160,140,0,0,0,34,0,14,12,0,0,0,0,0,0,0,2,1,0,363,0,3,366,0
412,298A,0,140,203,1,0,0,48,0,11,8,1,0,0,1,0,1,0,0,0,0,414,0,3,417,0
413,299,0,170,101,1,1,1,15,0,7,2,0,0,2,1,0,0,0,1,0,5,307,0,0,307,0
414,299A,1,276,185,0,0,0,32,0,6,1,1,0,2,2,1,2,0,2,0,2,513,0,2,515,0
415,300,0,206,243,1,0,0,47,0,27,6,0,0,0,1,1,0,2,1,1,0,536,0,3,539,0
416,301,0,259,219,0,2,0,54,0,19,9,0,0,0,0,0,0,0,0,0,1,563,0,7,570,0
417,302,0,109,136,0,0,0,19,0,8,5,0,0,0,0,0,0,0,0,1,0,278,0,2,280,0
418,302A,0,171,278,2,0,1,84,0,40,7,0,0,0,0,1,0,0,3,1,0,588,0,2,590,0
419,303,1,110,190,0,0,1,40,0,19,6,0,0,0,0,0,0,0,1,1,0,369,0,1,370,0
420,303A,1,109,229,0,0,0,52,0,15,11,0,0,0,0,1,1,1,0,3,0,423,0,0,423,0
421,304,2,347,230,1,0,0,50,0,23,3,0,0,5,1,1,1,0,2,0,0,666,0,3,669,0
422,305,0,158,90,0,0,0,18,0,10,7,0,0,1,0,0,0,0,0,0,0,284,0,1,285,0
423,305A,2,259,142,0,1,0,47,1,17,17,0,0,0,0,0,1,0,0,0,6,493,0,2,495,0
424,306,0,199,255,0,0,0,56,0,6,0,0,0,0,2,0,1,0,1,0,2,522,0,1,523,0
425,307,0,170,208,0,0,0,20,0,4,5,0,1,5,1,1,1,0,0,1,0,417,0,1,418,0
426,308,0,150,150,0,0,0,10,1,5,2,1,0,1,1,0,0,0,1,1,0,323,0,1,324,0
427,309,2,251,153,0,0,0,8,0,8,1,0,1,1,2,0,1,1,1,1,0,431,0,2,433,0
428,309A,0,156,177,0,0,0,33,1,3,0,0,0,2,2,0,1,0,0,1,0,376,0,0,376,0
429,310,1,391,217,1,1,0,22,0,16,4,0,1,1,4,0,3,1,1,1,0,665,0,5,670,0
430,311,1,220,197,1,0,0,10,0,3,1,1,0,0,1,1,1,1,1,0,0,439,0,0,439,0
431,311A,0,243,164,2,0,0,11,0,2,3,0,0,0,0,0,0,0,4,0,0,429,0,2,431,0
432,312,0,183,126,0,1,1,30,1,17,7,0,0,0,0,1,1,1,0,1,3,373,0,3,376,0
433,313,2,239,173,1,1,1,25,1,11,3,1,0,0,1,1,0,0,1,0,7,468,0,4,472,0
434,314,2,207,175,2,0,0,52,0,30,3,0,0,2,2,0,1,1,1,0,0,478,0,3,481,0
435,315,2,192,144,0,0,0,39,0,31,3,0,0,2,0,1,0,0,1,0,0,415,0,1,416,0
436,316,0,134,129,0,0,0,27,0,21,6,0,0,1,0,0,1,0,0,0,1,320,0,2,322,0
437,317,0,373,240,0,0,0,43,1,24,1,0,0,0,0,0,2,0,1,0,0,685,0,2,687,0
438,318,1,186,145,4,0,0,22,0,7,3,0,0,0,0,0,0,0,0,0,0,368,0,0,368,0
439,319,0,159,138,0,1,0,17,0,19,1,1,0,0,2,0,0,1,0,0,0,339,0,4,343,0
440,320,0,190,137,0,0,0,17,0,11,3,0,0,0,3,1,1,0,1,1,6,371,0,1,372,0
441,321,0,235,131,0,0,0,11,0,11,0,0,0,1,0,1,1,1,2,0,0,394,0,5,399,0
442,321A,1,226,149,0,0,0,24,1,9,1,0,1,0,0,0,0,0,0,0,0,412,0,3,415,0
443,322,2,178,177,0,0,0,36,0,20,3,0,0,0,1,0,1,0,4,0,0,422,0,11,433,0
444,322A,0,196,154,0,0,0,39,0,18,8,0,0,0,0,0,1,0,0,0,0,416,0,4,420,0
445,323,1,199,183,0,0,0,29,0,34,0,0,0,0,0,0,0,1,0,1,1,449,0,2,451,0
446,324,3,124,72,1,0,0,15,0,5,1,0,0,0,2,0,0,1,3,0,0,227,0,2,229,0
447,324A,2,197,197,1,1,1,31,1,6,1,0,0,0,0,0,2,0,4,4,1,449,0,4,453,0
448,325,0,310,130,1,1,0,27,0,9,2,0,0,0,4,2,1,0,0,0,0,487,0,4,491,0
449,326,4,417,291,3,0,0,31,0,7,3,0,0,2,0,2,2,1,5,2,0,770,0,2,772,0
450,327,0,282,148,10,0,0,27,0,3,1,0,0,0,1,0,1,0,0,0,0,473,0,8,481,0
451,327A,0,214,144,2,0,0,16,0,9,4,0,0,0,0,0,3,0,0,0,0,392,0,1,393,0
452,328,2,342,229,1,0,0,9,0,7,2,0,0,0,1,1,0,1,0,0,1,596,0,1,597,0
453,329,2,220,161,0,0,0,24,0,9,3,0,0,2,1,4,5,1,1,0,0,433,0,1,434,0
454,329A,0,249,169,0,0,0,47,0,7,0,0,0,3,1,0,5,0,0,1,0,482,0,1,483,0
455,330,2,185,135,0,0,0,16,1,5,3,0,2,0,7,1,0,0,0,0,0,357,0,2,359,0
456,330A,3,206,160,0,1,0,16,0,5,2,1,0,1,4,0,3,0,1,0,0,403,0,3,406,0
457,331,0,265,117,0,0,0,36,3,20,11,0,0,1,5,0,0,0,0,1,0,459,0,3,462,0
458,332,0,274,135,2,0,0,31,0,8,0,0,0,0,3,0,0,0,1,0,0,454,0,5,459,0
459,332A,1,264,154,2,0,0,21,0,1,5,0,0,1,2,0,0,0,1,2,0,454,0,0,454,0
460,333,0,320,121,0,0,0,13,0,5,6,0,0,1,23,2,3,0,0,0,0,494,0,2,496,0
461,334,1,253,292,1,0,1,47,0,18,2,0,0,1,0,0,2,0,0,0,0,618,0,1,619,0
462,335,3,228,218,1,1,0,25,0,3,1,0,0,0,1,0,2,0,1,0,0,484,0,1,485,0
463,336,1,390,190,0,0,0,25,0,13,2,0,1,0,2,0,2,0,0,1,1,628,0,3,631,0
464,337,0,257,142,1,0,1,35,1,4,1,0,0,0,1,1,2,0,4,2,0,452,0,4,456,0
465,338,2,303,207,0,0,1,30,0,10,1,0,0,1,1,2,3,2,1,4,0,568,0,2,570,0
466,339,1,236,210,1,0,0,31,2,12,3,1,0,0,1,0,0,1,1,0,2,502,0,2,504,0
467,340,3,385,182,2,0,1,29,0,8,5,0,0,1,0,0,3,0,1,0,0,620,0,4,624,0
468,341,0,182,77,1,0,0,19,0,8,1,0,0,0,0,0,2,0,1,1,0,292,0,4,296,0
469,342,1,423,241,3,0,0,44,0,12,3,1,1,0,1,1,2,0,2,2,0,737,0,7,744,0
470,343,4,226,146,0,0,0,33,0,12,2,0,0,0,0,2,2,1,1,0,0,429,0,1,430,0
471,343A,2,213,139,0,1,0,42,0,7,3,0,0,0,4,0,0,0,0,0,0,411,0,1,412,0
472,344,1,226,129,0,0,0,43,0,9,3,0,0,0,1,0,4,1,2,0,0,419,0,2,421,0
473,345,2,253,148,1,1,0,10,0,0,2,0,0,0,2,0,2,0,0,0,0,421,0,0,421,0
474,346,2,320,251,2,1,2,36,0,9,5,0,2,0,2,3,6,0,2,0,1,644,0,1,645,0
475,347,1,292,206,3,0,0,71,0,20,1,0,2,0,0,3,1,0,2,1,0,603,0,4,607,0
476,348,1,245,193,3,0,0,41,0,29,3,0,0,0,0,0,0,0,0,1,0,516,0,4,520,0
477,349,1,324,325,1,1,0,76,1,29,4,0,0,3,1,0,3,0,0,0,0,769,0,6,775,0
478,350,3,338,314,0,0,0,62,0,17,7,1,0,2,3,2,0,0,1,0,0,750,0,4,754,0
479,351,2,295,215,1,0,0,37,0,3,1,2,0,0,1,3,1,0,0,0,0,561,0,6,567,0
