Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
269,169(A),119,6,110,0,0,5,47,20,0,0,0,0,0,0,1,1,309,0,309,0
270,170,162,6,194,2,1,5,31,60,0,0,0,0,0,0,0,6,467,0,467,0
271,170(A),137,0,222,0,0,5,35,32,0,0,0,0,0,2,1,4,438,0,438,0
272,171,137,7,250,1,0,6,42,49,0,0,0,0,0,0,1,1,494,0,494,0
273,172,152,1,126,1,0,8,29,34,0,0,0,1,0,1,1,3,357,0,357,0
274,173,176,7,139,0,0,5,45,49,0,0,0,0,0,0,0,1,422,0,422,0
275,173(A),118,4,192,0,0,3,38,17,0,0,0,0,0,3,0,3,378,0,378,0
276,174,211,5,189,4,0,9,38,52,0,0,1,0,1,1,0,1,512,0,512,0
277,175,189,10,341,1,0,15,58,56,0,0,0,0,0,1,2,5,678,0,678,0
278,176,167,3,189,1,0,5,29,42,1,0,0,0,0,0,0,6,443,0,443,0
279,176(A),166,2,260,0,0,6,26,23,0,0,0,0,0,4,0,3,490,0,490,0
280,177,173,13,191,0,0,4,28,55,1,0,0,0,0,0,0,3,468,0,468,0
281,177(A),150,6,283,2,0,5,22,37,0,0,0,0,1,1,0,4,511,0,511,0
282,178,181,9,78,0,0,0,17,30,0,0,0,0,0,0,0,3,318,0,318,0
283,178(A),180,4,92,2,0,3,14,27,0,0,0,0,0,0,0,2,324,0,324,0
284,179,154,4,124,0,0,2,27,34,0,0,0,0,1,0,0,8,354,0,354,1
285,179(A),142,2,153,0,0,5,23,22,0,0,0,0,0,0,0,3,350,0,350,0
286,180,196,4,167,0,0,13,72,52,0,0,0,0,0,0,2,5,511,0,511,0
287,181,187,9,130,0,0,8,48,41,0,0,0,0,0,1,0,5,429,0,429,0
288,181(A),145,4,163,0,0,16,34,25,0,0,0,0,0,1,0,2,390,0,390,0
289,182,308,4,226,0,0,8,37,70,0,0,0,2,0,0,0,4,659,0,659,0
290,183,284,2,178,0,0,9,69,45,0,0,0,1,0,2,0,7,597,0,597,0
291,184,197,18,186,1,0,3,31,57,0,1,0,0,2,0,0,8,504,0,504,0
292,184(A),161,11,241,0,0,4,27,44,0,0,0,0,1,1,1,1,492,0,492,0
293,185,134,7,178,0,0,2,52,27,0,0,0,0,0,1,1,4,406,0,406,0
294,185(A),118,10,180,0,0,2,57,13,0,0,0,0,0,0,0,8,388,0,388,0
295,186,129,7,158,0,0,3,42,37,0,1,0,0,0,0,0,8,385,0,385,0
296,186(A),112,5,131,1,0,3,48,14,0,0,0,0,0,1,0,9,324,0,324,0
297,187,191,13,118,0,0,3,43,45,0,0,0,0,0,0,0,4,417,0,417,0
298,187(A),181,13,177,0,0,3,46,18,0,0,0,0,0,1,2,2,443,0,443,0
299,188,251,19,267,1,0,3,55,57,0,0,0,0,0,0,0,5,658,0,658,0
300,189,246,5,255,0,0,4,41,39,0,0,0,0,0,1,0,5,596,0,596,0
301,190,168,5,201,1,0,7,63,38,1,0,0,0,0,1,0,7,492,0,492,0
302,191,185,18,204,1,0,3,25,56,0,0,0,0,0,0,0,7,499,0,499,0
303,191(A),202,13,255,0,1,2,19,25,0,0,0,0,2,4,1,1,525,0,525,0
304,192,235,19,320,0,0,4,32,54,2,0,1,0,0,0,0,2,669,0,669,0
305,193,173,14,114,0,0,1,25,29,0,0,0,0,0,1,0,3,360,0,360,0
306,193(A),158,9,160,0,0,1,27,18,0,0,0,0,0,2,0,0,375,0,375,0
307,194,222,11,312,1,1,2,27,47,2,0,0,0,1,2,1,2,631,0,631,0
308,195,255,16,257,0,0,4,31,65,0,0,0,0,0,1,1,5,635,0,635,0
309,196,227,4,324,2,2,2,75,66,0,1,1,0,2,2,0,8,716,0,716,0
310,197,115,4,114,0,0,3,32,29,0,0,0,0,1,0,0,3,301,0,301,0
311,197(A),82,4,146,1,0,2,38,12,0,0,0,0,0,1,1,2,289,0,289,0
312,198,144,3,161,1,0,8,51,44,0,0,0,0,0,0,1,3,416,0,416,0
313,198(A),99,4,217,0,0,6,46,25,0,0,0,0,0,1,2,4,404,0,404,0
314,199,195,10,251,0,0,6,56,48,0,0,0,0,0,0,0,5,571,0,571,0
315,200,160,3,167,0,1,8,50,44,1,0,0,0,0,0,0,4,438,0,438,0
316,200(A),136,3,175,1,0,8,44,29,0,0,0,0,0,0,0,3,399,0,399,0
317,201,150,8,158,2,0,6,35,36,1,0,0,0,0,0,0,6,402,0,402,0
318,201(A),140,14,184,1,0,7,43,24,0,0,0,1,0,0,0,5,419,0,419,0
319,202,88,6,151,0,0,2,42,24,0,0,0,0,1,0,0,5,319,0,319,0
320,202(A),79,2,155,1,0,0,47,16,0,0,1,0,0,0,0,5,306,0,306,0
321,203,79,1,162,0,0,2,34,21,0,0,0,0,0,0,0,8,307,0,307,0
322,203(A),65,3,143,2,0,1,46,17,0,1,0,0,0,0,0,7,285,0,285,0
323,204,98,4,130,0,0,5,45,23,1,0,0,0,0,0,0,10,316,0,316,0
324,204(A),84,4,143,0,0,1,38,15,0,0,0,0,0,1,0,4,290,0,290,0
325,205,176,19,207,0,1,3,20,41,0,0,0,0,0,1,0,6,474,0,474,0
326,205(A),160,6,281,0,0,4,20,22,0,0,0,0,0,3,1,6,503,0,503,0
327,206,183,22,143,2,0,4,45,50,1,2,0,0,0,0,0,2,454,0,454,0
328,206(A),154,8,191,0,0,4,55,25,0,0,0,0,0,1,0,1,439,0,439,0
329,207,199,16,177,0,0,3,40,53,0,0,1,0,0,0,1,4,494,0,494,0
330,207(A),157,3,265,1,0,5,40,32,0,0,0,2,0,2,0,2,509,0,509,0
331,208,165,12,175,0,0,3,34,45,0,0,0,0,0,0,0,1,435,0,435,0
332,208(A),153,3,207,2,0,1,20,28,0,0,0,0,0,1,0,3,418,0,418,0
333,209,162,9,141,0,0,4,30,67,0,0,0,0,0,0,0,4,417,0,417,0
334,209(A),134,6,191,0,0,6,28,22,1,1,0,0,0,0,1,4,394,0,394,0
335,210,132,13,166,0,0,1,35,51,0,1,0,0,0,0,0,1,400,0,400,0
336,210(A),113,6,207,1,0,1,27,29,0,0,0,0,0,3,0,0,387,0,387,0
337,211,140,9,188,0,0,5,39,52,0,0,0,0,0,1,0,6,440,0,440,0
338,211(A),126,4,212,1,1,6,39,30,0,0,0,0,0,1,0,8,428,0,428,0
339,212,153,1,117,1,0,3,32,28,1,0,0,0,0,1,0,2,339,0,339,0
340,212(A),128,1,157,1,1,0,24,11,0,0,0,0,0,0,0,3,326,0,326,0
341,213,152,7,156,1,0,0,21,37,0,0,0,0,0,0,0,2,376,0,376,0
342,213(A),126,1,216,0,0,0,24,16,1,0,0,2,1,2,0,2,391,0,391,0
343,214,166,4,140,1,0,6,45,39,0,1,0,0,1,0,1,3,407,0,407,0
344,214(A),172,3,173,1,0,5,36,23,0,0,0,0,0,0,1,3,417,0,417,0
345,215,177,8,238,0,0,6,31,66,0,0,0,0,0,2,0,2,530,0,530,0
346,216,195,12,256,2,0,5,38,48,0,2,1,0,0,0,0,3,562,0,562,0
347,217,220,11,263,1,0,8,39,56,0,1,0,0,3,1,0,3,606,0,606,0
348,218,125,11,128,1,0,8,32,47,0,0,0,0,0,1,1,3,357,0,357,0
349,218(A),142,4,146,1,0,3,38,43,0,0,0,0,1,0,0,4,382,0,382,0
350,219,227,6,200,1,0,10,52,54,0,0,0,0,0,1,1,12,564,0,564,0
351,220,132,10,133,0,0,5,30,31,0,0,1,0,0,0,0,4,346,0,346,0
352,220(A),120,6,187,4,0,3,27,21,1,0,0,0,0,1,0,2,372,0,372,0
353,221,150,6,149,2,0,8,26,28,0,0,0,0,0,1,1,3,374,0,374,0
354,221(A),149,2,137,0,0,4,28,25,1,1,1,0,0,1,1,8,358,0,358,0
355,222,136,5,128,1,0,1,32,25,0,0,0,0,0,0,0,3,331,0,331,0
356,222(A),105,1,174,1,0,1,32,23,1,0,0,0,0,0,0,1,339,0,339,0
357,223,137,3,152,0,0,4,30,39,0,0,0,0,0,0,0,5,370,0,370,0
358,223(A),159,1,188,1,0,3,36,28,1,0,0,0,0,3,1,3,424,0,424,0
359,224,201,3,180,0,0,8,44,42,0,0,0,0,0,0,0,3,481,0,481,0
360,225,226,6,221,0,0,5,41,36,0,0,0,0,0,1,0,7,543,0,543,0
361,226,229,9,225,1,0,5,64,52,0,0,0,0,0,0,1,10,596,0,596,0
362,227,215,10,206,1,0,6,47,58,0,0,0,0,1,0,0,10,554,0,554,0
363,228,142,5,191,0,0,1,56,35,0,0,0,0,0,0,0,1,431,0,431,0
364,229,223,13,179,2,0,1,84,46,0,0,0,1,0,1,0,6,556,0,556,0
365,230,165,3,219,0,0,2,53,48,0,0,0,0,0,0,0,3,493,0,493,0
366,231,161,9,188,0,1,3,22,70,0,1,0,0,0,0,0,5,460,0,460,0
367,231(A),127,5,216,3,0,4,36,35,0,0,0,0,0,1,1,1,429,0,429,0
368,232,130,11,163,0,0,4,52,47,0,0,0,0,0,0,0,7,414,0,414,0
369,232(A),106,9,203,0,0,6,60,21,0,1,0,0,1,1,0,6,414,0,414,0
370,233,141,9,192,1,0,5,49,51,0,0,0,0,0,0,0,7,455,0,455,0
371,233(A),132,4,246,1,0,6,50,28,0,0,0,0,0,1,0,6,474,0,474,0
372,234,147,7,174,0,0,2,49,70,0,0,0,0,0,0,0,4,453,0,453,0
373,234(A),132,7,220,0,0,4,52,30,0,0,1,1,0,1,1,5,454,0,454,0
374,235,210,11,267,1,0,8,54,49,1,4,0,1,1,0,2,7,616,0,616,0
375,236,168,7,263,1,2,1,42,50,1,0,0,0,0,1,0,4,540,0,540,0
376,237,181,8,273,0,0,1,53,51,1,0,0,1,0,0,0,12,581,0,581,0
377,238,196,5,268,1,0,9,66,83,0,0,1,2,1,0,0,4,636,0,636,0
378,239,152,10,290,0,0,5,62,57,0,0,0,0,1,1,0,7,585,0,585,0
379,240,231,8,305,1,0,8,78,67,0,0,1,1,0,1,1,8,710,0,710,0
380,241,142,4,178,1,0,3,40,43,0,2,0,0,2,3,0,3,421,0,421,0
381,242,182,3,240,0,1,7,61,46,0,0,0,0,0,0,0,9,549,0,549,0
382,243,116,3,139,1,0,4,33,40,0,0,0,0,0,0,0,4,340,0,340,0
383,243(A),121,4,161,0,0,1,30,14,1,0,0,0,0,0,0,2,334,0,334,0
384,244,178,5,232,0,0,4,40,38,0,0,0,1,0,2,1,3,504,0,504,0
385,245,152,9,295,2,1,1,38,39,0,0,0,0,0,0,1,7,545,0,545,0
386,246,133,13,163,0,0,2,26,52,0,1,0,0,0,0,0,5,395,0,395,0
387,246(A),105,8,214,0,0,2,23,30,0,0,1,0,1,4,0,0,388,0,388,0
388,247,140,15,339,1,0,3,29,49,0,1,0,0,3,2,0,5,587,0,587,0
389,248,191,14,254,0,0,4,23,53,0,0,0,0,0,0,0,6,545,0,545,0
390,249,321,7,142,0,0,3,40,35,0,0,0,0,0,0,0,3,551,0,551,0
391,250,129,5,145,0,0,6,27,54,0,0,0,0,1,1,0,6,374,0,374,0
392,250(A),125,6,170,0,0,2,26,41,0,1,0,0,1,3,1,6,382,0,382,0
393,251,126,2,141,0,0,3,43,56,0,0,0,0,0,0,0,3,374,0,374,0
394,251(A),104,3,167,1,1,2,27,31,0,0,0,0,0,1,0,1,338,0,338,0
395,252,128,11,181,1,0,0,31,34,0,0,0,0,0,0,0,5,391,0,391,0
396,252(A),98,10,235,0,0,2,19,19,0,2,0,0,0,5,0,3,393,0,393,0
397,253,156,9,184,1,0,4,47,59,0,0,0,0,0,1,0,4,465,0,465,0
398,253(A),147,6,233,3,0,3,38,22,1,0,0,0,1,1,1,1,457,0,457,0
399,254,154,26,214,4,0,1,37,49,0,0,0,0,0,1,0,4,490,0,490,0
400,254(A),140,9,264,1,0,0,28,28,0,0,0,0,0,2,1,5,478,0,478,0
401,255,205,10,301,1,1,4,54,66,0,1,0,0,0,2,0,6,651,0,651,1
402,256,115,10,146,0,0,0,32,40,1,0,0,0,0,0,1,3,348,0,348,0
403,256(A),85,6,209,2,0,3,23,21,0,1,0,0,1,2,1,4,358,0,358,0
404,257,166,10,519,1,0,1,32,54,0,0,0,0,0,3,0,5,791,0,791,0
405,258,186,9,221,1,2,4,40,37,1,0,0,1,0,0,0,2,504,0,504,0
406,259,158,7,198,0,1,2,54,58,0,0,0,0,0,0,1,7,486,0,486,0
407,260,141,7,132,0,0,5,36,54,1,0,0,0,0,0,0,7,383,0,383,0
408,260(A),131,2,208,0,0,6,37,31,0,0,0,0,1,0,0,7,423,0,423,0
409,261,120,6,85,0,0,4,31,39,0,0,0,0,0,0,0,4,289,0,289,0
410,261(A),109,6,117,0,1,1,44,16,0,0,0,0,0,0,1,3,298,0,298,0
411,262,112,4,162,1,1,2,17,32,0,1,0,1,0,1,0,3,337,0,337,0
412,263,86,6,121,0,0,2,21,34,0,0,0,0,0,0,0,3,273,0,273,0
413,263(A),84,6,129,0,0,0,17,7,0,0,0,0,0,1,0,1,245,0,245,0
414,264,139,9,187,0,0,3,37,45,2,0,0,0,0,0,0,2,424,0,424,0
415,264(A),116,4,240,2,1,4,16,18,0,0,0,0,0,3,0,1,405,0,405,0
416,265,122,21,161,0,0,0,15,37,0,0,0,0,0,0,0,3,359,0,359,0
417,265(A),90,5,227,1,0,1,16,30,1,0,0,0,1,1,0,2,375,0,375,0
418,266,169,12,236,0,0,2,31,55,1,0,0,0,0,0,0,4,510,0,510,0
419,267,124,9,195,1,0,7,51,32,0,0,0,0,0,0,0,5,424,0,424,0
420,267(A),103,2,253,0,0,6,31,21,1,1,0,0,0,0,0,1,419,0,419,0
421,268,195,6,243,2,0,1,23,31,0,0,0,0,0,2,2,6,511,0,511,0
422,269,142,20,156,0,0,2,25,45,0,0,0,0,1,0,0,5,396,0,396,0
423,269(A),133,8,189,0,0,6,23,26,0,1,0,0,0,0,0,4,390,0,390,0
424,270,108,8,179,0,0,1,30,36,0,0,0,0,0,1,0,5,368,0,368,0
425,270(A),80,5,216,1,0,2,23,17,2,0,0,0,0,0,0,2,348,0,348,0
426,271,79,9,123,1,0,1,33,48,0,0,0,0,0,0,0,1,295,0,295,0
427,271(A),61,5,166,1,0,1,26,15,1,0,0,0,0,1,0,4,281,0,281,0
428,272,154,6,246,1,0,5,42,47,1,0,0,1,1,0,1,6,511,0,511,0
429,273,202,10,255,2,0,9,57,59,0,0,0,0,0,0,0,3,597,0,597,0
430,274,139,4,202,1,0,6,42,49,0,0,0,0,0,0,1,5,449,0,449,1
431,274(A),120,6,260,0,0,5,29,30,1,0,0,0,0,3,0,4,458,0,458,0
432,275,207,11,260,0,1,11,38,65,1,0,0,1,0,1,0,4,600,0,600,0
433,276,126,4,185,1,0,0,26,55,1,0,0,0,0,0,0,3,401,0,401,0
434,276(A),114,6,234,0,0,6,23,26,1,0,0,0,0,4,0,2,416,0,416,0
