Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
58,38,220,4,184,0,0,9,36,44,0,0,0,0,1,0,1,3,502,0,502,0
59,38(A),217,2,197,2,1,5,35,29,0,0,0,0,0,2,0,2,492,0,492,0
60,39,162,13,185,0,0,5,33,65,0,0,0,0,0,0,0,2,465,0,465,0
61,39(A),151,12,253,0,0,1,32,50,0,1,0,0,0,0,2,3,505,0,505,0
62,40,165,12,163,1,0,0,24,53,0,1,0,0,0,0,0,2,421,0,421,0
63,40(A),197,7,185,1,0,1,42,42,0,1,0,0,0,2,0,4,482,0,482,0
64,41,259,9,375,2,1,3,20,50,1,0,0,0,1,5,0,2,728,0,728,0
65,42,269,15,388,0,0,4,27,69,0,0,0,0,1,5,0,10,788,0,788,0
66,43,282,19,291,2,1,11,30,84,0,0,0,0,2,1,1,4,728,0,728,0
67,44,290,6,138,1,1,0,23,46,0,0,0,0,0,2,0,3,510,0,510,0
68,45,218,8,192,2,0,2,35,42,0,0,0,0,1,0,0,5,505,0,505,0
69,46,132,23,157,1,0,7,22,41,0,0,0,0,0,0,1,2,386,0,386,0
70,46(A),123,12,218,2,0,3,25,30,1,0,0,0,0,1,1,1,417,0,417,0
71,47,166,23,198,1,0,6,22,68,0,0,0,0,1,0,1,5,491,0,491,0
72,47(A),158,14,243,1,0,9,22,44,0,0,0,0,0,2,0,4,497,0,497,0
73,48,170,12,109,0,0,2,34,37,0,0,0,0,1,0,1,6,372,0,372,0
74,48(A),139,4,125,0,0,2,26,29,0,0,0,0,0,0,2,1,328,0,328,0
75,49,199,14,135,0,0,7,45,70,0,0,0,0,1,0,1,4,476,0,476,0
76,49(A),218,7,141,0,0,5,34,27,0,0,0,0,0,0,0,1,433,0,433,0
77,50,172,9,142,0,0,8,41,62,0,0,0,0,0,0,1,7,442,0,442,0
78,50(A),167,7,152,0,0,6,47,40,2,0,1,1,1,0,1,3,428,0,428,0
