Polling Station No.,Building,Polling Areas
12,"Panchayat Union Middle School ,R.C.C.Middle Side, Oormechikulam Paravai II bit -625402","1.Paravai (TP) Kaliyamman Kovil Street Ward 12 , 2.Paravai (TP) Amman Kovil Street 12 , 3.Paravai (TP) Pillaiyar Kovil Street Ward 12 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
13,"Panchayat Union Middle School ,R.C.C. Building, North Portion Oormechikulam Paravai II Bit -625402","1.Paravai (P) Oormetchikulam Veeraiah Kovil Street Ward 11 , 2.Paravai (P) Kattabomman Street Ward 11 , 3.Paravai (P) Bharathi Street Ward 11 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
14,"Panchayat Union Middle School ,R.C. South Portion, Strong Buliding, Oormechikulam Paravai II Bit-625402","1.Paravai (C.NI.P) Mathakottai Street Oormetchikulam Ward13 , 2.Paravai (C.NI.P) Gandhi maidhanam East Street Oormetchikulam Ward 13 , 3.Paravai (C.NI.P) Kallikudi Road oormetchikulam Ward 13 , 4.Paravai (C.NI.P) Kallikudi Road Unnamalai Colony oormetchikulam Ward 13 , 5.Paravai (C.NI.P) Kalikudi Road Palpanai Colony Oormetchikulam Ward13 , 6.Paravai (C.NI.P) Chinnaiya Kovil Street Oormetchikulam Ward 13 , 7.Paravai (C.NI.P) Gandhi Nagar Oormetchikulam Ward 13 , 8.Paravai (C.NI.P) M G R Nagar Oormetchikulam 13 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
15,"Paravai Special Grade Town Panchayat Community Hall ,East Side, Oormechikulam II Bit -625402","1.Paravai (S.P) Ghandhi Maidhanam Street Ward 13 , 2.Paravai (S.P) Gandhi Maidhanam Street Ward 10 , 3.Paravai (S.P) Kumaran Street , 4.Paravai (S.P) Thirumagal Talkies Road Ward 10 , 5.Paravai (S.P) Thirumagal Talkies Backside ( Poonga Nagar) , 6.Paravai (TP) Vaigai Road Ward 10 , 7.Paravai (TP) Poonga Nagar Ward 10 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
16,"Paravai Special Grade Town Panchayat Community Hall ,West Side, Oormechikulam II Bit-625402","1.Paravai (S.P) Anna Nagar Ward 10 , 2.Paravai (S.P) Ormetchikulam Main Road Ward 10 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
17,"Panchayat Union Middle School ,South New R C Buliding Kovilpappakudi- 625018","1.Kovilpappakudi (R V),Kovilpappakudi (P) Muthaiya Nagar Ward 1 , 2.Kovilpappakudi (R V),Kovilpappakudi (P) Indra Nagar Ward 1 , 3.Kovilpappakudi (R V),Kovilpappakudi (P) Sathya Nagar Ward 1 , 4.Kovilpappakudi (R V),Kovilpappakudi (P) North Street Ward 1 , 5.Kovilpappakudi (R V),Kovilpappakudi (P) East Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"Panchayat Union Middle School ,R.C.C Building, West Side, Kovilpappakudi- 625018","1.Koil Pappakudi (R V), Koil Pappakudi (P) West Street Ward 2 , 2.Kovilpappakudi (R V),Kovilpappakudi (P) Colony Street Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"Panchayat Union Middle School ,R.C.C. Building, East Side, Kovilpappakudi- 625018","1.Kovilpappakudi (R V),Kovilpappakudi (P) S V D Nagar Ward 2 , 2.Koil Pappakudi (R V), Koil Pappakudi (P) P R C Nagar Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"Panchayat Union Middle School ,West Side, Sikkandar Chavadi-625018","1.Kovilpappakudi (R V),Kovilpappakudi (P) Sikkandhar Chavadi Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"Panchayat Union Middle School ,East Side, Sikkandar Chavadi-625018","1.Kovilpappakudi (R V),Kovilpappakudi (P) Sikkandhar Chavadi Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"Panchayat Union Middle School ,East Building, Sikkandarchavadi-625018","1.Kovilpappakudi (R V),Kovilpappakudi (P) Dhinamani Nagar Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"NREP Community Hall ,East side, Vilankudi Karisalkulam-625018","1.Madurai (C) Vilangudi I.O.C.Nagar Manoranjitham Veethi Ward 1 , 2.Madurai (C) Vilangudi I.O.C Nagar Kurunji Veethi Ward 1 , 3.Madurai (C) Vilangudi I.O.C Nagar Thamarai Veethi Ward 1 , 4.Madurai (C) Vilangudi I.O.C Nagar Roja Veethi Ward 1 , 5.Madurai (C) Vilangudi I.O.C Nagar Mullai Veethi Ward 1 , 6.Madurai (C) Vilangudi I.O.C Nagar Malligai Veethi Ward 1 , 7.Madurai (C) Vilangudi Ramuni Nagar 1st Street Ward 1 , 8.Madurai (C) Vilangudi Ramuni Nagar 2nd Street Ward 1 , 9.Madurai (C) Vilangudi Ramuni Nagar 3rd Street Ward 1 , 10.Madurai (C) Vilangudi Karisalkulam 1st Street Ward 1 , 11.Madurai (C) Vilangudi Karisalkulam 2nd Street Ward 1 , 12.Madurai (C) Vilangudi Karisalkulam 3rd Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"NREP Community Hall , North Side, Vilankudi Karisalkulam-625018","1.Madurai(C) Vilangudi Karisalkulam 4th Street Ward 1 , 2.Madurai(C) Vilangudi Karisalkulam 5th Street Ward 1 , 3.Madurai(C) Vilangudi Karisalkulam 6th Street Ward 1 , 4.Madurai(C) Vilangudi Karisalkulam 7th Street Ward 1 , 5.Madurai(C) Vilangudi Karisalkulam 8th Street Ward 1 , 6.Madurai(C) Vilangudi Karisalkulam 9th Street Ward 1 , 7.Madurai(C) Vilangudi Karisalkulam 10th Street Ward 1 , 8.Madurai(C) Vilangudi Karisalkulam 11th Street Ward 1 , 9.Madurai(C) Vilangudi Karisalkulam 12th Street Ward 1 , 10.Madurai(C) Vilangudi Karisalkulam 13th Street Ward 1 , 11.Madurai(C) Vilangudi Karisalkulam 14th Street Ward 1 , 12.Madurai(C) Vilangudi Karisalkulam 15th Street Ward 1 , 13.Madurai(C) Vilangudi Karisalkulam 16th Street Ward 1 , 14.Madurai(C) Vilangudi Karisalkulam Adaimandhai Pottal Ward 1 , 15.Madurai(C) Vilangudi Karisalkulam Indra Nagar Ward 1 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"NREP Community Hall ,West Side, Vilankudi Karisalkulam-625018","1.Madurai(C) Vilangudi Pandian Nagar 1st Street Ward 1 , 2.Madurai(C) Vilangudi Pandian Nagar 2nd Street Ward 1 , 3.Madurai(C) Vilangudi Pandian Nagar 3rd Street Ward 1 , 4.Madurai(C) Vilangudi Pandian Nagar 3rd Cross Street Ward 1 , 5.Madurai(C) Vilangudi Pandian Nagar 4th Street Ward 1 , 6.Madurai(C) Vilangudi Thirumal Nagar 1st Street Ward 1 , 7.Madurai(C) Vilangudi Thirumal Nagar 2nd Street Ward 1 , 8.Madurai(C) Vilangudi Periyar Nagar 1st Street Ward 1 9.Madurai(C) Vilangudi Booman Nagar Ward 1 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"Corporation Bill Collection Centre ,New Building, Near Ration Shop, Karisalkulam- 625018.","1.Madurai(C) Vilangudi Periyar Nagar 2nd Street Ward 1 , 2.Madurai(C) Vilangudi Periyar Nagar 3rd Street Ward 1 , 3.Madurai(C) Vilangudi Periyar Nagar 4th Street Ward 1 , 4.Madurai(C) Vilangudi Periyar Nagar 5th Street Ward 1 , 5.Madurai(C) Vilangudi Periyar Nagar 6th Street Ward 1 , 6.Madurai(C) Vilangudi Periyar Nagar 7th Street Ward 1 , 7.Madurai(C) Vilangudi Thiruvalluvar Nagar 1st Street Ward 1 , 8.Madurai(C) Vilangudi Thiruvalluvar Nagar 2nd Street Ward 1 , 9.Madurai(C) Vilangudi Thiruvalluvar Nagar 3rd Street Ward 1 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
