Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
281,196,136,134,30,54,0,0,6,0,0,0,0,0,0,0,0,3,363,0,363,0
282,196(A),151,137,38,31,1,0,8,0,0,0,0,0,0,0,1,3,370,0,370,0
283,197,137,186,36,62,1,0,8,0,0,0,0,0,0,0,0,1,431,0,431,0
284,197(A),151,208,36,41,2,0,6,0,1,0,0,0,1,0,1,4,451,0,451,0
285,198,34,350,17,24,0,0,4,0,1,0,0,0,0,0,0,3,433,0,433,0
286,198(A),35,406,8,21,0,0,3,0,0,0,0,1,0,0,3,3,480,0,480,0
287,199,81,566,25,32,0,0,2,1,0,0,0,0,1,0,3,8,719,0,719,0
288,200,114,113,63,21,0,0,7,0,0,0,0,0,0,0,0,4,322,0,322,0
289,201,141,147,71,13,0,0,11,0,0,0,0,1,0,0,0,4,388,0,388,0
290,202,149,216,71,45,0,0,11,0,1,1,0,0,1,1,0,7,503,0,503,0
291,203,126,102,43,31,0,0,3,0,0,0,0,0,0,0,0,0,305,0,305,0
292,203(A),114,83,48,24,0,0,5,0,0,0,0,0,0,1,0,5,280,0,280,0
293,204,104,261,9,47,0,0,5,1,0,0,0,0,0,0,0,7,434,0,434,0
294,204(A),132,265,14,32,1,1,5,0,0,1,0,0,0,0,3,4,458,0,458,0
295,205,182,289,34,67,4,0,13,0,0,0,0,1,0,0,1,3,594,0,594,0
296,206,91,243,40,35,0,0,10,0,0,0,0,0,0,1,0,3,423,0,423,0
297,207,99,179,30,32,0,0,5,0,0,0,0,0,0,0,0,1,346,0,346,0
298,207(A),92,172,38,21,0,0,4,0,0,0,0,0,0,0,0,0,327,0,327,0
299,208,137,274,44,34,0,2,9,0,0,0,0,0,0,0,0,3,503,0,503,0
300,209,109,166,41,24,0,0,7,2,0,1,0,0,0,0,0,5,355,0,355,0
301,209(A),114,146,47,18,0,0,1,0,0,0,1,0,0,2,0,0,329,0,329,0
302,210,91,131,25,33,0,0,9,0,0,0,0,0,0,0,0,0,289,0,289,0
303,210(A),73,108,49,14,1,0,6,0,1,0,0,0,0,0,0,2,254,0,254,0
304,211,113,218,33,33,0,0,7,0,0,0,0,0,0,0,0,1,405,0,405,0
305,211(A),105,176,44,30,0,0,4,0,0,0,0,0,0,0,1,3,363,0,363,0
306,212,121,194,21,125,1,2,6,1,0,0,0,0,0,2,0,4,477,0,477,0
307,212(A),130,219,25,81,0,0,6,0,4,2,0,1,0,0,1,6,475,0,475,0
308,213,127,191,27,78,0,0,7,0,0,1,0,0,0,2,0,4,437,0,437,0
309,213(A),151,209,13,67,1,3,9,0,1,2,0,0,0,2,0,4,462,0,462,0
310,214,99,176,34,61,0,0,7,0,1,2,0,0,0,0,0,3,383,0,383,0
311,214(A),98,182,37,23,0,0,7,1,0,0,0,0,0,0,0,6,354,0,354,0
312,215,100,179,38,50,0,0,7,1,0,0,0,0,0,1,0,6,382,0,382,0
313,215(A),89,162,35,38,1,0,7,4,0,0,0,0,1,0,0,3,340,0,340,0
314,216,110,141,30,40,0,0,3,3,0,0,0,0,0,0,1,2,330,0,330,0
315,216(A),86,166,42,16,0,0,4,4,0,0,0,1,0,0,1,3,323,0,323,0
316,217,195,256,59,54,2,2,9,0,0,0,0,0,0,0,0,3,580,0,580,0
317,218,79,182,22,41,0,0,2,1,0,0,0,0,0,0,0,9,336,0,336,0
318,218(A),74,192,33,21,0,0,3,0,1,0,0,0,0,0,1,4,329,0,329,0
319,219,132,324,56,46,0,0,5,5,0,1,0,1,0,0,1,10,581,0,581,0
320,220,88,191,41,35,1,0,9,0,0,0,1,0,0,0,0,6,372,0,372,0
321,220(A),73,215,46,13,1,1,9,0,0,1,0,0,0,1,0,4,364,0,364,0
322,221,89,185,25,53,0,3,4,3,0,0,0,0,1,0,0,3,366,0,366,0
323,221(A),85,164,35,30,0,0,6,2,0,1,0,0,0,0,0,2,325,0,325,0
324,222,97,213,31,38,0,1,4,1,0,1,0,2,0,1,0,2,391,0,391,0
325,222(A),87,199,51,23,1,0,4,1,0,1,0,0,0,0,0,4,371,0,371,0
326,223,109,201,16,47,0,0,7,3,0,0,0,1,0,0,0,7,391,0,391,0
327,224,93,220,53,29,0,0,2,2,0,0,0,0,0,0,0,0,399,0,399,0
328,225,134,210,29,54,0,0,12,0,1,1,0,0,0,0,0,3,444,0,444,0
329,225(A),158,209,34,24,1,1,6,0,1,1,0,2,1,0,2,7,447,0,447,0
330,226,110,225,66,42,1,0,3,3,0,1,0,0,2,0,0,3,456,0,456,0
331,227,147,200,32,31,0,3,12,1,1,1,0,0,0,0,0,6,434,0,434,0
332,228,135,221,49,35,0,0,5,0,0,0,0,1,0,1,1,6,454,0,454,0
333,229,118,146,46,47,0,1,7,0,0,1,0,0,0,0,0,8,374,0,374,0
334,229(A),137,148,53,39,0,0,4,0,1,0,0,0,0,0,0,4,386,0,386,0
335,230,122,112,30,46,0,0,2,1,0,0,0,0,0,1,1,6,321,0,321,0
336,230(A),139,137,35,28,0,0,4,0,1,0,0,0,0,0,0,3,347,0,347,0
337,231,126,171,39,68,1,0,7,0,0,1,0,0,0,0,0,4,417,0,417,0
338,231(A),117,186,43,28,0,0,6,5,1,0,0,0,0,1,1,1,389,0,389,0
339,232,162,134,35,54,0,0,16,3,0,0,0,0,0,0,0,3,407,0,407,0
340,232(A),195,150,42,37,0,3,13,2,1,0,0,1,0,1,1,1,447,0,447,0
341,233,241,289,25,77,0,0,23,4,0,0,1,1,0,0,0,9,670,0,670,0
342,234,120,165,29,65,0,0,28,2,1,0,0,0,0,0,0,0,410,0,410,0
343,234(A),136,183,37,34,0,0,16,3,0,0,0,0,0,0,1,4,414,0,414,0
344,235,159,164,39,48,0,0,7,0,1,1,0,0,0,1,0,6,426,0,426,0
345,235(A),176,153,29,28,1,0,6,1,0,0,0,0,2,0,0,6,402,0,402,0
346,236,228,106,37,52,0,0,7,0,0,0,0,0,0,0,1,4,435,0,435,0
347,236(A),225,96,27,18,1,0,7,1,2,0,0,1,0,0,3,4,385,0,385,0
