Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
51,36,191,202,21,88,1,1,14,1,0,1,1,0,1,0,1,9,532,0,532,0
52,36(A),217,209,17,48,0,0,6,0,1,0,0,1,2,0,3,8,512,0,512,0
53,37,140,151,21,46,0,1,7,0,0,0,0,0,0,0,0,3,369,0,369,0
54,37(A),143,135,11,18,0,0,12,1,0,0,0,0,1,1,0,2,324,0,324,0
55,38,318,217,31,62,0,0,13,0,0,0,0,1,2,0,2,12,658,0,658,0
56,39,284,147,25,47,0,1,14,0,0,0,1,0,0,1,0,8,528,0,528,0
57,40,223,173,34,68,0,0,9,1,0,0,0,0,0,0,0,7,515,0,515,0
58,40(A),252,173,13,30,0,0,12,1,0,0,0,0,0,1,0,2,484,0,484,0
59,41,169,178,20,53,0,0,15,0,0,0,1,0,0,0,0,3,439,0,439,0
60,41(A),173,202,20,38,2,0,8,0,1,1,0,1,1,0,0,0,447,0,447,0
61,42,171,273,30,61,1,0,26,0,0,0,1,0,0,0,1,6,570,0,570,0
62,43,137,223,41,82,0,0,5,0,0,0,1,0,1,1,0,7,498,0,498,0
63,43(A),154,236,48,46,1,0,6,0,0,1,0,0,1,0,1,6,500,0,500,0
64,44,79,220,6,38,0,1,6,1,0,0,0,0,0,0,0,1,352,0,352,0
65,44(A),82,255,16,18,0,0,6,0,0,1,0,0,0,1,3,3,385,0,385,0
66,45,93,267,24,50,1,2,6,0,0,0,0,0,0,0,0,6,449,0,449,0
67,45(A),119,272,27,31,1,0,10,0,0,0,0,0,0,0,1,9,470,0,470,0
68,46,141,182,35,72,2,1,16,2,0,0,0,0,0,0,0,10,461,0,461,0
69,46(A),222,189,22,36,1,0,9,1,0,0,0,1,0,0,0,3,484,0,484,0
70,47,229,214,29,60,1,0,10,0,0,0,0,0,2,0,0,1,546,0,546,0
71,48,181,225,22,58,1,0,15,0,0,1,1,0,0,0,0,5,509,0,509,0
72,49,158,141,23,74,0,0,9,0,0,1,0,0,1,0,2,5,414,0,414,0
73,49(A),217,128,23,47,1,1,7,2,0,0,0,0,1,0,3,3,433,0,433,0
74,50,104,191,35,68,0,0,8,0,0,0,0,0,0,1,0,5,412,0,412,0
75,50(A),123,189,34,41,2,0,7,2,0,1,0,0,1,0,0,4,404,0,404,0
76,51,95,168,30,51,0,1,16,0,0,0,1,0,1,0,1,5,369,0,369,0
77,51(A),106,162,34,35,0,0,16,1,0,1,0,0,0,0,0,10,365,0,365,0
78,52,29,493,16,20,0,0,16,0,0,0,0,0,0,1,0,1,576,0,576,0
79,53,196,161,26,52,0,0,9,0,0,0,0,1,0,0,0,3,448,0,448,0
80,53(A),228,154,20,25,0,0,13,0,1,0,0,0,0,2,1,3,447,0,447,0
81,54,72,128,13,25,0,1,1,0,0,0,0,0,0,0,0,2,242,0,242,0
82,55,115,148,28,43,1,0,11,0,0,0,0,0,0,0,1,1,348,0,348,0
83,55(A),123,160,29,29,0,1,11,1,1,1,0,0,0,0,1,5,362,0,362,0
84,56,244,233,29,50,2,0,33,0,0,0,0,0,0,1,1,12,605,0,605,0
85,57,179,201,25,34,0,0,15,1,0,0,0,0,2,2,0,5,464,0,464,0
86,58,143,210,24,69,0,0,19,0,0,0,1,0,0,2,0,1,469,0,469,0
87,58(A),197,188,30,36,2,0,15,0,1,0,0,0,0,2,0,7,478,0,478,0
88,59,150,165,24,58,1,0,7,1,0,0,0,0,0,0,0,4,410,0,410,0
89,59(A),181,136,20,27,0,1,10,0,1,0,0,0,0,2,0,3,381,0,381,0
90,60,149,204,22,61,0,0,20,0,0,1,0,0,0,0,0,1,458,0,458,0
91,60(A),175,209,18,37,2,1,13,1,1,0,0,1,0,0,1,5,464,0,464,0
92,61,183,313,39,87,0,0,9,1,0,0,0,0,2,0,0,6,640,0,640,0
93,62,175,212,10,30,1,0,13,0,0,2,0,0,1,0,1,2,447,0,447,0
94,63,85,267,13,60,1,0,13,1,1,0,0,0,0,2,0,5,448,0,448,0
95,63(A),120,323,18,24,1,0,4,0,0,1,0,0,1,1,1,1,495,0,495,0
96,64,286,177,26,63,0,0,14,0,1,0,0,0,1,0,0,5,573,0,573,0
97,65,189,143,26,56,3,0,8,0,0,1,0,0,0,0,0,5,431,0,431,0
98,66,151,155,21,45,1,0,7,0,0,0,0,0,0,0,0,3,383,0,383,1
99,66(A),156,161,28,25,0,0,11,0,0,0,0,0,0,0,4,4,389,0,389,0
100,67,154,153,30,42,0,0,11,1,1,0,0,0,1,0,1,5,399,0,399,0
101,67(A),190,156,29,26,0,1,5,1,0,0,1,1,1,0,0,2,413,0,413,0
102,68,258,212,67,52,2,1,18,0,0,0,1,1,0,1,1,6,620,0,620,0
103,69,190,184,44,50,1,0,17,0,0,0,0,0,0,0,0,1,487,0,487,0
104,70,186,266,54,41,2,0,15,1,0,1,0,2,2,0,0,4,574,0,574,0
105,71,169,248,17,36,0,0,18,0,0,0,0,0,0,1,3,8,500,0,500,0
106,72,245,404,27,40,0,0,11,1,0,0,0,1,1,2,0,6,738,0,738,0
107,73,119,186,15,55,0,1,17,0,0,0,0,0,0,0,0,3,396,0,396,0
108,73(A),133,210,12,26,5,1,6,4,0,0,0,0,1,1,2,3,404,0,404,0
109,74,127,204,31,52,3,0,10,0,1,0,0,0,1,0,0,4,433,0,433,0
110,74(A),152,173,46,19,8,0,7,1,0,0,1,1,0,1,1,7,417,0,417,0
111,75,146,251,35,52,0,0,6,0,0,0,0,0,0,0,1,8,499,0,499,0
