Polling Station No.,Building,Polling Areas
19,"Panchayat Union Middle School, 3rd Class Building, East Side, E.Pudukottai","E.Pudukottai (R.V), Endapuli (P) Pudukottai Block 8 Sl.No.611 To 1243"
20,"Panchayat Union Middle School, Northern Building, East wing South Facing E.Pudhukottai","1 . E . P u d u k o t tai (R.V), Endapuli (P) Punitha Arockiyamatha Nagar Bock 8 , 2.E.Pudukottai (R.V), Endapuli (P) J.K. Colony"
21,"Panchayat Union Middle School, Western Buliding North wing East Facing, E.Pudukottai","1.E.Pudukottai (R.V), Endapuli (P) Arulanandapuram Nehru Nagar ,"
22,"Hindu Middle School, Northern Side, West Building, Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-2 Sornampillai Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-3 Pallivasal Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-3 Pettai Street , 4 . D e v a t h a n a p a tti Bit II (R.V), Devathanapatti (T.P) Ward-3 Ramu Pillai Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-7 Chinnappa Nadar Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-7 Chekkadi Street , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-7 Subbiah Pillai Street , 8.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-7 Main Road"
23,"Hindu Middle School ,Eastern Side, South Building, Ground Floor, Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-1 Main Road , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-2 Gandhi Maidhanaveethi , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-1 Ricemill street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-1 Venkatachalam Chettiar Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-2 Kottaiyan Kovil Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-1 Melmandhai Street"
24,"Panchayat Union Primary School, North-West Building Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-17 Paramasivam Kovil Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-17 Vallavan Kovil Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-17 Volladaiyan Kovil Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-17 Bus Stand Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-15 Colony Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Main Road"
25,"Panchayat Union Primary School, East Building South Side Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Anna Nagar , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Odai Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Annanagar Colony , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Kaliamman Kovil Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Nallammal Kovil Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Atchamythevar Street , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Teachers Residance"
26,"Panchayat Union Elementary School, New Building, North Side, Manjalar Dam","1.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Manjalar Dam Residence"
27,"Panchayat Union Primary School, Southern Building, Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Kaliamman Kovil Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-7 Pallivasal Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-3 Kambilimalai Nadar Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-3 Thoonga Nadar Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Surathevar Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 Kumarathevar Street , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 Thadivanainar Street , 8.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-4 North Street , 9.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-18 Jeyamangalam Road"
28,"Govt. Kallar Elementary School, Western Building, Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 Perungayathevar Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 Kamatchiamman Kovil Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 Pudur Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 Mohamed Arabi Rowther Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-6 North Street"
