Sl. No,Polling Station No,K.KUPPAN AIADMK,M.KOTTESWARAN BSP,K.P.SHANKAR DMK,RUYITTOVURIT R.EGAVALLI NMK,D.SASIRAJ SP,SEEMAN NTK,M.SOUNDARA PANDIAN AMMK,lareneG D.MOHAN MNM,K.GOPINATH IND,ot BALAJI V.SURESH IND,limaT M.CHELLAM IND,udaN D.THAMIZHIZHAN IND,evitalsigeL B.DHANASEKARAN IND,C.DHANRAJ IND,PRAVINA IND,RAJ M.A.MICHAEL IND,KUMAR N.RAMESH IND,KUMAR N.RAJESH IND,U.VENKATESH IND,HUSSAIN B.ZAKIR IND,Total Valid Votes,Rejected Votes,Total Votes
235,165(A),121,1,113,0,3,69,3,17,0,0,1,0,0,0,0,0,1,0,0,0,329,0,2,331
236,166,69,0,81,0,1,24,3,3,0,0,0,0,0,0,0,1,1,0,0,0,183,0,1,184
237,167,87,0,196,0,1,136,7,22,0,0,0,0,0,0,0,1,1,0,0,3,454,0,2,456
238,167(A),101,0,211,1,2,121,4,20,1,0,4,0,0,0,0,0,0,1,0,1,467,0,1,468
239,168,51,0,171,1,0,97,2,12,0,0,0,0,0,0,0,0,0,0,0,0,334,0,1,335
240,168(A),60,1,174,0,0,67,1,17,1,0,0,1,0,0,0,0,2,0,0,1,325,0,1,326
241,169,74,1,102,0,0,87,1,24,1,0,0,0,0,0,0,3,0,0,0,0,293,0,5,298
242,169(A),75,0,101,0,0,57,3,22,0,0,0,0,0,0,1,2,1,0,0,1,263,0,4,267
243,170,143,0,161,0,0,114,1,27,0,0,0,0,0,1,0,0,1,0,0,1,449,0,4,453
244,171,103,0,308,1,0,176,1,31,0,0,0,0,0,1,0,1,0,0,0,0,622,0,1,623
245,172,93,1,272,0,1,126,6,39,0,0,1,1,0,0,1,0,2,0,1,0,544,0,1,545
246,173,91,2,160,0,1,109,3,28,0,0,0,0,0,0,0,3,0,0,1,0,398,0,4,402
247,174,122,1,195,0,2,128,2,12,0,0,1,0,0,0,0,0,0,0,0,3,466,0,1,467
248,175,146,1,207,0,1,135,7,26,0,0,1,3,0,0,0,1,0,0,1,1,530,0,6,536
249,176,134,1,186,0,0,155,4,28,0,0,1,0,0,0,0,1,0,0,0,2,512,0,6,518
250,177,112,0,134,1,1,136,1,23,0,0,0,0,0,0,0,0,2,0,0,1,411,0,4,415
251,177(A),98,0,143,2,3,108,1,22,0,0,1,0,0,0,0,0,1,0,1,0,380,0,2,382
252,178,123,0,205,0,0,183,3,31,0,0,0,0,0,0,0,3,0,0,0,0,548,0,3,551
253,179,74,0,155,0,0,113,3,4,0,0,0,0,0,0,0,0,0,0,0,0,349,0,3,352
254,179(A),112,0,144,0,0,78,2,10,0,0,0,0,0,0,1,0,0,0,0,0,347,0,0,347
255,180,69,0,121,0,0,124,1,7,1,0,2,0,0,0,0,1,0,0,0,0,326,0,3,329
256,180(A),104,0,134,0,0,80,0,13,0,0,1,0,0,2,0,2,0,0,1,0,337,0,2,339
257,181,55,0,150,0,1,109,1,11,0,1,0,0,0,2,0,3,1,0,0,2,336,0,6,342
258,181(A),54,1,175,2,2,91,0,12,1,0,0,0,0,0,0,1,0,0,0,1,340,0,3,343
259,182,89,0,261,1,2,110,3,14,0,0,1,0,0,0,0,0,0,1,0,0,482,0,3,485
260,183,93,3,181,3,0,121,7,20,0,0,0,0,0,1,1,0,1,0,0,1,432,0,3,435
261,184,206,2,248,0,0,146,5,14,0,0,0,0,0,1,0,1,1,1,0,0,625,0,4,629
262,185,63,1,127,0,0,101,2,21,0,0,0,0,0,0,0,0,2,0,0,0,317,0,2,319
263,185(A),79,1,127,0,1,80,1,23,0,0,0,0,0,0,0,0,0,0,1,0,313,0,1,314
264,186,136,1,183,2,0,150,3,26,0,1,0,0,0,1,0,0,0,0,0,0,503,0,1,504
265,187,135,1,223,0,0,93,6,5,0,0,0,0,0,0,0,1,0,0,0,0,464,0,0,464
266,187(A),167,4,224,0,1,58,6,3,0,0,0,0,1,3,0,3,1,0,2,1,474,0,0,474
267,188,350,0,296,0,0,74,1,7,1,0,0,0,0,1,0,2,2,0,1,0,735,0,2,737
268,189,199,0,227,0,0,45,2,2,0,0,0,0,0,1,0,1,1,0,1,1,480,0,0,480
269,190,133,1,206,1,1,153,3,8,0,1,0,0,2,0,0,0,14,0,2,0,525,0,0,525
270,191,88,1,212,0,0,164,0,32,0,0,1,1,0,0,0,2,0,0,1,0,502,0,3,505
271,192,54,0,135,0,0,96,2,20,0,0,0,0,0,0,0,0,2,0,0,0,309,0,4,313
272,192(A),56,0,144,1,2,57,2,23,0,0,0,0,0,0,0,1,1,0,0,0,287,0,1,288
273,193,62,0,145,0,0,142,6,19,0,0,0,0,1,1,0,1,0,0,0,0,377,0,3,380
274,193(A),79,1,138,0,0,121,4,29,0,0,1,0,0,0,0,2,1,0,0,0,376,0,3,379
275,194,59,0,183,0,1,157,3,16,0,0,1,1,0,0,0,1,1,0,0,1,424,0,2,426
276,195,123,0,209,0,1,151,2,28,0,0,1,0,0,1,0,3,1,0,0,1,521,0,2,523
277,196,81,0,189,0,1,98,2,13,0,0,0,0,4,2,0,0,7,0,0,0,397,0,3,400
278,196(A),96,2,160,0,0,94,1,24,0,0,0,0,2,0,1,1,8,0,0,1,390,0,0,390
279,197,118,1,230,2,0,107,2,22,0,0,0,0,0,0,0,0,12,0,0,0,494,0,4,498
280,198,117,0,214,0,0,146,7,21,0,0,0,0,0,0,0,1,1,0,0,0,507,0,2,509
281,199,121,0,253,0,1,121,2,21,1,0,0,0,0,0,0,0,0,0,1,0,521,0,0,521
282,200,71,3,181,0,0,119,5,19,0,0,1,0,0,0,0,1,3,0,0,0,403,0,2,405
283,201,170,1,218,1,0,116,2,31,0,0,0,0,0,2,0,2,1,0,0,2,546,0,2,548
284,202,70,1,205,0,0,140,6,16,0,0,0,0,0,0,0,1,2,0,0,1,442,0,4,446
285,202(A),90,2,218,0,0,110,3,20,0,0,0,0,0,0,0,4,3,0,1,0,451,0,1,452
286,203,69,1,150,0,0,56,3,10,0,1,0,0,0,0,0,0,0,0,0,1,291,0,1,292
287,204,84,0,126,1,0,124,1,14,0,0,0,0,0,0,0,1,9,0,0,0,360,0,3,363
288,204(A),99,0,143,1,1,89,3,18,1,0,0,0,0,0,0,0,3,0,0,0,358,0,2,360
289,205,83,0,173,2,0,122,1,12,0,0,0,1,0,0,0,0,2,0,0,0,396,0,2,398
290,205(A),118,1,188,2,1,80,1,22,0,0,0,0,1,0,0,2,0,0,1,0,417,0,4,421
291,206,165,1,226,1,1,237,3,28,1,0,0,1,0,0,0,1,1,0,1,4,671,0,4,675
292,207,105,0,136,0,1,113,0,15,1,0,0,0,0,0,0,1,0,0,0,1,373,0,2,375
293,207(A),100,1,147,0,1,79,1,36,1,0,0,0,0,0,0,0,0,1,0,0,367,0,2,369
294,208,198,1,245,3,2,166,5,21,0,0,0,0,0,2,0,2,0,0,3,0,648,0,3,651
295,209,117,0,256,0,1,146,1,31,0,0,0,1,0,0,0,0,0,0,0,0,553,0,4,557
296,210,118,0,203,0,0,97,4,21,0,1,0,0,0,0,0,0,0,0,2,0,446,0,3,449
297,211,142,0,211,0,0,165,4,45,0,0,1,0,0,0,0,0,1,0,1,0,570,0,4,574
298,212,126,0,181,0,0,144,0,26,0,0,0,0,0,0,0,0,1,0,1,0,479,0,7,486
299,213,191,2,282,0,1,164,4,23,0,0,0,0,1,0,0,2,0,0,2,2,674,0,6,680
300,214,107,0,184,0,0,102,4,31,0,2,2,0,0,0,0,0,0,0,0,0,432,0,1,433
301,215,141,2,251,0,2,141,6,36,0,0,1,1,1,0,0,2,0,1,0,0,585,0,4,589
302,216,79,0,183,1,0,115,4,26,0,0,0,0,0,0,0,0,0,0,0,0,408,0,2,410
303,216(A),84,2,170,0,1,92,3,39,0,0,0,0,0,0,0,0,0,0,0,1,392,0,1,393
304,217,111,0,113,0,0,82,2,23,0,0,0,0,0,0,0,1,0,0,0,0,332,0,5,337
305,217(A),103,0,80,0,0,67,2,30,0,0,0,0,0,1,1,1,0,0,1,0,286,0,2,288
306,218,73,0,126,0,1,96,4,12,1,0,0,0,0,0,0,0,1,0,0,0,314,0,4,318
307,218(A),85,1,125,0,0,47,0,8,0,0,1,0,1,2,1,5,1,1,2,0,280,0,0,280
308,219,82,0,184,0,0,93,5,28,0,0,0,0,0,0,0,0,0,0,0,0,392,0,5,397
309,219(A),93,0,193,1,1,62,3,13,0,0,1,0,1,0,0,0,1,0,1,0,370,0,6,376
310,220,148,0,218,0,0,167,1,27,0,0,1,0,0,0,0,0,0,1,1,0,564,0,5,569
311,221,104,1,207,2,2,117,1,19,0,0,1,0,0,1,0,1,0,0,1,0,457,0,3,460
312,222,142,1,236,0,2,194,5,17,0,0,1,0,0,0,1,0,0,0,2,0,601,0,5,606
313,223,125,2,220,1,0,123,2,18,0,0,1,0,0,0,1,0,1,0,2,0,496,0,6,502
314,224,86,0,152,0,0,122,3,15,0,0,0,0,0,0,0,1,0,0,0,0,379,0,2,381
315,224(A),91,3,148,2,1,93,0,19,1,0,1,0,0,0,0,1,0,0,0,0,360,0,3,363
316,225,63,0,92,0,0,44,5,11,2,0,2,0,0,0,0,0,1,0,1,0,221,0,1,222
317,226,103,0,175,0,2,125,3,24,0,0,0,1,0,1,0,2,0,0,0,1,437,0,6,443
318,226(A),137,0,149,0,1,90,2,28,0,0,0,1,0,0,0,1,0,0,1,0,410,0,4,414
319,227,118,0,184,1,0,103,1,35,0,0,0,0,0,0,0,2,1,0,0,0,445,0,12,457
320,228,84,0,98,0,1,96,3,22,0,0,0,0,0,0,0,0,0,0,0,0,304,0,2,306
321,228(A),111,1,110,2,0,72,4,20,0,0,2,0,0,0,0,2,0,0,1,0,325,0,1,326
322,229,59,0,199,3,1,93,3,8,0,0,0,0,0,0,0,1,0,0,2,0,369,0,0,369
323,229(A),77,1,200,0,2,76,5,10,0,0,1,0,0,0,0,0,1,1,1,0,375,0,0,375
324,230,89,2,260,1,0,107,0,25,0,0,2,0,0,0,0,0,0,1,0,0,487,0,1,488
325,231,65,2,442,1,1,42,4,6,0,1,0,0,0,6,0,2,1,0,0,0,573,0,1,574
326,232,62,2,167,0,0,83,0,14,0,0,0,0,0,1,0,0,6,0,0,0,335,0,1,336
327,232(A),75,1,216,2,1,64,1,6,0,0,1,0,0,1,0,0,3,0,0,0,371,0,0,371
328,233,98,1,304,0,0,126,5,2,0,0,0,0,1,0,0,0,10,0,1,0,548,0,1,549
329,234,94,0,266,1,1,110,5,35,0,0,2,0,0,1,0,1,5,1,0,0,522,0,7,529
330,235,97,1,336,2,0,96,1,10,1,0,0,0,0,0,2,0,1,0,0,0,547,0,5,552
331,236,81,1,253,2,1,177,0,12,0,0,0,0,0,0,0,0,4,0,0,0,531,0,4,535
332,236(A),96,1,281,0,2,141,0,14,0,0,1,0,1,0,1,1,1,0,1,0,541,0,1,542
333,237,197,3,253,1,2,144,2,12,0,0,0,2,1,2,1,0,3,1,2,0,626,0,1,627
334,238,231,1,262,0,1,137,3,5,0,1,0,1,0,1,0,3,10,0,7,0,663,0,4,667
335,239,121,1,231,0,1,95,12,6,0,0,0,1,0,0,1,0,32,0,0,0,501,0,1,502
336,240,184,2,278,2,0,68,1,14,0,0,0,0,0,0,0,4,7,0,0,0,560,0,1,561
337,241,241,3,362,1,1,118,0,11,0,0,2,0,1,0,0,1,1,0,1,1,744,0,1,745
338,242,232,1,305,0,0,96,0,8,0,0,0,0,0,1,0,0,2,0,0,0,645,0,0,645
339,243,126,0,200,1,0,95,0,9,0,0,0,0,1,0,0,3,2,0,0,0,437,0,0,437
340,243(A),137,2,222,2,0,74,3,12,0,0,1,1,0,0,0,2,1,0,0,0,457,0,1,458
341,244,102,0,314,1,0,94,7,10,0,0,1,0,0,1,1,0,11,0,1,1,544,0,2,546
342,245,66,0,315,2,2,130,1,12,2,0,1,0,0,0,0,0,23,0,1,0,555,0,2,557
343,246,29,0,270,1,0,51,5,5,0,0,0,0,0,0,0,0,1,0,0,0,362,0,1,363
344,246(A),34,0,256,2,3,57,5,10,1,0,1,0,1,4,0,1,5,0,0,0,380,0,1,381
345,247,31,0,304,1,0,81,9,6,0,0,0,0,0,0,0,0,1,0,0,0,433,0,2,435
346,247(A),31,1,355,1,0,46,7,7,0,0,2,0,1,0,0,0,2,0,0,0,453,0,0,453
347,248,51,2,226,0,1,65,3,4,1,0,0,0,0,0,0,1,3,0,0,0,357,0,1,358
348,248(A),57,0,254,3,0,47,1,3,2,1,0,0,0,3,0,0,1,0,0,0,372,0,3,375
349,249,63,0,261,0,0,85,1,9,1,0,0,0,0,0,0,1,7,0,0,2,430,0,2,432
350,249(A),63,1,297,1,1,58,1,10,0,0,0,0,0,1,1,1,2,0,1,1,439,0,2,441
351,250,143,0,284,0,1,91,4,28,2,0,0,0,0,0,0,3,8,0,0,0,564,0,1,565
352,251,63,0,163,2,2,93,2,15,6,0,1,1,0,0,1,1,7,0,0,0,357,0,2,359
353,251(A),77,0,219,0,2,58,1,14,4,0,1,2,0,0,0,0,3,0,1,0,382,0,2,384
354,252,105,2,282,2,3,110,3,11,7,0,0,0,0,1,0,2,5,0,0,0,533,0,0,533
355,253,177,0,195,0,0,80,0,16,0,0,0,0,0,0,0,0,3,0,0,0,471,0,3,474
356,253(A),197,0,197,1,0,53,0,17,0,0,0,0,0,0,0,1,0,0,0,0,466,0,3,469
357,254,101,0,139,0,0,92,2,22,0,0,1,0,0,0,0,0,0,0,0,0,357,0,5,362
358,254(A),101,0,141,2,0,85,2,15,0,0,0,0,0,0,0,0,3,0,0,0,349,0,1,350
359,255,81,0,127,0,0,83,0,15,0,0,0,0,0,1,0,0,0,0,0,0,307,0,1,308
360,255(A),71,0,124,0,1,79,2,13,0,0,1,0,0,0,0,0,0,0,0,0,291,0,2,293
361,256,84,0,164,0,0,80,0,22,0,0,0,0,0,0,0,1,1,0,1,0,353,0,6,359
362,257,129,1,205,1,0,120,3,30,1,0,0,0,0,0,0,3,1,1,0,2,497,0,5,502
363,258,86,1,204,0,1,121,4,42,0,0,0,2,0,0,0,0,0,0,0,0,461,0,1,462
364,259,104,2,197,0,0,131,4,28,0,0,1,0,0,0,0,3,1,0,0,0,471,0,0,471
365,260,122,2,200,0,0,133,1,17,0,0,0,0,0,0,0,3,1,0,2,0,481,0,4,485
366,261,121,0,179,1,1,125,6,20,0,0,0,0,0,0,0,1,1,0,0,0,455,0,1,456
367,261(A),111,4,212,1,1,92,5,22,0,0,1,0,0,0,1,1,1,0,0,0,452,0,1,453
368,262,133,3,196,0,0,76,10,29,0,0,0,0,0,0,0,0,2,0,0,0,449,0,1,450
369,263,108,0,218,1,0,140,2,38,0,0,1,0,0,0,0,0,0,0,0,0,508,0,2,510
370,264,109,0,198,1,0,130,1,21,0,0,1,0,0,0,0,1,4,0,0,0,466,0,3,469
371,264(A),103,0,188,1,1,94,1,19,1,0,1,0,0,0,0,1,1,0,0,0,411,0,6,417
372,265,151,1,244,1,0,199,5,35,0,0,0,0,0,0,0,0,0,0,3,0,639,0,4,643
373,266,60,2,154,0,0,71,0,25,0,0,0,0,0,0,0,0,0,0,0,0,312,0,1,313
374,267,101,0,164,0,1,117,0,19,1,0,0,0,0,0,0,1,0,0,0,0,404,0,3,407
375,267(A),102,0,159,0,3,90,0,26,0,0,0,0,0,0,0,1,1,2,0,0,384,0,3,387
376,268,117,0,183,0,0,137,3,26,0,0,0,0,0,0,0,1,0,0,0,0,467,0,4,471
377,269,94,1,142,1,2,105,1,26,2,0,1,0,0,0,0,0,3,1,1,0,380,0,2,382
378,269(A),95,1,125,0,0,79,3,29,0,0,0,1,0,0,0,0,2,3,3,0,341,0,3,344
379,270,158,0,235,1,1,177,2,34,0,0,0,0,0,0,0,0,1,0,1,0,610,0,2,612
380,271,166,0,273,1,1,145,1,41,0,0,0,0,1,1,0,2,0,0,1,0,633,0,7,640
381,272,81,1,115,0,0,66,1,23,0,0,0,0,0,1,0,0,0,0,0,0,288,0,0,288
382,273,133,0,233,0,2,165,1,39,0,0,0,0,0,0,0,0,0,1,0,0,574,0,9,583
383,274,87,0,140,0,0,128,5,15,0,0,0,0,0,0,0,0,0,0,0,0,375,0,1,376
384,274(A),94,2,150,0,0,70,2,25,1,0,2,0,0,0,0,2,2,0,0,0,350,0,1,351
385,275,117,1,167,0,0,107,0,18,0,0,0,0,0,0,0,0,0,0,0,0,410,0,4,414
386,275(A),113,0,191,1,0,81,2,28,0,0,1,0,0,0,0,0,1,0,1,0,419,0,3,422
387,276,103,1,200,1,0,121,2,37,1,0,1,0,0,1,0,4,0,0,0,0,472,0,3,475
388,277,67,0,153,0,1,104,1,42,0,0,1,0,0,0,0,3,0,0,0,0,372,0,0,372
389,278,117,1,188,1,0,166,4,29,0,0,1,0,0,0,0,0,1,0,0,0,508,0,4,512
390,278(A),122,0,205,1,0,139,2,35,0,0,0,0,0,1,0,1,5,0,0,0,511,0,2,513
391,279,65,0,172,0,1,92,3,16,0,0,0,0,0,0,0,0,1,0,0,0,350,0,2,352
392,279(A),85,2,144,1,5,77,3,22,1,0,0,0,0,0,0,2,1,0,0,0,343,0,3,346
393,280,120,1,217,0,0,125,3,30,3,0,1,0,0,0,0,1,0,0,0,0,501,0,1,502
394,281,91,1,122,0,0,99,1,30,0,0,0,0,0,0,0,1,0,0,0,0,345,0,3,348
395,281(A),86,2,123,0,0,61,0,31,0,0,1,0,0,0,0,0,0,0,0,0,304,0,1,305
396,282,106,0,185,0,1,90,1,58,0,0,0,0,0,0,0,1,0,0,0,0,442,0,5,447
397,283,64,0,115,0,1,99,1,35,0,0,0,2,0,1,0,2,5,0,3,0,328,0,4,332
398,284,77,0,179,0,0,89,3,27,0,0,0,3,0,0,0,0,2,0,0,0,380,0,2,382
399,284(A),74,0,178,0,0,74,2,32,0,0,1,0,0,1,0,0,0,1,0,0,363,0,1,364
400,285,150,1,232,0,1,178,0,27,0,0,0,0,0,0,2,0,0,0,0,0,591,0,5,596
401,286,145,1,186,1,1,118,2,18,0,0,0,0,0,0,0,0,0,1,0,0,473,0,3,476
402,287,102,0,168,0,0,101,1,34,0,0,1,0,0,0,0,0,1,0,2,0,410,0,1,411
403,287(A),103,0,144,1,0,77,1,34,0,0,0,0,0,0,0,0,2,0,1,0,363,0,1,364
404,288,155,0,137,0,2,195,5,20,0,0,2,0,0,0,0,0,3,0,0,0,519,0,7,526
405,289,162,3,198,0,1,129,7,29,0,0,1,0,0,0,1,0,0,0,0,0,531,0,2,533
406,290,178,2,231,1,1,132,1,28,2,0,0,0,1,0,0,1,1,0,0,0,579,0,7,586
407,291,82,0,147,0,0,117,3,22,0,0,1,0,0,0,0,0,1,0,0,0,373,0,6,379
408,291(A),99,1,147,1,0,74,4,30,0,0,2,0,1,0,0,2,1,0,0,0,362,0,5,367
409,292,96,1,159,0,2,144,3,17,1,0,0,0,0,0,0,0,0,0,0,0,423,0,6,429
410,292(A),93,0,160,0,4,81,3,18,0,0,1,0,0,0,0,2,0,0,0,0,362,0,3,365
411,293,91,1,148,0,2,132,4,26,0,0,0,0,0,0,0,0,0,0,0,0,404,0,1,405
412,294,98,0,191,0,1,139,5,14,0,0,2,0,0,1,0,0,0,0,0,0,451,0,3,454
413,295,88,0,138,1,1,90,3,14,0,0,0,1,0,0,0,0,3,0,0,0,339,0,4,343
414,295(A),91,0,139,1,2,87,2,17,0,0,0,0,0,1,0,0,1,0,0,0,341,0,1,342
415,296,107,0,174,0,0,120,4,38,0,0,1,0,0,0,0,0,1,0,0,0,445,0,2,447
416,297,83,1,166,1,0,105,2,31,0,0,0,0,0,0,0,1,0,1,0,0,391,0,3,394
417,297(A),76,0,174,0,0,80,2,33,0,0,0,0,0,0,0,0,0,0,0,1,366,0,2,368
418,298,97,0,146,0,2,49,0,15,0,0,0,0,0,0,0,1,0,0,0,0,310,0,2,312
419,299,85,0,187,0,2,91,5,14,0,0,0,0,0,0,0,0,1,0,0,0,385,0,3,388
420,299(A),90,0,196,0,2,65,2,14,0,0,1,0,1,0,0,1,1,0,1,0,374,0,0,374
421,300,156,0,315,0,2,159,7,40,1,0,0,0,0,0,0,2,0,0,1,0,683,0,5,688
422,301,124,2,232,0,1,93,3,38,2,0,0,0,0,0,0,0,0,0,0,0,495,0,3,498
423,302,146,2,267,0,1,165,3,27,0,1,0,0,1,0,0,1,0,0,2,0,616,0,7,623
424,303,151,1,257,2,0,156,2,26,0,0,2,0,0,0,0,2,3,0,0,0,602,0,1,603
425,304,139,1,249,0,0,136,1,26,0,0,0,1,0,0,0,0,0,0,0,0,553,0,3,556
426,305,241,2,374,3,1,82,3,12,0,0,0,0,0,0,0,3,2,0,1,0,724,0,2,726
427,306,256,2,268,1,0,106,4,3,0,0,0,0,0,0,0,1,2,0,2,1,646,0,6,652
