Polling Station No.,Building,Polling Areas
12,"Panchayat Union Middle School, Kallupatti","1.Narayanapuram Melastreet ward1 , 2.Narayanapuram Asari street ward 1 , 3. Narayanapuram Azhagar street ward 1 , 4. Narayanapuram Pillaiyar koil street ward 1 , 5.Narayanapuram Kurusamy street ward 1 , 6.Narayanapuram East street ward 1 , 7.Narayanapuram Mayandi street ward 1 , 8.Narayanapuram Venkidasamy street ward 1 , 9.Narayanapuram Kaliyamman street ward 1 , 10. Narayanapuram(P) Middle street ward 1 , 11. Narayanapuram Muthaiya Street (Ward 1) , 12. Narayanapuram Sokkappan Street (ward 1) , 13.Narayanapuram Ramunayakar Street (Ward 1) , 14. Narayanapuram South Street (ward 1) , 15. Narayanapuram Krishnan Kovil Street (ward 1) , 16. Narayanapuram Muthukrishnan Street (ward 1) , 17.Narayanapuram Kalavayel street (ward 1) , 18.Narayanapuram Adiparasakthi Nagar (ward 1) , 19. Narayanapuram Kallupatti Muneeswaran street (ward 2)"
13,"Panchayat Union Elementary School, New Building, East Side, Kottaimedu","1. Narayanapuram V.V.A.nagar street (ward 3) , 2.Narayanapuram Alagarsamy Compoundu Street (Ward 3) , 3. Narayanapuram Asary Street (Ward 3) , 4.Narayanapuram Nethaji Street (Ward 3) , 5.Narayanapuram Sethupathy Street (Ward 3) , 6. Narayanapuram Palpannai Street (Ward 3) , 7. Narayanapuram Hemalatha Colony Street (Ward 3) , 8.Narayanapuram Reservelane Quarters (Ward 3) , 9.Narayanapuram Vellaiyadevar Nagar (Ward 3) , 10. Narayanapuram Azhagarsamy Thevar Street Ward 3"
14,"Panchayat Union Elementary School, New Building, South Side, Room No.1 Kottaimedu","1. Narayanapuram Maruthupandiyar Street (Ward3) , 2.Narayanapuram Muniyasamykovil Street (Ward3) , 3.Narayanapuram Muthalangulam North Street (Ward4) , 4.Narayanapuram Muthalangulam Middle Street (Ward4) , 5.Narayanapuram Muthalangulam East Street (Ward4) , 6.Narayanapuram Subash Nagar Ward3 , 7.Narayanapuram South Street Ward3 , 8 Narayanapuram North Steet Ward 3 , 9. Narayanapuram MuthuramalingaThevar silai street Ward3 10.Narayanapuram Palpannaistreet Ward3 , 11.Narayanapuram Sethupathi nagar ward3 , 12. Narayanapuram Muneeswaran Kovil street Ward3"
15,"Panchayat Union Elementary School, New Building, West Portion, Pasumpon","1.Thavasikurichi Colony1 2.Thavasikurichi Colony2 , 3.Pasumpon Colony 4.Pasumpon Colony Second Street ,5.Sodanendal, 6. Sodanenthal 7.Kadambankulam 8.Kadambankulam2,9.Kadambankulam3 10.Kadambankulam4"
16,"Panchayat Union Elementary School, New Building, Eastern Portion, Pasumpon",1. Thavasikurichi 2.Pasumpon Thavasikurichi2 3.Pasumpon South Street2 4.Pasumpon North Street 5.Pasumpon Pasumpon 6.Kottaimedu1 7.Kottaimedu2 8.Mudukulathur Road
17,"Anganwadi Centre, Sadayanendal",1.Sadaiyanenthal pallikuda street ward1 2.Sadayanendal North Street ward1 3.Sadaiyanenthal Post office street ward1 4.Sadaiyanenthal Oorani street ward1 5.Sadaiyanenthal Ponnusamy street ward1 6.Sadaiyanenthal South street ward1 7.Sadaiyanenthal Amman koil street ward1 8.Sadaiyanenthal Sankilidurai street ward1 9.A.Nedunkulam North street ward5 10.A.Nedunkulam Oorani east street ward5 11.A.Nedunkulam South street ward5 12.A.Nedunkulam Pallikuda street ward5
18,"Panchayat Union Elementary School, R.Sodanendal","1.Papankulam North street ward 3 , 2.Papankulam chinnathampi thevar street ward 3 , 3.Papangulam Middle street ward 3 , 4. Papangulam South street ward 3 , 5.Papangulam Pallikuda street ward 3 , 6.R.Sodanenthal North street ward 4 , 7.R.Sodanenthal Middle street ward 4 , 8.R.sodanenthal East street ward 4 , 9.R.Sodanenthal Muniyandi Vathiyar street ward 4 , 10.R.Sodanenthal Pallikuda street ward 4 , 11.R.Sodanenthal Koil street ward 4 , 12.R.Sodanenthal South street ward 4"
19,"Panchayat Union Elementary School, New Building, Nanthiseri","1.Sambakulam north street Ward3 , 2.Sambalulam south street Ward3 , 3.Poothathan Mela street ward7 , 4.Poothathan North street ward7 , 5.Poothathan Colony ward7 , 6.Poothathan middle street ward7 , 7.Poothathan Melnilai thotti street ward7 , 8.Poothathan South street ward7 , 9.Paluvur North street ward6 , 10.Paluvur Middle street ward6 , 11.Paluvur South street ward6 , 12.Nandiseri North street ward8 , 13.Nandiseri Middle street ward8 , 14.Nandiseri East street ward 8 , 15.Nandiseri Panchayath thalaivar street ward8 , 16.Nandiseri alahar koil street ward8 17.Nandiseri Melastreet ward8"
20,"Panchayat Union Elementary School, Anaiyur","1.Anaiyur mela street ward 1 , 2.Anaiyur North Street Ward 1 , 3.Anaiyur East Street Ward 1 , 4.Anaiyur south street ward 1 , 5.Chinna Anaiyur mela street ward 2 , 6.Chinna anaiyur east street ward 2 , 7.Chinna Anaiyur South Street Ward 2 , 8.Urathur North street Ward 2 , 9.Urathur south street ward 2 , 10.Puliyangulam mela street ward 3 , 11.Puliangulam north street ward 3 , 12.Puliankulam south street ward 3 , 13.Puliankulam keelamel street ward 3"
21,"Panchayat Union Elementary School, Maruthanganallur","1.Maruthanganallur east street ward 3 , 2.Maruthanganallur north street ward 3 , 3.Maruthanganallur middle street ward 3 , 4.Maruthanganallur south east street ward 3 , 5. Maruthankanallur south street ward 3 , 6.Maruthanganallur north west street ward 3 , 7.Maruthanganallur south west street ward 3 , 8.Maruthanganallur madathu street ward 4 , 9.Maruthanganallur west street ward 4 , 10.Iluppaikulam first street ward 4"
