Sl. No,Polling Station No,M ESWARI,S G BATCHA SIKKANDAR,EMAN J PANDIAMMAL,LARENEG,EHT B MANI,S SROTCELE S V E NAIDU RAJAKUMAR,OT R ELANGOVAN,SURESH KREMMER,R M KRISHNAPRABBU,. N SATHIYENDRAN,IARUDAM S SIVASANKAR,R K RAJASURIYAA,LARTNEC,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
319,219(A),2,167,109,1,8,17,44,0,0,3,1,0,0,2,1,355,0,355,0
320,220,1,165,100,0,6,38,56,0,0,4,1,0,0,1,9,381,0,381,0
321,220(A),0,158,130,0,3,18,55,0,0,3,3,0,1,1,2,374,0,374,0
322,221,2,237,160,1,3,56,55,1,4,2,3,1,2,1,5,533,0,533,0
323,222,3,302,178,1,7,36,66,3,5,5,1,0,0,0,6,613,0,613,0
324,223,4,276,97,1,15,37,50,0,2,2,8,0,1,1,5,499,0,499,0
325,224,0,159,57,0,14,35,38,1,1,7,1,1,0,1,5,320,0,320,0
326,224(A),0,155,86,2,9,21,27,0,0,4,1,1,0,0,3,309,0,309,0
327,225,0,197,80,0,10,38,53,0,0,6,4,0,0,0,7,395,0,395,0
328,226,0,300,111,0,9,46,55,1,1,2,4,0,0,1,3,533,0,533,0
329,227,0,217,89,0,17,47,52,1,0,9,1,0,0,1,4,438,0,438,0
330,228,1,239,158,2,8,45,55,0,2,36,1,0,0,0,9,556,0,556,0
331,229,2,188,129,0,11,54,54,0,0,5,4,0,1,0,5,453,0,453,0
332,229(A),0,186,140,2,7,39,37,1,2,4,2,0,1,1,3,425,0,425,0
333,230,0,165,130,3,10,58,34,0,0,7,1,0,0,0,6,414,0,414,0
334,230(A),1,176,184,2,17,21,29,0,5,11,0,1,1,0,3,451,0,451,0
335,231,0,204,99,1,20,59,29,0,0,1,3,1,1,0,3,421,0,421,0
336,231(A),1,198,120,1,17,29,30,0,0,1,2,0,0,3,8,410,0,410,0
337,232,3,352,91,0,2,25,23,1,1,2,2,0,0,0,3,505,0,505,0
338,232(A),2,345,125,0,2,27,12,0,1,1,2,0,0,1,2,520,0,520,0
339,233,0,580,147,2,3,25,28,2,0,1,2,0,0,0,7,797,0,797,0
340,234,1,359,15,1,52,26,9,0,0,7,0,0,0,0,1,471,0,471,0
341,234(A),4,379,16,0,54,16,10,0,0,6,0,0,1,2,1,489,0,489,0
342,235,0,142,99,1,3,30,33,0,0,12,0,1,3,0,4,328,0,328,0
343,235(A),2,106,115,0,1,22,39,1,1,8,0,0,0,2,1,298,0,298,0
344,236,1,395,38,0,77,12,19,1,0,8,1,0,1,2,6,561,0,561,0
345,237,0,330,20,0,39,17,18,0,0,1,1,0,0,0,3,429,0,429,0
346,238,0,362,17,0,50,12,5,0,0,11,0,0,0,0,1,458,0,458,0
347,238(A),1,324,13,0,27,7,8,0,1,8,0,0,0,1,3,393,0,393,0
348,239,0,100,36,0,5,21,12,1,0,1,1,0,0,0,1,178,0,178,0
349,239(A),0,101,45,0,8,11,18,0,0,0,0,0,0,0,1,184,0,184,0
