Sl. No,Polling Station No,M ESWARI,S G BATCHA SIKKANDAR,EMAN J PANDIAMMAL,LARENEG,EHT B MANI,S SROTCELE S V E NAIDU RAJAKUMAR,OT R ELANGOVAN,SURESH KREMMER,R M KRISHNAPRABBU,. N SATHIYENDRAN,IARUDAM S SIVASANKAR,R K RAJASURIYAA,LARTNEC,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
71,46(A),1,162,150,2,9,31,44,0,0,8,0,1,0,0,4,412,0,412,0
72,47,0,232,110,2,9,47,39,0,1,17,0,0,0,0,2,459,0,459,0
73,47(A),2,246,138,2,8,33,35,0,0,7,0,0,0,0,2,473,0,473,0
74,48,0,159,119,1,8,48,58,1,1,8,2,0,0,0,6,411,0,411,0
75,48(A),0,141,171,0,7,24,54,1,1,7,0,0,0,1,3,410,0,410,0
76,49,0,163,153,1,4,47,68,0,0,4,3,0,0,0,9,452,0,452,0
77,49(A),2,114,198,1,7,17,89,0,0,3,1,0,0,0,1,433,0,433,0
78,50,0,152,138,2,0,23,117,0,0,15,0,0,0,1,4,452,0,452,0
79,51,0,167,133,1,4,50,65,1,1,6,1,1,2,0,6,438,0,438,0
80,51(A),0,176,143,0,2,25,66,0,0,7,1,0,0,1,5,426,0,426,0
81,52,3,236,274,1,3,49,63,2,0,14,0,0,2,1,3,651,0,651,0
82,53,0,235,113,0,2,51,44,1,0,24,1,0,0,0,3,474,0,474,0
83,53(A),1,239,156,0,4,29,36,0,2,11,0,0,3,0,4,485,0,485,0
84,54,1,191,219,2,8,31,98,2,0,1,0,0,0,0,6,559,0,559,0
85,55,1,238,199,3,4,36,89,3,1,5,0,0,0,1,8,588,0,588,0
86,56,1,147,145,1,8,37,49,0,0,7,3,0,0,0,9,407,0,407,0
87,56(A),0,117,186,0,7,20,37,0,0,4,4,0,0,1,6,382,0,382,0
88,57,2,170,121,1,6,26,64,0,0,14,2,0,0,0,5,411,0,411,0
89,57(A),1,168,130,2,5,12,54,1,0,9,2,0,0,0,4,388,0,388,0
90,58,0,176,143,2,1,53,74,0,0,25,2,0,0,1,3,480,0,480,0
91,58(A),1,131,171,0,3,27,90,0,0,10,2,0,2,0,8,445,0,445,0
92,59,2,175,162,3,3,33,94,0,0,38,2,0,0,0,9,521,0,521,0
93,60,0,150,111,2,5,24,67,0,2,7,0,0,0,0,1,369,0,369,0
94,61,0,144,94,2,7,29,64,1,0,8,0,1,0,2,4,356,0,356,0
95,61(A),0,125,109,0,2,21,62,0,2,5,1,0,0,0,1,328,0,328,0
96,62,0,161,104,1,4,52,58,0,1,29,2,0,0,0,7,419,0,419,0
97,62(A),0,113,164,1,3,13,43,0,2,22,0,0,1,1,4,367,0,367,0
98,63,0,136,85,2,14,35,43,0,2,27,2,0,0,0,3,349,0,349,0
99,63(A),1,172,150,2,6,21,30,1,2,15,2,0,1,0,2,405,0,405,0
100,64,0,181,95,1,2,34,49,0,0,28,1,0,0,0,3,394,0,394,0
101,64(A),0,134,113,1,2,18,46,0,0,19,2,0,0,0,1,336,0,336,0
102,65,1,194,185,1,9,24,74,0,0,29,0,1,1,1,4,524,0,524,0
103,66,1,209,99,6,12,38,58,2,7,71,0,1,0,0,3,507,0,507,0
104,66(A),2,195,128,6,13,23,51,0,12,50,0,0,0,1,3,484,0,484,0
105,67,1,193,129,2,8,34,67,1,1,23,3,0,0,1,5,468,0,468,0
106,68,0,128,100,0,8,27,32,0,0,33,0,0,0,0,7,335,0,335,0
107,68(A),0,96,123,0,2,14,45,2,2,18,1,2,0,0,9,314,0,314,0
108,69,1,166,87,1,10,30,44,1,2,40,0,1,0,1,2,386,0,386,0
109,70,2,163,184,2,6,36,71,1,2,38,3,1,0,0,10,519,0,519,0
110,71,4,166,76,2,6,31,36,2,1,33,3,0,0,0,4,364,0,364,0
111,71(A),2,152,111,2,1,25,43,3,0,32,1,0,2,0,4,378,0,378,0
112,72,3,128,87,0,8,30,37,1,1,55,2,0,0,0,3,355,0,355,0
113,72(A),1,119,133,1,7,24,42,0,1,43,0,0,1,0,6,378,0,378,0
114,73,0,134,87,1,9,34,32,3,1,55,1,0,1,1,2,361,0,361,0
115,73(A),2,138,108,1,5,17,44,7,0,36,2,0,0,0,2,362,0,362,0
116,74,0,270,149,1,4,35,68,1,3,36,1,0,0,0,5,573,0,573,0
117,75,0,165,88,2,9,24,22,0,0,37,0,0,0,0,4,351,0,351,0
118,76,0,241,153,3,10,31,98,0,0,46,0,0,0,0,4,586,0,586,0
119,77,1,170,94,1,8,36,58,2,0,48,1,0,0,1,8,428,0,428,0
120,77(A),0,155,134,1,4,16,70,0,2,35,2,0,0,0,0,419,0,419,0
121,78,0,192,136,1,17,53,72,1,3,13,4,0,0,1,4,497,0,497,0
122,79,1,167,88,0,6,38,33,2,0,59,0,0,0,0,4,398,0,398,0
123,79(A),0,173,106,0,5,21,35,1,0,47,2,0,0,0,3,393,0,393,0
124,80,2,232,175,0,15,48,60,1,1,35,0,0,0,3,4,576,0,576,0
125,81,0,208,170,2,19,47,54,3,1,22,1,0,0,0,7,534,0,534,0
126,82,0,140,62,0,7,17,17,0,0,91,0,0,0,1,1,336,0,336,0
127,82(A),0,131,69,0,5,14,14,0,0,83,2,0,1,0,2,321,0,321,0
128,83,2,203,82,0,6,26,49,1,0,31,1,0,0,0,3,404,0,404,0
129,83(A),1,199,86,0,2,25,41,4,0,18,0,0,0,1,5,382,0,382,0
130,84,0,181,88,0,10,34,43,1,0,42,3,0,0,1,4,407,0,407,0
131,84(A),1,150,128,0,4,17,49,1,2,36,5,0,1,0,4,398,0,398,0
132,85,0,211,107,0,18,26,39,0,0,81,1,0,0,0,2,485,0,485,0
133,86,2,202,87,1,6,27,40,1,0,45,1,0,1,0,7,420,0,420,0
134,87,1,192,159,0,19,51,63,0,2,45,2,0,0,0,4,538,0,538,0
135,88,3,202,80,0,8,37,26,0,0,85,0,1,0,0,1,443,0,443,0
136,89,0,136,70,0,12,30,20,0,0,65,0,0,0,0,3,336,0,336,0
137,89(A),2,133,72,1,13,11,29,0,3,67,0,0,0,1,0,332,0,332,0
138,90,1,273,135,1,5,28,56,2,1,44,4,0,0,0,4,554,0,554,0
139,91,0,255,137,2,3,43,51,0,1,61,0,0,0,0,5,558,0,558,0
140,92,0,201,70,0,6,30,32,0,0,45,2,0,0,0,7,393,0,393,0
141,92(A),0,190,70,2,7,25,35,0,0,42,0,0,0,0,1,372,0,372,0
142,93,0,131,83,0,4,45,36,0,1,41,3,0,1,0,6,351,0,351,0
143,93(A),0,122,114,3,8,19,40,0,1,32,4,0,0,0,4,347,0,347,0
144,94,0,155,94,0,23,39,47,0,0,179,2,0,0,0,5,544,0,544,0
145,95,0,186,91,0,9,24,16,1,0,134,3,0,0,0,3,467,0,467,0
146,96,0,206,60,0,7,36,47,0,1,137,1,0,0,0,3,498,0,498,0
147,97,0,291,99,1,22,43,38,0,1,124,2,0,0,0,5,626,0,626,0
148,98,1,152,72,0,7,22,22,0,1,29,0,0,1,0,2,309,0,309,0
149,98(A),2,145,99,1,5,10,33,1,1,48,0,0,0,1,3,349,0,349,0
150,99,0,163,68,1,5,47,38,2,0,37,0,0,0,0,3,364,0,364,0
151,99(A),1,153,85,0,3,22,48,0,2,29,0,0,0,0,1,344,0,344,0
152,100,1,156,49,0,3,33,49,1,0,21,2,0,0,0,6,321,0,321,0
153,101,1,195,93,0,5,54,41,0,1,13,3,0,0,1,9,416,0,416,0
154,101(A),1,188,95,0,8,25,41,0,1,19,3,1,2,1,3,388,0,388,0
155,102,4,477,84,1,1,33,50,0,1,18,1,0,0,0,0,670,0,670,0
156,103,0,161,65,0,3,28,41,0,0,8,3,0,0,0,2,311,0,311,0
157,103(A),1,166,67,0,2,16,36,0,0,3,0,0,0,0,1,292,0,292,0
158,104,0,277,105,3,10,32,63,1,0,17,2,0,0,0,6,516,0,516,0
159,105,0,202,36,0,4,23,43,0,0,14,1,0,0,0,2,325,0,325,0
160,105(A),1,177,38,0,3,12,40,1,0,9,1,0,1,0,2,285,0,285,0
161,106,0,170,80,1,8,46,72,1,1,23,1,0,0,0,2,405,0,405,0
162,106(A),0,187,108,1,9,30,71,1,1,20,1,0,1,1,4,435,0,435,0
163,107,0,214,77,1,7,44,39,1,0,19,1,0,0,1,2,406,0,406,0
164,107(A),0,220,91,1,3,24,38,0,2,19,0,0,0,0,2,400,0,400,0
165,108,0,204,90,0,9,22,36,0,1,6,2,0,0,0,2,372,0,372,0
166,108(A),0,177,100,1,6,22,39,0,3,5,0,0,1,0,1,355,0,355,0
167,109,0,163,47,0,6,18,43,2,0,7,1,0,0,0,8,295,0,295,0
168,109(A),0,154,69,1,1,7,38,0,0,3,0,0,0,1,3,277,0,277,0
169,110,0,343,97,0,8,44,52,1,0,26,5,0,0,1,2,579,0,579,0
170,111,0,188,108,0,6,56,60,0,0,48,7,0,1,0,6,480,0,480,0
171,112,3,221,110,2,19,41,55,0,0,35,1,0,0,1,4,492,0,492,0
172,113,0,177,81,0,7,35,28,0,2,13,1,0,1,0,10,355,0,355,0
173,113(A),0,178,85,1,5,24,25,0,1,5,4,0,0,0,3,331,0,331,0
174,114,0,209,51,0,1,19,15,0,0,6,2,0,0,0,2,305,0,305,0
175,115,0,208,68,0,2,53,48,1,0,19,1,0,1,0,5,406,0,406,0
176,115(A),1,219,102,0,3,32,38,0,0,21,0,0,0,0,4,420,0,420,0
177,116,0,202,81,1,4,34,23,0,0,5,1,1,1,2,3,358,0,358,0
178,117,1,132,106,0,8,23,39,0,0,11,0,0,0,0,3,323,0,323,0
179,118,1,314,128,2,4,43,30,1,2,15,1,0,0,1,4,546,0,546,0
180,119,3,311,72,0,7,26,19,0,0,4,2,0,1,0,6,451,0,451,0
181,119(A),2,347,86,2,9,9,12,0,0,1,0,1,0,5,5,479,0,479,0
182,120,1,262,103,0,4,34,53,7,0,42,4,0,0,2,5,517,0,517,0
183,121,0,127,50,0,2,16,23,0,0,1,2,0,0,0,3,224,0,224,0
184,121(A),0,132,58,1,2,17,32,0,0,0,4,0,0,0,3,249,0,249,0
185,122,1,136,93,0,5,17,51,1,0,3,0,0,0,0,4,311,0,311,0
186,123,0,187,88,0,6,21,44,0,1,8,1,0,0,0,6,362,0,362,0
187,123(A),0,173,86,0,3,17,39,0,0,8,3,0,1,0,6,336,0,336,0
188,124,3,222,175,0,11,25,60,3,1,4,1,0,1,2,4,512,0,512,0
189,125,0,274,156,0,8,31,49,0,0,11,0,0,1,0,12,542,0,542,0
190,126,1,196,119,0,10,25,47,0,1,5,2,0,1,1,3,411,0,411,0
191,127,0,139,91,0,5,20,30,1,1,16,4,0,0,0,6,313,0,313,0
192,127(A),2,111,91,0,4,15,38,0,2,9,4,0,0,0,3,279,0,279,0
193,128,0,211,118,1,7,24,40,2,2,8,2,0,0,0,7,422,0,422,0
194,129,1,204,199,1,3,31,71,0,1,9,3,0,0,2,4,529,0,529,0
195,130,0,173,98,2,2,30,46,0,0,11,0,0,0,1,2,365,0,365,0
196,131,0,180,158,1,12,24,38,0,1,7,1,1,0,0,4,427,0,427,0
197,132,0,218,146,0,5,27,53,0,0,6,3,0,0,1,10,469,0,469,0
198,133,1,392,94,0,10,31,35,0,2,2,3,1,0,0,2,573,0,573,0
199,134,0,214,59,0,9,35,20,0,0,11,2,0,0,0,1,351,0,351,0
