Sl. No,Polling Station No,O.S.MANIAN,S.K.VETHARATHINAM,P.S.ARUMUGAM,emaN,eht K.RAJENDRAN,LARENEG srotcelE DR.T.SUNDARAVADIVE LAN,S ALI MOHAMED,OT R.RAMAMURTHY,T.RAMAJAYAM,TRAP ALNT R.KATHIRVEL,I MAYNARADEV P.V.THEENATHAYALAN,V.VEERAKUMAR,Total,LS.ONTotalNo.ofElectorsinAssemblyConstituencyNo.NameoftheAssemblyConstituency,Total Valid Votes,Rejected Votes,Total Votes
135,113,2,365,275,3,37,0,2,1,0,0,1,0,686,0,0,686,0
136,114,5,300,231,4,46,0,5,0,1,0,1,0,593,0,2,595,0
137,115,0,296,261,7,65,0,4,1,1,1,0,2,638,0,3,641,0
138,116,1,222,190,4,42,0,1,0,1,0,0,0,461,0,0,461,0
139,117,1,333,229,13,50,0,2,0,0,2,1,2,633,0,3,636,0
140,118(M),1,182,139,3,65,1,1,0,0,0,0,1,393,0,0,393,0
141,118A(W),4,249,129,5,43,2,1,1,1,1,5,3,444,0,2,446,0
142,119,3,392,188,5,13,0,0,0,0,0,10,0,611,0,3,614,0
143,120,1,353,256,2,72,0,1,0,0,0,0,0,685,0,2,687,0
144,121,0,410,235,3,41,2,2,0,0,1,0,0,694,0,2,696,0
145,122,3,406,203,1,44,1,2,0,0,0,3,3,666,0,5,671,0
146,123,2,240,111,1,36,1,1,1,1,1,4,2,401,0,2,403,0
147,124,1,146,391,5,16,0,3,0,0,0,1,0,563,0,1,564,0
148,125,0,267,183,3,33,0,1,0,0,0,0,2,489,0,3,492,0
149,126,0,326,244,2,54,2,0,0,0,0,1,2,631,0,5,636,0
150,127,2,515,214,3,53,1,1,0,0,1,3,2,795,0,2,797,0
151,128,0,198,212,0,38,0,0,0,0,0,0,0,448,0,2,450,0
152,129,2,266,203,4,45,1,0,0,1,0,2,2,526,0,4,530,0
153,130,4,320,291,4,72,0,2,0,0,0,2,1,696,0,3,699,0
154,131,0,349,343,1,52,2,4,0,1,1,3,1,757,0,6,763,0
155,132,2,337,220,20,45,1,0,0,0,0,4,2,631,0,1,632,0
156,133,2,298,195,7,25,1,1,0,0,1,0,0,530,0,5,535,0
157,134,3,331,258,7,37,0,3,0,1,0,1,2,643,0,2,645,0
158,135,0,290,260,2,38,0,3,0,0,0,2,0,595,0,4,599,0
159,136,3,315,261,0,21,0,1,1,0,0,0,1,603,0,5,608,0
160,137(M),3,203,238,8,32,0,0,0,0,0,0,0,484,0,1,485,0
161,137A(W),1,243,267,22,0,0,0,0,0,0,1,1,535,0,1,536,0
162,138(M),3,201,185,13,35,0,3,0,0,0,0,0,440,0,2,442,0
163,138A(W),4,235,245,4,32,0,2,0,0,0,0,2,524,0,5,529,0
164,139(M),3,218,194,4,22,0,1,0,0,0,0,0,442,0,2,444,0
165,139A(W),3,262,182,5,20,0,0,1,0,1,2,0,476,0,3,479,0
166,140,2,347,170,10,25,0,1,0,0,1,3,0,559,0,2,561,0
167,141,0,329,252,9,33,1,3,0,1,1,1,0,630,0,2,632,0
168,142(M),0,169,184,3,23,0,0,0,0,0,1,0,380,0,1,381,0
169,142A(W),0,254,180,4,11,0,0,1,0,0,0,0,450,0,3,453,0
170,143,2,394,363,10,48,1,0,2,0,1,4,3,828,0,4,832,0
171,144,2,281,418,10,51,1,2,0,1,0,0,0,766,0,2,768,0
172,145,1,364,256,4,26,0,3,1,0,0,0,0,655,0,3,658,0
173,146,0,181,306,3,24,0,1,0,0,0,1,0,516,0,6,522,0
174,147,2,312,322,5,39,0,7,0,0,1,0,1,689,0,2,691,0
175,148,0,301,361,5,25,0,3,0,0,1,1,1,698,0,1,699,0
176,149,2,387,287,3,37,0,3,0,1,1,1,0,722,0,3,725,0
177,150,2,504,240,6,72,2,1,0,0,2,2,2,833,0,6,839,0
178,151,2,315,280,5,47,1,4,1,0,1,2,1,659,0,2,661,0
179,152,2,355,353,7,36,0,0,1,1,0,3,2,760,0,5,765,0
180,153,1,277,368,13,36,1,0,0,1,0,0,0,697,0,3,700,0
181,154,0,253,188,0,13,0,6,0,0,0,0,1,461,0,0,461,0
182,155(M),2,174,237,3,34,0,2,0,0,0,0,1,453,0,2,455,0
183,155A(W),0,214,262,2,25,1,1,2,0,2,0,2,511,0,1,512,0
184,156,0,290,141,8,19,0,1,0,0,0,1,0,460,0,3,463,0
185,157,6,376,203,5,44,0,2,0,0,0,0,1,637,0,5,642,0
186,158,1,434,152,4,45,0,7,1,0,0,0,3,647,0,5,652,0
187,159,5,321,209,2,41,0,3,0,0,2,1,2,586,0,3,589,0
188,160,2,180,277,4,35,0,1,0,1,0,0,0,500,0,1,501,0
189,161,1,263,246,2,50,0,5,1,1,1,2,3,575,0,3,578,0
190,162,5,301,389,13,52,1,6,1,0,2,2,2,774,0,1,775,0
191,163(M),0,176,239,3,33,0,4,0,0,1,2,1,459,0,3,462,0
192,163A(W),1,239,215,4,22,1,4,0,0,0,1,1,488,0,4,492,0
193,164,0,241,148,15,48,0,1,1,0,0,0,0,454,0,0,454,0
194,165,2,335,247,12,76,0,1,2,0,0,0,0,675,0,7,682,0
195,166,0,542,67,1,8,0,0,0,1,0,1,2,622,0,2,624,0
196,167,0,287,398,4,56,0,2,0,0,0,1,1,749,0,2,751,0
197,168(M),0,220,211,3,31,0,1,0,1,0,0,0,467,0,1,468,0
198,168A(W),4,276,208,4,39,0,4,1,2,0,1,2,541,0,4,545,0
199,169,2,350,297,6,77,1,1,1,1,1,4,3,744,0,0,744,0
200,170,1,243,159,0,36,0,1,0,0,0,0,0,440,0,3,443,0
201,171,4,328,227,4,30,1,1,0,1,0,6,0,602,0,0,602,0
202,172(M),3,259,143,4,64,0,2,0,0,0,0,0,475,0,1,476,0
203,172A(W),1,360,144,1,30,1,0,0,1,0,1,1,540,0,1,541,0
204,173,3,355,191,4,41,1,1,0,1,0,1,2,600,0,4,604,0
205,174(M),0,229,113,6,34,0,5,1,0,0,0,1,389,0,2,391,0
206,174A(W),7,285,124,4,30,0,1,0,0,1,1,2,455,0,2,457,0
207,175(M),2,213,161,6,36,1,1,0,0,0,0,1,421,0,0,421,0
208,175A(W),2,223,158,1,22,0,2,0,2,0,5,2,417,0,3,420,0
209,176(M),0,252,139,4,60,0,2,0,0,0,0,1,458,0,5,463,0
210,176A(W),2,284,130,4,21,0,0,0,1,0,2,4,448,0,1,449,0
211,177,2,365,236,0,15,0,1,0,0,0,0,0,619,0,5,624,0
212,178,2,398,359,10,67,1,1,0,0,2,0,2,842,0,1,843,0
213,179,1,236,206,13,39,0,2,0,0,0,0,0,497,0,0,497,0
214,180,1,392,371,2,38,1,1,0,0,0,2,1,809,0,7,816,0
215,181(M),1,138,245,3,28,1,3,0,0,0,0,0,419,0,2,421,0
216,181A(W),1,175,308,2,15,0,0,0,0,0,3,1,505,0,1,506,0
217,182,2,330,376,3,13,0,1,0,0,1,0,1,727,0,0,727,0
218,183,6,300,278,4,31,0,2,0,0,0,7,2,630,0,8,638,0
219,184,2,256,230,1,9,0,1,2,0,0,1,0,502,0,3,505,0
220,185,2,257,312,3,19,0,3,0,0,1,1,0,598,0,2,600,0
221,186,2,274,390,2,16,2,4,0,0,1,1,0,692,0,6,698,0
222,187(M),0,154,235,2,27,1,1,0,0,0,0,1,421,0,1,422,0
223,187A(W),1,239,248,4,29,0,1,1,0,0,0,0,523,0,1,524,0
224,188,2,288,196,6,5,0,4,1,0,1,0,1,504,0,0,504,0
225,189,2,310,273,4,16,0,3,0,0,0,2,0,610,0,1,611,0
226,190,0,305,301,13,6,0,0,0,0,1,0,1,627,0,3,630,0
227,191,0,233,329,5,21,0,2,0,0,0,0,1,591,0,4,595,0
228,192,1,59,378,1,12,0,6,0,0,0,0,0,457,0,2,459,0
229,193,0,225,196,0,24,0,4,0,0,2,1,0,452,0,4,456,0
230,194,1,55,334,1,9,0,3,0,0,0,2,0,405,0,1,406,0
231,195,0,123,302,3,11,0,4,0,0,0,0,1,444,0,1,445,0
232,196(M),1,368,55,4,41,1,1,0,0,0,0,0,471,0,2,473,0
233,196A(W),2,517,39,4,23,0,2,0,0,0,3,1,591,0,1,592,0
234,197,1,472,27,1,35,0,0,0,0,0,0,3,539,0,3,542,0
235,198,1,519,65,0,31,0,0,0,0,0,0,1,617,0,2,619,0
236,199,2,397,278,3,65,1,2,0,0,1,0,3,752,0,6,758,0
237,200,1,181,186,1,32,0,2,0,0,0,2,0,405,0,3,408,0
238,201,1,250,213,1,26,0,7,0,0,0,1,1,500,0,0,500,0
239,202,3,309,269,9,28,0,8,1,0,1,0,2,630,0,1,631,0
240,203(M),2,282,186,1,46,1,1,0,0,0,0,1,520,0,1,521,0
241,203A(W),2,382,139,2,19,0,4,0,0,1,2,0,551,0,4,555,0
242,204,0,242,175,4,22,0,4,0,0,0,0,1,448,0,2,450,0
243,205,0,408,168,8,31,0,13,1,0,0,0,1,630,0,4,634,0
244,206,2,293,205,3,30,0,3,0,1,0,0,0,537,0,2,539,0
245,207,2,459,195,9,54,2,2,0,0,1,0,5,729,0,5,734,0
246,208(M),2,190,148,6,33,1,1,0,0,0,0,0,381,0,2,383,0
247,208A(W),0,198,138,5,25,0,3,1,0,0,0,0,370,0,3,373,0
248,209,1,324,114,0,34,0,0,1,0,1,2,1,478,0,4,482,0
249,210,0,307,165,3,31,0,4,0,0,1,0,0,511,0,3,514,0
250,211,3,306,128,4,42,0,2,0,0,1,3,2,491,0,7,498,0
251,212,2,315,161,5,60,0,1,0,0,1,1,2,548,0,2,550,0
252,213,2,273,147,9,50,1,3,1,1,0,1,0,488,0,2,490,0
253,214,4,450,191,19,28,1,0,0,1,2,3,4,703,0,3,706,0
254,215(M),0,293,147,14,20,0,0,0,0,0,2,0,476,0,3,479,0
255,215A(W),4,360,120,6,17,0,0,0,0,1,0,2,510,0,9,519,0
256,216,3,274,162,8,35,0,4,0,0,2,0,3,491,0,5,496,0
257,217,0,390,168,6,47,0,7,0,1,0,0,0,619,0,3,622,0
258,218(M),1,169,239,1,19,0,3,0,1,2,0,0,435,0,3,438,0
259,218A(W),1,223,253,0,8,0,1,0,0,2,1,1,490,0,2,492,0
260,219,1,310,217,5,28,0,1,2,0,0,3,3,570,0,3,573,0
