Sl. No,Polling Station No,Raja.N Makkal Katchi Sakthi Desiya,G Kamalakannan. Tamilnadu Ilangyar Katchi,Karthikeyan.R. Tamilar Katchi Naam,Sarathbabu Maiam Needhi Makkal,Subashree Arasiyal Makkal Anaithu,Suresh.R.Dr. Manavadhikaa Federal Bhartiya r,Thameem Mohammed M Ansari. India Democratic of Party Social,Chinnadurai Rajesh South Democratic of National India Party,Vincent.J India (Athawale) Republican of Party,Anbarasu.E Independent,Anbarasu.S Independent,M Anbarasu. Independent,M Kumar. Ashok Independent,Mohammed Ali Independent,Lincon.A Abraham Independent,Sathiyaraj.P Independent,Saravanan.K Independent,Saravanan.C Independent,S.V. Saravanan Independent,Nithiyanandam.S Independent,Raji.B Independent,Sridhar.S Independent,Sridhar.S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
37,25,221,183,1,2,76,52,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,548,0,548,0
38,26 M,169,126,0,1,51,34,0,0,2,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,10,399,0,399,0
39,26 AW,145,131,0,1,30,48,0,1,2,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,1,4,369,0,369,0
40,27,165,114,0,0,30,28,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,342,0,342,0
41,28,184,195,0,2,50,22,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,1,1,463,0,463,0
42,29,212,150,1,2,41,11,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,422,0,422,0
43,30 M,132,70,0,1,30,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,270,0,270,0
44,30 AW,104,73,1,0,25,42,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,253,0,253,0
45,31,242,137,0,5,46,47,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,483,0,483,0
46,32 M,227,108,0,1,48,35,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,426,0,426,0
