Polling Station No.,Building,Polling Areas
174,174,"Kanniyakumari Dist. Central Coir Sales Co-operative Society Ethamozhi,Office Room - 629501"
175,175,"St. Antony's. Primary School, Periakadu, North Building West Portion , Science Lab"
176,176,"St. Marys High School, Kesavanputhenthurai,Main Building, East Portion - 629501"
177,177,"St. Marys High School, Kesavanputhenthurai,Main Building, Middle Portion - 629501"
179,179,"Infant Jesus Middle School, Puthenthurai,West New Building, North Portion - 629501"
180,180,"Infant Jesus Middle School, Puthenthurai,West New Building, South Portion - 629501"
182,182,"St. Jude Thatheyus Higher Sec School, Pallamthurai,South Building, East Portion - 629601"
183,183,"St. Jude Thatheryus Higher Sec School Pallamthurai,South Building, West Portion - 629601"
184,138 138,138M
184,184,"St. Jude Thatheryus Higher Sec School Pallamthurai,New Building, Middle Portion - 629601"
185,,138 A(W)
186,139 139,139M
186,186,"LMPC , Higher Secondary School, Puthalam,New Building, West Portion - 629602"
187,,139 A(W)
187,187,"LMPC , Higher Secondary School, Puthalam,New Building, West Portion - 629602"
188,188M,"LMPC, Higher Secondary School, Puthalam,New Building, East Portion - 629602"
188,188 A(W),"LMPC, Higher Secondary School, Puthalam,New Building, Middle Portion - 629602"
190,141 141,141M
190,190,"Govt. Primary School, Puthalam,Main Building, North Portion - 629602"
191,,141 A(W)
191,191,"Govt. Primary School, Thengamputhoor,South West Building - 629603"
192,142 142,142M
192,192,"Govt. Primary School, Thengamputhoor,South West Building - 629603"
193,,142 A(W)
193,193,"Govt. Middle School, Chothavilai,Main Building, West Portion - 629602"
195,144 144,144M
195,195,"Govt. Middle School, Chothavilai,New Building, North Portion - 629602"
196,,144 A(W)
196,196,"St. Andrews Primary School, Manakudithurai,New Building, East Portion - 629602"
197,197,"St. Andrews Primary School, Manakudithurai,New Building, East Portion - 629602"
198,146 146,146M
198,198,"St. Andrews Primary School, Manakudithurai,New Building, West Portion - 629602"
199,,146 A(W)
200,200,"St. Antonys Middle School, Senbagaramanputhenthurai,Main Building, East Portion - 629602"
201,201,"St. Antonys Middle School, Senbagaramanputhenthurai,Main Building, East Portion - 629602"
202,202,"Govt. High School, Eraviputhoor,New Building, South Portion - 629402"
203,150 150,150M
203,203,"Govt. High School, Eraviputhoor,New Building, South Portion - 629402"
204,,150 A(W)
204,204,"Govt. High School, Nalloor, Main Tiled Building West Portion - 629704"
205,205,"Govt. High School, Nalloor,Main Tiled Building East Portion - 629704"
206,152 152,152M
206,206,"Govt. Middle School, Nalloor,West New Building Eastern Portion - 629704"
207,,152 A(W)
207,207,"Govt. Middle School, Nalloor,West New Building, West Portion - 629704"
209,209,"L. M.S. Hr. Sec. School, Jamestown,Rev.James Russel Block South Portion - 629401"
210,210,"L. M.S. Hr. Sec. School, Jamestown,Bicentenary Block South East Portion - 629401"
211,211,"L. M.S. Hr. Sec. School, Jamestown,Rev.James Russel Block North Portion - 629401"
212,157 157,157M
212,212,"L. M.S. Hr. Sec. School, Jamestown,Bicentenary Block, Middle Portion - 629401"
213,,157 A(W)
213,213,"Govt. High School, Kanagappapuram,New Building, North Portion - 629401"
214,214,"Govt. High School, Kanagappapuram,New Building, South Portion - 629401"
216,160 160,160M
216,216,"Govt. High School, Variyoor,East Building - 629401"
217,,160 A(W)
217,217,"Govt. High School, Variyoor,East Building - 629401"
218,218,"Govt High School Variyoor,North Terraced Building - 629401"
219,219M,"Govt. Middle School, Pottalkulam,South Portion - 629401"
219,219 A(W),"Govt. Middle School, Pottalkulam,North Concrete Building ,North portion. - 629401"
220,220,"Govt. Middle School, Pottalkulam,North Portion - 629401"
223,166 166,166M
223,223,"St. Joseph Girls High School, Azhagappapuram,East Portion - 629401"
224,,166 A(W)
224,224,"St. Joseph Girls High School, Azhagappapuram,West Portion - 629401"
226,168 168,168M
227,,168 A(W)
227,227,"Govt. Primary School, Mylaudy East,D.D Tiled Building South Portion - 629403"
228,169 169,169M
228,228,"Govt. Primary School, Mylaudy West,New East Building South Portion - 629403"
229,,169 A(W)
229,229,"Govt. Primary School, Mylaudy East,East North New Building - 629403"
230,170 170,170M
230,230,"Govt. Primary School, Mylaudy East,East North New Building - 629403"
231,,170 A(W)
232,232M,"Govt. Primary School, Mylaudy West,New Building North portion. - 629403"
232,232 A(W),"Govt. Primary School, Mylaudy West,Main Building Computer room. - 629403"
235,235,"Govt. High School, Kulasekharapuram,South New Building West Portion - 629403"
236,236,"Govt. High School, Kulasekharapuram,South New New Middle Portion - 629403"
238,238,"Govt. High School, North Thamaraikulam,New Building, Central Portion - 62704"
239,178 178,178M
239,239,"Govt. Primary School, North Thamaraikulam,Old Building, Middle Portion - 629704"
240,,178 A(W)
240,240,"Govt. High School, North Thamaraikulam,New Building South Portion - 629704"
242,242,"Government High School, Eachanvilai,Main Building, South Portion - 629703"
243,181 181,181M
244,,181 A(W)
244,244,"Govt. Primary School, Agasteeswarm , South Portion - 629701"
247,247,"Govt. Hr. Sec. School, Agasteeswarm,Main Building, Middle Portion - 629701"
248,185 185,185M
249,,185 A(W)
250,250,"Govt. Hr. Sec. School, Kottaram,Main Building, North Portion - 629703"
251,251,"Govt. Hr. Sec. School, Kottaram,New Building, West Portion - 629703"
253,253,"Govt. Primary School, Achankulam,West Portion - 62703"
254,189 189,189M
255,,189 A(W)
256,256,"Govt. Primary School, Kottaram,South Portion - 629703"
257,257,"Govt. Primary School, Kottaram,Middle Portion - 62703"
258,258,"Govt. Primary School, Maharajapuram,New Building - 62702"
259,259,"Govt. Primary School, Maharajapuram,New Building - 629702"
260,194 194,194M
260,260,"Govt. Primary School, Amanakkanvilai,New Add. Building, South Portion - 629702"
261,,194 A(W)
261,261,"Govt. Primary School, Amanakkanvilai,New Add. Building, South Portion - 62702"
262,262,"Govt. Primary School, Amanakkanvilai,Main Building,South Portion - 629702"
265,265,"Govt. Primary School, Leepuram,New Building, Eastern Portion - 629702"
266,199 199,199M
266,266,"Govt. High School, Mahadhanapuram,West Portion - 629702"
267,,199 A(W)
267,267,"Govt. High School, Mahadhanapuram,Main Building Eastern Portion - 629702"
270,270,"Govt. Primary School, South Thamarikulam,North Building - 629708"
273,273,"Govt. Primary School, Punnaiyadi,South Portion - 62701"
274,274,"Govt. Primary School, Punnaiyadi,North Portion - 62701"
276,208 208,208M
276,276,"Govt. High School, Elanthayadivilai at,Mukilan Kudiyiruppu, West Portion - 629701"
277,,208 A(W)
277,277,"Community Hall Karumpatoor,East Portion - 62704"
278,278,"Community Hall Karumpatoor,South Portion - 629704"
279,279,"Govt. Middle School, Kottaiyadi,Main Building North Portion - 629704"
280,280,"Govt. Middle School, Kottaiyadi,Main Building Middle Portion - 629704"
282,282,"Govt. Middle School, Kottaiyadi,Middle Portion - 62704"
283,283,"Govt. Middle School, Kottaiyadi,Middle Portion - 629704"
284,215 215,215M
284,284,"St. Ignatius Primary School, Kovalam,West Building East Portion - 629702"
285,,215 A(W)
285,285,"St. Ignatius Primary School, Kovalam,East Building North Side - 629702"
286,286,"St. Ignatius Primary School, Kovalam,West Building South Portion - 629702"
290,290,"St. Ignatius High School, Kovalam,West Building South Portion - 629702"
291,291,"Govt. Primary School, Kanyakumari,North Building, East Portion - 629702"
292,221 221,221M
293,,221 A(W)
293,293,"Govt. Primary School, Kanyakumari,Central Building, Central Portion - 629702"
294,222 222,222M
295,,222 A(W)
295,295,"St. Antonys Hr. Secondary School, Kanyakumari,South Building, East Portion - 629702"
296,296,"St. Antonys Hr. Secondary School, Kanyakumari,South Building, East Portion"
297,297M,"St. Antonys Hr. Secondary School, Kanyakumari,South Building, Central Portion"
297,297 A(W),"St. Antonys Hr. Secondary School, Kanyakumari,South Building,West Portion Gents staff room.-629702"
298,225 225,225M
298,298,"St. Antonys Hr. Secondary School, Kanyakumari,South Building, West Portion - 629702"
299,,225 A(W)
299,299,"St. Antonys Hr. Secondary School, Kanyakumari,Main Building, North side, South West Building - 629702"
300,226 226,226M
300,300,"St. Josephs Primary School, Kanyakumari,South Building East Portion - 629702"
301,,226 A(W)
301,301,"St. Josephs Primary School, Kanyakumari,South Building East Portion - 629702"
303,303,"Govt. Primary School, Ottaiyalvilai,Add. Building - 629702"
304,304,"Govt. Hr. Sec. School, Ottaiyalvilai,Add. Building"
306,231 231,231M
306,306,"Govt. Hr. Sec. School, Ottaiyalvilai,Main Building West Portion - 629702,"
307,,231 A(W)
307,307,"Govt. Hr. Sec. School, Ottaiyalvilai,Main Building East Portion - 629702,"
310,233 233,233M
310,310,"Govt. Primary School, Kundal,Old BuildingSouth Portion - 629702."
311,,233 A(W)
312,234 234,234M
313,,234 A(W)
316,237 237,237M
317,,237 A(W)
321,241 241,241M
322,,241 A(W)
324,243 243,243M
325,,243 A(W)
327,245 245,245M
328,,245 A(W)
329,246 246,246M
330,,246 A(W)
332,248 248,248M
333,,248 A(W)
334,249 249,249M
335,,249 A(W)
338,252 252,252M
339,,252 A(W)
341,254 254,254M
342,,254 A(W)
343,255 255,255M
344,,255 A(W)
352,263 263,263M
353,,263 A(W)
354,264 264,264M
355,,264 A(W)
359,268 268,268M
360,,268 A(W)
361,269 269,269M
362,,269 A(W)
364,271 271,271M
365,,271 A(W)
366,272 272,272M
367,,272 A(W)
370,275 275,275M
371,,275 A(W)
377,281 281,281M
378,,281 A(W)
384,287 287,287M
385,,287 A(W)
386,288 288,288M
387,,288 A(W)
388,289 289,289M
389,,289 A(W)
392,292 292,292M
393,,292 A(W)
395,294 294,294M
396,,294 A(W)
405,302 302,302M
406,,302 A(W)
409,305 305,305M
410,,305 A(W)
413,308 308,308M
414,,308 A(W)
415,309 309,309M
416,,309 A(W)
