Sl. No,Polling Station No,Ananthalakshmi Party,OT Ganesan Lakshmi Dravida Kazhagam,EHT K. Kannan Katchi,UDANLIMAT ot( ISAKAVIS S. Karuppasamy Puratchi,EVITALSIGEL eb desu htob M. R. Kalyanasundari Kanagapriya Katchi,ees rof G. Samikkalai Kazagam,)c()(C ItraP yratnemailraP M.G.R. Nambbi Party Makkal Kazhagam,MORF dna P. Palanichamy,S. Mugunthan MNM,ISAKAVIS ) G. Jeevanantham,C. Ashokkumar,P. Anbalagan,R. Ganesan,N. Karthik,D. Kesavakumar,S. Thangaraj,M. Dharmalingam,S. Pandiarajan,N. Balakrishnan,G. Mayilvaganan,M. Marimuthu,E. Lakshmanan,M. Kumar Vinoth,T. Mary Joys,No.of,egaP No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
37,24M,187,4,124,0,0,0,110,3,0,0,8,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,440,0,9,449,0
38,24A(W),192,1,203,2,0,1,68,4,0,1,8,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,484,0,8,492,0
39,25,146,2,315,4,0,3,58,11,0,2,18,2,0,3,0,2,1,0,1,0,5,0,0,9,1,1,584,0,11,595,0
40,26,109,2,251,1,1,1,56,33,0,0,9,0,1,0,1,0,0,1,3,0,2,0,0,4,0,0,475,0,5,480,0
41,27,200,1,454,4,2,0,54,24,1,0,6,0,1,1,0,2,1,0,4,0,5,0,0,1,1,0,762,0,10,772,0
42,28,102,0,448,8,1,1,62,14,0,0,6,0,1,3,0,1,1,1,7,1,2,0,0,7,0,0,666,0,8,674,0
43,29M,130,1,196,1,0,0,55,18,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,416,0,8,424,0
44,29A(W),135,0,245,2,1,0,56,7,0,0,21,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,474,0,3,477,0
45,30M,194,1,204,0,0,0,92,10,0,0,22,0,0,0,0,1,2,1,2,0,1,0,0,5,1,0,536,0,7,543,0
46,30A(W),172,1,255,0,3,0,81,9,0,1,22,1,0,0,0,0,3,1,0,1,1,1,2,1,2,1,558,0,6,564,0
47,31,378,0,176,0,4,2,112,10,0,0,1,0,0,1,6,4,1,1,1,1,0,1,0,108,3,0,810,0,8,818,0
48,32,381,2,219,3,0,1,85,4,0,0,3,0,0,0,3,2,2,0,1,7,0,0,0,71,0,0,784,0,7,791,0
49,33,296,3,309,1,1,3,62,9,2,0,18,1,0,0,0,1,0,1,2,1,0,1,38,1,1,0,751,0,9,760,0
50,34,306,3,294,4,1,3,94,11,0,1,9,0,0,0,1,1,3,0,3,0,0,0,18,46,0,1,799,0,5,804,0
51,35,158,0,273,1,1,1,116,11,0,2,37,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,607,0,10,617,0
52,36,149,1,231,1,1,1,45,10,1,1,12,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,456,0,4,460,0
53,37,183,0,308,4,0,2,69,34,0,0,36,0,0,0,1,1,2,1,0,2,3,1,1,1,2,1,652,0,4,656,0
54,38,205,0,155,1,1,0,49,25,0,0,25,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,468,0,7,475,0
55,39,210,2,123,0,0,0,44,15,0,0,43,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,441,0,6,447,0
56,40,209,0,167,2,1,0,66,11,0,0,46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,504,0,8,512,0
57,41,182,0,206,0,0,0,56,15,0,0,32,1,0,0,0,1,1,2,1,1,1,0,0,0,2,0,501,0,4,505,0
58,42,177,1,190,0,1,3,68,24,0,0,36,0,0,0,0,0,0,2,0,1,2,2,0,1,0,0,508,0,10,518,0
59,43,170,1,271,0,0,0,78,33,1,0,37,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,594,0,6,600,0
60,44M,107,0,100,1,1,0,57,16,0,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,306,0,2,308,0
61,44A(W),128,2,158,0,0,0,30,10,0,0,16,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,348,0,2,350,0
62,45M,147,0,124,0,0,1,63,26,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,5,395,0
63,45A(W),133,1,190,0,3,0,40,17,0,0,16,1,0,0,0,2,3,3,1,0,0,0,1,0,0,0,411,0,2,413,0
64,46,257,1,221,3,4,1,111,45,1,0,19,0,0,0,1,1,1,2,2,0,0,0,2,0,0,0,672,0,7,679,0
65,47M,132,0,115,0,0,0,55,34,2,0,8,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,350,0,7,357,0
66,47A(W),161,1,141,0,1,1,35,30,0,0,13,0,0,1,0,0,2,1,3,2,0,0,2,1,0,0,395,0,8,403,0
67,48,132,2,196,0,2,0,71,74,0,0,15,0,1,0,0,1,2,0,0,1,0,0,4,0,1,0,502,0,2,504,0
68,49,127,2,193,2,1,1,48,51,0,0,16,0,1,0,0,0,2,1,0,0,0,0,7,0,1,1,454,0,4,458,0
69,50,105,1,231,1,1,0,58,72,1,0,13,0,0,1,0,0,1,1,3,0,0,0,1,0,1,0,491,0,13,504,0
70,51,207,0,259,3,1,1,96,97,1,0,16,0,0,2,0,4,1,0,0,1,0,0,2,1,0,0,692,0,9,701,0
71,52,153,0,224,4,2,1,93,78,0,0,21,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0,583,0,9,592,0
72,53M,224,0,95,0,1,0,70,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,422,0,3,425,0
73,53A(W),250,2,102,0,2,1,22,6,0,0,3,0,0,1,0,3,2,1,0,0,1,0,9,1,0,0,406,0,5,411,0
74,54,213,1,85,0,1,0,65,19,1,1,8,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,399,0,6,405,0
75,55,189,2,229,2,0,1,78,12,1,1,8,1,0,2,0,2,0,3,1,0,0,0,23,0,0,1,556,0,2,558,0
76,56,180,1,191,0,1,0,60,7,0,1,7,0,0,1,1,2,1,0,0,0,0,0,15,0,0,2,470,0,8,478,0
77,57,210,1,283,1,1,2,109,12,0,0,16,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,640,0,4,644,0
78,58,193,0,149,0,1,0,47,47,0,0,14,0,0,0,1,1,0,1,0,1,0,0,0,4,0,0,459,0,2,461,0
79,59M,122,0,86,0,0,1,56,47,0,0,10,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,328,0,2,330,0
80,59A(W),142,1,130,1,1,1,30,33,0,0,8,0,1,1,2,0,4,3,5,1,3,0,4,2,0,0,373,0,4,377,0
81,60M,233,3,55,1,0,0,48,10,0,0,6,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,362,0,1,363,0
82,60A(W),262,1,84,1,3,1,26,12,0,1,4,0,1,0,0,2,2,3,2,0,1,0,0,2,0,0,408,0,2,410,0
83,61M,218,0,84,8,0,0,62,14,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,401,0,7,408,0
84,61A(W),207,2,144,7,3,1,26,9,0,0,9,0,1,1,0,2,5,4,5,2,0,1,0,3,1,0,433,0,8,441,0
85,62M,171,0,109,2,1,0,68,65,0,0,7,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,428,0,0,428,0
86,62A(W),153,2,171,1,2,0,34,39,1,0,8,0,0,1,4,1,1,1,1,0,1,1,1,0,0,0,423,0,4,427,0
87,63,143,2,145,1,2,0,45,43,0,1,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,397,0,3,400,0
88,64M,117,4,169,1,0,1,44,109,0,0,8,0,0,1,1,1,2,0,1,1,0,0,0,0,0,1,461,0,3,464,0
89,64A(W),136,3,258,4,2,0,23,58,0,1,2,1,0,4,2,2,0,4,1,1,0,0,0,1,0,0,503,0,3,506,0
90,65,152,0,56,0,1,1,23,3,0,0,16,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,256,0,5,261,0
91,66,330,1,176,2,0,0,82,3,0,0,23,0,1,0,0,1,6,0,0,0,0,1,0,1,2,0,629,0,10,639,0
92,67M,183,0,90,0,0,0,51,7,0,0,9,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,345,0,6,351,0
93,67A(W),194,0,115,0,1,0,22,3,0,0,7,0,0,0,1,1,1,1,3,0,0,1,0,3,0,0,353,0,3,356,0
94,68,262,1,199,2,0,1,63,5,0,1,17,0,0,0,1,2,2,0,0,0,0,2,1,6,0,0,565,0,5,570,0
95,69,451,4,140,5,2,3,96,0,0,1,15,2,0,0,2,9,8,2,4,2,0,0,1,15,1,2,765,0,9,774,0
96,70,347,1,104,1,2,2,92,2,0,1,16,1,0,0,2,0,2,4,2,0,0,0,1,9,0,0,589,0,3,592,0
97,71,334,3,178,3,3,2,125,4,0,0,13,1,0,1,0,1,1,2,2,0,0,0,0,9,0,0,682,0,7,689,0
98,72M,265,1,65,1,1,0,39,5,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,391,0,0,391,0
99,72A(W),250,1,104,0,0,0,32,11,0,0,14,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,416,0,0,416,0
100,73M,148,0,114,1,1,0,50,17,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,341,0,2,343,0
101,73A(W),150,2,163,0,2,1,35,13,0,0,14,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,383,0,1,384,0
102,74M,269,0,68,1,0,0,93,6,0,1,11,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,453,0,2,455,0
103,74A(W),321,1,104,1,1,2,35,8,0,0,11,0,0,0,0,1,7,4,5,0,0,0,0,1,1,0,503,0,2,505,0
104,75M,179,0,82,0,0,0,70,2,0,0,14,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,354,0,5,359,0
105,75A(W),187,1,79,0,0,0,49,0,2,0,22,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,345,0,3,348,0
