Sl. No,Polling Station No,"SELVAPERUNTHAGAI, K NATIONAL CONGRESS INDIAN","E VINOTH, SAMAJ BAHUJAN PARTY","M THANIGAIVEL, NEEDHI MAKKAL MAIAM","D PUSHPARAJ, TAMILAR KATCHI NAAM","E LOKESH, MAKKAL KATCHI SAKTHI DESIYA","S SAROJA, INDEPENDENT","P SUDHAKAR, INDEPENDENT","K DEVARAJAN, INDEPENDENT","M PARTHIBAN, INDEPENDENT","V LEENA, INDEPENDENT","E VASANTHI, INDEPENDENT","R VEDHAGIRI, INDEPENDENT","D VAIRAMUTHU, INDEPENDENT",Votes,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
458,321,184,255,1,7,37,1,0,0,0,0,0,1,0,0,4,6,496,0,496,0
459,322,371,286,1,20,57,2,0,0,1,1,1,0,0,0,3,4,747,0,747,0
460,323,365,363,2,14,66,7,0,2,0,0,1,0,0,0,4,8,832,0,832,0
461,324,247,164,0,25,58,4,0,0,0,0,0,0,0,0,2,4,504,0,504,0
462,325,230,155,2,37,53,7,0,0,0,0,0,0,0,0,1,2,487,0,487,0
463,326,265,171,0,31,41,3,0,0,1,0,0,0,0,0,0,5,517,0,517,0
464,327,223,158,0,28,42,6,0,0,0,0,0,0,0,0,5,3,465,0,465,0
465,328,260,196,2,17,59,3,1,0,0,0,0,0,0,0,3,7,548,0,548,0
466,329,298,171,0,22,52,6,1,0,1,0,0,2,0,0,3,4,560,0,560,0
467,330,315,209,2,12,57,3,1,0,0,0,0,0,1,0,10,8,618,0,618,0
468,331 M,208,139,0,19,51,5,0,0,0,0,0,0,0,0,1,0,423,0,423,0
469,331 A(W),187,194,1,19,38,3,0,0,0,0,0,0,1,0,1,4,448,0,448,0
470,332,184,176,1,30,24,1,0,0,0,1,0,1,0,0,6,2,426,0,426,0
471,333 M,212,138,0,25,61,8,0,1,0,0,0,0,0,0,2,4,451,0,451,0
472,333 A(W),228,165,0,29,33,2,0,0,0,0,0,1,0,1,1,2,462,0,462,0
473,334,193,95,0,41,23,0,0,0,0,0,0,0,0,0,1,7,360,0,360,0
474,335,317,171,0,34,57,1,0,0,0,0,1,0,0,0,0,6,587,0,587,0
475,336,290,139,1,44,40,1,0,0,0,0,0,0,0,1,0,7,523,0,523,0
476,337,290,139,1,52,43,1,1,0,0,0,0,0,0,0,0,3,530,0,530,0
477,338 M,185,134,1,26,57,0,0,0,0,0,0,0,0,0,0,3,406,0,406,0
478,338 A(W),167,107,0,24,24,0,1,0,0,1,0,1,0,0,2,2,329,0,329,0
479,339 M,256,178,2,33,76,3,0,0,0,0,0,0,0,1,2,2,553,0,553,0
480,339 A(W),279,153,2,37,35,3,0,0,0,0,0,0,0,0,1,3,513,0,513,0
481,340,275,257,0,32,56,11,0,0,0,0,1,0,0,0,1,3,636,0,636,0
482,341 M,175,124,1,35,57,1,0,0,0,1,0,0,0,0,0,8,402,0,402,0
483,341 A(W),169,131,1,43,35,0,0,0,0,0,0,0,0,1,0,8,388,0,388,0
484,342,257,340,1,4,42,15,0,0,0,2,0,1,0,1,3,1,667,0,667,0
485,343,224,374,1,6,40,4,1,0,0,0,0,0,0,0,1,4,655,0,655,0
486,344 M,164,193,0,15,42,2,0,0,0,0,0,0,0,0,0,2,418,0,418,0
487,344 A(W),168,193,0,17,10,4,0,0,0,0,0,0,0,0,2,3,397,0,397,0
488,345 M,160,233,0,21,43,2,0,0,0,0,0,0,0,0,0,5,464,0,464,0
489,345 A(W),132,286,0,22,25,1,0,0,0,0,0,0,0,0,0,2,468,0,468,0
490,346,397,330,1,6,33,1,0,0,1,0,1,0,1,2,3,4,780,0,780,0
491,347 M,239,218,1,20,41,3,0,0,0,0,0,0,0,0,1,4,527,0,527,0
492,347 A(W),224,234,1,13,24,4,0,0,0,0,0,1,0,0,1,6,508,0,508,0
493,348 M,216,117,1,10,30,1,0,0,0,0,0,0,0,0,0,3,378,0,378,0
494,348 A(W),243,113,0,7,13,3,0,0,0,0,0,0,0,0,0,1,380,0,380,0
495,349,303,150,0,17,22,5,1,0,0,0,0,0,1,0,0,4,503,0,503,0
496,350 M,225,182,0,23,35,6,1,0,1,0,0,0,0,1,0,3,477,0,477,0
497,350 A(W),226,175,0,19,26,1,0,0,0,0,0,1,0,0,3,4,455,0,455,0
498,351 M,270,151,0,25,58,9,0,0,1,0,0,0,0,0,1,7,522,0,522,0
499,351 A(W),256,136,1,34,31,6,0,0,1,0,1,0,0,0,0,7,473,0,473,0
500,352,401,180,0,37,81,5,0,0,0,0,2,0,0,0,0,8,714,0,714,0
501,353 M,197,143,0,22,79,2,1,0,0,0,0,1,0,0,0,4,449,0,449,0
502,353 A(W),212,162,1,20,50,1,0,0,0,0,0,0,1,0,1,1,449,0,449,0
503,354 M,210,141,0,32,59,5,1,0,0,0,0,0,0,1,0,7,456,0,456,0
504,354 A(W),193,139,2,40,55,2,0,0,0,0,0,0,1,2,1,4,439,0,439,0
505,355 M,234,118,1,56,70,6,0,1,0,0,1,0,1,0,1,6,495,0,495,0
506,355 A(W),213,122,0,53,37,4,0,0,1,0,0,0,0,1,0,5,436,0,436,0
507,356 M,238,117,1,24,73,1,0,0,0,0,0,0,0,1,0,5,460,0,460,0
508,356 A(W),229,129,2,20,39,1,0,0,1,0,0,0,0,0,1,5,427,0,427,0
509,357 M,238,102,0,18,48,5,0,0,0,1,0,0,1,0,0,2,415,0,415,0
510,357 A(W),241,113,1,14,25,3,1,0,0,0,0,0,0,0,2,4,404,0,404,0
511,358 M,226,139,1,45,54,2,0,0,0,0,0,1,0,0,1,2,471,0,471,0
512,358 A(W),247,127,1,44,39,1,0,0,0,0,0,0,0,1,2,1,463,0,463,0
