Polling Station No.,Building,Polling Areas
331,"Panchayat Union Primary School ,Thimmavaram North Side West Face Building Room no 2","1. Thimmavaram (P) And (R.V), Ward 3 Big Street, 2. Thimmavaram (P) And (R.V), Ward 2 Padavattamman Nagar, 3. Thimmavaram (P) And (R.V), Ward 1 Anna Nagar, 4. Thimmavaram (P) And (R.V), Ward 4 Palar Nagar, 999. OVERSEAS ELECTORS"
332,"Panchayat Union Primary School ,Pulipakkam North Facing, South Side Building","1. Pulippakkam (P) And (R.V), Ward 1 mariamman koil street, 2. Pulippakkam (P) And (R.V), Ward 1 Bajanai Koil Street, 3. Pulippakkam (P) And (R.V), Ward 1 Gandhi Salai, 4. Pulippakkam (P) And (R.V), Ward 1 Kammala Street, 5. Pulippakkam (P) And (R.V), Ward 1 Rajaji Street, 6. Pulippakkam (P) And (R.V), Ward 1 Kambar Street, 7. Pulippakkam (P) And (R.V), Ward 1 Mettu Street, 999. OVERSEAS ELECTORS"
333,"Panchayat Union Primary School ,Pulipakkam, North Face, South Side Building","1. Pulippakkam (P) And (R.V), Gandhi Salai, 2. Pulippakkam (P) And (R.V), Ward 4 Kalaivanar Street, 3. Pulippakkam (P) And (R.V), Ward 3,4 Anna Street, 4. Pulippakkam (P) And (R.V), Ward 2 Mariamman Koil Street, 5. Pulippakkam (P) And (R.V), Ward 1,2,3,4 Gandhi Salai, 6. Pulippakkam (P) And (R.V), Ward 2 Mettu Street, 7. Pulippakkam (P) And (R.V), Ward 3 Maduri Veeran Koil Street, 8. Pulippakkam (P) And (R.V), Ward 3 Jeevanandham Street, 9. Pulippakkam (P) And (R.V), Ward 4 Pillayar Koil Street, 10. Pulippakkam (P) And (R.V), Ward 3 Dharmaraja Koil Street, 999. OVERSEAS ELECTORS"
334,"Panchayat Union Primary School ,Pulipakkam East Facing, West Side Building","1. Pulippakkam (P) And (R.V), Ward 3,4 Anna Street, 2. Pulippakkam (P) And (R.V), Ward 3 Thanthai Periyar Street, 3. Pulippakkam (P) And (R.V), Ward 3 Madha Koil Street, 4. Pulippakkam (P) And (R.V), Ward 4 Pulippakkam Pillayar Koil Street, 5. Pulippakkam (P) And (R.V), Ward 1,2,3,4 Gandhi Salai, 6. Pulippakkam (P) And (R.V), Ward 2 Mettu Street, 7. Pulippakkam (P) And (R.V), Ward 1 Rajaji Street, 8. Pulippakkam (P) And (R.V), Ward 4 Ambedkar Street, 9. Pulippakkam (P) And (R.V), Ward 3 Madurai Veeran Koil Street, 10. Pulippakkam (P) And (R.V), Ward 2 Kammar Street, 999. OVERSEAS ELECTORS"
335,"Panchayat UnionMiddle School ,East Face South Part Building Paranur","1. Veerapuram (P) And (R.V), Mariyamman Koil Street, 2. Veerapuram (P) And (R.V), Ward 4 Pillayar Koil 2nd Street, 3. Veerapuram (P) And (R.V), Ward 4 Thiruvalluvar Street, 4. Veerapuram (P) And (R.V), Ward 4 Baradhiar 1st Street, 999. OVERSEAS ELECTORS"
336,"Panchayat UnionMiddle School ,East Face South Part Building Paranur 1st std class room","1. Veerapuram (P) And (R.V), Ward 4 Baradhiar 2nd Street, 2. Veerapuram (P) And (R.V), Ward 4 Selliyamman Koil Street, 3. Veerapuram (P) And (R.V), Ward 3,4 Mariamman Koil Street, 4. Veerapuram (P) And (R.V), Ward 3 Dharmaraja Koil Street, 5. Veerapuram (P) And (R.V), Ward 3 Lakshmi Narayana Perumal Koil Street, 6. Veerapuram (P) And (R.V), Ward 3 Bajanai Koil Street, 7. Veerapuram (P) And (R.V), Ward 4 Irular Colony, 8. Veerapuram (P) And (R.V), Ward 4 Ambedkar Nagar, 9. Veerapuram (P) And (R.V), Ward 4 Gandhi Colony, 999. OVERSEAS ELECTORS"
337,"Panchayat Union Middle School ,South Face East Part Building Paranur","1. Veerapuram (P) And (R.V), Ward 2 nethaji st, 2. Veerapuram (P) And (R.V), Ward 2 Arinjar Anna St, 3. Veerapuram (P) And (R.V), Ward 2 Gandhi St, 4. Veerapuram (P) And (R.V), Ward 2 Ambedkar St, 5. Veerapuram (P) And (R.V), Ward 2 Kamarajar St, 6. Veerapuram (P) And (R.V), Ward 1 Birar St, 7. Veerapuram (P) And (R.V), Ward 1 Sengeniyamman Koil St, 999. OVERSEAS ELECTORS"
338,"Panchayat Union Middle School ,South Face East Part Building Paranur Room no 3","1. Paranur (P) And (R.V), Ward 1 Nethaji St, 2. Veerapuram (P) And (R.V), Ward 1 Ambedkar St, 3. Veerapuram (P) And (R.V), Ward 1 Gandhi St, 4. Veerapuram (P) And (R.V), Ward 1 Bharathiyar st, 5. Veerapuram (P) And (R.V), Ward 1 Veerapandiya Kattabhomman St, 6. Veerapuram (P) And (R.V), Ward 1 Paranur, 999. OVERSEAS ELECTORS"
339,"Government Rehablitaion Home,North Face Paranur","1. Paranur (P) And (R.V), Ward 5 Govt. Rehablitation Home, 2. Veerapuram (P) And (R.V), Arasu Maruvazhlvu Maiyam 1, 3. Thenmalepakkam (P) And (R.V), Ward 1 Sri Aanchaneya Koil St, 4. Thenmalepakkam (P) And (R.V), Ward 2 Paalvadi St, 999. OVERSEAS ELECTORS"
340,"P.U.M.School, Thenmelpakkam(North Side)","1. Thenmalepakkam (P) And (R.V), Ward 1 Periya St, 2. Thenmalepakkam (P) And (R.V), Ward 1 Sri Muthumariamman Kovil St, 3. Thenmalepakkam (P) And (R.V), Mariyamman Koil Street, 4. Thenmalepakkam (P) And (R.V), Ward 1 Sri Aanchaneya Koil St, 5. Thenmalepakkam (P) And (R.V), Ward 1 Sri Sanniyasi Koil St, 999. OVERSEAS ELECTORS"
341,"P.U.M.School, Thenmelpakkam(North Side) 6th std class room","1. Thenmalepakkam (P) And (R.V), Ward 2 Gangaiamman Koil St, 2. Thenmalepakkam (P) And (R.V), Ward 2 Karumariamman Koil St, 3. Thenmalepakkam (P) And (R.V), Ward 3 Ravivarma St, 4. Thenmalepakkam (P) And (R.V), Ward 3 Ambethkar Nagar, 5. Thenmalepakkam (P) And (R.V), Ward 3 Sri Pilliyar Koil St, 6. Thenmalepakkam (P) And (R.V), Ward 3 Sri Bajanai Koil St, 7. Thenmalepakkam (P) And (R.V), Ward 3 Sriram St, 999. OVERSEAS ELECTORS"
342,"Panchayat Union Primary School, Anjur West facing","1. Anjur (P), Ward 1 pallatheru, 2. Anjur (P), Ward 1 Mettu St, 3. Anjur (P), Ward 1 Thelungu St, Brahmana St, 4. Anjur (P), Ward 2 PudhuPettai, 5. Anjur (P), Ward 2 Anithur Old Colony Pilliyar Koil St, 6. Anjur (P), Ward 2 Irular Colony, 7. Alappakkam, Ward 2 Kollaimedu, 8. Alappakkam, Ward 2 Darkkaas, 9. Anjur (P), Ward 2 Gyarkupattu, 10. Anjur (P), Ward 3 Sangothiamman Koil St, 11. Anjur (P), Ward 3 Mariyamman Koil St, 12. Anjur (P), Ward 3 Pilliyar Koil St, 13. Anjur (P), Vard 1 Anjjur, 999. OVERSEAS ELECTORS"
343,"Panchayat Union Primary School, Anjur West facing 3rd std class room","1. Anjur (P), Ward 1 pallatheru, brahmanatheru, 2. Anjur (P), Ward 1 Mettu St, 3. Anjur (P), Ward 2 Anjur Old Colony Backside, 4. Anjur (P), Ward 2 Irular Colony, 5. Anjur (P), Ward 2 Kollai medu, 6. Anjur (P), Ward 2 Dharkas, 7. Anjur (P), Ward 2 Therkkupattu, 8. Anjur (P), Ward 3 Sangothiamman Koil St, 9. Anjur (P), Ward 3 Mariamman Koil St, 10. Anjur (P), Ward 3 Pillaiyar Koil St, 11. Anjur (P), Ward 1 Thelungu St, 12. Anjur (P), Ward 1 Pillaiyar Koil St, 13. Anjur (P), Ward 1 Anjjur new village, 999. OVERSEAS ELECTORS"
344,"Panchayat Union Primary School, Anumanthai East facing","1. Kunnavakkam (P), Ward 2 Mettu Street, 2. Kunnavakkam (P), Ward 2 Nadu Street, 3. Kunnavakkam (P), Ward 2 Palla Street, 4. Kunnavakkam (P), Ward 2 Colony, 999. OVERSEAS ELECTORS"
345,"Panchayat Union Primary School, Anumanthai East facing Room no 2","1. Kunnavakkam, Ward 1 ambedkar st, 2. Kunnavakkam, Ward 1 Ambedkar St (South), 3. Kunnavakkam, Ward 1 Gangaiamman Koil St, 4. Kunnavakkam, Ward 1 School St, 5. Kunnavakkam, Ward 1 Perumal Koil St, 999. OVERSEAS ELECTORS"
346,"ICDS, Anumanthai Chengalpattu West facing","1. Kunnavakkam, Ward 1 SingaPerumal Koil St, 2. Kunnavakkam, Ward 1 Pilliyar Koil St, 3. Kunnavakkam, Ward 3 Malaiadi St, 4. Kunnavakkam, Ward 3 Muthumariamman Koil St, 5. Kunnavakkam, Ward 3 Paadasalai St, 6. Kunnavakkam, Ward 3 Kulalar St, 999. OVERSEAS ELECTORS"
