Sl. No,Polling Station No,G.HARI ADMK,D.KRISHNAMURTHY DMDK,S.CHANDRAN DMK,N.MAGENDIRAN BSP,L.AKILA NTK,MALAI M.D.THANIGAI IJK,S.MANICKAM AIJMK,M.HARI IND,K.CHANDRAN IND,T.CHANDRAN IND,SURESHA.J.IND,S.SHETTU IND,D.PAULRAJ IND,VIJAYANP.V.IND,Total Valid Votes,Rejected Votes,Total Votes
267,223,304,7,424,2,56,0,0,0,0,0,0,2,4,0,799,0,1,800
268,224(M),290,7,141,3,16,0,0,0,0,0,0,0,0,0,457,0,5,462
269,224A(W),289,3,149,0,3,1,0,0,0,0,1,1,1,3,451,0,3,454
270,225,173,11,192,1,31,1,0,2,0,0,0,0,1,1,413,0,4,417
271,226,229,15,475,2,74,2,0,0,0,0,0,0,4,1,802,0,2,804
272,227,90,7,446,3,15,0,0,0,1,1,0,2,10,4,579,0,2,581
273,228,44,10,351,1,5,0,0,2,0,2,0,1,10,1,427,0,2,429
274,229,172,10,338,2,28,0,0,1,1,0,0,0,5,1,558,0,1,559
275,230,134,5,449,2,61,0,0,2,0,0,0,2,9,2,666,0,3,669
276,231,124,7,345,1,37,0,1,0,0,0,0,0,0,1,516,0,6,522
277,232,129,51,209,2,19,1,0,1,0,0,1,0,0,1,414,0,4,418
278,233M,123,6,216,1,45,4,0,0,1,0,1,0,0,0,397,0,7,404
279,233A(W),125,6,223,2,16,1,0,0,0,0,0,0,2,0,375,0,4,379
280,234,218,18,312,3,37,2,0,1,0,0,1,0,0,1,593,0,6,599
281,235,230,13,310,2,56,0,1,0,1,0,0,1,0,1,615,0,9,624
282,236,124,6,388,1,23,0,1,1,0,0,1,0,1,0,546,0,1,547
283,237,384,4,298,0,32,0,2,0,0,0,0,0,3,0,723,0,4,727
284,238M,150,11,228,0,16,1,0,0,0,0,0,0,0,0,406,0,1,407
285,238A(W),177,10,239,2,10,1,0,0,0,1,0,1,6,1,448,0,0,448
286,239M,123,5,283,10,30,1,0,0,0,0,0,0,10,0,462,0,1,463
287,239A(W),112,3,288,5,18,0,0,0,0,0,1,0,7,1,435,0,4,439
288,240,236,17,479,2,64,2,0,2,0,1,2,0,5,0,810,0,5,815
289,241,114,10,249,1,10,0,0,0,1,0,0,1,4,1,391,0,1,392
290,242,370,9,175,0,33,0,0,2,0,1,0,0,0,0,590,0,5,595
291,243,123,30,355,3,20,0,0,2,0,0,0,2,2,1,538,0,6,544
292,244,194,10,422,5,74,0,0,0,0,0,0,0,2,0,707,0,5,712
293,245,88,5,226,1,56,1,1,1,0,0,0,0,1,0,380,0,1,381
294,246,336,5,344,2,31,3,0,1,0,0,0,1,0,0,723,0,11,734
295,247,190,12,237,8,46,0,0,1,0,0,0,0,0,0,494,0,3,497
296,248,403,10,309,3,67,1,0,3,1,0,1,0,1,0,799,0,1,800
297,249M,121,6,226,3,37,0,0,1,0,0,0,0,13,0,407,0,2,409
298,249A(W),114,6,276,1,29,2,0,1,0,0,0,0,4,1,434,0,2,436
299,250M,155,24,208,0,36,0,0,0,0,0,2,0,1,0,426,0,1,427
300,250A(W),195,16,218,2,13,0,0,0,0,0,0,0,0,0,444,0,2,446
301,251M,192,20,182,2,29,1,0,1,0,0,0,1,0,0,428,0,2,430
302,251A(W),243,10,177,0,8,0,1,1,0,0,0,0,1,1,442,0,1,443
303,252,201,9,408,9,73,2,0,4,0,0,0,1,4,1,712,0,3,715
304,253,228,36,371,2,48,2,1,0,1,0,0,0,2,3,694,0,4,698
305,254,141,9,347,2,70,0,0,0,0,0,0,0,6,0,575,0,3,578
306,255,216,10,457,3,31,0,0,0,0,0,0,0,1,0,718,0,7,725
307,256,241,14,351,8,40,0,0,0,0,0,0,0,6,2,662,0,5,667
308,257,160,9,447,3,65,1,0,2,1,0,1,1,5,2,697,0,10,707
309,258,180,38,302,3,30,1,0,0,1,0,0,4,0,3,562,0,4,566
310,259,150,22,265,2,13,0,0,0,0,2,2,0,2,2,460,0,12,472
311,260,165,29,295,1,12,0,0,2,0,0,0,0,3,1,508,0,0,508
312,261,223,11,493,0,103,0,0,4,0,1,0,0,4,2,841,0,2,843
313,262,201,11,213,0,12,0,0,1,0,0,0,0,2,0,440,0,2,442
314,263,181,9,259,4,10,0,0,5,1,0,0,0,13,1,483,0,4,487
315,264,249,16,347,3,19,1,0,1,0,0,0,1,4,1,642,0,8,650
316,265,325,10,331,13,20,1,0,1,0,0,0,1,3,7,712,0,9,721
317,266M,153,5,262,1,13,0,0,0,1,0,0,1,2,0,438,0,3,441
318,266A(W),163,4,259,2,8,0,0,0,0,0,0,0,6,0,442,0,6,448
319,267M,238,11,215,2,24,0,0,0,1,0,0,0,2,0,493,0,5,498
320,267A(W),320,5,194,0,16,0,0,2,0,0,0,0,0,1,538,0,6,544
321,268,196,12,238,0,25,0,0,1,0,0,0,0,1,0,473,0,4,477
322,269,242,18,337,1,46,1,0,0,1,1,2,1,4,1,655,0,5,660
323,270,203,6,254,5,23,0,0,1,0,0,2,2,23,1,520,0,5,525
324,271M,151,19,248,0,16,0,0,1,0,0,0,2,2,1,440,0,4,444
325,271A(W),154,3,274,2,7,0,0,4,2,1,1,2,10,2,462,0,6,468
326,272M,139,7,238,0,64,0,0,0,0,0,0,0,1,1,450,0,0,450
327,272A(W),160,7,287,2,37,1,1,1,0,0,0,2,2,0,500,0,5,505
328,273,288,15,285,1,26,0,0,0,0,0,0,0,4,0,619,0,7,626
329,274,207,2,200,1,18,0,0,1,0,1,0,1,2,0,433,0,8,441
330,275,402,12,165,1,23,1,0,1,0,0,0,0,1,2,608,0,4,612
331,276,326,4,328,2,61,0,0,0,0,0,0,0,4,1,726,0,5,731
332,277,415,22,244,2,34,2,0,0,0,0,0,0,1,0,720,0,4,724
333,278,262,27,84,1,15,0,0,1,0,0,0,0,0,1,391,0,4,395
334,279,421,13,174,2,4,1,0,0,0,0,0,0,1,1,617,0,9,626
335,280,107,3,482,3,7,0,0,0,0,1,0,1,7,2,613,0,3,616
336,281,200,8,160,2,7,0,0,2,1,0,0,0,2,0,382,0,1,383
337,282M,377,4,87,0,15,2,0,0,0,0,0,0,0,0,485,0,0,485
338,282A(W),385,2,85,1,4,0,0,1,0,0,1,1,0,0,480,0,8,488
339,283,456,18,90,0,15,2,1,2,0,0,0,0,0,3,587,0,4,591
340,284,354,16,325,1,13,3,0,0,1,0,1,1,1,1,717,0,14,731
341,285,103,3,346,4,23,1,0,1,1,0,0,0,4,0,486,0,0,486
342,286,293,8,277,1,47,6,0,2,0,0,2,0,0,0,636,0,10,646
343,287,249,4,219,0,24,2,0,0,0,0,1,0,1,1,501,0,7,508
344,288M,167,8,189,1,23,2,0,0,0,0,0,0,1,0,391,0,6,397
345,288A(W),178,2,212,0,15,3,0,1,0,0,0,0,0,4,415,0,2,417
346,289,250,5,281,1,44,0,0,0,0,0,0,0,1,0,582,0,5,587
347,290,188,7,541,20,29,0,0,1,1,0,0,0,16,1,804,0,3,807
