Sl. No,Polling Station No,G.HARI ADMK,D.KRISHNAMURTHY DMDK,S.CHANDRAN DMK,N.MAGENDIRAN BSP,L.AKILA NTK,MALAI M.D.THANIGAI IJK,S.MANICKAM AIJMK,M.HARI IND,K.CHANDRAN IND,T.CHANDRAN IND,SURESHA.J.IND,S.SHETTU IND,D.PAULRAJ IND,VIJAYANP.V.IND,Total Valid Votes,Rejected Votes,Total Votes
122,97,220,3,393,3,24,0,0,0,0,0,0,2,0,0,645,0,0,645
123,98,360,7,383,1,33,0,0,0,0,0,2,0,1,1,788,0,2,790
124,99,233,5,346,0,27,0,0,0,0,0,0,0,0,0,611,0,3,614
125,100M,233,7,191,0,10,0,0,0,0,0,0,0,0,1,442,0,3,445
126,100A(W),246,3,240,0,5,0,0,0,0,0,0,0,3,2,499,0,3,502
127,101,277,18,276,1,47,0,0,1,1,0,0,0,0,0,621,0,2,623
128,102,293,27,267,1,54,4,0,0,0,0,1,0,1,7,655,0,4,659
129,103,198,8,313,0,35,3,0,1,0,0,2,0,1,2,563,0,9,572
130,104,173,4,317,1,32,2,1,1,0,0,1,0,0,0,532,0,4,536
131,105M,127,3,271,3,57,0,0,2,0,0,2,1,0,2,468,0,7,475
132,105A(W),112,1,323,0,26,1,0,0,0,0,0,0,1,3,467,0,4,471
133,106,401,7,173,0,16,1,0,2,0,0,3,1,0,0,604,0,2,606
134,107,388,12,236,1,37,0,0,0,0,1,0,2,3,1,681,0,6,687
135,108,470,6,203,1,17,0,0,1,0,0,0,1,0,0,699,0,6,705
136,109,347,35,382,1,79,0,1,1,0,0,0,0,1,1,848,0,7,855
137,110,236,13,407,2,56,0,0,1,0,0,0,0,0,1,716,0,6,722
138,111,249,7,344,1,40,0,0,1,0,0,1,0,0,0,643,0,4,647
139,112,227,6,297,3,51,1,0,0,0,0,1,0,0,3,589,0,3,592
140,113M,161,17,251,0,42,0,0,0,0,0,0,0,0,0,471,0,2,473
141,113A(W),161,9,282,1,12,0,0,1,0,0,1,0,1,1,469,0,6,475
142,114,420,6,160,2,21,0,0,1,0,0,0,0,1,1,612,0,6,618
143,115,478,8,303,2,12,1,0,3,0,0,1,0,3,1,812,0,5,817
144,116,324,4,218,0,9,0,0,0,0,0,0,0,0,0,555,0,5,560
145,117,426,13,397,2,27,0,1,2,0,0,0,0,1,1,870,0,5,875
146,118,166,7,328,1,32,1,0,3,0,0,1,0,1,1,541,0,9,550
147,119,207,16,432,1,57,3,0,1,0,0,0,0,1,0,718,0,2,720
148,120M,145,9,227,0,72,6,0,0,0,0,1,0,0,1,461,0,5,466
149,120A(W),152,7,295,1,34,2,0,0,0,0,0,0,0,1,492,0,4,496
150,121,220,5,412,0,73,3,1,1,0,0,2,0,4,1,722,0,6,728
151,122,197,13,433,8,83,0,0,0,0,0,0,0,0,0,734,0,6,740
152,123,201,15,357,4,23,0,1,1,0,0,0,0,4,1,607,0,8,615
153,124,167,10,403,6,19,0,0,0,1,0,0,1,5,2,614,0,2,616
154,125,211,13,439,3,49,1,0,0,0,0,0,0,4,0,720,0,3,723
155,126M,144,27,215,1,22,0,0,2,0,1,0,1,1,0,414,0,4,418
156,126A(W),159,13,213,1,11,0,0,1,0,0,0,2,1,0,401,0,2,403
157,127,150,9,361,3,7,1,0,0,0,0,1,1,3,0,536,0,2,538
158,128,137,7,437,5,65,0,0,1,0,0,0,0,5,2,659,0,3,662
159,129,286,14,424,2,32,0,0,0,0,0,3,0,0,1,762,0,3,765
160,130M,202,5,177,2,40,0,0,0,0,0,4,0,3,0,433,0,1,434
161,130A(W),228,7,228,1,17,0,0,0,0,0,1,0,4,0,486,0,3,489
162,131,352,5,161,0,18,0,0,0,0,0,0,0,2,1,539,0,1,540
163,132M,159,5,208,0,36,1,0,0,0,0,7,0,0,0,416,0,2,418
164,132A(W),192,7,204,2,15,0,0,0,0,0,4,0,0,0,424,0,6,430
165,133M,158,5,184,0,22,1,0,0,0,0,6,0,0,0,376,0,2,378
166,133A(W),169,3,201,0,16,0,0,2,1,0,2,0,0,0,394,0,3,397
167,134M,113,7,250,0,40,1,0,0,0,0,8,0,1,1,421,0,5,426
168,134A(W),136,5,252,0,15,1,0,2,0,0,7,0,1,1,420,0,5,425
169,135,402,8,276,0,18,1,0,1,0,0,2,0,1,1,710,0,11,721
170,136,478,3,177,0,27,0,0,0,0,0,3,0,0,0,688,0,1,689
171,137,179,5,489,2,33,0,0,0,0,0,5,0,5,0,718,0,6,724
172,138,92,6,273,0,26,0,0,1,0,0,4,0,4,0,406,0,3,409
173,139,320,28,365,3,28,0,0,0,1,0,0,1,4,1,751,0,0,751
174,140,380,3,155,1,13,1,0,2,0,0,0,2,1,0,558,0,3,561
175,141 M,207,2,186,0,24,0,0,0,0,0,0,0,0,1,420,0,4,424
176,141 A(W),197,2,230,0,6,0,0,0,0,0,0,0,0,0,435,0,4,439
177,142,234,13,271,1,39,1,0,0,0,0,1,0,4,1,565,0,5,570
178,143,365,20,234,1,36,2,0,0,0,0,1,0,1,0,660,0,4,664
179,144 M,171,17,239,0,47,0,1,0,0,0,0,0,0,1,476,0,3,479
180,144 A(W),170,16,249,1,23,0,0,0,0,0,1,0,0,1,461,0,1,462
181,145,263,21,397,3,92,3,0,0,0,0,0,0,3,4,786,0,3,789
182,146,314,5,360,5,41,0,0,1,0,0,0,0,3,0,729,0,1,730
183,147,248,15,353,1,50,1,0,2,0,0,0,0,1,0,671,0,4,675
184,148,226,7,192,1,18,0,0,0,0,0,0,0,1,0,445,0,2,447
185,149,358,1,378,1,47,0,0,0,0,0,0,0,0,0,785,0,2,787
186,150,371,5,280,0,22,0,0,1,0,0,0,1,0,1,681,0,3,684
187,151,375,12,268,2,23,0,0,0,0,0,0,0,0,0,680,0,3,683
188,152,415,4,225,2,34,0,0,3,0,0,0,0,1,0,684,0,9,693
189,153,249,7,348,4,32,0,0,1,0,1,0,0,6,1,649,0,1,650
190,154,253,17,443,2,41,0,1,1,0,1,0,0,5,2,766,0,9,775
191,155,564,12,265,3,32,0,0,1,0,0,3,0,3,1,884,0,9,893
192,156,293,24,315,0,8,0,0,0,1,0,1,0,3,0,645,0,6,651
193,157M,207,14,282,2,51,1,1,0,0,0,0,0,1,0,559,0,8,567
194,157A(W),215,7,258,3,24,1,0,0,0,1,1,0,3,1,514,0,0,514
195,158,226,4,266,1,9,0,0,0,0,0,0,0,5,0,511,0,8,519
196,159,240,0,396,2,19,0,0,0,0,0,0,1,4,2,664,0,4,668
197,160,260,4,475,1,32,2,0,0,0,1,3,2,1,1,782,0,0,782
198,161,178,3,341,1,24,1,1,1,0,0,0,1,1,1,553,0,3,556
199,162,300,6,299,3,56,0,0,0,0,1,0,0,3,0,668,0,5,673
200,163,116,3,329,0,23,0,0,0,0,0,0,0,0,1,472,0,1,473
201,164,265,4,293,1,24,0,0,0,0,0,0,0,6,1,594,0,5,599
202,165,195,7,459,1,115,1,0,2,1,0,1,0,2,0,784,0,4,788
203,166,321,24,416,1,37,3,0,1,0,0,0,0,3,0,806,0,7,813
