Sl. No,Polling Station No,C Raghu Party Samaj Bahujan,Hussain H Bakshq Abid of (Athawale) Party Republican India,L M Ravi Katchi Makkal Sakthi Desiya,A V A Kassali Makkal Katchi Paatali,Tabrez Party Sultan Tipu,K Idris Mohammed Jananayaka Katchi Indiya,Rioz Mohamed Katchi Makkal Arasiyal Anaithu,M S Jayasimmaraja Katchi Tamilar Naam,K Anandan Independent,C Kannan Independent,P Ganesan Independent,S Krishnadasan Independent,S Chandranathan Independent,Srinivasan Independent,H Kumar Senthil Independent,P Dilliraj Independent,Nagarajan Independent,K Balaji Independent,C Balaji Independent,E Manikandan Independent,T Gopal Madhana Independent,Hussain Mohammed Independent,Muniyandi Independent,E Ravi Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
37,26A,191,5,0,1,9,54,0,22,0,22,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,1,312,0,11,323,0
38,27,98,1,0,0,0,18,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,1,130,0
39,27A,82,1,1,0,3,13,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,109,0
40,28,260,3,1,1,9,88,2,11,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,7,414,0
41,28A,251,1,1,1,8,82,0,16,0,19,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,385,0,5,390,0
42,29,234,4,0,0,10,86,0,10,0,37,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,384,0,10,394,0
43,29A,251,3,0,0,9,67,1,11,3,24,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,373,0,11,384,0
44,30,183,2,0,0,7,62,2,16,0,33,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,310,0,8,318,0
45,30A,165,2,1,0,14,50,2,21,0,18,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,277,0,4,281,0
46,31,351,3,0,0,7,61,0,11,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,482,0,2,484,0
47,32,240,1,0,0,8,65,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,3,338,0
48,32A,276,1,0,1,11,75,2,2,0,10,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,381,0,3,384,0
49,33,294,0,0,0,4,62,1,23,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,407,0,6,413,0
50,33A,274,1,0,0,6,54,1,26,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,382,0,4,386,0
51,34,354,0,0,0,7,48,0,21,0,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,461,0,4,465,0
52,34A,335,1,0,0,5,34,0,22,0,14,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,416,0,3,419,0
53,35,277,1,1,0,15,46,2,13,0,27,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,387,0,2,389,0
54,35A,265,0,0,1,10,37,0,18,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,349,0,1,350,0
55,36,314,6,0,1,8,101,0,14,0,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,480,0,4,484,0
56,37,289,3,1,0,17,76,0,13,1,29,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,432,0,3,435,0
57,38,254,2,0,0,9,76,1,13,0,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,371,0,9,380,0
58,38A,223,4,0,0,6,61,1,6,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,314,0,4,318,0
60,39A,269,1,1,0,3,61,3,14,0,20,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,375,0,9,384,0
61,40,257,1,1,0,8,36,0,14,1,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,336,0,3,339,0
62,40A,269,2,0,0,7,32,0,10,0,10,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,336,0,1,337,0
63,41,472,3,0,1,24,31,0,7,2,19,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,562,0,4,566,0
64,42,231,3,0,0,12,47,1,4,1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,333,0,4,337,0
65,42A,245,0,0,0,8,52,0,5,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,327,0,4,331,0
66,43,151,3,0,0,5,20,2,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,3,216,0
67,43A,165,5,1,0,3,16,1,8,0,15,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,220,0,4,224,0
68,44,185,0,0,0,14,42,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,275,0,4,279,0
69,44A,183,4,0,0,7,39,3,13,0,14,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,270,0,2,272,0
70,45,323,1,1,1,1,38,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,3,380,0
71,45A,315,0,0,0,2,19,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,344,0,1,345,0
72,46,270,2,0,0,10,38,0,5,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,338,0,4,342,0
73,46A,269,2,0,0,5,29,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,319,0,4,323,0
7744,4477,119922,00,00,00,66,7744,11,1122,00,2255,00,11,00,00,00,00,00,11,00,00,00,00,00,00,00,00,331122,00,77,331199,00
75,47A,156,0,0,0,8,69,1,14,0,13,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,264,0,6,270,0
76,48,406,3,0,0,6,54,2,3,0,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,510,0,4,514,0
77,49,219,0,0,0,6,63,1,7,0,30,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,329,0,1,330,0
78,49A,214,3,0,0,0,46,0,6,0,22,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,295,0,2,297,0
79,50,250,0,4,0,7,38,0,7,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,327,0,2,329,0
80,50A,239,3,6,0,5,51,1,3,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,320,0,1,321,0
81,51,237,0,0,0,9,91,0,18,0,21,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,381,0,5,386,0
82,51A,223,0,0,1,7,75,0,21,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,336,0,4,340,0
83,52,486,0,3,0,10,53,1,4,1,30,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,592,0,4,596,0
84,53,223,1,0,1,3,60,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,326,0,6,332,0
85,54,239,1,1,0,3,137,1,40,1,17,0,0,0,0,0,1,3,1,1,0,0,3,0,0,0,1,450,0,3,453,0
86,55,280,0,0,0,1,44,0,18,0,10,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,357,0,0,357,0
87,55A,297,1,0,0,0,64,1,17,1,9,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,1,398,0,0,398,0
88,56,196,3,1,0,1,66,0,8,2,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,319,0,7,326,0
89,56A,183,2,1,0,6,78,4,18,3,16,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,315,0,5,320,0
90,57,230,0,0,0,4,45,1,11,0,18,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,314,0,7,321,0
91,57A,215,0,1,1,3,37,0,12,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,280,0,3,283,0
