Sl. No,Polling Station No,S Rajaram,M Muthulakshmi,Abubacker K.A.M. Muhammed,emaN M Ayyadurai,udanlimaT,eht R Ayyadurai,srotcelE T Raja Avani,evitalsigeL K Krishnan Radha,R Ponnusamy Raja,A Ganesan,R Krishnan,ITRAP A Sankar,R Subramanian Siva,S Seenivasan,rullanayadaK R Poologaraj,K Mariduraipandian,S Muruganantham,P Raji,G Velammal,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
45,35,516,7,18,0,18,104,0,1,0,0,0,3,0,0,1,2,2,0,0,0,2,674,0,1,675,0
46,36,461,12,49,0,17,81,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,627,0,0,627,0
47,37,410,16,30,0,9,58,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,529,0,6,535,0
48,38M,188,3,15,0,19,172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,398,0,3,401,0
49,38A(W),190,3,25,0,14,183,0,1,1,0,0,0,0,0,2,6,0,0,1,0,1,427,0,5,432,0
50,39M,349,5,57,1,11,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,469,0,2,471,0
51,39A(W),383,3,54,0,13,53,0,0,0,2,0,0,1,0,0,15,5,0,2,0,1,532,0,1,533,0
52,40M,230,5,18,0,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,334,1
53,40A(W),279,10,15,0,11,79,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,401,0,1,402,0
54,41,413,4,63,1,19,174,1,0,0,0,1,0,0,1,2,0,2,1,0,1,1,684,0,2,686,0
55,42,312,9,42,0,16,97,0,0,0,0,1,0,0,1,0,6,1,1,1,0,1,488,0,1,489,0
56,43M,272,2,19,1,33,154,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,485,0,1,486,0
57,43A(W),281,6,33,1,17,154,0,2,0,0,2,0,1,1,3,3,2,0,0,0,0,506,0,1,507,0
58,44M,309,8,17,0,16,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,371,0,2,373,0
59,44A(W),349,7,27,0,9,29,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,428,0,0,428,0
60,45M,411,10,38,0,21,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,506,0,3,509,0
61,45A(W),440,8,31,0,14,9,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,509,0,1,510,0
62,46,690,15,40,0,31,71,0,0,0,0,0,0,1,0,0,4,0,0,0,1,2,855,0,4,859,0
63,47,416,7,8,0,17,42,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,492,0,7,499,0
64,48,140,0,54,1,12,20,1,0,0,0,0,0,0,0,0,1,4,2,0,0,0,235,0,2,237,0
65,49,484,2,200,2,27,49,1,0,0,0,0,0,0,2,0,5,3,0,0,0,0,775,0,4,779,0
66,50M,271,4,56,0,19,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,457,0,2,459,0
67,50A(W),298,3,56,2,17,73,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,456,0,0,456,0
68,51M,205,5,52,1,45,40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,358,0,5,363,0
