Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
31,24M,151,293,1,8,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,492,5,0,497
32,24A(W),181,235,1,7,0,0,12,1,0,1,0,0,0,2,4,7,0,1,0,0,0,0,2,454,4,0,458
33,25,301,309,1,15,4,0,34,0,1,1,0,0,0,1,3,1,3,0,0,0,0,1,0,675,5,0,680
34,26,262,256,3,11,0,0,26,2,1,1,1,2,1,0,2,1,1,0,0,0,0,0,0,570,4,0,574
35,27,317,352,7,0,3,0,24,2,1,1,0,1,1,3,3,1,1,1,0,0,0,1,0,719,4,0,723
36,28,237,282,3,6,1,0,20,1,0,0,0,1,1,1,1,5,1,1,0,0,0,0,0,561,4,0,565
37,29M,334,270,1,2,5,2,38,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,657,6,0,663
38,29A(W),354,181,2,0,6,2,12,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,563,1,0,564
39,30M,237,199,3,9,3,0,57,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,514,3,0,517
40,30A(W),258,227,2,5,0,0,7,2,0,0,0,0,0,0,1,5,2,0,0,0,0,1,0,510,4,0,514
41,31,423,265,4,12,5,0,37,2,0,0,1,0,0,0,0,4,2,0,1,1,0,0,0,757,1,0,758
42,32,390,207,8,5,3,2,25,2,0,0,1,3,1,2,0,7,3,0,1,0,0,0,0,660,7,0,667
43,33,298,301,2,10,13,0,35,2,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,670,2,0,672
44,34M,224,208,2,5,1,0,38,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,484,4,0,488
45,34A(W),228,200,7,8,0,0,13,0,0,1,0,2,1,1,3,1,3,0,0,0,0,0,0,468,2,0,470
46,35,413,301,6,11,1,1,29,0,0,0,3,2,1,1,3,6,3,0,0,1,0,0,0,782,9,0,791
47,36,327,422,4,2,1,2,30,2,3,1,1,0,0,1,4,0,0,0,0,0,0,1,1,802,7,0,809
48,37,255,381,15,1,2,0,23,1,2,0,4,0,1,3,2,5,3,3,0,0,0,0,1,702,9,0,711
