Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
205,168,487,345,1,8,5,0,16,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,867,7,0,874
206,169M,257,186,0,9,4,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,468,1,0,469
207,169A(W),275,162,0,5,2,0,2,1,0,0,0,1,0,0,2,3,3,1,0,0,0,1,2,460,2,0,462
208,170,484,264,1,2,1,0,24,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,783,4,0,787
209,171M,340,192,0,6,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,6,0,565
210,171A(W),334,143,1,1,1,0,3,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,490,1,0,491
211,172,452,281,0,5,3,0,24,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,772,7,0,779
212,173,396,282,4,4,10,0,26,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,726,1,0,727
213,174,335,353,1,5,2,0,7,0,0,0,1,0,0,1,1,2,2,0,0,0,1,0,0,711,1,0,712
214,175M,330,180,0,6,7,0,39,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,565,3,0,568
215,175A(W),299,140,1,0,3,0,20,1,1,1,1,0,0,1,1,2,4,1,0,0,1,1,1,479,3,0,482
216,176M,276,190,2,5,3,0,30,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,509,2,0,511
217,176A(W),263,164,0,4,2,0,17,3,2,0,0,0,0,0,0,5,0,1,0,0,1,0,1,463,2,0,465
218,177M,205,206,1,10,11,0,37,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,474,4,0,478
219,177A(W),196,210,2,11,5,0,17,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,444,1,0,445
220,178,415,171,1,2,4,1,23,0,0,0,0,0,1,3,0,4,1,0,0,0,0,0,0,626,4,0,630
221,179,386,188,0,2,3,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,597,4,0,601
222,180,474,226,0,2,9,0,20,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,735,5,0,740
223,181,322,231,3,3,7,0,16,3,1,0,0,0,1,0,3,3,7,1,0,1,0,0,0,602,6,0,608
224,182,222,270,1,4,3,0,23,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,526,3,0,529
225,183,129,113,1,1,3,1,11,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,264,1,0,265
226,184,505,345,5,1,14,1,38,0,3,0,1,0,1,1,4,11,2,1,0,0,0,1,0,934,9,0,943
227,185,373,282,4,9,2,1,22,1,0,0,2,0,1,0,2,3,0,2,0,0,1,0,0,705,1,0,706
228,186M,248,224,3,11,1,1,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,516,0,0,516
229,186A(W),263,187,1,5,0,1,12,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,476,3,0,479
230,187,461,208,4,3,1,0,23,0,1,0,2,1,0,0,1,0,4,0,0,0,0,0,0,709,5,0,714
231,188,485,222,1,4,7,1,19,3,2,1,0,0,1,0,2,4,1,0,1,0,0,0,0,754,5,0,759
232,189M,230,254,0,0,1,0,30,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,521,3,0,524
233,189A(W),227,207,2,1,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,446,0,0,446
234,190,388,216,2,1,6,1,24,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,644,4,0,648
235,191,447,265,2,4,2,1,41,0,0,1,0,0,1,2,4,4,2,3,0,1,0,0,3,783,10,0,793
236,192,325,326,1,9,10,0,78,1,0,0,2,1,1,2,1,9,3,1,0,1,1,0,0,772,2,0,774
237,193,203,224,0,9,7,0,19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,464,4,0,468
238,194M,388,206,0,9,10,0,40,0,0,1,0,0,0,1,5,1,0,0,0,0,0,1,0,662,2,0,664
239,194A(W),375,152,2,3,1,0,4,1,0,0,2,0,0,0,5,5,2,1,0,0,0,0,0,553,3,0,556
240,195,164,179,0,26,1,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,402,5,0,407
241,196M,304,212,0,2,11,0,52,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,585,7,0,592
242,196A(W),297,186,1,2,5,0,17,0,0,0,2,0,1,2,3,5,2,0,0,1,0,0,1,525,8,0,533
243,197,231,132,1,3,3,0,12,0,1,2,0,1,0,0,1,3,1,0,0,0,0,0,0,391,4,0,395
244,198,409,326,2,15,6,0,58,0,0,0,0,0,0,2,1,3,2,2,0,0,0,0,3,829,9,0,838
245,199,354,278,2,13,5,0,46,2,1,0,1,0,0,1,3,3,1,2,0,0,0,0,0,712,4,0,716
246,200,326,449,4,3,14,1,31,1,2,0,1,0,1,1,0,3,0,1,0,0,1,0,0,839,7,0,846
247,201M,229,218,0,16,3,0,50,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,520,2,0,522
248,201A(W),225,202,1,18,3,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,472,11,0,483
249,202,297,306,3,16,11,0,68,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,708,6,0,714
250,203,276,319,2,24,3,0,57,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,688,3,0,691
251,204,309,269,3,19,5,0,41,1,0,0,1,0,0,0,1,1,3,1,0,0,0,0,1,655,5,0,660
252,205,246,336,2,25,8,0,30,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,654,6,0,660
253,206,309,312,1,12,4,0,45,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,690,9,0,699
254,207,266,272,4,20,4,1,35,0,1,0,2,1,0,0,2,2,0,0,0,0,0,0,0,610,1,0,611
255,208,302,327,4,24,7,0,68,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,738,8,0,746
256,209,229,222,0,7,9,0,43,1,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,517,7,0,524
257,210,256,212,0,16,2,0,35,0,2,0,1,0,0,0,0,0,2,3,0,0,0,0,0,529,0,0,529
258,211,318,352,2,28,5,0,40,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,748,2,0,750
259,212,306,282,2,39,4,0,42,1,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,683,9,0,692
260,213,278,286,0,22,2,0,40,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,633,6,0,639
261,214,297,196,1,31,4,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,595,10,0,605
262,215,331,218,3,1,2,0,3,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,566,0,0,566
263,216M,288,150,0,1,5,0,19,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,467,5,0,472
264,216A(W),287,107,0,8,1,0,9,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,419,1,0,420
265,217M,275,150,0,3,6,0,35,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,473,3,0,476
266,217A(W),278,125,0,4,5,0,8,2,0,0,0,0,0,0,1,2,0,2,1,0,0,1,0,429,0,0,429
267,218,403,264,8,12,3,0,31,1,1,0,0,2,0,1,2,5,3,0,1,2,0,0,1,740,9,0,749
268,219,487,244,0,6,5,1,58,1,2,0,1,0,0,0,1,1,4,3,0,0,0,0,0,814,6,0,820
269,220,258,126,0,2,10,1,18,0,0,1,1,0,1,0,0,3,4,0,0,0,0,1,0,426,2,0,428
270,221M,344,184,0,4,1,0,36,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,576,1,0,577
271,221A(W),352,157,1,4,1,0,11,1,1,0,2,0,0,0,2,3,4,2,0,0,0,0,0,541,1,0,542
272,222M,354,148,0,14,4,0,31,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,556,1,0,557
273,222A(W),308,142,1,6,6,0,15,0,2,1,0,0,0,1,0,3,1,2,1,0,1,1,0,491,4,0,495
274,223,454,228,3,6,4,1,26,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,726,2,0,728
275,224,284,220,3,3,9,0,12,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,534,1,0,535
276,225,303,218,3,1,4,0,10,1,1,0,0,1,0,0,3,5,1,0,0,0,0,0,1,552,2,0,554
277,226,353,480,2,4,18,0,30,1,0,1,1,0,2,2,3,1,2,0,0,0,0,0,2,902,6,0,908
278,227,456,362,3,0,8,0,31,0,0,2,0,0,1,2,0,2,2,3,0,0,0,2,1,875,4,0,879
279,228,278,257,1,3,12,0,25,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,582,2,0,584
280,229,528,298,4,4,6,0,43,2,1,0,1,1,0,0,4,3,4,0,0,0,1,0,2,902,6,0,908
281,230,458,204,2,1,13,0,21,1,0,0,0,1,0,0,1,2,4,1,1,0,0,0,1,711,5,0,716
282,231,335,147,3,1,13,2,36,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,544,1,0,545
283,232M,277,174,1,1,3,0,24,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,484,1,0,485
284,232A(W),264,160,1,4,4,0,11,0,0,0,0,0,0,2,1,9,3,1,0,0,0,0,0,460,0,0,460
285,233,424,212,3,4,23,0,23,0,0,2,1,0,1,0,1,5,2,2,2,1,1,1,0,708,3,0,711
286,234,212,133,1,1,10,0,27,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,388,2,0,390
287,235,587,206,1,4,31,1,52,0,1,1,1,0,1,1,2,4,3,3,0,0,0,0,0,899,1,0,900
288,236,355,159,1,5,37,0,24,0,3,0,0,0,0,0,0,1,3,3,0,0,0,0,1,592,1,0,593
289,237M,353,122,0,5,13,0,34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,529,5,0,534
290,237A(W),314,101,0,4,6,1,12,0,1,1,1,0,0,0,0,2,2,0,1,0,0,1,2,449,4,0,453
291,238,336,140,1,5,27,0,21,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,536,1,0,537
292,239,405,160,4,5,17,2,28,0,0,1,0,0,0,3,3,2,0,0,0,0,0,0,0,630,4,0,634
293,240,366,153,0,1,24,0,42,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,592,3,0,595
294,241,449,180,4,6,44,2,45,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,736,3,0,739
295,242,579,326,8,5,8,2,9,0,1,1,1,1,1,0,1,3,1,3,0,0,0,1,0,951,5,0,956
296,243,505,213,1,0,5,0,11,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,742,3,0,745
297,244M,227,256,1,2,6,0,17,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,516,7,0,523
298,244A(W),238,220,4,5,0,0,6,0,1,0,1,0,0,0,2,5,0,1,0,0,0,0,0,483,1,0,484
299,245M,388,299,4,1,3,0,25,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,724,3,0,727
300,245A(W),341,230,3,4,1,1,8,1,0,1,2,0,0,3,1,4,2,0,0,0,0,0,1,603,3,0,606
301,246M,381,147,1,4,2,0,14,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,554,6,0,560
302,246A(W),316,108,1,2,0,2,3,0,0,0,0,0,0,0,2,3,3,1,0,0,0,1,0,442,2,0,444
303,247,572,277,2,23,3,2,53,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,939,2,0,941
304,248M,352,206,1,8,4,2,36,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,613,2,0,615
305,248A(W),325,161,2,4,5,0,10,0,1,0,1,0,0,1,5,3,3,0,0,0,0,1,0,522,2,0,524
306,249M,249,231,1,4,2,0,33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,522,5,0,527
307,249A(W),267,170,1,5,1,0,8,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,458,4,0,462
308,250,368,364,1,6,11,0,39,0,1,0,0,0,0,0,3,8,2,0,0,0,0,0,1,804,6,0,810
309,251,380,256,3,4,6,0,31,2,0,0,0,1,0,1,2,1,6,1,0,0,0,0,0,694,4,0,698
310,252M,256,201,0,4,3,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,490,5,0,495
311,252A(W),250,184,3,7,0,0,7,0,0,0,0,0,1,2,5,2,2,1,1,0,0,0,0,465,1,0,466
312,253,406,251,1,19,2,0,31,0,0,0,0,0,1,0,2,4,2,0,0,0,0,0,0,719,8,0,727
313,254,479,254,2,49,1,0,44,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,834,7,0,841
314,255M,249,313,2,1,4,1,63,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,638,2,0,640
315,255A(W),238,258,13,2,5,0,26,0,0,0,2,0,1,2,4,2,11,8,3,0,0,1,3,579,2,0,581
316,256,433,299,1,1,4,0,46,1,0,0,0,0,0,0,5,0,4,2,0,0,1,0,1,798,11,0,809
317,257,262,258,2,3,2,0,8,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,541,2,0,543
318,258,512,304,1,30,1,0,63,1,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,921,7,0,928
319,259M,240,228,1,12,1,0,20,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,505,2,0,507
320,259A(W),264,194,1,5,0,0,10,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,481,0,0,481
321,260M,262,298,2,6,4,0,52,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,629,7,0,636
322,260A(W),254,266,1,5,2,0,14,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,551,2,0,553
323,261M,306,186,0,4,3,0,37,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,538,6,0,544
324,261A(W),305,169,4,3,1,0,8,1,1,0,1,0,0,0,2,2,3,0,1,0,0,0,1,502,4,0,506
325,262M,288,200,0,21,2,0,27,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,545,4,0,549
326,262A(W),318,182,0,11,2,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,532,3,0,535
327,263,159,104,0,3,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,283,2,0,285
328,264M,262,212,0,22,3,0,45,1,0,0,0,1,0,0,1,1,2,2,1,0,0,1,1,555,6,0,561
329,264A(W),282,187,2,21,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,510,3,0,513
330,265M,271,235,0,2,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,2,0,548
331,265A(W),269,178,1,1,0,0,11,2,0,0,0,1,0,2,4,3,1,0,0,0,0,1,0,474,3,0,477
332,266,504,378,2,10,1,0,47,3,0,0,0,0,1,1,4,3,2,0,0,0,0,0,2,958,7,0,965
333,267,236,189,2,9,0,0,12,1,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,456,2,0,458
334,268M,282,196,1,5,4,1,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,506,5,0,511
335,268A(W),281,164,1,2,1,1,5,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,460,1,0,461
336,269,357,235,6,9,4,1,20,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,636,7,0,643
337,270M,307,282,1,4,7,0,48,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,652,3,0,655
338,270A(W),343,219,1,5,1,0,12,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,587,6,0,593
339,271,531,334,4,6,6,0,42,0,0,0,1,0,0,1,1,4,4,2,0,0,0,0,2,938,5,0,943
340,272M,325,186,0,1,3,0,28,0,0,1,1,0,0,0,0,2,1,2,0,0,0,1,0,551,7,0,558
341,272A(W),324,157,0,3,1,1,21,0,0,0,1,0,0,0,1,2,0,3,0,0,0,1,1,516,1,0,517
342,273,332,329,0,14,5,0,37,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,725,4,0,729
343,274,463,307,1,14,2,0,30,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,822,4,0,826
344,275M,325,193,1,1,1,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,555,8,0,563
345,275A(W),296,180,2,3,1,0,7,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,493,1,0,494
346,276M,330,257,0,2,2,0,45,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,638,5,0,643
347,276A(W),329,202,2,9,3,0,12,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,562,5,0,567
348,277,498,246,2,21,9,1,47,0,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,831,5,0,836
349,278,230,226,0,12,3,0,16,0,0,0,0,0,1,0,3,4,1,0,0,0,1,0,0,497,2,0,499
350,279,519,308,3,25,11,0,38,0,0,0,0,0,0,0,2,9,0,2,0,0,0,2,1,920,8,0,928
351,280,320,168,3,23,1,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,531,2,0,533
352,281M,265,216,0,19,1,0,22,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,528,6,0,534
353,281A(W),302,155,2,11,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,479,3,0,482
354,282,400,352,0,9,6,1,43,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,817,3,0,820
355,283,406,364,7,3,3,0,21,1,0,2,1,1,0,0,4,7,4,3,0,1,1,0,0,829,6,0,835
356,284M,347,209,0,3,6,0,51,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,620,5,0,625
357,284A(W),363,157,1,4,2,1,8,1,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,549,2,0,551
358,285,196,275,1,16,2,0,23,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,519,1,0,520
359,286M,217,257,0,18,1,0,31,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,529,4,0,533
360,286A(W),260,234,1,10,1,0,17,1,1,0,0,1,1,0,1,2,4,1,0,0,0,0,0,535,3,0,538
361,287,275,450,3,19,5,0,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,780,2,0,782
362,288,135,181,1,15,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,345,1,0,346
363,289,217,296,2,36,4,0,19,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,577,3,0,580
364,290,400,267,3,17,4,0,55,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,753,3,0,756
365,291,492,303,2,14,1,0,27,0,1,0,0,1,0,0,3,4,2,0,0,0,0,11,0,861,8,0,869
366,292M,325,171,1,3,4,0,27,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0,538,1,0,539
367,292A(W),334,128,1,4,0,1,11,0,1,1,0,0,0,1,0,2,1,3,0,0,0,2,0,490,2,0,492
368,293,445,227,2,5,0,0,28,0,0,0,0,0,0,1,0,3,1,0,0,0,0,3,0,715,2,0,717
369,294,294,138,2,37,2,0,22,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,502,8,0,510
370,295,374,217,1,9,2,0,28,0,0,1,0,0,0,1,4,3,4,1,0,0,0,0,1,646,3,0,649
371,296,334,182,3,10,8,0,10,1,1,0,1,0,1,0,5,1,1,1,0,0,0,0,0,559,6,0,565
372,297,303,248,2,4,1,0,13,0,0,0,1,0,0,0,0,0,6,4,0,0,0,1,1,584,8,0,592
373,298M,297,150,1,4,9,0,31,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,497,1,0,498
374,298A(W),335,101,0,3,6,0,10,0,1,0,0,0,0,0,1,7,0,0,0,0,0,1,0,465,0,0,465
375,299,290,222,4,4,1,0,23,0,1,0,0,0,1,0,1,5,1,1,0,1,0,0,1,556,3,0,559
376,300,363,333,2,17,4,0,16,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,742,0,0,742
377,301M,354,158,0,7,1,0,32,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,557,1,0,558
378,301A(W),385,126,2,5,1,0,11,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,534,4,0,538
379,302,127,204,0,7,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356,4,0,360
380,303,409,403,0,25,5,0,29,0,0,0,1,0,0,0,1,1,3,3,0,0,0,1,0,881,2,0,883
381,304,307,203,2,3,3,0,15,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,538,3,0,541
382,305,265,263,1,10,4,1,28,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,576,4,0,580
383,306,350,358,1,22,3,0,30,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,768,12,0,780
384,307M,247,238,0,20,2,0,44,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,556,3,0,559
385,307A(W),285,188,2,15,0,0,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,516,0,0,516
386,308,462,236,0,9,13,0,36,1,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,765,0,0,765
387,309,492,191,0,2,1,0,26,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,722,2,0,724
388,310,294,234,1,6,6,0,57,0,1,0,2,0,0,0,3,3,1,0,0,0,0,0,1,609,6,0,615
389,311,310,188,1,4,5,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,544,4,0,548
