Sl. No,Polling Station No,Desiya Dravida Murpokku Kazhagam HTANAMU .R,D. PERIYASAMY Party Janata Bharatiya,P. RAVICHANDRAN Party Samaj Bahujan,E. ARULDOSS Sakthi Katchi Makkal Desiya,Naam Tamilar Katchi IHCTAMAK .N,R. PRABAKARAN Maiam Needhi Makkal,S. AYYASAMY Independent,M. KARUPPAN Independent,Independent JARAMAK .K,V. KOLANJINATHAN Independent,C. SEENUVASAN Independent,S. SUMATHI Independent,M. NATARAJAN Independent,P. PALANIAMMAL Independent,Above the of None Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
119,94,701,5,310,147,2,0,35,1,2,0,1,1,1,1,10,3,3,522,0,522,0
120,95M,550,9,79,237,1,0,18,1,0,0,0,1,1,0,1,1,3,352,0,352,0
121,95 A(W),537,5,104,302,0,0,9,4,0,0,0,0,3,1,10,0,5,443,0,443,0
122,96,751,9,269,212,3,0,63,1,0,1,0,1,0,0,6,1,5,571,0,571,0
123,97,720,6,159,287,2,0,56,7,1,2,0,1,0,1,8,0,3,533,0,533,0
124,98M,612,0,100,219,1,0,16,3,0,0,1,0,0,0,2,0,0,342,0,342,0
125,98 A(W),624,5,211,288,2,0,15,3,0,1,0,0,0,1,6,0,2,534,0,534,0
126,99M,572,2,315,60,1,0,26,1,0,0,0,0,0,0,2,0,2,409,0,409,0
127,99 A(W),604,3,413,71,1,0,24,1,1,0,0,0,0,0,7,4,1,526,0,526,0
128,100,676,5,254,114,1,2,26,3,0,5,0,0,2,0,1,2,2,417,0,417,0
129,101,738,9,186,234,0,0,37,5,0,3,1,0,2,2,8,0,3,490,0,490,0
130,102,838,16,396,177,3,1,53,1,5,0,1,1,0,0,3,4,2,663,0,663,0
131,103,884,20,293,271,0,0,52,2,1,4,0,0,1,1,3,6,4,658,0,658,0
132,104M,619,8,189,164,2,0,41,0,0,2,0,1,0,1,1,0,0,409,0,409,0
133,104 A(W),644,4,275,214,1,0,23,1,0,3,0,1,0,1,9,3,3,538,0,538,0
134,105,748,3,395,126,4,0,34,1,1,0,0,1,1,2,25,0,3,596,0,596,0
135,106,946,6,391,276,1,0,50,10,1,1,0,1,0,1,8,1,3,750,0,750,0
136,107,1028,24,371,274,2,2,102,10,0,1,1,0,1,0,2,2,8,800,0,800,0
137,108,673,11,226,209,3,0,40,7,1,0,0,0,0,0,0,0,3,500,0,500,0
138,109,582,6,353,59,1,0,22,1,2,0,0,0,1,1,5,5,2,458,0,458,0
139,110,817,4,331,222,1,1,52,7,1,2,0,1,1,0,8,2,5,638,0,638,0
140,111,960,9,359,305,3,0,29,11,1,0,0,0,1,7,9,2,4,740,0,740,0
141,112M,577,18,124,181,1,0,29,7,0,0,0,0,0,0,1,0,2,363,0,363,0
142,112 A(W),588,16,180,231,3,0,18,8,0,1,0,1,2,0,1,0,0,461,0,461,0
143,113M,523,14,144,169,0,1,16,10,0,1,0,0,0,0,1,0,0,356,0,356,0
144,113 A(W),619,13,183,235,1,0,15,8,0,2,0,0,2,3,3,1,9,475,0,475,0
145,114,768,6,338,173,3,1,61,13,5,3,1,0,3,2,10,5,3,627,0,627,0
146,115,745,14,186,308,2,0,38,5,0,3,0,0,0,0,1,2,4,563,0,563,0
147,116,788,12,240,254,1,0,52,9,4,3,1,0,1,1,8,3,2,591,0,591,0
148,117,834,4,329,145,3,0,38,8,7,1,0,1,2,2,0,2,4,546,0,546,0
149,118,746,9,286,193,0,1,27,5,9,3,1,1,0,1,1,1,2,540,0,540,0
150,119,967,12,399,217,6,0,74,6,1,2,1,1,0,1,5,3,3,731,0,731,0
151,120,1043,46,326,270,7,1,117,3,0,2,0,1,2,1,4,3,2,785,0,785,0
152,121,955,43,231,322,2,1,80,4,0,0,0,0,0,1,4,4,4,696,0,696,0
153,122,677,3,341,134,0,0,23,9,0,1,1,1,0,0,3,3,3,522,0,522,0
154,123,815,4,125,416,1,0,32,13,0,0,0,0,1,0,0,0,3,595,0,595,0
155,124,1011,7,436,249,2,0,41,10,1,1,0,0,20,0,5,2,3,777,0,777,0
156,125,854,6,266,311,6,1,52,11,1,3,0,1,0,1,5,3,3,670,0,670,0
157,126,940,8,205,467,2,2,36,4,1,3,0,0,3,1,2,0,9,743,0,743,0
158,127,652,22,354,64,2,0,39,2,0,5,0,0,1,1,3,3,4,500,0,500,0
159,128,775,5,388,112,0,0,26,4,4,2,0,0,2,0,1,2,1,547,0,547,0
160,129,799,3,233,322,4,0,26,10,0,1,0,0,0,1,5,1,6,612,0,612,0
161,130,895,7,389,190,3,0,51,13,1,5,1,3,2,0,2,7,8,682,0,682,0
162,131,807,13,441,132,2,1,21,2,1,4,1,2,1,0,7,6,4,638,0,638,0
163,132,718,11,192,285,0,2,22,18,1,6,1,0,1,1,2,0,12,554,0,554,0
164,133,824,10,177,327,2,0,26,6,0,0,2,0,1,4,3,3,4,565,0,565,0
165,134M,606,9,137,206,1,0,28,24,0,2,0,0,0,1,2,0,4,414,0,414,0
166,134 A(W),675,2,182,235,3,0,23,26,1,0,1,1,0,0,2,1,5,482,0,482,0
167,135,833,12,262,183,0,0,30,37,0,1,0,1,0,0,2,1,5,534,0,534,0
168,136,876,15,248,275,0,1,36,33,1,2,0,0,1,1,0,0,7,620,0,620,0
169,137M,560,5,157,102,1,0,41,16,2,33,0,0,0,2,0,0,5,364,0,364,0
170,137 A(W),575,10,203,122,1,1,19,16,0,13,1,1,0,0,2,2,1,392,0,392,0
171,138M,556,8,229,105,1,0,17,20,0,8,0,0,0,0,1,0,1,390,0,390,0
172,138 A(W),570,6,263,102,0,0,16,17,0,3,0,0,0,0,0,0,1,408,0,408,0
173,139M,632,16,184,176,0,0,23,34,0,1,0,0,0,0,0,1,6,441,0,441,0
174,139 A(W),672,10,179,232,1,0,17,40,0,1,1,1,1,0,4,1,3,491,0,491,0
175,140,863,11,239,224,1,0,26,54,0,1,0,0,0,0,2,2,7,567,0,567,0
176,141M,528,6,149,150,1,0,32,21,0,0,0,0,0,0,1,0,2,362,0,362,0
177,141 A(W),594,8,181,206,2,0,25,18,0,1,0,0,0,1,0,0,3,445,0,445,0
178,142M,665,17,292,120,1,1,26,13,0,19,1,2,0,0,0,0,4,496,0,496,0
179,142 A(W),714,12,383,124,0,1,10,6,0,3,0,0,1,0,7,6,3,556,0,556,0
180,143,865,10,240,245,1,2,51,23,0,2,1,0,0,0,3,3,9,590,0,590,0
181,144M,529,14,153,117,0,1,41,17,0,1,0,0,0,0,1,1,2,348,0,348,0
182,144 A(W),541,9,184,128,1,1,18,22,2,0,0,0,1,0,0,0,8,374,0,374,0
183,145,826,32,215,315,1,1,30,13,1,0,0,0,0,1,2,0,3,614,0,614,0
184,146,787,4,149,414,1,0,26,3,0,1,0,1,0,1,0,2,5,607,0,607,0
185,147,726,10,146,318,2,1,22,22,0,0,2,0,0,1,2,1,6,533,0,533,0
186,148,916,14,500,177,1,2,17,2,1,1,11,0,0,3,7,7,5,748,0,748,0
187,149,756,9,465,101,1,1,15,2,3,7,0,0,0,1,3,3,3,614,0,614,0
188,150,676,18,289,118,2,46,34,11,1,3,0,1,0,2,3,1,1,530,0,530,0
189,151,645,9,243,180,0,25,28,8,0,0,0,0,0,3,4,4,3,507,0,507,0
190,152,991,11,500,183,4,0,23,3,1,2,1,1,0,2,3,5,4,743,0,743,0
191,153,953,6,252,386,0,1,24,5,0,0,0,0,1,0,2,0,4,681,0,681,0
192,154,1033,16,195,445,5,2,28,6,1,3,0,0,2,1,1,2,8,715,0,715,0
193,155,666,10,254,181,1,2,22,1,0,1,0,0,0,0,0,0,2,474,0,474,0
194,156,1050,17,584,171,1,1,44,8,0,6,0,0,4,0,3,1,7,847,0,847,0
195,157,707,18,214,185,0,0,32,11,1,2,0,0,1,0,3,1,4,472,0,472,0
196,158,578,15,213,188,0,1,23,5,0,1,0,1,0,0,1,1,5,454,0,454,0
197,159,704,8,349,170,1,0,30,2,3,2,0,0,0,1,4,1,3,574,0,574,0
198,160M,553,13,193,179,2,0,29,2,0,3,0,1,1,0,1,1,0,425,0,425,0
199,160 A(W),583,10,273,211,2,0,4,3,0,1,0,0,1,0,3,2,5,515,0,515,0
200,161,720,73,216,242,3,0,16,4,0,1,0,1,0,3,5,1,7,572,0,572,0
201,162,565,17,308,90,0,0,29,1,0,3,0,1,0,0,0,3,1,453,0,453,0
202,163,980,14,402,258,4,0,47,3,5,1,1,1,1,3,5,2,2,749,0,749,0
203,164,570,4,232,148,3,0,23,3,0,1,0,0,0,0,2,1,1,418,0,418,0
204,165M,576,12,269,147,2,0,44,0,2,4,0,1,0,1,1,0,2,485,0,485,0
205,165 A(W),609,3,267,189,3,3,19,1,1,2,1,1,0,1,8,7,3,509,0,509,0
206,166,870,10,340,208,3,1,26,2,89,1,1,2,0,0,1,1,6,691,0,691,0
207,167,932,24,378,195,4,0,60,6,3,3,0,1,0,2,5,3,1,685,0,685,0
208,168,1014,15,491,227,2,2,33,4,3,2,0,0,0,0,1,0,3,783,0,783,0
209,169,776,9,260,300,0,0,22,2,0,0,0,0,0,0,1,0,2,596,0,596,0
210,170,830,29,474,86,5,0,13,6,4,1,0,0,1,0,9,11,4,643,0,643,0
211,171M,616,16,326,131,1,0,33,1,1,0,0,0,0,0,0,0,3,512,0,512,0
212,171 A(W),569,13,317,122,3,0,5,2,1,0,1,0,0,1,9,3,6,483,0,483,0
213,172,753,4,106,405,2,0,14,3,0,1,0,0,0,0,4,1,3,543,0,543,0
214,173,978,28,396,283,5,1,20,0,1,1,1,1,1,0,10,3,6,757,0,757,0
215,174,758,13,238,248,0,1,40,34,2,1,1,1,0,1,1,2,2,585,0,585,0
216,175,881,10,263,382,4,1,17,0,0,1,0,1,0,1,7,6,0,693,0,693,0
217,176,640,26,317,138,0,0,25,0,2,4,0,0,0,0,7,2,3,524,0,524,0
218,177,656,29,247,183,1,0,28,1,1,0,1,1,0,1,6,3,5,507,0,507,0
219,178,698,5,190,276,2,0,31,3,2,3,0,1,0,0,3,1,5,522,0,522,0
220,179,926,15,282,355,3,0,29,1,2,0,1,1,1,0,4,3,4,701,0,701,0
221,180,670,4,194,272,2,0,17,1,0,0,0,0,1,0,4,1,4,500,0,500,0
222,181,930,79,285,264,4,2,52,3,1,1,0,1,3,3,8,3,3,712,0,712,0
223,182,586,27,204,197,0,0,24,6,0,0,0,0,1,0,3,1,2,465,0,465,0
224,183M,607,12,160,188,2,0,37,2,8,1,0,1,1,1,3,0,0,416,0,416,0
225,183 A(W),579,10,224,274,1,0,7,0,4,1,2,1,1,2,5,1,0,533,0,533,0
226,184,926,5,120,599,3,1,12,3,0,1,0,0,0,1,5,0,2,752,0,752,0
227,185,636,4,304,158,1,0,18,0,0,1,0,0,0,0,4,0,3,493,0,493,0
228,186,808,8,266,301,4,2,40,1,1,8,0,0,0,1,2,3,3,640,0,640,0
229,187,656,14,224,171,1,0,20,5,2,6,17,0,0,1,13,0,10,484,0,484,0
230,188,759,29,316,176,0,0,48,6,1,8,9,0,2,1,3,2,5,606,0,606,0
231,189,831,12,401,189,1,0,58,3,1,6,1,0,0,1,1,2,5,681,0,681,0
232,190,766,11,371,103,1,1,59,3,1,2,1,1,0,0,2,2,7,565,0,565,0
233,191M,553,16,66,249,0,0,35,3,0,1,0,0,0,0,0,0,0,370,0,370,0
234,191 A(W),599,13,86,342,0,0,10,0,0,2,0,1,0,2,0,0,0,456,0,456,0
235,192M,536,18,85,214,0,0,29,3,0,1,0,0,0,0,0,0,3,353,0,353,0
236,192 A(W),602,7,129,294,1,0,19,6,0,1,0,1,1,1,2,4,2,468,0,468,0
237,193,910,17,286,350,2,0,39,6,0,1,0,1,0,2,1,3,4,712,0,712,0
238,194,703,7,196,231,2,0,63,9,0,4,0,0,0,1,2,0,4,519,0,519,0
239,195,759,8,428,153,0,0,29,0,0,3,0,1,0,0,3,2,2,629,0,629,0
240,196,1014,25,349,273,3,0,54,8,0,0,1,0,2,0,3,0,2,720,0,720,0
241,197,385,10,125,122,0,1,16,1,0,0,0,0,0,0,1,0,3,279,0,279,0
242,198,979,21,213,415,3,0,60,2,0,1,0,1,3,2,6,3,7,737,0,737,0
243,199,765,11,197,242,1,2,33,5,2,2,0,0,2,1,3,1,4,506,0,506,0
244,200,654,10,243,175,1,0,30,2,4,2,0,0,0,0,4,2,1,474,0,474,0
245,201M,586,15,180,165,2,2,51,2,1,3,0,1,0,0,0,0,2,424,0,424,0
246,201 A(W),636,9,228,180,4,1,23,3,0,2,1,0,0,0,1,1,4,457,0,457,0
247,202,968,12,239,315,3,0,54,12,0,3,1,1,2,2,3,3,6,656,0,656,0
248,203,925,15,318,262,2,0,52,10,1,1,1,1,1,1,3,4,5,677,0,677,0
249,204,926,14,215,265,1,0,46,9,1,1,1,0,0,0,1,0,6,560,0,560,0
250,205,890,12,494,182,1,0,46,1,2,2,2,1,1,1,1,4,4,754,0,754,0
251,206M,577,27,223,81,0,1,85,0,1,2,0,1,0,1,4,1,5,432,0,432,0
252,206 A(W),629,18,273,87,1,1,74,5,3,3,2,2,0,1,2,3,5,480,0,480,0
253,207,528,7,244,137,1,1,17,2,0,0,0,0,1,0,0,1,1,412,0,412,0
254,208,849,26,351,210,4,0,50,0,0,0,0,0,0,1,9,2,2,655,0,655,0
255,209,699,20,304,127,2,0,56,4,1,1,0,2,0,0,10,0,1,528,0,528,0
256,210,1042,17,330,252,1,0,27,13,0,0,1,0,0,0,1,0,5,647,0,647,0
257,211,970,28,312,237,1,1,47,9,0,1,0,0,1,0,4,1,15,657,0,657,0
258,212M,530,11,162,83,1,0,32,16,1,0,0,0,0,0,0,1,7,314,0,314,0
259,212 A(W),580,8,150,125,0,0,19,13,0,1,0,0,0,0,1,2,1,320,0,320,0
260,213,826,11,324,117,1,1,23,7,0,2,0,0,0,0,0,0,2,488,0,488,0
261,214M,659,29,198,140,1,2,35,9,0,0,0,0,0,3,0,0,5,422,0,422,0
262,214 A(W),712,15,220,163,1,0,22,6,0,0,0,0,2,1,2,3,7,442,0,442,0
263,215M,574,49,241,108,0,0,32,2,0,0,0,0,0,0,1,3,4,440,0,440,0
264,215A (W),585,19,242,150,1,0,16,5,1,2,0,0,0,1,7,1,2,447,0,447,0
265,216,975,28,347,198,0,1,45,9,0,1,0,0,0,1,0,0,2,632,0,632,0
266,217,1016,37,469,164,0,0,40,4,2,2,1,0,1,1,7,28,3,759,0,759,0
267,218M,582,10,177,114,1,0,56,8,0,0,1,0,1,0,1,0,2,371,0,371,0
268,218 A(W),651,8,211,146,0,0,31,7,0,2,0,0,1,1,7,6,3,423,0,423,0
269,219M,690,9,198,131,1,0,50,18,0,2,1,0,0,1,0,1,3,415,0,415,0
270,219 A(W),700,7,193,130,3,1,36,19,1,0,0,1,1,0,0,2,4,398,0,398,0
271,220M,694,13,280,140,1,0,44,2,0,0,0,1,0,1,5,0,7,494,0,494,0
272,220 A(W),697,4,301,160,3,1,10,4,0,1,1,1,0,0,4,5,6,501,0,501,0
273,221M,606,18,258,88,1,0,32,5,0,0,0,0,1,1,0,1,2,407,0,407,0
274,221 A(W),690,12,298,110,0,0,15,8,1,0,0,0,1,1,2,0,0,448,0,448,0
275,222,795,11,264,164,1,0,44,21,0,0,0,0,0,0,0,1,5,511,0,511,0
276,223,1024,16,617,128,1,4,23,2,2,0,0,0,1,0,0,0,2,796,0,796,0
277,224,907,7,282,380,4,0,26,3,0,0,1,0,1,0,3,5,4,716,0,716,0
278,225M,625,9,156,258,0,0,31,8,0,2,0,0,0,0,1,0,3,468,0,468,0
279,225 A(W),640,7,165,296,2,0,20,0,0,2,1,1,0,2,13,5,4,518,0,518,0
280,226M,554,11,200,114,0,0,58,1,1,8,0,0,0,0,1,1,3,398,0,398,0
281,226 A(W),600,9,246,149,2,0,39,2,1,0,0,0,1,1,6,5,1,462,0,462,0
282,227,616,4,114,308,2,0,38,6,0,1,0,0,0,2,2,1,3,481,0,481,0
283,228,544,4,100,282,2,0,8,3,0,0,0,0,0,0,2,0,3,404,0,404,0
284,229,642,11,230,202,3,0,46,4,2,0,0,1,0,0,2,3,2,506,0,506,0
