Sl. No,Polling Station No,DHANALAKSHMIA.,MUTHUSAMYS.,EDORE KUMARP.,TSEW CHANDRANM.,OT EHT SIVASUBRAMANIYANS.,UDANLIMAT,THANGAVELG.,EVITALSIGEL SEVUGAN,EES( TRAP BALASUBRAMANIAMK.,)C)(C MORF EHT I MADHANK.,EDORE,TSEW KALITHASSR.,MUTHUSAMYA.,VENGATESANA.,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
346,255M,125,2,259,39,1,0,0,20,0,0,0,0,0,0,0,446,0,7,453,
347,255A(W),180,3,254,24,0,2,0,32,0,0,0,0,1,0,0,496,0,2,498,
348,256,209,3,376,45,0,0,1,21,0,0,0,1,0,0,4,660,0,6,666,
349,257M,76,0,289,33,0,2,1,13,0,0,0,0,0,0,1,415,0,5,420,
350,257A(W),80,0,287,24,0,0,0,19,0,0,0,0,1,2,0,413,0,1,414,
351,258M,128,0,222,36,0,0,0,17,0,0,0,0,0,0,0,403,0,12,415,
352,258A(W),169,0,193,23,1,0,0,16,0,0,0,0,1,1,3,407,0,7,414,
353,259,227,2,348,62,1,2,0,17,1,0,1,1,0,0,5,667,0,9,676,
354,260,58,1,349,19,0,1,0,26,0,0,0,0,0,0,2,456,0,5,461,
355,261M,73,1,272,36,0,0,0,17,0,0,0,0,0,2,0,401,0,5,406,
356,261A(W),72,1,269,17,0,0,0,25,0,0,0,0,0,0,0,384,0,5,389,
357,262,193,2,332,40,1,0,0,18,0,0,1,0,2,1,0,590,0,5,595,
358,263,180,2,266,38,0,0,0,11,1,0,0,2,0,2,0,502,0,8,510,
359,264,79,0,181,23,0,2,0,5,0,0,0,1,0,0,0,291,0,2,293,
360,265M,140,1,185,32,0,1,0,17,0,0,0,0,0,2,0,378,0,1,379,
361,265A(W),155,0,178,20,0,2,1,7,1,0,0,1,0,1,0,366,0,4,370,
362,266M,116,0,216,38,0,2,0,37,0,1,0,0,0,0,0,410,0,8,418,
363,266A(W),155,2,230,29,0,1,0,24,0,0,0,0,0,3,0,444,0,6,450,
364,267,284,3,449,68,0,8,0,16,0,1,0,1,1,0,0,831,0,4,835,
365,268M,95,0,252,33,0,0,0,22,0,0,0,0,0,1,0,403,0,2,405,
366,268A(W),121,0,250,28,0,0,0,25,0,0,0,0,0,2,0,426,0,2,428,
367,269M,108,0,303,43,0,2,0,18,1,1,0,0,0,1,0,477,0,6,483,
368,269A(W),135,1,297,18,0,1,0,15,0,0,0,0,0,2,0,469,0,6,475,
369,270M,99,1,203,36,1,0,1,13,0,1,1,0,1,0,0,357,0,6,363,
370,270A(W),113,0,224,14,0,0,0,18,0,0,0,0,1,0,0,370,0,5,375,
371,271,159,1,377,53,0,5,0,24,0,0,0,0,1,1,0,621,0,8,629,
372,272,333,3,340,34,0,2,0,6,0,0,0,0,0,1,1,720,0,8,728,
373,273,262,0,191,16,1,0,1,3,0,0,0,0,0,1,0,475,0,1,476,
374,274,322,5,313,45,0,3,0,24,1,0,0,0,1,1,1,716,0,2,718,
375,275,265,2,399,71,0,2,0,12,7,0,1,2,1,3,0,765,0,13,778,
376,276,339,0,184,28,0,1,0,14,0,1,0,1,0,0,0,568,0,4,572,
377,277,314,5,305,26,0,0,1,11,0,0,0,1,0,0,1,664,0,9,673,
378,278,318,3,319,32,0,0,0,16,1,0,1,0,0,0,2,692,0,7,699,
379,279,374,3,338,39,0,3,0,12,2,0,1,0,0,1,1,774,0,8,782,
380,280,220,0,120,19,0,0,0,1,0,0,0,0,0,0,0,360,0,2,362,
381,281,269,0,255,27,0,1,0,9,0,0,0,1,0,0,0,562,0,4,566,
382,282M,160,1,235,29,0,1,0,12,0,0,0,0,0,0,0,438,0,7,445,
383,282A(W),188,0,255,17,1,1,0,3,0,0,1,0,1,2,0,469,0,5,474,
384,283,265,1,283,26,1,1,0,22,0,0,0,1,1,1,0,602,0,3,605,
385,284,309,11,293,42,2,3,0,25,0,0,0,0,0,0,0,685,0,9,694,
386,285,239,4,220,23,0,3,0,6,0,0,0,1,0,2,0,498,0,3,501,
387,286,300,0,260,22,2,0,0,4,0,0,0,0,1,3,0,592,0,1,593,
388,287,305,2,313,26,0,11,1,18,0,0,0,3,1,1,3,684,0,6,690,
389,288M,227,1,207,40,1,5,0,17,0,0,1,1,1,0,0,501,0,3,504,
390,288A(W),257,7,204,17,2,6,0,11,0,1,1,1,1,0,0,508,0,11,519,
391,289M,182,0,230,41,2,4,0,10,0,0,0,1,0,1,0,471,0,2,473,
392,289A(W),216,2,239,14,0,4,0,8,0,0,0,0,1,0,1,485,0,3,488,
393,290M,187,6,194,43,0,1,0,5,0,0,0,0,0,1,0,437,0,4,441,
394,290A(W),204,2,216,22,0,1,1,7,0,0,0,0,0,3,0,456,0,10,466,
395,291,316,1,409,41,0,2,0,15,0,0,1,1,0,1,0,787,0,7,794,
396,292,228,1,261,72,0,3,0,8,0,2,1,2,2,2,1,583,0,12,595,
397,293,166,1,305,42,0,2,0,17,0,0,0,0,1,0,1,535,0,4,539,
398,294,218,2,333,33,0,1,0,14,1,0,0,2,1,3,1,609,0,2,611,
399,295,236,1,363,22,1,1,0,12,0,0,0,0,1,1,1,639,0,7,646,
400,296,351,6,286,41,1,2,0,14,0,0,0,0,0,0,0,701,0,5,706,
401,297,231,3,378,36,0,0,0,9,0,0,0,1,0,3,0,661,0,11,672,
402,298M,224,2,214,42,0,4,0,6,0,0,1,0,0,0,1,494,0,2,496,
403,298A(W),280,1,188,24,1,3,1,4,0,1,1,3,0,1,0,508,0,11,519,0
