Sl. No,Polling Station No,DHANALAKSHMIA.,MUTHUSAMYS.,EDORE KUMARP.,TSEW CHANDRANM.,OT EHT SIVASUBRAMANIYANS.,UDANLIMAT,THANGAVELG.,EVITALSIGEL SEVUGAN,EES( TRAP BALASUBRAMANIAMK.,)C)(C MORF EHT I MADHANK.,EDORE,TSEW KALITHASSR.,MUTHUSAMYA.,VENGATESANA.,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
173,128A(W),225,4,231,20,0,2,1,10,0,0,0,4,1,2,0,500,0,4,504,0
174,129,262,2,251,38,0,2,0,29,0,0,0,0,2,2,0,588,0,4,592,0
175,130,183,5,240,29,1,5,1,14,0,1,0,0,0,3,1,483,0,8,491,0
176,131,336,3,309,48,0,4,0,15,0,0,0,0,0,0,1,716,0,3,719,0
177,132M,174,2,224,45,0,2,1,29,0,0,0,0,0,1,0,478,0,4,482,0
178,132A(W),206,2,202,23,0,1,0,25,0,0,0,1,2,0,0,462,0,6,468,0
179,133M,204,3,247,30,0,1,0,11,0,0,0,0,1,2,2,501,0,1,502,0
180,133A(W),248,0,214,24,0,0,0,11,1,0,0,1,2,4,1,506,0,12,518,0
181,134,135,1,189,40,0,2,1,14,0,1,0,1,1,0,1,386,0,6,392,0
182,135,303,0,361,49,0,2,0,41,0,0,0,1,0,1,1,759,0,5,764,0
183,136,238,3,334,24,0,1,0,11,1,0,0,1,1,1,0,615,0,7,622,0
184,137,206,1,305,40,0,2,0,12,0,0,0,0,2,3,0,571,0,4,575,0
185,138,334,1,388,37,0,3,0,30,0,1,0,0,3,2,1,800,0,11,811,0
186,139,242,5,279,34,0,0,0,27,0,0,0,0,0,1,1,589,0,5,594,0
187,140,141,4,247,19,0,2,0,4,0,0,0,1,2,2,0,422,0,6,428,0
188,141,357,1,301,21,0,1,0,14,0,2,0,1,0,0,1,699,0,4,703,0
189,142,257,3,305,25,0,0,0,9,0,2,0,1,1,2,0,605,0,6,611,0
190,143,294,2,311,29,4,0,1,15,0,2,0,0,3,0,0,661,0,8,669,0
191,144,246,6,391,28,0,4,1,16,0,1,0,1,0,1,1,696,0,7,703,0
192,145,269,1,306,26,0,2,0,9,0,0,0,1,1,1,1,617,0,9,626,0
193,146,222,3,251,20,0,1,0,10,0,0,0,2,0,0,0,509,0,4,513,0
194,147,221,4,276,31,0,3,0,25,0,0,0,0,0,2,3,565,0,5,570,0
195,148,258,5,283,43,0,1,0,47,0,1,1,0,2,1,0,642,0,7,649,0
196,149,185,0,169,40,0,1,0,41,1,0,0,0,0,1,0,438,0,3,441,0
197,150,323,3,348,22,1,3,0,27,0,1,0,1,0,3,0,732,0,2,734,0
198,151,251,0,181,26,0,3,0,44,0,0,0,2,0,0,1,508,0,7,515,0
199,152M,208,2,187,41,0,3,0,11,0,0,0,0,0,0,0,452,0,2,454,0
200,152A(W),288,1,141,20,0,2,0,12,0,0,0,0,1,2,3,470,0,10,480,0
201,153,255,2,258,25,0,8,0,4,0,0,0,0,0,0,0,552,0,8,560,0
202,154,335,0,223,42,0,5,0,8,1,1,0,0,0,3,3,621,0,13,634,0
203,155M,127,1,168,18,0,0,0,24,0,0,0,0,0,0,0,338,0,3,341,0
204,155A(W),142,0,160,15,0,0,0,40,0,2,0,1,0,0,1,361,0,8,369,0
205,156,108,0,179,17,0,0,0,11,0,0,0,0,0,0,0,315,0,0,315,0
206,157M,101,1,176,42,0,0,0,25,1,0,0,0,1,0,0,347,0,1,348,0
207,157A(W),125,1,177,19,0,1,0,34,1,1,0,0,0,2,0,361,0,2,363,0
208,158,154,2,301,39,0,4,0,50,0,0,0,0,2,2,1,555,0,8,563,0
209,159M,120,0,164,16,0,3,0,30,0,0,0,0,0,1,0,334,0,2,336,0
210,159A(W),142,0,141,15,0,2,0,31,0,0,0,1,0,1,0,333,0,5,338,0
211,160,161,0,197,22,0,0,1,56,0,0,0,0,2,0,0,439,0,3,442,0
212,161,210,0,244,35,0,1,0,40,0,0,0,1,0,1,0,532,0,6,538,0
213,162M,105,1,186,30,0,1,0,25,0,0,0,1,0,3,0,352,0,4,356,0
214,162A(W),131,1,191,15,0,0,0,24,0,0,0,1,1,2,0,366,0,3,369,0
215,163,174,0,265,69,0,1,0,22,0,1,1,0,1,3,0,537,0,4,541,0
216,164,202,0,214,33,0,1,0,39,0,0,0,0,0,2,0,491,0,9,500,0
217,165,186,1,264,46,0,3,1,10,0,2,1,0,1,0,2,517,0,2,519,0
218,166,245,2,341,40,0,1,0,13,0,0,0,0,0,2,0,644,0,8,652,0
219,167M,161,0,219,41,0,2,0,9,0,1,0,0,1,1,0,435,0,2,437,0
220,167A(W),178,3,225,20,2,1,0,5,0,0,0,2,0,1,0,437,0,5,442,0
221,168,181,0,230,28,0,3,1,45,0,0,0,0,1,1,1,491,0,6,497,0
222,169,211,1,195,23,0,2,0,38,0,0,0,0,0,1,0,471,0,5,476,0
223,170M,151,0,196,51,0,3,0,33,0,0,0,0,1,0,1,436,0,2,438,0
224,170A(W),175,0,176,31,2,1,0,22,0,1,0,0,1,2,1,412,0,7,419,0
225,171,193,5,331,64,0,2,1,23,0,0,0,0,0,1,3,623,0,3,626,0
226,172M,144,0,239,57,0,1,0,33,0,0,0,0,1,1,1,477,0,4,481,0
227,172A(W),161,1,220,42,0,0,0,41,0,0,0,0,2,1,3,471,0,6,477,0
228,173M,136,0,200,37,0,2,0,28,0,0,1,0,0,0,1,405,0,4,409,0
229,173A(W),173,1,164,17,0,1,0,33,0,0,0,0,1,2,2,394,0,5,399,0
230,174,137,0,442,31,0,0,0,11,0,1,0,2,0,0,0,624,0,0,624,0
231,175,179,2,344,23,0,0,1,12,0,0,0,1,1,1,1,565,0,3,568,0
232,176M,117,1,301,36,0,3,1,19,0,0,1,0,1,0,0,480,0,2,482,0
233,176A(W),152,0,297,23,0,1,2,20,0,0,0,0,1,2,1,499,0,5,504,0
234,177,217,0,203,39,1,2,1,20,0,0,0,0,0,0,0,483,0,3,486,0
235,178,240,0,318,31,0,4,0,18,0,0,0,0,0,0,0,611,0,10,621,0
236,179M,102,0,181,24,1,2,0,24,0,0,0,0,0,1,2,337,0,3,340,0
237,179A(W),124,1,152,11,0,0,0,42,0,0,0,1,1,0,1,333,0,0,333,0
238,180,185,0,225,35,0,0,0,48,0,0,0,0,0,1,0,494,0,7,501,0
239,181M,102,0,142,20,0,4,0,20,0,0,0,0,0,0,1,289,0,1,290,0
240,181A(W),126,1,140,10,1,1,0,22,0,0,0,0,0,1,0,302,0,5,307,0
241,182M,97,0,139,16,0,0,0,34,0,0,0,0,0,0,0,286,0,6,292,0
242,182A(W),123,0,133,12,0,0,0,36,0,0,0,0,0,0,0,304,0,5,309,0
243,183,261,0,269,50,0,0,0,42,0,0,0,0,0,0,2,624,0,8,632,0
244,184M,96,0,192,43,1,0,1,15,0,0,0,1,0,0,0,349,0,3,352,0
245,184A(W),133,1,192,22,0,4,0,17,0,0,0,1,0,2,0,372,0,1,373,0
246,185M,153,0,195,35,0,0,0,29,0,0,0,0,0,2,1,415,0,12,427,0
247,185A(W),190,1,201,22,1,0,0,24,0,0,0,0,0,1,0,440,0,8,448,0
248,186M,122,0,207,27,1,1,0,36,0,0,0,1,0,1,0,396,0,5,401,0
249,186A(W),139,1,202,21,0,2,0,37,0,0,0,0,0,0,1,403,0,3,406,0
250,187,211,0,291,42,0,0,0,40,0,0,0,2,1,1,5,593,0,9,602,0
251,188M,125,2,162,28,0,2,0,28,1,0,0,0,0,0,1,349,0,3,352,0
252,188A(W),153,0,149,12,0,1,0,36,0,0,0,0,0,3,1,355,0,5,360,0
253,189,189,1,268,34,0,0,0,21,0,0,0,0,1,2,0,516,0,0,516,0
254,190,168,1,301,33,0,2,0,19,0,1,1,0,0,1,1,528,0,5,533,0
255,191M,129,0,230,51,0,4,0,30,0,0,0,1,1,0,0,446,0,5,451,0
256,191A(W),172,0,255,29,0,1,0,29,0,0,0,0,0,2,1,489,0,3,492,0
257,192,199,1,265,34,0,1,0,37,0,1,0,0,0,0,0,538,0,8,546,0
258,193,224,0,284,44,1,1,0,21,1,0,1,0,0,0,2,579,0,8,587,0
259,194,264,3,337,67,2,10,1,35,0,0,0,0,0,4,2,725,0,3,728,0
260,195,226,2,232,46,1,1,0,28,0,0,1,0,0,0,0,537,0,8,545,0
261,196,270,2,310,65,0,3,1,46,0,0,0,0,0,1,0,698,0,7,705,0
262,197,288,1,269,58,1,1,1,25,0,0,0,1,0,2,2,649,0,6,655,0
263,198M,172,0,225,62,0,2,0,22,0,1,0,0,0,1,1,486,0,5,491,0
264,198A(W),208,3,213,27,0,1,0,25,1,0,0,0,1,2,1,482,0,4,486,0
265,199,226,0,300,51,0,3,0,38,0,0,1,0,1,3,1,624,0,6,630,0
266,200,225,1,353,56,0,0,0,53,0,1,1,0,0,1,4,695,0,8,703,0
267,201M,130,0,186,28,0,1,0,19,0,0,0,0,0,0,2,366,0,6,372,0
268,201A(W),164,0,178,21,0,0,0,27,0,0,0,1,1,0,0,392,0,3,395,0
269,202M,154,1,271,64,0,1,1,23,0,1,0,0,0,0,1,517,0,1,518,0
270,202A(W),191,0,294,29,0,0,0,21,0,1,0,1,1,0,0,538,0,5,543,0
271,203M,71,0,204,30,0,1,0,10,0,0,1,0,0,0,1,318,0,2,320,0
272,203A(W),76,1,213,19,1,0,1,17,0,0,0,0,0,0,1,329,0,0,329,0
273,204,197,3,301,34,0,0,0,16,0,1,0,1,0,0,0,553,0,4,557,0
274,205,167,3,307,29,1,2,0,27,0,0,0,0,1,1,0,538,0,7,545,0
275,206,195,2,384,37,1,5,0,16,1,0,0,1,0,3,0,645,0,7,652,0
276,207,192,0,233,35,0,4,0,6,0,1,0,0,0,3,0,474,0,10,484,0
277,208M,166,1,233,39,0,2,1,23,0,0,0,0,0,3,0,468,0,4,472,0
278,208A(W),230,1,221,12,1,1,0,20,0,0,0,0,1,0,0,487,0,4,491,0
279,209M,133,0,222,39,0,1,1,10,0,0,0,0,0,1,0,407,0,4,411,0
280,209A(W),155,2,234,15,0,1,0,11,0,1,0,0,1,0,0,420,0,4,424,0
281,210M,139,0,162,20,0,2,0,29,0,0,0,1,0,1,0,354,0,4,358,0
282,210A(W),160,0,139,13,0,1,0,23,0,0,1,1,0,0,0,338,0,5,343,0
283,211M,162,2,268,37,1,5,0,12,0,0,0,0,0,1,0,488,0,5,493,0
284,211A(W),216,7,247,11,0,2,0,11,0,0,1,0,1,2,1,499,0,5,504,0
285,212,172,3,271,28,0,7,0,12,0,0,0,0,0,4,1,498,0,8,506,0
286,213,249,0,293,43,1,7,0,34,1,0,0,1,0,4,0,633,0,8,641,0
287,214,247,2,282,30,0,0,0,47,0,0,0,0,0,2,1,611,0,14,625,0
288,215M,138,3,255,50,0,1,0,23,0,0,0,0,0,0,0,470,0,5,475,0
