Sl. No,Polling Station No,AYITARAHB ATANAJ YTRAP NAHDARAVILAK.TAV,SIVA.PANJAVARNAM PARTY SAMAJ BAHUJAN,L.VENKATESAN KAZHAGAM MURPOKKU DRAVIDA DESIYA,SANKAR.S KATCHI THOZHILALARKAL VISWANATHADOSS THIYAGI VEERATH,SENTHILKUMAR.M KATCHI JANANAYAKA INDIYA,MURUGAN.S KATCHI TAMILAR NAAM,RAJINI.V.R MAKKAL NAADAALUM KATCHI,KATHIRAVAN.K INDEPENDENT,PRAKASH.A INDEPENDENT,MAHESH.M INDEPENDENT,MATHIVANAN.S INDEPENDENT,VIGNESH.M INDEPENDENT,JAYAVINDAN.G INDEPENDENT,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
296,244,237,2,193,11,0,0,20,0,0,6,0,1,1,0,471,0,3,474,0
297,244A,66,8,386,22,0,0,16,0,0,0,0,1,0,0,499,0,1,500,0
298,245,186,0,309,23,1,0,11,0,0,1,0,1,4,1,537,0,5,542,0
299,246,41,2,380,22,0,6,19,0,0,3,1,0,8,1,483,0,0,483,0
300,246A,32,0,331,16,0,2,18,0,0,2,1,1,9,2,414,0,5,419,0
301,247,87,1,228,22,1,0,20,0,0,1,2,1,9,1,373,0,4,377,0
302,247A,40,1,325,10,0,0,16,0,0,1,0,0,2,1,396,0,4,400,0
303,248,87,1,503,12,0,0,23,1,1,2,0,1,8,0,639,0,1,640,0
304,249,84,15,509,9,1,2,39,0,0,2,0,0,11,6,678,0,4,682,0
305,250,177,1,159,10,0,0,10,0,0,2,0,0,2,0,361,0,2,363,0
306,250A,146,2,288,31,1,0,12,0,0,0,1,1,0,0,482,0,1,483,0
307,251,209,0,260,5,0,2,16,0,0,1,0,1,2,0,496,0,10,506,0
308,252,302,4,245,9,0,0,18,0,0,3,1,1,2,0,585,0,7,592,0
309,253,181,2,357,23,0,0,29,0,2,5,1,2,15,2,619,0,3,622,0
310,254,59,4,431,20,0,1,29,0,2,1,0,0,5,4,556,0,6,562,0
311,255,290,4,220,23,0,0,15,0,0,2,0,0,1,0,555,0,9,564,0
312,256,235,1,309,5,1,1,15,1,0,2,0,0,0,1,571,0,6,577,0
313,257,72,1,392,54,0,0,45,0,0,2,2,3,7,2,580,0,4,584,0
314,258,279,2,188,24,2,1,12,0,0,4,2,0,5,0,519,0,15,534,0
315,259,140,1,334,15,1,0,44,0,0,2,1,0,7,1,546,0,5,551,0
316,260,410,1,258,22,0,2,24,0,1,2,0,0,2,0,722,0,10,732,0
317,261,123,3,278,31,2,2,15,0,0,3,0,1,2,0,460,0,4,464,0
318,262,101,6,544,48,2,0,73,1,3,7,0,0,2,0,787,0,6,793,0
319,263,97,8,494,89,6,0,48,1,0,3,0,2,7,0,755,0,4,759,0
320,264,64,18,359,53,2,1,48,0,1,2,0,2,2,1,553,0,3,556,0
321,264A,81,1,302,13,1,2,18,0,0,1,0,1,3,0,423,0,6,429,0
322,265,173,5,344,17,3,6,8,1,0,3,0,0,5,1,566,0,10,576,0
323,266,84,0,309,10,3,2,13,2,0,2,0,0,1,1,427,0,1,428,0
324,267,75,3,450,12,0,0,35,0,3,1,0,0,11,2,592,0,6,598,0
325,268,87,1,416,9,0,0,30,0,0,2,0,1,6,4,556,0,2,558,0
326,269,175,11,388,102,0,1,20,0,1,2,0,4,9,0,713,0,9,722,0
327,270,211,4,464,57,2,1,30,0,4,6,0,1,9,3,792,0,7,799,0
328,271,208,0,207,39,0,1,24,0,1,0,0,1,2,2,485,0,10,495,0
329,272,199,1,348,60,1,0,23,0,0,1,1,1,2,2,639,0,1,640,0
330,273,95,4,584,37,2,0,35,1,1,3,2,1,17,5,787,0,6,793,0
331,274,258,3,336,43,1,0,28,1,0,1,1,2,9,1,684,0,8,692,0
332,275,113,3,361,30,2,0,67,1,1,4,1,0,6,3,592,0,3,595,0
333,276,62,2,262,38,4,0,29,0,0,0,0,0,0,0,397,0,2,399,0
334,276A,88,1,236,14,1,1,11,0,0,0,0,1,2,0,355,0,12,367,0
335,277,131,1,411,31,2,0,31,0,0,2,1,1,0,0,611,0,5,616,0
336,278,174,4,258,40,2,3,37,0,1,2,0,2,3,1,527,0,5,532,0
337,278A,163,5,266,23,4,4,14,1,1,1,0,0,1,0,483,0,5,488,0
338,279,97,3,271,8,4,7,17,0,0,1,0,0,1,0,409,0,2,411,0
339,279A,99,1,287,31,1,1,13,0,0,1,0,2,3,1,440,0,3,443,0
340,280,157,4,239,23,3,2,11,0,0,2,0,3,2,2,448,0,5,453,0
341,280A,102,12,299,62,4,0,18,0,0,0,0,2,3,1,503,0,4,507,0
342,281,134,20,332,29,0,0,17,3,1,0,0,1,8,3,548,0,3,551,0
343,282,37,41,435,19,2,1,21,0,1,5,2,3,4,3,574,0,2,576,0
344,282A,47,44,387,33,1,2,16,0,0,1,2,2,18,1,554,0,3,557,0
345,283,202,6,296,17,1,2,14,0,0,0,0,1,1,1,541,0,6,547,0
346,284,278,11,230,19,0,1,20,1,2,2,1,1,8,1,575,0,6,581,0
347,285,95,3,312,18,1,0,33,1,0,2,1,0,3,1,470,0,3,473,1
348,285A,128,3,282,13,2,0,32,0,1,0,2,0,7,0,470,0,2,472,0
349,286,170,1,456,24,1,1,26,0,0,2,0,0,4,3,688,0,5,693,0
