Sl. No,Polling Station No,AYITARAHB ATANAJ YTRAP NAHDARAVILAK.TAV,SIVA.PANJAVARNAM PARTY SAMAJ BAHUJAN,L.VENKATESAN KAZHAGAM MURPOKKU DRAVIDA DESIYA,SANKAR.S KATCHI THOZHILALARKAL VISWANATHADOSS THIYAGI VEERATH,SENTHILKUMAR.M KATCHI JANANAYAKA INDIYA,MURUGAN.S KATCHI TAMILAR NAAM,RAJINI.V.R MAKKAL NAADAALUM KATCHI,KATHIRAVAN.K INDEPENDENT,PRAKASH.A INDEPENDENT,MAHESH.M INDEPENDENT,MATHIVANAN.S INDEPENDENT,VIGNESH.M INDEPENDENT,JAYAVINDAN.G INDEPENDENT,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
163,136,76,3,497,52,0,2,79,1,2,1,1,2,6,1,723,0,5,728,0
164,137,444,0,126,13,1,3,12,0,0,0,0,1,2,0,602,0,10,612,0
165,138,154,2,355,41,4,0,15,0,1,2,1,0,1,0,576,0,2,578,0
166,139,169,1,393,22,1,12,34,2,0,4,1,1,5,2,647,0,3,650,0
167,140,29,0,416,17,0,0,83,0,0,1,1,0,0,0,547,0,4,551,0
168,141,61,0,297,15,0,7,34,0,0,1,0,0,0,0,415,0,2,417,0
169,142,367,1,82,33,3,1,11,1,0,1,1,0,1,1,503,0,6,509,0
170,142A,275,1,146,36,3,0,7,1,0,4,2,0,2,0,477,0,3,480,0
171,143,86,7,426,90,0,2,52,1,2,2,1,4,9,5,687,0,7,694,0
172,144,139,1,311,29,3,4,17,0,0,2,3,1,3,4,517,0,9,526,0
173,145,221,3,285,34,2,8,42,1,0,3,0,3,3,2,607,0,6,613,0
174,146,63,1,301,37,2,6,38,0,1,2,0,3,4,1,459,0,2,461,0
175,146A,130,1,181,26,1,1,55,0,1,2,1,0,4,3,406,0,14,420,0
176,147,121,1,286,19,0,0,50,0,0,3,0,3,5,1,489,0,2,491,0
177,148,111,1,273,30,0,1,20,0,0,1,0,0,0,0,437,0,1,438,0
178,149,101,0,281,19,0,9,36,1,1,4,1,1,4,2,460,0,7,467,0
179,150,24,1,321,100,3,0,18,0,0,2,0,1,3,2,475,0,0,475,0
180,151,273,1,131,35,0,1,16,0,0,1,1,1,4,0,464,0,5,469,0
181,151A,143,4,257,35,2,1,16,0,1,3,0,2,1,1,466,0,1,467,0
182,152,67,1,332,33,1,5,40,0,0,2,0,2,11,2,496,0,4,500,0
183,152A,90,1,307,25,2,3,32,0,0,1,0,0,6,0,467,0,9,476,0
184,153,193,1,494,38,0,5,32,0,0,2,0,1,5,1,772,0,11,783,0
185,154,112,0,516,54,2,2,36,1,2,5,1,3,9,0,743,0,2,745,0
186,155,95,2,479,67,2,3,89,1,0,2,1,1,15,1,758,0,9,767,0
187,156,291,1,254,44,2,0,22,0,0,2,0,0,4,2,622,0,6,628,0
188,157,208,1,438,39,2,2,77,0,0,6,1,3,5,0,782,0,7,789,0
189,158,88,2,266,65,1,8,12,0,1,1,0,0,2,0,446,0,3,449,0
190,158A,126,0,181,51,2,6,11,0,0,0,0,0,0,0,377,0,5,382,0
191,159,53,0,166,56,1,4,15,0,0,0,0,0,1,0,296,0,2,298,0
192,159A,70,0,238,65,3,6,8,0,1,1,1,0,1,0,394,0,3,397,0
193,160,72,1,270,66,1,12,15,0,0,1,0,0,0,0,438,0,5,443,0
194,161,144,1,468,96,2,11,35,1,0,2,0,2,2,1,765,0,6,771,0
