Polling Station No.,Building,Polling Areas
16,"P.L.W.A PRIMARY SCHOOLSOUTHERN BUILDING WESTERN PORTION, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) South Car Street , 2.Vickramasingapuarm (M) Selva Vinayagar Kovil Street , 3.Vickramasingapuarm (M) South Mada Street , 4.Vickramasingapuarm (M) North Mada Street , 5.Vickramasingapuarm (M) Thirumanjana Lane Street , 6.Vickramasingapuarm (M) East Car Street , 7.Vickramasingapuarm (M) Santhanamariammal Koil Street , 8.Vickramasingapuarm (M) Kannimoola Pillayar Kovil Street, South Car Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
17,"P.L.W.A PRIMARY SCHOOLWEST PORTION NORTHERN BUILDING, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) North Car Street , 2.Vickramasingapuarm (M) Mariamman Kovil Street , 3.Vickramasingapuarm (M) Ricemill Lane , 4.Vickramasingapuarm (M) Narayanasamy Koil Street , 5.Vickramasingapuarm (M) West Mupudathy Amman Kovil Street , 6.Vickramasingapuarm (M) Mupudathy Amman Kovil South Street , 7.Vickramasingapuarm (M) West Mupudathi Amman Kovil Street , 8.Vikramasingapuarm (M) North Car St South Mupudathy Amman Koil St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"ST.JOSEPHS PRIMARY SCHOOL, ROOM NO. 2, NEW BUILDING, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Pasukidaivizhai Road , 2.Vickramasingapuarm (M) Muthukrishnapuram South Street , 3.Vickramasingapuarm (M) Muthukrishnapuram North Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"ST.JOSEPHS PRIMARY SCHOOL, ROOM NO. 3, NEW BUILDING, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Subramaniasamy Koil Street , 2.Vickramasingapuarm (M) Kamatchiamman Kovil Palla Street , 3.Vickramasingapuarm (M) Maruthiahpuram , 4.Vickramasingapuarm (M) Maninagaram South Last Street , 5.Vickramasingapuarm (M) Maninagaram South Street , 6.Vickramasingapuarm (M) Maninagaram Middle Street , 7.Vickramasingapuarm (M) Maninagaram North Street, Arunachalapuram Main Road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"ST.JOSEPHS PRIMARY SCHOOL,ROOM NO. 4, NEW BUILDING, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Pasukidaivilai West Street , 2.Vickramasingapuarm (M) Pasukidaivilai South Street , 3.Vickramasingapuarm (M) Pasukidaivilai Middle Street , 4.Vickramasingapuarm (M) Arunachalapuram Main Road , 5.Vickramasingapuarm (M) Maninagaram South Last Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"ST.JOSEPHS HIGHER SECONDARY SCHOOL, ROOM NO.3, EAST BUILDING, SOUTH PORTION, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Pasukidaivalai North Street , 2.Vickramasingapuarm (M) Pasukidaivalai South St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,ST.MARY`S HR.SEC.SCHOOLWESTERN BUILDING NORTH PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuarm (M) Arunachalapuram North Street , 2.Vickramasingapuarm (M) Pasukidaivilai Road , 3.Vickramasingapuarm (M) Utchimettu Street , 4.Vickramasingapuarm (M) Kamatchiamman Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,ST.MARY`S HR.SEC.SCHOOLWESTERN BUILDING MIDDLE PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuarm (M) South Valaiar Mada Street , 2.Vickramasingapuram (M) North Valaiyar Mada Street , 3.Vickramasingapuarm (M) Vadakku Vai Selvi Amman Street , 4.Vickramasingapuarm (M) Vadakku Va Selvi Amman Kovil Street , 5.Vickramasingapuram (M) Vadakku Vai Selvi Amman Kovil Street , 6.Vickramasingapuarm (M) Karuthiahpuram Street, Sundarapuram South Street, Krishnan Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,ST.MARY`S HR.SEC.SCHOOLEASTERN BUILDING NORTHERN PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuarm (M) Kottaivilaipatati Road , 2.Vickramasingapuarm (M) Sankarapandiapuram Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"PANCHAYAT UNION MIDDLE SCHOOLNORTHERN PORTION, SANNATHI STREET, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Mupudathy Amman Kovil North Street , 2.Vickramasingapuarm (M) Panaiadiyan Kovil Street , 3.Vickramasingapuarm (M) Chatram Cross Street , 4.Vickramasingapuarm (M) Chatram Middle Street , 5.Vickramasingapuarm (M) Chatram North Street , 6.Vcikramasingapuarm (M) Sannathi Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"PANCHAYAT UNION MIDDLE SCHOOLSOUTHERN PORTION SANNATHI STREET, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Old Office Street , 2.Vickramasingapuarm (M) E.S.I Street , 3.Vickramasingapuarm (M) Sannathi Street Lane , 4.Vickramasingapuarm (M) Vambalanthan Parai Street , 5.Vickramasingapuarm (M) Mupudathiamman Kovil Street, Chatram South Street, North Mada Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
27,P.L.W.A PRIMARY SCHOOLEASTERN BUILDING MIDDLE PORTION VICKRAMASINGAPURM,"1.Vickramasingapuarm (M) Main Road , 2.Vickramasingapuarm (M) Mettu Thangamman Kovil Middle Street , 3.Vickramasingapuarm (M) Mupudathiamman Kovil Middle Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"P.L.W.A PRIMARY SCHOOLNORTHERN BUILDING, MIDDLE PORTION VICKRAMASINGAPURM","1.Vickramasingapuarm (M) Pillaiyar Kovil Street , 2.Vickramasingapuarm (M) Salavai Thozilalar Colony, North Pillaiar Kovil Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"ST. THERASA MIDDLE SCHOOLNEW BUILDING, VICKRAMASINGAPURAM.","1.Vickramasingapuarm (M) Ambal Hospital Street , 2.Vickramasingapuarm (M) Sannathi Street , 3.Vickramasingapuarm (M) Thanga Amman Kovil Street , 4.Vickramasingapuarm (M) Thanga Amman Kovil North Street , 5.Vickramasingapuarm (M) Thanga Amman Kovil Middle Street , 6.Vickramasingapuarm (M) Thanga Amman Kovil South Street , 7.Vickramasingapuarm (M) Kambalathar Last Street , 8.Vickramasingapuarm (M) Kambalathar South Street, Amman Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"ST.THERASA MIDDLE SCHOOLNORTHERN BUILDING, (GROUND FLOOR) EAST PORTION, ST.NO.1, MAIN ROAD, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Kambalathar North Street , 2.Vickramasingapuarm (M) Kambalathar Middle Street , 3.Vickramasingapuarm (M) Kattapuli Mela Palla Street , 4.Vickramasingapuarm (M) Kattapuli Middle Palla Street , 5.Vickramasingapuarm (M) Kattapuli Keela Palla Street , 6.Vickramasingapuarm (M) Kattapuli Mettu Street , 7.Vickramasingapuarm (M) Harijana South Street , 8.Vickramasingapuarm (M) Harijana North Street, Colony Mela Street, Nasareth Road. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"ST.THERASA MIDDLE SCHOOLEASTERN BUILDING, MAIN BUILDING VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Colony Main Road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
