Polling Station No.,Building,Polling Areas
19,"Our Lady Velankanni Matric Hr Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. Villivakkam New Ward No.94 Redhills Road 3rd Street . 2. Villivakkam New Ward No.94 Redhills Road 4th Street . 3. Villivakkam New Ward No.94 Redhills Road 5th Street . 4. Villivakkam New Ward No.94 Redhills Road First Cross Street . 999. OVERSEAS ELECTORS.
20,"Singarampillai Matriculation Higher Sec School,No 1 Dhamotharan Lane Villiwakkam, Chennai -600049.",1. Villivakkam New Ward No.95 Narayanamastheri 1st street . 2. Villivakkam New Ward No.95 Narayanamastheri 2nd Street . 999. OVERSEAS ELECTORS.
21,"Singarampillai Matriculation Higher Sec School,No 1 Dhamotharan Lane Villiwakkam, Chennai -600049.",1. Villivakkam New Ward No.95 Ambethkar 1st Street . 2. Villivakkam New Ward No.95 Ambethkar 2nd Street . 999. OVERSEAS ELECTORS.
22,"Singarampillai Matriculation Higher Sec School,No 1 Dhamotharan Lane Villiwakkam, Chennai -600049.",1. Villivakkam New Ward No.95 Vellala Street 2. Villivakkam New Ward No.95 Mannadi street . 3. Villivakkam New Ward No.95 Mannadi Poonga Street . 4. Villivakkam New Ward No.95 Mannadi Othavaadai Street . 999. OVERSEAS ELECTORS.
23,"Singarampillai Matriculation Higher Sec School,No 1 Dhamotharan Lane Villiwakkam, Chennai -600049.",1. Villivakkam New Ward No.95 Thiruvalluvar street . 2. Villivakkam New Ward No.95 Thriu Vi Ka First Street . 3. Villivakkam New Ward No.95 Thiru Vi Ka Second Street . 4. Villivakkam New Ward No.95 Thiru.Vi.ka.Third Street 5. Villivakkam New Ward No.95 Thiru.Vi.ka.Fourth Street 6. Villivakkam New Ward No.95 Mosque 1st Street . 7. Villivakkam New Ward No.95 Mosque Second Street 8. Villivakkam New Ward No.95 Thiru Vi Ka Street . 999. OVERSEAS ELECTORS.
24,"Singarampillai Matriculation Higher Sec School,Gandhi Street Villivakkam, Chennai -600049.",1. Villivakkam New Ward No.94 Devar street 999. OVERSEAS ELECTORS.
25,"Singarampillai Matriculation Higher Sec School,Gandhi Street Villivakkam,Chennai -600049.",1. Villivakkam New Ward No.94 Station Road 2. Villivakkam New Ward No.94 Gandhi street 3. Villivakkam New Ward No.94 Mouna saamy madam street . 999. OVERSEAS ELECTORS.
26,"Singarampillai Matriculation Higher Sec School,Gandhi Street Villivakkam,Chennai -600049.",1. Villivakkam New Ward No.94 Balasubramania street . 2. Villivakkam New Ward No.94 Padmanabhan Street . 3. Villivakkam New Ward No.94 Dhalankinaru Street 4. Villivakkam New Ward No.94 Rama Manthira Street . 5. Villivakkam New Ward No.95 Raja Gopal Street . 999. OVERSEAS ELECTORS.
27,"Good Will High School,Balambigai Nagar 4th Street,Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Baba nager 1st main road . 2. Villivakkam New Ward No.94 Baba Nager 2nd Main Road 3. Villivakkam New Ward No.94 Baba Nager 3rd Main Road . 999. OVERSEAS ELECTORS.
28,"Good Will High School,Balambigai Nagar 4th Street,Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Baba nagar 7th street . 2. Villivakkam New Ward No.94 Baba Nagar 8th Street . 3. Villivakkam New Ward No.94 Baba Nagar 9th Street . 4. Villivakkam New Ward No.94 Baba Nagar 10th Street . 5. Villivakkam New Ward No.94 Baba Nagar 11th Street . 6. Villivakkam New Ward No.94 Baba Nagar 12th Street . 7. Villivakkam New Ward No.94 Baba nagar 13th street . 8. Villivakkam New Ward No.94 Baba Nagar 14th Street . 9. Villivakkam New Ward No.94Baba Nagar 15th Street . 10. Villivakkam New Ward No.94 Baba nager 1st cross street . 11. Villivakkam New Ward No.94 Baba Nager 2nd Cross Street . 999. OVERSEAS ELECTORS.
