Polling Station No.,Building,Polling Areas
20,"Gomathi Ambal Govt.Boys Hr.Sec.School,Room No 19 North Side,Railway Feeder Road,Sankarnakovil","1.Sankarankovil (M) Ward No 1. 8 Main Road Part , 2.SANKARANKOVIL(M) Ward No 1 Sababathy Nagar , 3.SANKARANKOVIL (M) WARD NO 1 THIRUVUDAIYAN SALAI 2nd STREET , 4.SANKARANKOVIL(M) WARD NO 1 THIRUVUDAIYAN SALAI FIRST STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"Gomathi Ambal Govt.Boys Hr.Sec.School,Room No 20 North Side,Railway Feeder Road,Sankarankovil","1.SANKARANKOVIL (M) WARD NO 1 THIRUVALLUVAR NAGAR , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"Gomathi Ambal Govt.Boys Hr.Sec.School Room No 21 South Building Eastern Side,Railway Feeder Road,Sankarankovil","1.SANKARANKOVIL (M) WARD NO 3 GOMATHI NAGAR SECOND STREET , 2.SANKARANKOVIL (M) WARD NO 3 GOMATHI NAGAR FIRST STREET , 3.SANKARANKOVIL (M) WARD NO 3 GOMATHIYAPURAM NORTH STREET , 4.SANKARANKOVIL (M) WARD NO 3 GOMATHIYAPURAM MIDDLE STREET , 5.SANKARANKOVIL (M) WARD NO 3 GOMATHIYAPURAM NEW FIRST STREET , 6.SANKARANKOVIL (M) WARD NO 3 GOMATHIYAPURAM NEW SECOND STREET , 7.SANKARANKOVIL (M) WARD NO 3 GOMATHIYAPURAM NEW THIRD STREET , 8.SANKARANKOVIL (M) WARD NO 3 PERIYAR THIRD STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"Mahathma Nursery and Primary School,West Building North Portion,Sankarankovil","1.SANKARANKOVIL (M) WARD NO 29 RAMASAMIYAPURAM THIRD STREET , 2.Sankarankovil (M) Ward No 28 Ramasamiyapuram 4th st , 3.Sankarankovil (M) Ward No 28 Ramasamiyapuram 5th st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"T.D.T.A Primary School,North Building Northern Portion,Mission Complex Mainroad,Sankarankovil","1.Sankarankovil (M) Ward No 3 Gomathiyapuram First Street , 2.Sankarankovil (M) Ward No 6 Gomathiyapuram 2nd st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"T.D.T.A Primary School,North Building Southern Portion,Mission Complex Mainroad,Sankarankovil","1.Sankarankovil (M) Ward No 6 Gomathiyapuram 3rd St., , 2.Sankarankovil (M) Ward No 6 Gomathiyapuram 4 th St , 3.Sankarankovil (M) Ward No 6 Gomathiyapuram 5th st , 4.SANKARANKOVIL (M) EIGTH NEER MAIN ROAD , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"Sankarankovil Co Oparative Store,Southern Portion,Main Road,Sankarankovil","1.Sankarankovil (M) Ward No 27 Sangupuram 2nd st , 2.Sankarankovil (M) Ward No 27 Sangupuram 1st st , 3.Sankarankovil (M) Ward No 27 Sangupuram 4th st , 4.Sankarankovil (M) Ward No 27 Sangupuram 3rd st , 5.Sankarankovil (M) Ward No 30 Sangupuram 5th st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
27,"Gomathi Primary School,Main Building North Portion,Lakshmipuram 3nd Street,Sankarankovil","1.Sankarankovil (M) Ward No 7 Devipattanam Street , 2.SankarankovilL (M) Ward No 7 Lakshmipuram1st Street , 3.Sankarankovil (M) WARD NO 7 Thiruvengadam Salai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"Municipal Middle School,South Building,Bharathiyar 5th Street,Sankarankovil","1.Sankarankovil (M) Ward No 2 Bharathiyar 1st Street , 2.Sankarankovil (M) Ward No 2 Bharathiyar 3rd Street , 3.Sankarankovil (M) WARD NO 2 Bharathiyar 4th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"Municipal Middle School,West Building,Bharathiyar 5th Street,Sankarankovil","1.Sankaran kovil(M) Ward No 2 Bharathiar 5th st , 2.Sankarankovil (M) WARD NO 2 Bharathiyar 6th Street , 3.Sankarankovil (M) Ward No 2 Bharathiyar 7th Street , 4.Sankarankovil (M) Ward No 2 Bharathiyar 8th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"Municipal Middle School,East Building Southern Portion,Bharathiyar 5th Street,Sankarankovil","1.Sankarankovil (M) Ward No 2 Bharathiyar 2nd Street , 2.Sankarankovil (M) Ward No 4 Lakshmipuram 5th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"Municipal Middle School,East Building Northern Portion,Bharathiyar 5th Street,Sankarankovil","1.Sankarankovil (M) Ward No 4 Lakshmipuram 6th Street , 2.Sankarankovil (M) Ward No 2 Lakshmipuram 7th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"Royal City Nursery and Primary School,North Wing,Periyar Street,Sankarankovil","1.Sankarankovil (M) Ward No 5 Lakshmipuram 2nd Street , 2.SANKARANKOVIL (M) Ward No 5 Lakshmipuram 3rd Street , 3.Sankarankovil (M) Ward No 4 Lakshmipuram 4th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
