Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
197,144M,180,1,221,2,8,0,1,0,40,4,0,0,0,457,0,7,464,0
198,144AW,196,2,255,1,2,0,1,0,19,4,0,1,0,481,0,1,482,0
199,145,100,6,544,1,16,0,0,2,20,1,1,2,0,693,0,1,694,0
200,146M,109,2,202,2,9,1,0,0,80,2,1,0,1,409,0,6,415,0
201,146AW,112,1,278,0,2,0,0,0,35,3,1,0,0,432,0,3,435,0
202,147M,41,0,464,0,9,1,0,0,1,0,0,0,0,516,0,1,517,0
203,147AW,34,1,385,2,5,0,0,0,1,0,0,0,0,428,0,1,429,0
204,148M,19,1,449,1,6,0,0,0,1,0,0,0,0,477,0,1,478,0
205,148AW,23,0,410,2,3,0,0,0,1,0,0,0,0,439,0,0,439,0
206,149,57,0,272,0,2,1,0,0,4,0,0,0,0,336,0,1,337,0
207,150M,30,0,436,1,8,0,0,1,8,2,0,0,0,486,0,1,487,0
208,150AW,18,0,470,2,4,0,0,0,10,0,0,1,0,505,0,0,505,0
209,151M,17,0,410,1,14,0,0,0,14,1,0,0,0,457,0,0,457,0
210,151AW,20,0,416,2,7,0,0,0,3,0,0,0,0,448,0,1,449,0
211,152M,18,0,368,1,6,0,0,0,8,0,0,1,0,402,0,1,403,0
212,152AW,20,1,309,1,3,0,0,0,5,0,0,0,0,339,0,0,339,0
213,153M,23,1,406,0,7,0,0,0,5,1,0,0,0,443,0,2,445,0
214,153AW,19,3,366,3,3,0,0,0,2,2,0,1,0,399,0,1,400,0
215,154,31,0,377,0,4,0,0,0,14,3,0,1,2,432,0,2,434,0
216,155M,86,2,355,0,8,0,0,0,52,8,3,0,0,514,0,1,515,0
217,155AW,95,1,453,0,11,1,0,0,21,2,0,2,0,586,0,3,589,0
218,156,32,0,580,0,21,0,0,0,18,0,0,1,0,652,0,2,654,0
219,157M,19,0,387,2,5,0,0,0,7,0,0,0,0,420,0,2,422,0
220,157AW,26,0,411,2,3,1,0,0,3,2,0,1,0,449,0,3,452,0
221,158M,15,1,440,1,15,0,0,0,8,1,0,0,0,481,0,0,481,0
222,158AW,14,1,412,3,5,0,0,0,2,0,0,0,0,437,0,2,439,0
223,159M,125,2,288,0,6,0,1,0,50,3,0,0,0,475,0,1,476,0
224,159AW,149,2,300,0,9,1,0,0,23,3,0,1,0,488,0,3,491,0
225,160M,121,1,257,1,10,0,0,1,34,2,1,1,0,429,0,4,433,0
226,160AW,170,1,262,1,5,0,1,0,18,2,0,2,0,462,0,1,463,0
227,161M,9,0,488,2,15,0,0,0,6,0,0,0,0,520,0,3,523,0
228,161AW,9,0,472,0,15,0,0,0,2,1,0,0,0,499,0,1,500,0
229,162M,20,0,338,0,31,0,0,0,7,0,0,0,0,396,0,4,400,0
230,162AW,9,1,286,0,13,0,1,0,2,0,0,1,1,314,0,0,314,0
231,163,15,0,445,1,17,0,0,0,4,2,0,1,1,486,0,0,486,0
232,164M,14,0,369,1,8,0,0,0,6,2,0,0,0,400,0,0,400,0
233,164AW,9,0,352,2,4,1,0,0,5,1,0,0,0,374,0,0,374,0
234,165M,141,11,308,0,19,1,0,0,24,9,0,1,0,514,0,1,515,0
