Sl. No,Polling Station No,MAULAANA.JMH AASSAN National Congress Indian,VELU.C Party Samaj Bahujan,KANCHANA.R Murpokku Katchi Makkal Tamizhaga,GEETHA Party Generation People’s New,KEERTHANA.M Katchi Tamilar Naam,CHANDRAN.A Katchi Makkal MGR,"® BABU,IAS Dr.SANTHOSH Maiam Needhi Makkal",JAYAKUMARI.V.L REVATHI Ilangyar katchi Tamilnadu,PAUL.J VICTOR of (Athawale) Party Republican India,VENKATESHAN.D Katchi Makkal Arasiyal Anaithu,YESUDASAN.G Independent,KANNAN.K Independent,GOKUL.S Independent,SIVARAMAN.V Independent,AZHAGAN.A TAMIL Independent,MAHALAKSHMI.N Independent,BALAJI MURALI Independent,VIGNESH.M Independent,VETRISELVAN.A Independent,KANNAN.S JOTHI Independent,HARIHARAN.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
201,112(A),125,87,1,0,0,9,16,0,55,2,2,0,0,0,2,1,0,0,0,0,0,0,2,302,0,125,427,0
202,113,215,265,0,0,3,59,5,0,45,11,1,0,0,0,0,1,3,0,1,0,0,0,1,610,0,215,825,0
203,114,241,193,0,0,2,99,23,0,40,2,1,0,0,2,0,3,2,1,0,0,0,0,0,609,0,241,850,0
204,115,149,150,0,1,0,78,14,0,24,2,0,1,0,0,0,1,0,0,0,0,0,0,0,420,0,149,569,0
205,115(A),164,189,1,0,2,35,6,0,28,0,0,1,0,0,1,1,3,1,0,0,0,0,1,433,0,164,597,0
206,116,154,147,1,0,1,79,17,0,26,4,0,0,0,0,0,1,0,3,1,0,0,0,1,435,0,154,589,0
207,116(A),149,181,0,0,0,47,23,0,35,0,0,3,0,1,1,2,1,0,0,0,0,1,0,444,0,149,593,0
208,117,199,156,0,0,0,63,7,0,26,2,1,0,0,0,0,0,0,0,1,0,1,1,0,457,0,199,656,0
209,117(A),209,133,1,1,1,37,5,0,33,3,0,1,0,0,0,1,7,3,0,1,0,0,0,436,0,209,645,0
210,118,185,115,3,0,0,50,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,389,0,185,574,0
211,118(A),182,141,1,0,0,23,3,1,19,1,0,0,1,0,2,1,0,4,0,0,0,0,2,381,0,182,563,0
212,119,173,149,1,0,2,68,0,0,23,2,1,0,1,0,1,1,1,0,0,0,0,0,0,423,0,173,596,0
213,119(A),187,185,1,0,1,34,1,1,16,0,0,0,0,1,2,2,2,2,0,0,0,1,1,437,0,187,624,0
214,120,152,163,0,0,0,48,8,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,3,421,0,152,573,0
215,120(A),172,176,1,0,1,37,6,0,26,3,1,0,0,0,0,1,2,1,1,0,1,0,1,430,0,172,602,0
216,121,195,119,1,0,0,53,4,0,41,5,0,0,0,0,0,1,2,0,0,0,0,0,0,421,0,195,616,0
217,121(A),177,140,1,0,0,22,4,0,36,3,0,0,0,2,0,2,1,0,1,0,0,0,0,389,0,177,566,0
218,122,176,131,0,0,5,69,7,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,176,585,0
219,122(A),175,198,1,0,1,37,4,0,21,2,1,0,0,0,4,3,2,0,0,0,0,0,1,450,0,175,625,0
220,123,259,87,1,0,2,91,10,1,36,5,0,0,0,0,0,1,0,0,0,1,0,0,0,494,0,259,753,0
221,123(A),275,126,0,0,1,43,9,1,33,9,0,0,0,0,0,2,0,2,0,0,0,0,1,502,0,275,777,0
222,124,202,141,2,1,1,63,7,1,27,6,1,0,0,0,0,1,1,0,0,0,0,0,0,454,0,202,656,0
223,124(A),237,186,0,0,2,42,3,0,18,2,0,0,0,0,2,1,1,1,1,0,0,2,1,499,0,237,736,0
224,125,136,185,1,0,1,43,2,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,136,543,0
225,125(A),147,182,0,0,0,28,4,0,41,2,0,0,0,1,0,2,0,0,0,0,0,0,1,408,0,147,555,0
226,126,141,107,0,0,0,60,8,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,1,338,0,141,479,0
227,126(A),158,133,1,0,1,42,7,0,22,2,2,0,0,0,0,1,1,2,0,0,1,0,2,375,0,158,533,0
228,127,196,137,3,1,3,43,15,1,22,3,0,0,0,0,0,0,1,0,0,0,0,0,1,426,0,196,622,0
229,127(A),196,153,1,0,1,38,10,0,25,0,0,0,0,0,1,1,1,0,0,0,0,0,0,427,0,196,623,0
230,128,240,182,1,0,0,61,9,1,47,2,1,0,0,0,0,0,1,0,0,1,0,0,0,546,0,240,786,0
231,129,162,97,1,0,1,35,3,0,29,1,0,0,0,0,0,0,0,0,1,0,0,0,0,330,0,162,492,0
232,129(A),150,121,0,0,1,29,2,0,25,1,0,0,0,0,0,1,1,0,1,0,0,1,2,335,0,150,485,0
233,130,263,128,0,0,0,59,10,0,15,3,0,0,0,0,1,1,0,0,0,0,0,0,0,480,0,263,743,0
234,131,175,109,0,0,1,70,5,0,33,2,0,0,0,0,0,2,1,0,0,0,0,1,0,399,0,175,574,0
235,131(A),186,137,0,0,1,55,12,1,25,1,0,0,0,0,0,2,2,2,1,0,0,0,0,425,0,186,611,0
236,132,177,102,0,0,1,55,4,0,26,4,0,0,1,0,0,1,0,0,0,0,0,1,0,372,0,177,549,0
237,132(A),177,148,0,0,0,41,10,0,21,1,0,0,0,0,1,0,2,1,3,0,0,0,1,406,0,177,583,0
238,133,230,144,3,0,0,60,7,0,76,7,1,0,0,0,1,2,0,1,0,0,0,0,0,532,0,230,762,0
239,134,213,250,1,0,0,81,3,0,87,4,0,0,1,1,0,1,0,0,0,0,0,0,1,643,0,213,856,0
240,135,149,113,2,0,2,64,4,0,63,6,0,0,1,0,0,1,0,0,0,0,0,1,0,406,0,149,555,0
241,135(A),148,121,2,1,0,43,0,0,54,5,1,1,0,0,1,1,0,1,0,0,0,1,0,380,0,148,528,0
242,136,265,269,5,0,1,76,5,0,70,10,0,0,1,1,0,0,0,0,0,0,0,0,0,703,0,265,968,0
243,137,73,126,1,0,0,9,2,1,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,73,350,0
244,137(A),55,149,1,0,1,3,2,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,276,0,55,331,0
245,138,79,143,0,0,0,6,5,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,285,0,79,364,0
246,138(A),73,143,1,0,0,4,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282,0,73,355,0
247,139,140,123,0,0,0,51,4,0,25,4,0,0,0,0,0,0,0,0,0,0,0,1,1,349,0,140,489,0
248,139(A),108,219,1,0,1,25,3,0,29,1,1,0,0,0,0,2,0,1,0,0,0,2,0,393,0,108,501,0
249,140,252,250,4,1,1,54,3,0,26,0,0,0,0,1,1,3,2,1,1,0,0,0,0,600,0,252,852,0
250,141,286,139,0,0,1,50,1,0,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,506,0,286,792,0
251,141(A),312,197,3,0,2,20,0,0,19,1,0,0,0,0,0,4,2,0,0,0,0,0,0,560,0,312,872,0
252,142,86,114,2,0,0,6,3,0,50,1,0,0,0,0,0,2,0,0,0,0,0,0,0,264,0,86,350,0
253,142(A),77,110,2,0,0,6,3,0,65,0,1,0,0,0,0,0,0,1,0,0,0,0,0,265,0,77,342,0
254,143,92,156,1,0,2,9,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,92,403,0
255,143(A),60,136,1,0,0,5,6,0,65,2,0,0,0,0,0,0,0,0,2,0,0,0,1,278,0,60,338,0
256,144,132,184,0,0,1,14,0,0,116,3,0,0,0,0,0,1,0,0,0,0,0,0,0,451,0,132,583,0
257,145,63,208,1,0,0,4,4,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,347,0,63,410,0
258,146,96,215,1,1,1,12,1,0,78,2,1,0,0,0,0,0,1,0,0,0,0,1,1,411,0,96,507,0
259,147,194,118,0,1,1,43,2,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,194,588,0
260,147(A),189,128,1,2,1,21,10,0,31,0,1,0,0,0,0,3,1,0,0,0,0,0,0,388,0,189,577,0
261,148,225,76,1,0,0,40,5,0,21,2,0,1,0,0,1,1,0,1,0,0,0,0,0,374,0,225,599,0
262,148(A),233,101,1,0,0,27,4,0,26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,395,0,233,628,0
263,149,172,137,2,0,0,36,0,0,43,2,0,1,0,0,1,1,0,0,2,0,0,1,0,398,0,172,570,0
264,150,255,178,3,0,0,59,4,0,63,2,1,0,0,0,0,0,1,0,0,0,0,13,0,579,0,255,834,0
265,151,156,128,3,0,1,30,4,0,32,2,0,0,0,0,0,0,1,0,0,0,0,0,0,357,0,156,513,0
266,151(A),111,149,0,0,0,24,5,0,43,1,0,0,0,0,0,2,0,0,0,0,0,2,0,337,0,111,448,0
267,152,153,256,1,0,0,30,5,0,46,0,0,0,0,0,1,2,1,2,1,0,0,0,0,498,0,153,651,0
268,153,170,191,0,0,1,17,16,0,69,3,0,0,0,0,1,0,2,0,0,0,0,1,1,472,0,170,642,0
269,154,199,104,1,0,0,69,12,2,36,0,0,0,0,0,0,0,0,1,0,0,0,1,1,426,0,199,625,0
270,154(A),226,133,1,1,1,16,6,1,26,0,0,0,1,1,2,5,5,0,0,0,0,0,1,426,0,226,652,0
271,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,156,111,216,0,0,1,10,5,0,80,1,0,0,0,0,0,1,0,0,1,0,0,0,0,426,0,111,537,0
273,157,211,104,1,2,0,32,2,0,45,2,0,0,0,0,0,0,2,1,0,0,0,1,0,403,0,211,614,0
274,157(A),224,120,3,0,0,22,0,0,34,5,1,0,0,0,0,1,0,0,0,1,0,1,1,413,0,224,637,0
275,158,188,94,1,0,1,32,2,0,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,349,0,188,537,0
276,158(A),179,115,1,0,0,15,6,0,35,1,0,0,0,0,1,0,0,3,0,0,0,0,0,356,0,179,535,0
277,159,117,112,0,0,0,27,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,117,412,0
278,159(A),100,128,2,0,0,19,1,0,47,0,0,0,0,0,0,0,1,0,1,0,0,0,0,299,0,100,399,0
279,160,130,95,2,0,0,61,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,130,458,0
280,160(A),137,117,2,0,0,30,3,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,323,0,137,460,0
281,161,182,134,5,0,1,47,15,0,22,2,0,0,0,0,0,1,0,2,0,0,0,1,0,412,0,182,594,0
282,161(A),171,148,6,0,2,34,11,0,25,0,1,0,0,0,0,0,2,1,0,0,0,2,0,403,0,171,574,0
283,162,58,127,5,0,0,13,6,0,59,0,0,0,0,0,0,0,0,0,1,0,0,1,0,270,0,58,328,0
284,162(A),60,127,1,0,1,6,2,1,50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,251,0,60,311,0
285,163,83,115,2,0,0,14,1,0,46,2,0,0,0,0,0,0,0,0,1,0,0,0,0,264,0,83,347,0
286,163(A),68,94,3,0,0,9,0,0,47,2,0,0,0,0,0,0,2,0,0,0,0,0,1,226,0,68,294,0
287,164,64,129,0,0,0,7,2,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,231,0,64,295,0
288,164(A),70,108,1,0,4,7,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,70,306,0
289,165,105,140,2,0,1,38,3,0,40,0,0,1,0,1,0,0,1,0,0,0,0,0,0,332,0,105,437,0
290,165(A),112,152,1,0,1,32,0,0,60,1,0,0,0,0,0,1,0,0,1,0,0,0,2,363,0,112,475,0
291,166,194,221,0,0,1,39,3,1,75,2,1,0,0,0,0,1,0,1,0,0,0,1,1,541,0,194,735,0
292,167,162,171,1,0,1,28,3,0,72,3,1,0,0,0,0,0,0,0,0,0,0,0,0,442,0,162,604,0
293,116688,103,148,1,0,0,6,0,0,40,2,0,0,0,0,0,0,1,0,0,0,0,0,0,301,0,103,404,0
294,168(A),85,152,0,0,0,8,1,0,48,2,0,0,0,0,0,0,0,1,0,0,0,0,0,297,0,85,382,0
295,169,327,143,0,1,1,31,2,1,68,2,0,0,0,0,0,1,1,0,0,0,0,0,0,578,0,327,905,0
296,170,85,162,0,0,1,8,2,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,85,410,0
297,170(A),71,157,2,0,1,6,1,0,69,2,0,0,0,0,0,0,0,1,0,0,0,0,0,310,0,71,381,0
298,171,183,129,1,0,0,37,4,0,51,0,0,1,0,0,0,0,0,0,0,0,0,1,0,407,0,183,590,0
299,171(A),159,157,0,0,1,22,2,0,50,0,0,0,0,0,0,0,2,4,1,0,0,1,0,399,0,159,558,0
300,172,275,156,1,0,2,46,2,0,57,1,0,0,0,1,0,1,0,0,0,0,0,0,0,542,0,275,817,0
301,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,173(A),144,137,4,0,0,26,7,0,38,2,1,0,0,0,0,1,2,0,0,0,0,0,2,364,0,144,508,0
303,174,97,148,0,0,0,15,2,1,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,97,429,0
304,174(A),79,139,0,0,1,5,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,79,369,0
305,175,172,114,1,0,0,25,0,0,69,3,0,0,1,0,0,1,0,0,1,0,0,0,0,387,0,172,559,0
306,175(A),155,117,0,0,1,16,1,0,79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,371,0,155,526,0
307,176,112,130,0,0,1,6,0,0,70,4,0,1,0,0,0,1,0,1,0,0,0,1,0,327,0,112,439,0
308,176(A),88,113,0,0,0,6,3,0,87,7,0,0,1,0,0,0,0,0,0,0,0,1,0,306,0,88,394,0
309,177,75,152,1,0,0,13,0,0,58,5,0,0,1,0,0,0,0,0,0,0,0,0,0,305,0,75,380,0
310,177(A),53,157,0,0,0,3,1,0,56,3,0,0,0,0,0,0,0,0,0,0,1,0,0,274,0,53,327,0
311,178,115,150,0,0,0,21,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,115,443,0
312,178(A),87,161,1,0,1,15,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,87,411,0
313,179,184,130,2,1,0,57,10,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,405,0,184,589,0
314,179(A),178,168,2,0,1,40,7,0,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,416,0,178,594,0
315,180,140,112,2,0,0,36,9,1,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,329,0,140,469,0
316,180(A),126,140,1,0,0,27,10,1,28,0,1,0,0,0,0,2,0,0,0,0,0,0,0,336,0,126,462,0
317,181,289,179,2,1,0,76,5,1,42,1,0,0,0,0,0,3,0,0,0,1,0,0,0,600,0,289,889,0
318,182,103,210,1,0,0,12,2,0,82,1,0,0,0,0,0,2,0,0,0,0,0,0,1,414,0,103,517,0
319,183,107,120,1,0,0,35,4,0,61,0,0,0,0,0,0,2,0,0,0,0,0,0,0,330,0,107,437,0
320,183(A),126,169,0,0,1,19,3,0,44,0,0,0,0,0,1,3,0,0,0,0,0,1,0,367,0,126,493,0
321,184,166,158,0,0,2,30,2,1,54,3,0,0,0,1,0,2,1,0,0,0,0,0,0,420,0,166,586,0
322,184(A),150,166,2,1,1,33,5,1,56,0,0,0,0,0,0,1,0,1,1,0,0,2,0,420,0,150,570,0
323,185,63,122,0,0,0,9,2,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,63,316,0
324,185(A),50,124,0,0,0,6,1,0,54,1,0,0,0,0,0,0,0,0,1,0,0,0,0,237,0,50,287,0
325,186,164,120,0,0,0,57,18,0,54,2,0,0,0,0,0,0,0,0,0,0,1,0,1,417,0,164,581,0
326,186(A),189,116,0,1,1,31,10,1,49,1,0,0,1,1,0,0,0,0,1,0,1,0,1,404,0,189,593,0
327,187,92,123,1,0,0,5,3,0,49,0,0,0,0,0,0,1,1,0,1,0,0,0,0,276,0,92,368,0
328,187(A),85,119,3,0,0,8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,85,363,0
329,188,154,94,0,0,0,25,2,0,46,3,0,0,0,0,0,1,0,0,0,0,0,0,0,325,0,154,479,0
330,188(A),135,119,1,0,0,18,1,1,40,0,0,1,0,0,0,0,2,0,0,0,0,0,0,318,0,135,453,0
331,189,79,149,1,0,0,17,1,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,302,0,79,381,0
332,189(A),76,154,1,0,0,9,0,0,62,2,0,0,0,1,0,1,0,0,0,1,0,0,0,307,0,76,383,0
333,190,212,106,2,0,0,50,5,1,47,1,0,1,0,0,0,0,1,0,0,0,0,1,0,427,0,212,639,0
334,190(A),264,123,1,0,2,34,4,0,47,0,0,3,0,0,0,2,0,0,0,0,0,0,2,482,0,264,746,0
335,191,360,178,3,0,1,54,3,0,76,4,0,1,0,0,0,1,0,0,0,0,0,0,1,682,0,360,1042,0
336,192,322,151,0,2,1,39,4,1,78,1,0,0,1,0,0,1,0,0,1,0,0,1,1,604,0,322,926,0
337,193,135,134,1,0,0,30,7,2,66,1,0,0,0,0,0,1,0,1,0,0,0,0,1,379,0,135,514,0
338,193(A),117,161,3,0,0,15,4,2,86,0,1,0,0,0,0,1,0,0,1,0,0,0,1,392,0,117,509,0
339,194,127,140,1,0,0,34,7,2,39,0,0,0,0,0,0,0,1,0,0,0,0,0,2,353,0,127,480,0
340,194(A),111,143,0,0,0,19,9,0,56,0,0,0,0,0,0,1,0,1,0,0,0,0,1,341,0,111,452,0
341,195,105,149,4,0,0,36,3,0,40,0,0,0,0,0,0,0,0,1,0,1,0,1,0,340,0,105,445,0
342,195(A),101,146,2,0,0,15,2,1,38,1,0,0,0,1,0,0,0,0,0,0,0,1,6,314,0,101,415,0
343,196,197,168,35,1,3,87,2,0,11,1,0,0,0,0,0,0,2,0,1,0,0,0,1,509,0,197,706,0
344,196(A),229,212,26,0,2,47,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,1,534,0,229,763,0
345,197,160,119,1,0,0,61,2,0,15,0,0,0,0,1,1,2,1,0,0,0,0,0,0,363,0,160,523,0
346,197(A),182,131,0,0,2,36,1,0,16,0,0,0,0,1,1,2,0,0,2,0,0,0,2,376,0,182,558,0
347,198,140,119,1,1,0,47,3,0,11,1,0,0,0,1,0,0,2,0,0,0,0,0,0,326,0,140,466,0
348,198(A),180,135,1,1,0,27,2,0,11,1,0,0,0,0,0,2,3,0,0,0,0,0,0,363,0,180,543,0
349,199,209,125,1,0,0,64,4,0,12,1,0,0,0,1,0,0,1,0,1,0,0,0,0,419,0,209,628,0
350,199(A),220,142,3,1,0,30,4,0,18,1,1,0,0,0,0,2,3,3,0,0,0,0,1,429,0,220,649,0
351,200,94,123,0,0,1,9,3,0,54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286,0,94,380,0
352,200(A),90,117,0,0,0,9,2,0,50,0,0,0,0,0,0,2,1,0,0,0,0,0,0,271,0,90,361,0
353,201,123,174,1,0,1,18,6,0,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,380,0,123,503,0
354,201(A),102,174,2,0,3,15,9,0,62,1,0,0,0,0,0,3,0,0,0,0,0,2,0,373,0,102,475,0
355,202,161,112,1,0,0,40,3,1,29,1,0,0,0,0,0,0,0,0,2,0,0,0,0,350,0,161,511,0
356,202(A),155,147,0,2,0,22,4,0,19,1,0,0,0,0,0,2,1,0,0,0,0,0,2,355,0,155,510,0
357,203,179,168,4,1,2,49,2,2,43,1,0,1,0,0,0,1,0,2,3,0,0,0,0,458,0,179,637,0
358,204,119,128,2,0,1,16,3,0,49,3,0,0,0,1,0,1,0,0,0,0,0,1,0,324,0,119,443,0
359,204(A),83,147,3,1,0,19,5,0,61,4,0,0,0,0,0,0,1,1,0,1,0,0,1,327,0,83,410,0
360,205,149,151,2,0,0,32,2,0,50,0,0,0,0,0,0,2,0,0,1,0,0,0,0,389,0,149,538,0
361,205(A),126,148,1,0,0,25,1,1,73,0,1,0,0,0,0,0,0,1,0,0,1,0,1,379,0,126,505,0
362,206,182,185,0,2,2,24,7,1,84,0,0,0,0,0,1,1,0,1,0,0,0,0,3,493,0,182,675,0
363,207,142,139,0,0,0,38,3,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,2,368,0,142,510,0
364,207(A),130,144,2,0,0,21,4,0,52,1,0,1,0,0,1,1,0,1,0,0,0,0,2,360,0,130,490,0
365,208,75,160,0,0,0,19,6,0,38,0,0,2,0,0,0,0,0,1,0,0,0,2,5,308,0,75,383,0
366,208(A),75,158,1,0,0,20,3,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,3,308,0,75,383,0
367,209,112,133,1,0,0,20,3,0,46,1,0,0,0,0,0,0,2,1,0,0,0,1,2,322,0,112,434,0
368,209(A),108,136,0,1,2,21,3,0,53,0,0,0,0,0,0,1,0,0,1,0,0,0,1,327,0,108,435,0
369,210,90,152,0,0,0,14,1,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,90,409,0
370,210(A),78,137,0,0,0,9,1,0,77,4,0,0,0,0,0,1,0,0,0,0,0,0,0,307,0,78,385,0
371,211,99,119,0,0,0,18,4,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,290,0,99,389,0
372,211(A),75,110,1,0,1,9,2,0,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,250,0,75,325,0
373,212,158,124,0,0,0,35,1,1,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,158,518,0
374,212(A),156,114,1,0,3,16,6,0,42,3,0,0,0,0,0,0,0,0,1,0,0,0,0,342,0,156,498,0
375,213,143,206,2,0,1,18,1,0,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,143,592,0
376,214,119,173,0,0,0,16,3,0,77,0,0,0,0,0,0,0,0,1,1,0,0,0,0,390,0,119,509,0
377,214(A),111,190,1,1,1,6,0,1,103,2,0,0,0,0,0,0,0,0,1,0,0,0,0,417,0,111,528,0
378,215,61,136,1,0,0,5,2,0,44,0,0,0,0,0,0,1,0,0,1,0,0,0,0,251,0,61,312,0
379,215(A),48,128,1,0,0,6,0,1,51,1,0,0,0,0,0,1,0,0,1,0,0,0,0,238,0,48,286,0
380,216,108,137,0,0,1,12,6,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,108,467,0
381,217,363,234,3,0,2,77,9,0,51,5,0,0,0,1,0,0,1,1,1,0,0,1,0,749,0,363,1112,0
382,218,192,281,2,0,2,39,3,1,50,3,0,0,1,0,1,2,1,0,1,0,0,0,0,579,0,192,771,0
383,219,199,124,0,0,1,71,10,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,1,440,0,199,639,0
384,219(A),227,172,0,0,1,34,5,0,30,1,0,1,1,0,1,2,2,0,0,0,0,0,2,479,0,227,706,0
385,220,244,149,3,0,0,78,5,1,42,2,0,0,0,1,0,3,1,0,0,0,0,0,3,532,0,244,776,0
386,221,169,142,1,1,2,64,10,0,25,1,0,2,0,0,3,2,0,0,0,1,1,2,1,427,0,169,596,0
387,222,67,124,0,1,1,11,2,0,60,0,0,0,0,0,0,3,0,0,0,0,0,0,0,269,0,67,336,0
388,222(A),56,136,3,1,1,9,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,56,308,0
389,223,80,142,0,0,0,9,2,0,53,0,0,0,0,0,0,1,0,0,1,0,0,0,1,289,0,80,369,0
390,223(A),79,144,0,0,0,6,1,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,306,0,79,385,0
391,224,283,146,1,0,1,59,3,2,80,2,0,0,0,0,1,1,0,1,0,0,0,0,0,580,0,283,863,0
392,225,186,145,0,1,0,30,1,0,62,2,0,2,0,0,0,0,0,0,0,0,0,0,0,429,0,186,615,0
393,225(A),153,156,1,0,3,31,2,0,57,0,0,0,0,0,1,2,1,0,0,0,0,0,0,407,0,153,560,0
394,226,209,198,1,0,0,53,4,0,58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,525,0,209,734,0
395,227,192,181,2,0,2,73,7,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,474,0,192,666,0
396,227(A),173,219,1,0,1,28,7,0,31,0,0,0,0,1,0,0,3,2,0,0,0,1,0,467,0,173,640,0
397,228,186,159,0,0,0,63,4,0,33,2,0,0,0,0,0,0,2,0,0,0,2,1,0,452,0,186,638,0
398,228(A),182,204,2,0,0,33,4,0,35,1,0,0,0,1,1,0,1,0,1,1,0,0,1,467,0,182,649,0
399,229,100,179,2,0,0,30,4,0,60,3,0,0,0,0,0,0,2,0,0,0,0,0,0,380,0,100,480,0
400,229(A),110,178,0,1,0,21,2,0,53,3,0,0,0,0,0,2,1,0,0,0,0,1,0,372,0,110,482,0
401,230,110,169,2,0,0,22,1,0,60,1,1,0,1,0,0,0,0,0,0,0,0,0,1,368,0,110,478,0
402,230(A),103,154,3,0,0,9,1,0,80,1,0,0,0,0,0,1,0,0,1,1,0,0,0,354,0,103,457,0
403,231,73,149,2,0,0,8,4,0,61,1,0,1,0,0,0,1,0,0,4,0,0,0,0,304,0,73,377,0
404,231(A),68,141,1,0,0,4,3,0,72,2,0,0,1,0,0,1,0,0,2,0,0,0,2,297,0,68,365,0
405,232,142,112,1,0,0,49,7,0,54,2,0,0,0,0,3,1,1,1,0,0,0,0,0,373,0,142,515,0
406,232(A),139,128,0,0,1,20,10,0,56,0,0,1,0,0,0,1,2,0,0,0,0,1,0,359,0,139,498,0
407,233,130,158,1,0,0,33,5,0,56,3,0,0,0,1,1,1,0,0,0,0,0,0,1,390,0,130,520,0
408,233(A),113,151,1,0,0,26,3,0,61,2,0,0,0,0,0,1,1,0,0,1,0,1,1,362,0,113,475,0
409,234,196,135,0,0,1,66,6,1,20,3,0,0,0,0,0,1,1,1,0,0,0,0,0,431,0,196,627,0
410,234(A),222,158,0,0,0,42,10,0,10,1,1,0,0,0,1,1,1,1,1,0,0,0,0,449,0,222,671,0
411,235,178,128,2,0,0,58,6,0,23,0,0,1,0,0,1,1,1,0,0,0,0,0,0,399,0,178,577,0
412,235(A),156,156,1,0,0,23,6,0,31,0,0,0,0,0,1,1,0,1,0,0,0,0,0,376,0,156,532,0
413,236,166,165,0,0,0,59,2,0,37,2,1,0,0,0,0,0,0,1,0,0,0,2,1,436,0,166,602,0
414,236(A),165,178,0,0,3,32,1,0,60,0,1,1,0,0,0,1,0,1,1,0,0,0,2,446,0,165,611,0
415,237,204,201,0,2,0,65,16,1,82,3,0,0,0,0,0,1,1,0,0,0,0,0,1,577,0,204,781,0
416,238,88,265,1,0,0,12,2,0,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,461,0,88,549,0
417,223399,73,155,1,1,0,13,2,0,61,1,0,0,0,1,0,3,0,0,0,0,0,0,0,311,0,73,384,0
418,239(A),47,146,0,0,0,11,0,0,72,1,0,0,0,0,0,5,0,0,0,0,0,0,0,282,0,47,329,0
419,240,131,118,1,0,0,28,3,0,44,2,0,0,1,0,1,1,0,1,0,0,0,0,0,331,0,131,462,0
420,240(A),123,127,1,0,0,12,2,0,49,1,0,0,0,1,0,0,1,1,0,0,0,0,0,318,0,123,441,0
421,241,89,117,0,0,2,13,1,0,53,1,0,0,0,0,0,0,0,1,1,0,0,0,0,278,0,89,367,0
422,241(A),74,112,0,0,0,9,0,0,62,1,0,0,0,0,0,1,1,0,0,2,0,0,0,262,0,74,336,0
