Sl. No,Polling Station No,C RAVIKUMAR. Samaj Party Bahujan,SELVAM P. VINOJ. Janatha Party Bharatiya,M FAZIL. AHAMED Tamilar Katchi Naam,A RAMESH. Neethi Maiam Makkal,T.K ANANDRAJ. Independent,V UDHAYAKUMAR. Independent,S GANESH. Independent,Independent .LAMAK J,G KRISHNAKUMAR. Independent,A SHANKAR. Independent,R CHANDRAN. Independent,G SIVARAMAN. Independent,M ZIONRAJ. Independent,R SURESH. Independent,P SELVAM. Independent,R SELVAKUMAR. Independent,S SELVARAJ. Independent,A.G DAMODHARAN. Independent,S NAGARAJ. Independent,P PUGALENTHI. Independent,D MAHALINGAM. Independent,K RAGHUNATH. Independent,D RAMESH. Independent,P RAMKI. Independent,A RAM. VIVEK Independent,P SRINIVASAN. Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
34,24A,120,0,139,6,1,15,0,0,1,0,1,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,1,0,291,0,3,294,0
35,25,75,2,252,7,1,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,349,0,5,354,0
36,25A,80,2,162,6,2,9,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,266,0,3,269,0
37,26,289,1,86,11,1,15,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,408,0,4,412,0
38,26A,301,2,52,8,1,8,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,2,0,382,0,3,385,0
39,27,130,1,260,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,415,0,5,420,0
40,28,154,1,226,9,1,23,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,417,0,4,421,0
41,29,299,2,95,12,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,429,0,5,434,0
42,29A,341,0,79,7,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,3,448,0
43,30,400,7,71,25,6,5,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,2,0,522,0,1,523,0
44,30A,465,1,50,12,2,1,0,0,1,0,0,0,0,1,0,2,6,0,1,0,0,1,0,0,0,0,1,0,544,0,0,544,0
45,31,169,4,288,20,2,15,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,502,0,1,503,0
46,32,103,2,257,10,1,10,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,388,0,4,392,0
47,33,298,2,229,20,0,22,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,575,0,3,578,0
48,34,96,1,381,3,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,10,512,0
49,35,89,3,281,2,0,12,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,391,0,6,397,0
50,35A,71,1,229,3,0,7,0,0,0,1,0,0,0,0,0,2,3,2,2,0,0,0,0,0,0,0,1,0,322,0,4,326,0
51,36,98,6,218,6,1,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,342,0,3,345,0
52,36A,81,6,144,5,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,252,0,5,257,0
53,37,95,2,277,5,0,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,390,0,3,393,0
54,38,193,0,176,32,3,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,435,0,6,441,0
55,38A,174,4,116,13,3,33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,346,0,1,347,0
56,39,285,1,26,12,2,13,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,343,0,0,343,0
57,39A,246,0,25,7,3,21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,306,0,0,306,0
58,40,397,1,25,16,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,6,467,0
59,41,333,1,127,26,4,40,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,535,0,6,541,0
60,42,274,1,48,21,5,22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,374,0,5,379,0
61,42A,257,0,40,16,2,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,338,0,4,342,0
62,43,340,7,69,34,6,19,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,1,483,0,5,488,0
63,44,298,1,119,21,3,28,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,473,0,2,475,0
64,45,325,1,90,10,2,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,467,0,8,475,0
65,46,305,4,204,20,8,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,582,0,10,592,0
66,47,216,2,91,22,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,7,362,0
67,47A,213,2,77,15,4,19,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,334,0,3,337,0
68,48,232,1,43,20,1,21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,322,0,8,330,0
69,48A,204,2,37,14,4,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282,0,4,286,0
70,49,338,1,83,19,3,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,476,0,2,478,0
71,50,236,1,100,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,2,372,0
72,50A,202,0,79,7,3,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,307,0,3,310,0
73,51,223,0,93,8,2,16,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,345,0,2,347,0
74,51A,231,0,69,7,3,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,329,0,1,330,0
75,52,148,0,249,10,2,15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,428,0,6,434,0
76,52A,120,0,158,3,2,15,0,1,0,0,0,1,0,1,0,0,2,0,5,1,0,1,0,0,1,0,1,0,312,0,3,315,0
77,53,113,0,232,7,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,363,0,9,372,0
78,53A,81,0,173,3,4,9,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,276,0,1,277,0
79,54,348,3,60,22,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,449,0,2,451,0
80,54A,307,0,39,7,4,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,373,0,1,374,0
81,55,334,0,56,14,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,419,0
82,55A,288,0,44,9,2,11,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,0,3,1,366,0,3,369,0
83,56,108,1,291,10,5,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,425,0,3,428,0
84,57,379,0,170,13,9,7,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,583,0,3,586,0
85,58,190,0,141,15,8,11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,369,0,6,375,0
86,58A,153,0,116,2,12,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,299,0,1,300,0
87,59,305,0,29,14,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,359,0
88,60,65,1,207,8,2,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,291,0,3,294,0
89,60A,62,1,134,4,2,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,215,0,2,217,0
90,61,149,1,178,8,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,352,0,4,356,0
91,61A,148,1,119,8,2,11,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,294,0,2,296,0
92,62,538,1,67,34,2,11,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,658,0,3,661,0
93,63,259,1,100,7,4,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,385,0,4,389,0
94,63A,219,2,66,11,2,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,312,0,4,316,0
95,64,325,1,9,10,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356,0,2,358,0
96,65,238,0,148,15,3,13,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,422,0,4,426,0
97,65A,220,0,86,7,1,7,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,328,0,1,329,0
98,66,417,0,10,13,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,450,0,3,453,0
99,67,100,0,13,12,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,135,0,0,135,0
100,68,315,0,14,17,1,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,360,0,1,361,0
101,68A,247,0,10,8,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,272,0,0,272,0
102,69,282,0,54,17,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,368,0,2,370,0
103,69A,277,0,38,8,1,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,340,0,1,341,0
104,70,286,0,46,23,3,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,378,0,2,380,0
105,70A,262,0,41,9,3,24,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,348,0,2,350,0
106,71,450,4,48,31,6,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,557,0,3,560,0
107,72,219,2,66,25,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,5,349,0
108,72A,230,2,57,12,7,30,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,343,0,2,345,0
109,73,226,0,43,28,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,2,330,0
110,74,331,1,74,18,4,20,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,454,0,2,456,0
111,75,364,3,107,19,1,41,0,0,1,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,1,0,544,0,4,548,0
112,76,191,0,63,9,3,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,296,0,3,299,0
113,77,234,0,72,18,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,337,0,2,339,0
114,77A,281,1,83,5,1,6,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,4,1,387,0,0,387,0
115,78,209,1,79,20,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,3,343,0
116,78A,197,0,62,14,1,22,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,300,0,1,301,0
