Polling Station No.,Building,Polling Areas
119,St.Columban's Anglo Indian Hr.Sec.School No .3 Mc Lean Street Kachaleeswarar Nagar Chennai- 600001.,"1. Kachaleeshwarar Nagar New Ward No 60, Periyannan Street. 2. Kachaleeshwarar Nagar New Ward No 60, Singanna Street. 3. Kachaleeshwarar Nagar New Ward No 60, Vanniar Street. 4. Kachaleeshwarar Nagar New Ward No 60, Mekleen Street. 5. Kachaleeshwarar Nagar New Ward No 60, Philips Street. 6. Kachaleeshwarar Nagar New Ward No 60, Sungurama Street. 7. Kachaleeshwarar Nagar New Ward No 60, Bakker Street. 8. Kachaleeshwarar Nagar New Ward No 60, Kondi Street. 9. Kachaleeshwarar Nagar New Ward No 60, Francis Joseph Street. 999. Overseas Electors."
120,C.S.I Anderson Day Girls Hr.Sec. SchoolNo.98 Acharappan StreetKachaleeswarar Nagar Chennai - 600001.,"1. Kachaleeshwarar Nagar New Ward No 60, Jones Street And Lane. 999. Overseas Electors."
121,The Hindu Theological Hr.Sec. School No .284 Adhiyappan Naiken Street Sowcarpet Chennai- 600001.,"1. Mint New Ward No 57, Thatha Muthiappan Street. 2. Mint New Ward No 57, Somasundharam Street. 999. Overseas Electors."
122,The Hindu Theological Hr.Sec. School No .284 Adhiyappan Naiken Street Sowcarpet Chennai- 600001.,"1. Mint New Ward No 57, Arumugam Street. 2. Mint New Ward No 57, Ramakrishnan Street. 999. Overseas Electors."
123,The Hindu Theological Hr.Sec. School No .284 Adhiyappan Naiken Street Sowcarpet Chennai-600001.,"1. Mint New Ward No 57, Mint Street Door No( 217to353&238to366). 2. Mint New Ward No 57, Karuppanan Street. 999. Overseas Electors."
124,Sri Kanniaka Parameswari Arts and Science College No .1 Adthiyappan Street Sowcarpet Chennai- 600001,"1. Sowcarpet New Ward No 57, Godown Street. 2. Sowcarpet New Ward No 57, Periyathandi Street. 3. Sowcarpet New Ward No 57, Bander Street. 4. Sowcarpet New Ward No 57, Kandappan Street. 5. Sowcarpet New Ward No 57, Stringer Street. 999. Overseas Electors."
125,Sri Kanniaka Parameswari Arts and Science College No .1 Adthiyappan Street Sowcarpet Chennai- 600001,"1. Sowcarpet New Ward No 57, Acharappan Lane. 2. Sowcarpet New Ward No 57, Acharappan Street Door No(77to115&58to114). 3. Sowcarpet New Ward No 57, Anna Street. 999. Overseas Electors."
126,Sri Kanniaka Parameswari Arts and Science College No .1 Adthiyappan Street Sowcarpet Chennai- 600001,"1. Sowcarpet New Ward No 57, Gosha Shaib Street. 2. Sowcarpet New Ward No 57, Anderson Street. 3. Sowcarpet New Ward No 57, Varadha Muthiappan Street Door No(9 to151&86to136). 4. Sowcarpet New Ward No 57, Anumantharayan Koil Street. 999. Overseas Electors."
127,Sri Kanniaka Parameswari Arts and Science College No .1 Adthiyappan Street Sowcarpet Chennai- 600001,"1. Sowcarpet New Ward No 57, Kumarappa Street. 2. Sowcarpet New Ward No 57, Nattupilliyar Koil Street Door No(87to93&86to102). 3. Sowcarpet New Ward No 57, Seenu Street. 4. Sowcarpet New Ward No 57, Manikandan Street. 999. Overseas Electors."
128,K.T.C.T Girls Hr.Sec. School No .9 Narayanan Street Sowcarpet Chennai- 600001.,"1. Sowcarpet New Ward No 57, Strotan Muthiah Street. 2. Sowcarpet New Ward No 57, Adhiyappan Street. 999. Overseas Electors."
