Sl. No,Polling Station No,Samaj Party Bahujan NAVLES . IAGIHTRAK S,SILABARASAN. M Thamizhagam Puthiya,SIVASAKTHIV EL.P Needhi Maiam Makkal,JUSTIN. A SIMON Tamilar Katchi Naam,THILAGABAM M A. Makkal Katchi Pattali,P RAGUPATHY. Katchi Makkal Puratchi Anaithu,JAYASEKARAN R . Party Inda My,A.S ANBU. Independent,M KARTHI. Independent,D SANKAR. Independent,SAVADAMUTH A U. Independent,SILAMBARASA P N. Independent,THILAGAVATH S Y. Independent,BALAMURUGA A N. Independent,R PALRAJ. Independent,MURUGANANT C HAM. Independent,VEERAMALAI. S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
45,32,1,566,3,15,13,47,153,13,0,0,1,4,4,2,8,1,1,6,1,0,839,0,5,844,0
46,33M,0,312,2,4,6,81,114,2,0,0,0,0,1,0,0,0,3,3,0,1,529,0,4,533,0
47,33A(W),2,392,1,7,5,36,116,7,0,1,0,5,5,0,2,0,1,1,1,1,583,0,3,586,0
48,34M,0,385,2,6,18,40,61,0,0,0,0,0,0,3,2,0,1,2,0,0,520,0,6,526,0
49,34A(W),1,439,3,6,10,22,43,1,0,0,1,1,2,0,0,3,1,3,0,0,536,0,1,537,0
50,35,1,550,3,2,9,101,77,1,0,1,4,0,0,0,0,1,1,8,0,0,759,0,5,764,0
51,36M,0,303,1,4,4,67,46,1,1,0,2,0,0,0,0,0,1,0,0,0,430,0,5,435,0
52,36A(W),2,375,0,4,3,34,35,1,0,0,0,3,3,2,4,3,1,4,1,1,476,0,8,484,0
53,37,2,483,3,12,15,50,105,5,1,0,1,2,3,0,1,0,0,5,2,2,692,0,4,696,0
54,38,6,522,2,10,16,65,97,7,0,0,0,3,4,3,4,2,0,5,1,1,748,0,4,752,0
55,39M,1,362,0,16,11,74,47,1,0,0,1,0,0,1,0,0,0,0,0,0,514,0,9,523,0
56,39A(W),6,403,1,13,5,43,53,6,0,1,1,1,4,2,0,2,0,5,2,0,548,0,7,555,0
57,40,0,446,2,10,9,38,46,4,0,0,1,1,2,0,0,1,1,6,1,0,568,0,1,569,0
58,41,2,436,1,6,4,43,102,3,1,2,1,0,1,3,2,2,7,2,0,0,618,0,8,626,0
59,42M,1,222,2,7,6,55,55,0,0,0,0,0,1,2,0,0,0,1,0,0,352,0,11,363,0
60,42A(W),0,272,1,11,3,38,54,4,0,0,0,0,1,0,0,1,3,1,0,1,390,0,3,393,0
61,43,2,520,2,17,8,54,163,5,0,0,0,1,2,5,1,2,2,0,0,0,784,0,11,795,0
62,44M,1,322,0,5,4,51,51,3,0,0,0,1,0,11,1,0,4,1,0,1,456,0,3,459,0
63,44A(W),0,403,4,6,3,33,37,1,0,0,1,1,0,8,1,1,4,2,0,1,506,0,0,506,0
64,45M,0,318,0,7,5,43,34,2,1,1,0,1,3,11,0,0,0,0,0,0,426,0,3,429,0
65,45A(W),1,338,6,4,2,10,38,2,0,0,1,2,4,6,2,3,0,3,0,1,423,0,1,424,0
