Sl. No,Polling Station No,"M.ANANDH,TamilarKatchiNaam-5-","GOPALAKRISHNG.AN,NeedhiMaiamMakkal-6-","M.AYYAPPAN,Independent-8-","GURUMOORTHI,D.Independent-9-","SUBRAMANIAN,P.Independent-01-","P.PRAKASH,Independent-11-","VIJAYAKUMAR,C.Independent-21-",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
76,59(A),279,130,31,3,11,0,3,1,0,1,459,0,4,463,0
77,60,188,112,25,13,37,2,0,1,0,0,378,0,3,381,0
78,61,365,232,43,5,30,0,1,0,0,0,676,0,5,681,0
79,62,248,168,29,6,6,0,0,0,0,0,457,0,3,460,0
80,62(A),261,186,17,6,10,1,0,1,0,0,482,0,1,483,0
81,63,403,193,64,27,12,1,2,0,0,0,702,0,3,705,0
82,64,290,178,44,20,4,0,1,0,0,0,537,0,2,539,0
83,65(A),186,110,26,15,2,0,0,1,0,0,340,0,4,344,0
84,65,193,107,14,23,2,0,1,0,0,0,340,0,3,343,0
85,66,185,218,34,16,11,1,0,0,0,0,465,0,4,469,0
86,66(A),214,240,19,14,15,0,1,1,0,1,505,0,0,505,0
87,67,145,174,27,16,11,1,1,0,0,0,375,0,2,377,0
88,67(A),168,182,10,17,4,0,0,0,0,4,385,0,3,388,0
89,68,369,229,44,30,14,0,0,0,0,1,687,0,5,692,0
90,69,180,130,21,13,3,0,1,0,0,1,349,0,0,349,0
91,69(A),163,138,14,12,3,0,1,0,0,1,332,0,1,333,0
92,70,351,180,55,11,9,0,1,4,0,0,611,0,1,612,0
93,71,170,89,23,5,7,1,0,0,0,0,295,0,5,300,0
94,71(A),210,96,21,11,6,0,0,0,0,0,344,0,0,344,0
95,72,214,87,43,13,9,1,0,0,0,0,367,0,3,370,0
96,72(A),214,85,24,14,10,0,0,0,1,1,349,0,7,356,0
97,73,229,173,43,31,13,1,1,2,2,0,495,0,6,501,0
98,74,315,190,39,7,29,0,0,0,0,0,580,0,3,583,0
99,75,193,108,18,16,4,0,0,0,0,0,339,0,3,342,0
100,75(A),181,103,18,19,7,0,1,1,0,0,330,0,3,333,0
101,76,232,182,38,9,3,1,0,0,1,0,466,0,2,468,0
102,76(A),214,193,16,14,5,0,0,1,0,2,445,0,0,445,0
103,77,274,269,48,10,67,1,0,3,0,3,675,0,3,678,0
104,78,188,146,28,17,3,1,0,0,0,0,383,0,5,388,0
105,79,170,87,20,14,4,0,0,0,0,0,295,0,2,297,0
106,80,257,166,25,25,3,0,1,0,4,0,481,0,9,490,0
107,81,291,154,43,29,2,1,0,0,0,0,520,0,7,527,0
108,82,192,190,17,11,4,0,0,0,0,1,415,0,4,419,0
109,83,234,188,38,11,15,0,1,0,0,0,487,0,6,493,0
110,84,343,269,29,16,7,1,1,1,0,1,668,0,4,672,0
111,85,304,185,29,22,14,0,0,1,0,0,555,0,6,561,0
112,86,195,188,16,2,1,0,0,0,0,1,403,0,0,403,0
113,87(A),304,187,28,1,9,0,1,1,0,1,532,0,3,535,0
114,87,388,212,16,1,3,0,2,1,0,0,623,0,6,629,0
115,88,245,207,34,7,11,0,0,0,0,0,504,0,2,506,0
116,88(A),258,300,19,8,7,0,2,0,0,1,595,0,1,596,0
117,89,352,182,48,6,19,0,0,1,0,0,608,0,4,612,0
118,90,315,249,63,9,10,1,1,0,1,1,650,0,5,655,0
119,91,320,278,48,17,5,0,1,1,1,0,671,0,12,683,0
120,92,187,246,7,1,12,0,1,0,1,2,457,0,0,457,0
121,93,205,406,39,6,12,0,1,0,0,1,670,0,6,676,0
122,94,353,298,78,7,18,1,0,1,0,0,756,0,2,758,0
123,95,231,160,28,14,11,1,0,1,0,0,446,0,6,452,0
124,95(A),238,220,19,13,6,2,0,2,0,0,500,0,3,503,0
125,96,268,211,41,19,4,0,1,1,1,0,546,0,9,555,0
126,97,192,85,25,8,4,0,1,0,0,0,315,0,5,320,0
127,97(A),229,107,18,10,9,0,0,0,0,0,373,0,4,377,0
128,98(A),160,178,28,5,3,0,0,0,0,1,375,0,1,376,0
129,98,152,200,19,4,7,0,0,0,0,1,383,0,3,386,0
130,99,320,205,29,18,8,0,0,0,1,0,581,0,3,584,0
131,100,379,218,40,7,4,1,0,0,0,0,649,0,6,655,0
132,101,352,242,32,12,2,1,0,0,0,0,641,0,11,652,0
133,102,293,279,35,4,41,0,0,1,1,1,655,0,5,660,0
134,103,323,256,43,7,13,1,0,0,1,0,644,0,2,646,0
135,104,229,134,38,18,10,0,1,0,0,0,430,0,0,430,0
136,105,277,129,51,24,16,1,0,0,1,0,499,0,3,502,0
137,106,218,137,28,4,10,0,0,0,0,0,397,0,3,400,0
138,106(A),209,177,18,9,2,2,0,0,0,1,418,0,6,424,0
139,107,360,144,55,28,15,0,1,0,0,1,604,0,7,611,0
140,108,261,254,50,10,21,1,0,0,1,1,599,0,3,602,0
141,109,314,212,52,25,4,1,0,0,0,0,608,0,3,611,0
142,110,283,231,34,20,2,2,0,1,0,1,574,0,1,575,0
143,111,298,250,35,5,4,0,2,1,1,0,596,0,1,597,0
144,112,332,216,51,3,8,0,0,0,0,0,610,0,4,614,0
145,113,324,286,54,16,14,0,2,0,1,1,698,0,10,708,0
146,114,395,248,51,13,16,0,1,0,0,2,726,0,5,731,0
147,115,309,80,26,12,11,0,1,1,1,0,441,0,4,445,0
148,115(A),313,104,19,19,10,0,0,0,0,0,465,0,1,466,0
149,116,251,49,15,12,10,0,0,1,0,0,338,0,4,342,0
150,117,444,162,53,17,22,0,2,1,0,0,701,0,8,709,0
151,118,352,321,62,20,7,2,3,0,0,0,767,0,6,773,0
152,119,280,326,67,12,9,0,0,0,0,1,695,0,4,699,0
153,120,279,135,38,19,10,1,0,0,0,0,482,0,4,486,0
154,120(A),249,171,30,27,7,1,3,0,0,0,488,0,4,492,0
155,121,245,177,65,4,21,0,0,1,1,0,514,0,4,518,0
156,121(A),236,208,35,14,16,0,1,0,1,3,514,0,3,517,0
157,122,304,331,41,22,14,2,2,1,0,4,721,0,11,732,0
158,123,332,244,52,16,7,6,1,2,1,0,661,0,5,666,0
159,124,220,92,21,22,7,0,0,0,0,0,362,0,4,366,0
160,124(A),226,109,28,18,10,1,0,0,0,0,392,0,1,393,0
161,125,191,128,26,4,19,1,0,0,0,0,369,0,3,372,0
162,126,243,215,54,7,4,0,0,0,0,0,523,0,2,525,0
163,126(A),249,260,36,20,5,0,1,1,0,2,574,0,6,580,0
164,127,253,351,72,18,28,1,0,0,0,0,723,0,3,726,0
165,128,186,173,42,14,20,1,0,1,0,0,437,0,0,437,0
166,128(A),192,203,22,7,24,0,2,0,0,1,451,0,4,455,0
167,129,280,315,34,25,25,2,1,1,0,0,683,0,4,687,0
168,130,252,144,42,16,19,0,0,1,0,0,474,0,3,477,0
169,130(A),228,162,21,18,13,0,0,0,0,0,442,0,4,446,0
170,131(A),197,161,34,14,27,0,0,0,0,0,433,0,7,440,0
171,131,181,187,22,11,30,1,0,3,1,0,436,0,1,437,0
172,132,326,265,45,23,28,0,0,0,0,2,689,0,8,697,0
173,133,176,250,30,18,36,1,0,0,0,0,511,0,6,517,0
174,134,202,330,40,12,44,1,0,1,1,0,631,0,6,637,0
175,135,159,367,45,21,48,2,1,3,0,0,646,0,10,656,0
176,136,275,301,48,22,60,0,0,1,0,0,707,0,6,713,0
177,137,193,214,56,21,24,1,0,0,0,0,509,0,8,517,0
178,137(A),146,306,32,20,18,1,0,0,1,0,524,0,3,527,0
179,138,372,325,64,16,35,6,1,0,0,0,819,0,3,822,0
180,139,282,400,53,22,44,4,3,1,0,0,809,0,5,814,0
181,140,123,171,11,6,23,0,1,0,0,0,335,0,3,338,0
182,141,139,185,23,5,13,0,1,0,0,0,366,0,0,366,0
183,141(A),128,232,14,6,6,0,1,0,0,0,387,0,2,389,0
184,142,213,202,26,12,17,0,1,0,0,1,472,0,3,475,0
185,143,223,341,30,9,33,2,2,0,0,0,640,0,2,642,0
186,144,289,206,65,7,68,2,0,0,1,1,639,0,2,641,0
187,145,367,112,34,9,231,0,0,0,1,1,755,0,1,756,0
188,146,318,148,49,12,294,1,0,1,1,0,824,0,5,829,0
189,147,210,174,31,5,179,0,1,1,0,0,601,0,2,603,0
190,148,166,120,33,4,114,0,0,0,2,0,439,0,1,440,0
191,148(A),163,134,7,8,124,0,0,0,0,0,436,0,0,436,0
192,149,387,265,73,6,25,0,1,0,0,1,758,0,5,763,0
193,150,193,141,40,3,33,0,1,0,1,1,413,0,1,414,0
194,150(A),187,184,19,5,36,0,0,2,0,3,436,0,5,441,0
195,151,233,249,48,7,19,0,1,0,0,0,557,0,2,559,0
196,152,272,275,39,10,15,0,0,1,0,0,612,0,5,617,0
197,153,243,336,47,1,40,0,3,0,1,3,674,0,6,680,0
198,154,253,263,82,11,35,2,0,0,0,0,646,0,3,649,0
199,155,337,189,60,4,24,0,1,0,0,0,615,0,4,619,0
200,156,262,313,30,6,25,0,0,2,0,0,638,0,5,643,0
201,157,281,343,61,12,31,0,0,0,2,2,732,0,7,739,0
202,158,134,229,16,13,11,0,0,0,0,0,403,0,1,404,0
