Sl. No,Polling Station No,Alagaapuram .Mohanraj.R DMDK,"BSPS.Selvan,Tamil",A. Rajendran DMK,PMKR.Arul,PIM A. Kathirvel,KIT J. Karthikeyan,KPMA A. Senthilkumar,A. Thiyagarajan MNM,S. Nagammal NTK,KTMT R. Muthusamy,Dhesiya KM R. Vijayakumar,A. Inbaraj IND,S. Kathavarayan IND,INDM.Gopi,R Gopinath IND,G. Chandrasekaran IND,M. Sabbapathi IND,S. Sarathkumar IND,S. Sivaraman IND,M. Thiyagarajan IND,C. Natarajan IND,D. Balaji IND,M. Mayakannan IND,M. Marimuthu IND,A. Murugan IND,R. Ramkumar IND,B. Rajendiran IND,M. Jeevanantham IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
74,62,6,0,214,284,0,2,0,9,34,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,555,5,0,560
75,63,9,1,208,523,1,2,1,2,25,0,3,0,3,0,0,1,0,0,1,2,2,0,0,0,1,2,0,1,788,2,0,790
76,64,2,0,205,588,4,3,1,2,18,1,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,1,833,1,0,834
77,65,2,0,168,468,0,0,0,0,25,0,2,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,1,0,673,1,0,674
78,66,5,0,200,586,4,2,1,2,22,0,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,833,3,0,836
79,67,5,1,253,445,1,2,0,10,21,1,4,2,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,752,4,0,756
80,68,10,1,193,289,2,0,0,10,23,2,3,0,2,1,0,1,0,1,3,2,1,1,0,0,0,0,0,0,545,2,0,547
81,69,2,2,143,226,0,1,0,22,18,0,1,0,0,1,0,0,0,2,2,2,0,0,0,0,1,1,2,2,428,0,0,428
82,70,3,0,247,477,3,1,0,14,34,1,5,2,1,1,1,2,0,0,0,4,0,0,0,0,1,0,0,1,798,7,0,805
83,71,7,0,175,196,1,0,0,5,13,1,2,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,407,3,0,410
84,72M,5,1,175,249,1,0,0,7,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,478,1,0,479
85,72A(W),4,0,201,236,1,2,1,5,16,2,6,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,479,0,0,479
86,73M,2,0,193,240,0,1,0,3,18,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,462,3,0,465
87,73A(W),1,0,181,240,1,0,0,1,11,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,442,1,0,443
88,74,0,0,226,366,1,0,1,12,22,1,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,640,6,0,646
89,75,14,0,345,340,3,5,1,27,50,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,790,10,0,800
90,76M,10,0,286,189,1,0,0,10,27,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,530,9,0,539
91,76A(W),4,1,244,210,1,2,1,9,12,0,4,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,495,4,0,499
92,77M,15,1,182,237,0,0,0,14,28,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,480,2,0,482
93,77A(W),8,0,161,250,0,0,0,19,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,452,4,0,456
94,78,4,0,280,321,2,0,0,11,16,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,640,3,0,643
95,79,16,2,453,274,0,1,8,9,110,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,1,1,1,0,883,8,0,891
96,80,12,0,293,388,1,2,0,10,36,1,3,0,2,0,0,3,0,0,0,1,0,0,12,0,0,0,0,0,764,6,0,770
97,81,22,1,219,407,0,0,0,11,36,2,0,0,1,0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,708,9,0,717
98,82,19,2,341,296,1,2,0,4,36,1,2,0,2,0,0,0,0,2,1,3,1,0,0,0,0,0,1,0,714,5,0,719
99,83,12,1,249,405,6,0,1,9,44,3,3,0,1,1,0,0,1,1,1,3,1,0,0,0,0,0,0,0,742,8,0,750
100,84M,7,0,199,294,2,1,1,15,26,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,551,1,0,552
101,84A(W),7,0,170,343,0,4,2,5,10,2,4,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,1,0,555,1,0,556
102,85M,5,0,165,285,4,0,0,8,28,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,4,0,1,505,6,0,511
103,85A(W),3,0,147,336,7,0,0,12,10,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,523,3,0,526
104,86,5,1,142,302,4,0,0,1,38,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,500,2,0,502
105,87M,6,0,153,248,8,0,0,3,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,439,1,0,440
106,87A(W),1,0,136,283,3,0,0,1,9,1,1,0,0,0,0,0,0,0,1,4,1,0,0,1,0,2,0,0,444,3,0,447
107,88,3,0,165,180,0,0,0,4,34,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,389,1,0,390
108,89,15,0,279,369,1,2,0,27,33,0,3,0,2,0,0,1,0,0,1,1,1,0,2,0,0,1,0,2,740,1,0,741
109,90,3,1,246,317,0,1,0,44,40,1,1,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,0,0,663,2,0,665
110,91M,1,3,141,133,0,0,0,23,30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,335,6,0,341
111,91A(W),0,1,121,169,0,1,1,19,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,2,0,331
112,92M,9,3,173,246,0,2,0,28,41,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,3,509,5,0,514
113,92A(W),2,0,172,224,3,4,0,31,10,0,4,1,1,1,0,0,0,2,2,2,0,0,0,1,0,1,0,0,461,1,0,462
114,93M,6,0,166,229,0,3,0,22,42,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,5,0,476
115,93A(W),2,1,154,234,1,1,0,12,19,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,431,4,0,435
116,94M,4,0,216,97,0,0,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,364,4,0,368
117,94A(W),3,0,188,108,1,0,0,19,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,1,0,335
118,95M,7,1,264,99,0,1,0,7,17,1,0,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,406,2,0,408
119,95A(W),3,1,254,78,0,2,0,5,12,0,3,0,1,2,0,3,2,1,2,0,0,0,0,1,1,1,0,0,372,3,0,375
120,96,4,0,163,197,1,2,0,8,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,392,3,0,395
121,97,0,1,138,136,1,0,0,14,13,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,308,3,0,311
122,98M,2,1,189,146,0,3,0,12,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,6,0,381
123,98A(W),0,0,184,141,0,0,0,16,13,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,360,3,0,363
124,99,2,1,257,50,0,1,0,8,16,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,339,3,0,342
125,100,2,0,340,128,1,1,0,12,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,530,0,0,530
126,101,6,3,150,355,0,3,0,27,27,1,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,581,8,0,589
127,102M,9,3,153,296,0,1,1,20,41,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,529,2,0,531
128,102A(W),3,0,138,318,1,1,0,23,17,0,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,510,3,0,513
129,103M,7,0,184,242,1,0,0,21,16,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,477,3,0,480
130,103A(W),4,0,179,260,2,1,1,35,10,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,497,5,0,502
131,104,2,1,278,252,0,2,0,17,30,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,588,3,0,591
132,105,5,0,228,283,2,3,0,25,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,578,4,0,582
133,106M,6,2,222,126,1,1,1,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,6,0,431
134,106A(W),3,1,204,130,0,0,0,29,14,1,3,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,2,0,392,6,0,398
135,107M,1,0,157,138,0,1,1,14,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,336,6,0,342
136,107A(W),1,0,143,162,0,0,0,8,10,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,0,337,8,0,345
137,108M,10,0,126,145,0,1,0,22,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,2,0,336
138,108A(W),4,0,110,157,0,2,0,19,15,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,312,4,0,316
139,109M,4,0,142,160,0,1,0,29,17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,356,3,0,359
140,109A(W),7,2,127,191,1,1,1,43,17,0,1,3,3,1,1,2,1,1,1,2,2,1,1,3,1,0,1,1,416,4,0,420
141,110,4,1,146,299,0,0,0,28,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,515,8,0,523
142,111,4,0,238,394,1,1,0,39,34,0,1,1,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,719,8,0,727
143,112,5,2,156,227,1,1,0,10,32,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,440,9,0,449
144,113M,3,1,174,173,0,0,0,23,28,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404,3,0,407
145,113A(W),2,0,163,168,0,0,0,20,14,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,1,375,5,0,380
146,114,4,2,260,262,0,2,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,14,0,605
147,115M,0,0,149,138,0,1,0,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,3,0,330
148,115A(W),3,1,159,151,0,0,0,13,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,337,4,0,341
149,116M,7,0,188,259,0,3,0,24,27,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,512,3,0,515
150,116A(W),1,0,197,252,0,0,1,18,13,1,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,493,1,0,494
151,117M,1,0,217,109,2,0,0,36,29,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,398,5,0,403
152,117A(W),0,1,208,127,0,2,0,28,14,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,385,7,0,392
153,118M,5,1,303,86,0,1,0,22,42,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,464,1,0,465
154,118A(W),5,0,299,141,1,1,0,10,10,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,476,1,0,477
155,119,13,0,396,215,0,3,1,40,62,0,0,0,3,3,0,0,1,1,1,3,0,0,0,1,0,0,0,1,744,2,0,746
156,120,15,1,329,157,1,1,0,7,27,0,1,0,0,1,0,1,0,0,2,1,0,1,1,1,2,1,0,0,550,5,0,555
157,121,3,1,333,88,1,3,0,25,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,5,0,488
158,122M,5,1,131,72,0,0,0,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,258,1,0,259
159,122A(W),2,0,112,76,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,226,0,0,226
160,123,8,0,165,230,0,0,0,35,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,457,6,0,463
161,124,5,0,216,241,1,0,0,52,42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,561,9,0,570
162,125M,7,0,189,203,1,0,0,16,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,5,0,468
163,125A(W),11,0,148,213,0,2,0,12,23,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,417,2,0,419
164,126M,4,1,202,241,0,0,0,7,42,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2,0,502
165,126A(W),3,0,184,257,2,3,0,6,17,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,482,1,0,483
166,127M,5,0,157,184,1,1,0,25,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,409,6,0,415
167,127A(W),2,0,153,206,0,3,0,32,19,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,422,4,0,426
168,128,6,3,230,250,0,5,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,7,0,581
169,129,8,0,202,372,0,0,0,33,40,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,663,4,0,667
