Sl. No,Polling Station No,Alagaapuram .Mohanraj.R DMDK,"BSPS.Selvan,Tamil",A. Rajendran DMK,PMKR.Arul,PIM A. Kathirvel,KIT J. Karthikeyan,KPMA A. Senthilkumar,A. Thiyagarajan MNM,S. Nagammal NTK,KTMT R. Muthusamy,Dhesiya KM R. Vijayakumar,A. Inbaraj IND,S. Kathavarayan IND,INDM.Gopi,R Gopinath IND,G. Chandrasekaran IND,M. Sabbapathi IND,S. Sarathkumar IND,S. Sivaraman IND,M. Thiyagarajan IND,C. Natarajan IND,D. Balaji IND,M. Mayakannan IND,M. Marimuthu IND,A. Murugan IND,R. Ramkumar IND,B. Rajendiran IND,M. Jeevanantham IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
187,142,12,0,276,237,0,0,0,26,35,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,591,7,0,598
188,143M,4,0,92,229,1,2,0,24,18,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,374,6,0,380
189,143A(W),5,1,66,250,1,6,1,25,12,1,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,378,1,0,379
190,144,15,0,183,447,1,3,0,33,29,0,6,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,724,3,0,727
191,145,4,1,221,356,1,6,1,31,36,0,3,0,1,0,0,2,0,1,2,1,0,0,1,0,0,0,1,1,670,6,0,676
192,146M,7,0,163,150,1,1,0,31,29,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,384,7,0,391
193,146A(W),1,0,139,153,0,0,0,40,13,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,353,3,0,356
194,147M,6,2,110,212,2,0,0,21,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,372,9,0,381
195,147A(W),5,1,88,200,0,1,0,37,12,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,353,5,0,358
196,148,6,1,203,368,1,1,1,31,34,0,2,0,2,0,1,1,0,2,0,1,1,0,1,0,0,0,0,2,659,10,0,669
197,149,10,0,218,401,1,0,0,21,48,1,0,0,0,1,2,1,0,0,0,2,1,0,0,0,1,1,1,0,710,7,0,717
198,150,4,0,166,201,0,1,0,37,14,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,429,5,0,434
199,151M,5,0,120,141,0,0,0,40,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,324,6,0,330
200,151A(W),6,0,105,132,0,1,1,38,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,300,5,0,305
201,152,1,0,374,176,2,0,0,21,64,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,644,1,0,645
202,153,2,1,331,107,0,0,0,12,22,0,0,0,0,6,0,0,0,0,1,1,0,2,0,0,0,0,0,0,485,7,0,492
203,154,2,1,430,206,3,2,0,25,54,0,1,0,0,5,1,1,2,0,0,3,1,2,0,0,0,0,0,0,739,3,0,742
204,155,5,0,255,212,1,2,1,16,49,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,2,0,548
205,156,3,1,168,457,1,2,0,7,23,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,669,3,0,672
206,157,7,1,215,284,1,3,0,6,55,0,1,0,2,1,0,1,0,2,1,1,0,1,0,1,3,0,1,0,587,8,0,595
207,158,19,0,323,347,1,1,0,8,44,1,2,4,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,756,5,0,761
208,159,3,0,241,181,2,1,0,9,29,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,473,3,0,476
209,160M,14,1,164,341,0,2,0,6,27,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,560,2,0,562
210,160A(W),11,1,125,321,0,5,0,3,12,0,3,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,486,2,0,488
211,161,18,0,239,414,1,2,1,12,53,1,0,0,1,0,0,2,1,3,2,3,0,0,0,0,1,1,1,0,756,4,0,760
212,162M,4,0,128,195,0,1,0,11,31,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,374,5,0,379
213,162A(W),1,0,107,198,0,2,0,28,16,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,357,2,0,359
214,163M,4,2,165,166,0,2,0,27,31,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,399,3,0,402
215,163A(W),5,1,134,168,1,2,0,32,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,363,2,0,365
216,164M,7,2,141,186,0,0,0,32,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,393,3,0,396
217,164A(W),3,0,140,157,2,1,1,43,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,7,0,371
218,165M,6,0,118,269,0,1,0,13,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,434,2,0,436
219,165A(W),1,1,122,279,0,0,1,20,14,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,443,2,0,445
220,166M,1,0,124,225,1,0,0,24,23,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,401,7,0,408
221,166A(W),1,2,108,198,2,1,0,14,16,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,349,8,0,357
222,167,2,0,143,201,1,0,0,40,23,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,414,9,0,423
223,168M,4,0,120,196,1,3,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,4,0,368
224,168A(W),1,0,110,193,0,0,0,41,6,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,355,5,0,360
225,169,4,0,192,271,0,2,0,44,32,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,550,6,0,556
226,170,8,2,239,313,0,1,0,34,29,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,629,11,0,640
227,171,6,0,156,216,0,2,0,53,17,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,454,12,0,466
228,172,0,0,329,230,0,0,0,40,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,637,4,0,641
229,173M,6,0,91,143,0,1,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,4,0,292
230,173A(W),6,1,87,122,0,1,1,33,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,264,3,0,267
231,174,4,0,245,175,0,0,0,56,38,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,521,4,0,525
232,175,1,1,240,279,0,1,0,37,39,1,0,0,1,0,0,4,0,1,2,0,0,0,1,0,0,0,0,4,612,7,0,619
233,176M,5,0,105,214,0,1,0,15,33,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,377,6,0,383
234,176A(W),4,0,111,218,1,2,0,20,18,0,2,0,1,1,1,0,0,1,0,2,0,0,0,2,0,0,0,1,385,2,0,387
235,177,2,2,123,318,1,3,2,23,21,3,3,0,0,0,0,3,1,3,0,3,0,0,1,0,1,0,1,2,516,5,0,521
236,178M,2,2,207,140,1,2,1,20,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,7,0,404
237,178A(W),2,0,209,149,1,2,0,29,6,0,2,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,410,6,0,416
238,179M,7,1,149,245,2,2,0,6,73,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,492,4,0,496
239,179A(W),5,1,133,264,1,2,0,6,13,0,4,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,1,438,3,0,441
240,180,7,0,200,281,0,2,0,35,36,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,569,9,0,578
241,181M,4,1,155,144,0,3,0,24,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,359,7,0,366
242,181A(W),3,1,170,133,0,4,0,26,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,350,8,0,358
243,182M,12,1,166,222,0,0,0,11,29,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,448,1,0,449
244,182A(W),4,1,175,222,0,0,0,10,6,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2,0,424
245,183,4,0,256,330,1,1,0,35,40,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,672,7,0,679
246,184M,4,0,218,169,1,0,0,21,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,4,0,455
247,184A(W),3,1,199,196,0,2,0,15,18,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,439,4,0,443
248,185,14,0,364,379,0,3,0,21,78,0,0,0,1,1,1,1,1,3,1,1,1,0,0,0,2,1,0,0,873,9,0,882
249,186M,12,0,188,166,0,1,0,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,427,2,0,429
250,186A(W),8,0,180,197,1,0,0,11,15,0,1,2,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,0,421,3,0,424
251,187,15,0,213,309,0,4,0,11,38,0,2,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,599,6,0,605
252,188,7,0,286,285,1,3,0,18,42,0,1,0,0,2,1,3,1,2,1,0,1,0,0,0,0,0,2,1,657,6,0,663
253,189,4,0,112,180,0,1,0,5,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,322,2,0,324
254,190M,9,1,139,254,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,427,2,0,429
255,190A(W),4,1,114,275,0,0,0,5,12,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,421,2,0,423
256,191M,6,0,190,240,1,1,1,9,38,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,492,6,0,498
257,191A(W),1,1,165,266,2,3,0,5,17,3,3,0,2,0,1,0,1,3,0,1,0,0,0,0,0,1,0,0,475,1,0,476
258,192,2,0,162,242,1,1,1,84,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,522,9,0,531
259,193M,4,1,117,151,0,1,0,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,361,15,0,376
260,193A(W),2,0,108,146,0,2,0,68,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,333,8,0,341
261,194M,3,0,141,149,1,2,0,38,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,357,12,0,369
262,194A(W),8,0,115,132,0,0,0,35,11,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,305,8,0,313
263,195,10,0,233,213,1,1,0,61,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,542,7,0,549
264,196M,14,1,170,196,0,3,0,11,20,0,1,1,1,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,426,7,0,433
265,196A(W),5,2,114,247,0,2,0,8,7,2,3,0,4,3,0,0,0,0,1,3,0,0,0,0,0,1,2,1,405,2,0,407
266,197M,8,0,170,242,1,1,0,23,35,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,484,4,0,488
267,197A(W),5,2,165,141,0,2,0,23,20,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,364,2,0,366
268,198M,4,1,111,91,1,2,0,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258,9,0,267
269,198A(W),1,0,103,91,0,1,0,26,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,233,6,0,239
270,199M,4,0,128,124,0,3,0,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,3,0,323
271,199A(W),7,0,126,127,0,4,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,309,9,0,318
272,200,3,0,168,258,0,0,0,45,19,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,501,11,0,512
273,201M,3,1,156,161,0,1,0,22,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,366,1,0,367
274,201A(W),1,1,171,158,2,0,0,20,7,1,1,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,1,370,1,0,371
275,202,4,1,132,138,0,1,0,18,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,3,0,315
276,203M,7,0,178,227,1,1,1,10,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,4,0,465
277,203A(W),4,0,154,246,1,1,0,18,22,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,452,5,0,457
278,204M,3,0,142,174,1,0,0,18,22,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,366,3,0,369
279,204A(W),2,0,132,194,0,1,0,15,15,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,0,0,367,7,0,374
280,205,11,0,233,346,1,2,0,23,38,0,3,0,1,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,666,4,0,670
281,206,8,0,233,315,0,2,0,38,35,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,638,5,0,643
282,207,4,0,245,326,1,10,0,37,42,0,1,0,2,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,675,7,0,682
283,208,11,0,423,128,1,1,1,13,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,603,3,0,606
284,209M,2,0,297,63,0,1,0,6,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,393,2,0,395
285,209A(W),1,0,273,62,0,0,0,8,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,362,0,0,362
286,210M,2,0,190,119,0,1,0,17,21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,352,2,0,354
287,210A(W),3,0,203,115,0,1,0,13,14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,354,0,0,354
288,211M,8,2,229,100,0,1,0,21,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,408,3,0,411
289,211A(W),5,2,269,104,0,0,1,25,22,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,0,436,6,0,442
290,212M,8,1,209,131,0,1,0,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,8,0,406
291,212A(W),5,1,186,140,0,1,0,31,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,385,2,0,387
292,213M,1,0,99,124,2,0,0,43,24,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,297,2,0,299
293,213A(W),4,0,100,97,1,3,0,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271,3,0,274
294,214,10,0,239,345,0,4,0,39,25,0,3,0,1,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,675,8,0,683
295,215,4,2,289,289,0,0,1,18,37,0,1,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,1,0,649,3,0,652
296,216,1,1,295,312,0,1,1,28,37,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,684,1,0,685
297,217M,2,0,191,130,0,0,0,22,39,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,388,5,0,393
298,217A(W),4,1,187,139,1,0,0,15,23,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,376,2,0,378
299,218,2,2,265,99,0,0,0,36,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,448,5,0,453
300,219M,8,1,279,91,0,1,0,18,41,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,446,3,0,449
301,219A(W),9,1,318,105,2,0,0,16,23,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,479,1,0,480
302,220,3,1,130,271,0,2,0,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1,0,422
303,221M,9,2,370,96,0,0,0,14,41,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,538,2,0,540
304,221A(W),1,0,344,154,0,2,0,11,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,544,4,0,548
305,222,13,0,283,311,1,4,0,9,39,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,666,2,0,668
306,223,11,1,188,253,1,0,0,11,16,0,1,1,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,490,7,0,497
307,224M,10,0,231,303,2,1,0,8,22,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,585,3,0,588
308,224A(W),4,1,211,324,2,3,0,3,16,1,5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,578,4,0,582
309,225M,12,3,193,273,0,3,0,11,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,527,3,0,530
310,225A(W),10,2,168,321,1,1,0,3,14,2,1,0,1,1,0,1,0,4,0,1,0,0,1,0,0,1,1,1,535,1,0,536
311,226,9,1,228,330,1,1,0,14,21,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,613,6,0,619
312,227,12,2,301,383,1,2,0,13,44,2,4,0,0,5,0,0,4,0,0,1,2,0,0,0,1,0,0,2,779,6,0,785
313,228M,9,0,164,259,1,1,0,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,494,3,0,497
314,228A(W),12,0,160,238,3,2,1,19,24,0,1,0,0,2,0,3,0,0,1,0,0,1,2,0,0,0,0,0,469,6,0,475
315,229M,7,0,245,271,0,2,0,11,19,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,561,7,0,568
316,229A(W),4,2,203,286,3,1,1,7,14,0,6,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,535,5,0,540
317,230M,10,0,237,247,2,1,0,21,50,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,573,0,0,573
318,230A(W),2,0,269,252,1,0,0,14,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,569,2,0,571
319,231M,9,0,227,138,1,1,0,6,68,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,458,4,0,462
320,231A(W),5,2,282,143,2,3,3,12,34,6,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,523,2,0,525
321,232M,2,0,159,292,0,1,0,7,32,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,501,6,0,507
322,232A(W),2,0,116,301,2,5,0,11,17,0,2,0,1,1,0,0,0,0,7,0,0,0,0,0,1,1,1,0,468,1,0,469
323,233,5,0,187,395,3,2,0,0,12,1,2,0,2,1,0,1,1,0,2,1,0,0,0,0,0,1,0,1,617,2,0,619
324,234,11,1,267,518,1,7,0,9,19,1,3,0,0,1,1,1,0,2,2,0,0,0,0,0,0,0,2,0,846,9,0,855
325,235M,0,1,180,270,1,0,0,9,16,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,480,4,0,484
326,235A(W),0,0,179,299,1,0,1,12,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,504,3,0,507
327,236M,3,0,169,254,0,4,0,3,20,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,458,2,0,460
328,236A(W),3,0,154,247,1,0,0,8,8,0,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,432,2,0,434
329,237,0,0,218,272,0,1,0,12,37,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,548,3,0,551
330,238M,4,2,194,210,0,1,0,12,58,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,487,5,0,492
331,238A(W),0,3,202,264,2,0,0,7,36,1,4,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,525,3,0,528
332,239M,5,0,198,250,0,1,0,1,8,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,468,1,0,469
333,239A(W),7,1,154,277,1,3,1,2,4,0,4,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,1,462,0,0,462
334,240,4,0,262,487,3,4,0,5,3,2,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,779,1,0,780
335,241,5,1,290,248,0,0,0,8,15,0,1,0,1,3,1,4,0,0,2,0,0,0,0,0,1,0,0,0,580,6,0,586
336,242M,7,1,239,278,2,0,0,6,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,561,1,0,562
337,242A(W),2,0,212,269,3,2,0,2,9,1,7,1,3,1,1,2,1,1,0,0,0,0,0,0,0,1,0,1,519,1,0,520
338,243M,0,0,233,277,2,1,0,5,36,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,557,4,0,561
339,243A(W),2,0,218,271,1,2,0,1,18,0,4,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,522,2,0,524
340,244M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,244A(W),1,1,353,130,1,0,1,10,23,3,0,0,3,2,0,0,1,0,2,2,2,0,0,1,0,1,1,0,538,3,0,541
342,245,9,2,221,299,1,0,0,12,47,0,0,0,2,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1,601,3,0,604
343,246M,7,3,216,289,0,0,1,10,49,0,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,582,4,0,586
344,246A(W),0,1,165,346,0,0,0,8,11,0,7,1,0,0,0,2,0,2,1,0,0,0,0,0,1,2,0,2,549,2,0,551
345,247M,10,0,158,214,1,0,0,13,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,444,7,0,451
346,247A(W),5,0,146,236,1,2,0,12,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,5,0,433
347,248M,5,0,109,255,0,0,0,11,28,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,412,4,0,416
348,248A(W),2,1,118,249,0,1,0,10,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,3,0,402
349,249,8,0,206,335,0,0,0,10,35,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,602,2,0,604
350,250M,3,1,175,357,1,0,0,9,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,579,8,0,587
351,250A(W),1,2,145,383,0,0,0,6,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,549,4,0,553
352,251M,7,0,298,93,1,0,0,25,41,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,471,3,0,474
353,251A(W),2,1,296,132,2,1,0,12,26,1,5,0,0,2,2,0,1,1,0,1,0,0,0,1,0,1,1,0,488,5,0,493
354,252M,9,0,173,257,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,459,0,0,459
355,252A(W),8,0,163,283,0,0,0,4,5,0,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,472,1,0,473
356,253M,19,1,109,319,0,1,0,8,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,474,2,0,476
357,253A(W),12,1,84,310,2,5,0,6,3,0,1,1,1,3,0,1,3,1,1,1,1,0,0,0,0,1,1,0,439,1,0,440
358,254M,8,0,204,171,0,0,0,24,34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,444,7,0,451
359,254A(W),3,3,215,171,0,1,0,13,20,1,3,0,3,2,0,3,1,0,1,1,0,0,0,1,0,2,0,1,445,3,0,448
360,255,3,0,202,223,1,1,1,49,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,517,2,0,519
361,256M,4,2,141,161,0,0,0,22,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,348,3,0,351
362,256A(W),3,0,146,171,2,0,0,21,8,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,2,360,2,0,362
363,257M,3,1,183,120,0,1,0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,6,0,368
364,257A(W),2,0,195,108,1,0,0,40,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,363,3,0,366
365,258M,1,0,180,125,0,0,1,52,24,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,387,3,0,390
366,258A(W),1,0,152,105,0,0,0,56,15,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,334,3,0,337
367,259,5,2,255,285,0,1,0,42,35,1,2,0,1,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,636,3,0,639
368,260,7,1,245,297,0,0,0,17,26,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,599,3,0,602
369,261,6,0,312,124,0,0,1,23,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,1,0,484
370,262M,5,0,173,166,0,1,1,11,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,381,1,0,382
371,262A(W),1,0,166,153,0,0,1,23,11,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,361,2,0,363
372,263M,5,0,136,191,0,1,1,19,30,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,388,3,0,391
373,263A(W),2,0,150,190,1,1,0,13,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,373,3,0,376
374,264,2,1,237,208,1,1,0,33,18,0,3,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,510,5,0,515
375,265,7,0,355,294,1,0,0,23,21,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,704,2,0,706
376,266M,6,1,168,133,2,1,0,15,24,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,1,0,354
377,266A(W),4,0,157,131,0,1,0,22,10,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,331,2,0,333
378,267,13,0,155,352,1,2,0,17,39,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,582,5,0,587
379,268,35,0,329,312,0,2,0,23,35,0,3,0,0,0,0,1,0,0,1,2,2,0,0,0,1,0,1,1,748,7,0,755
380,269,19,1,265,228,0,2,0,77,25,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,625,6,0,631
381,270,8,0,262,259,0,4,1,52,31,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,0,623,2,0,625
382,271M,7,0,116,125,0,1,0,29,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,297,3,0,300
