Sl. No,Polling Station No,No PS.,L. SOIDEN DMDK,edocnavaliV S. VIJAYADHARA INC,R. JAYASEELAN BJP,ADLIN. MARY NTK,R. RAJAKUMAR MNM,edocnavaliV S. KUMAR RAJESH NDPI,VASANTHEESWARANE. UMK,CA G. WILSON SENA SIV,)( S. AMOSE IND,edocnavaliV S. SATHEESH IND,GEORGE ARASAR SAMUEL KALAI IND,etaD Y. MARIASELVAN IND,M. KUMAR MOHAN IND,gnitnuoC K.H. MURRUGAN RAJA IND,.. P. VIJAYAKUMAR IND,Valied,Total Valid Votes,Rejected Votes,NOTA,Total Votes
241,181,13,262,275,47,1,1,0,0,0,1,12,2,1,1,1,617,0,4,621,0
242,182,7,310,183,75,3,0,0,0,0,0,6,0,0,1,0,585,0,1,586,0
243,183,4,270,158,46,10,0,0,0,0,0,4,0,0,1,0,493,0,2,495,0
244,184,6,241,310,33,3,0,0,1,0,0,0,0,0,1,0,595,0,0,595,0
245,185,14,419,151,58,2,0,0,2,0,0,14,0,0,0,1,661,0,3,664,0
246,186,6,365,78,63,1,0,1,0,1,0,10,0,1,0,0,526,0,4,530,0
247,187,7,277,172,21,3,0,0,0,0,1,4,0,0,0,0,485,0,0,485,0
248,188 M,2,227,82,29,3,0,0,0,0,0,3,0,0,1,0,347,0,4,351,0
249,188 A(W),2,263,57,18,2,0,0,0,0,0,2,0,0,0,1,345,0,2,347,0
250,189 M,14,156,179,37,3,0,0,0,0,0,9,0,0,0,0,398,0,1,399,0
251,189 A(W),11,211,167,20,1,0,0,0,0,0,3,1,0,0,2,416,0,1,417,0
252,190,7,151,143,33,2,1,0,1,0,0,7,0,0,0,0,345,0,2,347,0
253,191,13,299,148,32,6,0,2,1,1,0,9,0,0,0,0,511,0,3,514,0
254,192,4,254,182,47,0,0,0,0,0,0,7,0,0,0,1,495,0,0,495,0
255,193 M,3,208,102,24,3,0,0,0,1,0,10,0,0,0,0,351,0,1,352,0
256,193 A(W),1,270,90,17,2,0,1,0,0,1,10,0,1,2,1,396,0,0,396,0
257,194,1,185,135,16,3,0,0,0,0,0,3,0,0,0,0,343,0,0,343,0
258,195,5,349,177,43,1,0,0,2,0,0,5,0,0,0,0,582,0,2,584,0
259,196 M,3,93,184,20,3,0,0,0,1,0,0,1,0,0,0,305,0,3,308,0
260,196 A(W),3,87,183,11,6,0,0,0,0,1,1,0,0,0,0,292,0,1,293,0
261,197,3,57,124,17,5,0,1,0,0,0,1,0,0,0,0,208,0,2,210,0
262,198,3,187,66,20,3,0,0,0,0,0,4,0,0,0,3,286,0,0,286,0
263,199,9,292,187,66,16,0,0,0,1,0,17,1,1,1,2,593,0,4,597,0
