Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
132,101,98,0,68,0,0,238,3,28,0,0,0,1,1,0,1,438,0,1,439,
133,101A,110,2,100,2,1,231,0,19,0,0,3,1,1,1,0,471,0,2,473,
134,102,137,1,46,1,0,173,3,14,0,0,0,0,0,1,0,376,0,2,378,
135,102A,168,1,60,0,0,170,2,6,1,0,1,0,1,1,0,411,0,1,412,
136,103,162,3,231,2,2,220,1,29,2,4,0,1,0,1,0,658,0,5,663,
137,104,129,0,157,0,3,135,1,34,0,7,0,0,1,1,5,473,0,5,478,
138,105,120,1,196,0,1,95,0,38,0,2,0,0,0,1,0,454,0,3,457,
139,105A,145,5,215,3,2,86,0,22,0,1,1,0,0,1,1,482,0,2,484,
140,106,106,1,230,1,0,38,0,44,1,1,1,0,0,0,2,425,0,2,427,
141,106A,119,2,253,1,2,49,0,22,0,1,0,0,0,0,3,452,0,0,452,
142,107,151,1,174,2,1,73,0,60,0,4,1,2,1,0,0,470,0,1,471,
143,107A,205,1,199,2,0,82,0,38,1,2,0,4,2,0,1,537,0,2,539,
144,108,252,1,254,3,1,11,0,99,1,0,0,5,2,0,1,630,0,6,636,
145,109,165,1,163,1,1,34,6,85,0,0,0,2,0,0,0,458,0,3,461,
146,109A,176,3,205,1,1,25,1,50,1,3,0,4,0,1,0,471,0,1,472,
147,110,69,0,210,0,2,17,0,21,0,0,0,0,0,0,0,319,0,1,320,
148,110A,83,0,281,1,1,20,0,10,0,0,0,1,0,0,0,397,0,0,397,
149,111,193,1,164,2,1,20,4,61,1,2,0,1,0,0,0,450,0,6,456,
150,111A,215,2,154,2,2,21,0,31,0,3,1,0,0,1,1,433,0,6,439,
151,112,162,2,368,1,2,14,11,72,0,10,0,0,0,1,0,643,0,1,644,
152,113,56,0,303,2,0,49,0,24,0,0,0,0,0,0,0,434,0,2,436,
