Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
347,262,164,3,136,1,0,10,0,30,0,6,0,0,0,1,1,352,0,2,354,
348,263,148,1,85,1,0,13,0,46,0,34,0,2,0,0,1,331,0,3,334,
349,263A,178,1,128,3,2,8,5,36,2,16,1,0,2,0,2,384,0,5,389,
350,264,81,2,304,3,0,3,0,94,0,0,0,2,1,2,0,492,0,4,496,
351,265,224,0,79,1,1,7,0,23,2,0,1,0,0,0,4,342,0,3,345,
352,265A,232,5,88,0,1,7,2,13,2,3,0,2,0,0,4,359,0,8,367,
353,266,149,2,123,1,2,32,0,51,1,2,0,1,0,0,3,367,0,3,370,
354,266A,160,3,139,3,0,47,2,37,3,2,1,2,1,1,1,402,0,1,403,
355,267,94,1,118,0,0,46,0,27,0,2,0,4,0,2,0,294,0,0,294,
356,267A,115,3,131,1,2,40,0,12,0,0,0,1,2,1,0,308,0,3,311,
357,268,354,1,235,1,2,24,1,64,0,0,0,3,0,2,1,688,0,4,692,
358,269,176,2,119,1,1,0,0,69,0,16,1,1,1,0,0,387,0,2,389,
359,269A,199,1,153,4,0,2,0,30,1,8,0,3,0,0,1,402,0,1,403,
360,270,128,0,159,0,0,12,0,57,1,0,0,3,0,0,1,361,0,4,365,
361,270A,162,2,162,0,1,9,0,20,1,1,0,2,1,0,0,361,0,1,362,
362,271,153,3,88,0,0,9,2,15,1,1,0,0,0,1,0,273,0,1,274,
363,272,322,4,165,1,0,8,2,74,0,2,1,3,1,0,1,584,0,3,587,
364,273,255,2,202,0,1,8,0,72,1,6,0,0,1,2,0,550,0,2,552,
365,274,273,3,133,0,1,15,1,48,1,5,0,0,0,1,1,482,0,5,487,
366,275,185,2,189,1,2,11,0,45,1,0,0,3,0,1,0,440,0,3,443,
367,276,126,3,257,3,2,13,1,29,0,8,1,0,1,1,0,445,0,3,448,
368,277,151,0,76,0,1,363,3,20,0,0,7,1,0,4,0,626,0,2,628,
369,278,154,1,54,0,0,271,8,6,2,1,0,1,0,5,0,503,0,0,503,
370,279,140,2,173,2,1,5,1,45,0,1,1,1,2,0,0,374,0,2,376,
371,280,179,3,92,3,0,36,2,33,1,1,0,2,1,0,0,353,0,1,354,
372,281,128,3,101,0,0,59,1,23,1,11,2,0,0,1,0,330,0,4,334,
373,282,95,2,154,1,1,16,1,66,1,0,0,0,1,1,0,339,0,4,343,
374,282A,102,1,187,0,1,21,0,59,0,1,0,2,2,1,0,377,0,0,377,
375,283,87,4,96,0,2,2,1,56,0,0,0,2,0,0,1,251,0,0,251,
376,284,311,4,129,1,3,12,0,75,2,1,0,3,0,2,4,547,0,1,548,
377,285,102,0,210,1,0,1,0,76,1,1,0,1,0,0,1,394,0,0,394,
378,285A,96,1,225,0,2,2,1,67,0,0,1,1,0,1,2,399,0,0,399,
379,286,277,2,116,1,0,10,0,36,3,0,1,2,1,2,3,454,0,9,463,
380,287,333,0,130,1,4,98,2,37,1,1,2,5,2,0,2,618,0,12,630,
381,288,224,1,114,2,2,50,0,37,0,2,2,6,0,2,1,443,0,6,449,
382,289,227,1,154,1,1,208,1,57,0,1,1,0,1,2,0,655,0,2,657,
383,290,97,1,107,1,0,54,0,80,0,4,1,1,0,0,0,346,0,1,347,
384,291,157,2,151,1,0,9,2,59,0,0,0,2,0,0,0,383,0,3,386,
385,291A,165,3,220,0,2,6,0,27,1,1,0,2,1,1,0,429,0,2,431,
386,292,104,1,187,1,1,0,0,111,1,2,0,4,0,0,0,412,0,1,413,
387,292A,122,0,225,0,2,1,1,80,1,1,0,4,0,0,0,437,0,4,441,
388,293,224,2,258,5,2,30,1,94,0,2,2,27,1,1,0,649,0,3,652,
389,294,71,0,135,1,0,210,1,50,2,1,2,1,0,3,1,478,0,3,481,
390,295,185,6,215,4,2,93,2,112,3,2,1,5,3,6,2,641,0,5,646,
391,296,81,0,57,1,1,213,1,6,0,0,1,0,0,1,0,362,0,3,365,
392,297,165,1,197,1,1,3,1,82,1,2,0,0,0,0,0,454,0,2,456,
393,298,92,2,158,0,1,2,0,82,1,2,0,0,0,0,0,340,0,3,343,
394,298A,121,1,187,1,0,7,0,47,0,0,0,1,1,0,0,366,0,1,367,
395,299,85,1,81,1,0,2,0,19,0,1,0,0,1,0,0,191,0,1,192,
