Sl. No,Polling Station No,CHANDRASEKAR DURAI. INC,P BALARAMAN. AIADMK,J ILAVENIL. BHAVANI BSP,D DESINGURAJAN. MNM,A MAHESWARI. NTK,RAJA PON. AKMK,V VIJAYAKUMAR. AMGRDMK,S PRIYADHARSHAN. ASHOK IND,C.H KUMAR. SAMBATH IND,K SUGUMAR. IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
287,235,148,134,1,50,31,1,0,0,0,0,365,0,2,367
288,236,237,146,1,21,67,4,1,0,2,0,479,0,8,487
289,237,132,190,1,19,68,6,0,0,0,0,416,0,3,419
290,237(A),149,172,1,25,42,2,1,0,1,1,394,0,1,395
291,238,198,257,4,22,106,7,1,1,0,3,599,0,4,603
292,239,169,96,1,37,75,7,0,0,0,1,386,0,5,391
293,239(A),165,114,1,31,53,5,1,1,0,1,372,0,4,376
294,240,173,129,1,33,62,6,0,0,0,1,405,0,4,409
295,240(A),167,135,2,27,47,4,1,0,0,0,383,0,4,387
296,241,148,203,0,10,48,8,0,0,0,0,417,0,7,424
297,241(A),149,209,0,14,15,3,1,1,0,1,393,0,1,394
298,242,67,310,6,6,8,8,0,2,1,0,408,0,2,410
299,243,222,272,28,7,34,15,0,0,2,4,584,0,10,594
300,244,252,236,6,13,41,8,0,0,0,1,557,0,0,557
301,245,156,280,2,23,38,11,0,1,0,1,512,0,12,524
302,245(A),157,284,2,23,21,3,1,0,0,2,493,0,7,500
303,246,153,229,3,13,63,9,0,0,0,1,471,0,5,476
304,246(A),133,230,4,10,34,5,0,0,0,1,417,0,6,423
305,247,255,156,19,2,25,5,0,0,0,1,463,0,1,464
306,247(A),246,233,12,5,13,6,0,0,0,1,516,0,1,517
307,248,187,239,2,18,39,13,0,0,0,0,498,0,6,504
308,249,118,210,1,22,41,3,0,3,0,0,398,0,5,403
309,249(A),106,238,3,7,23,0,0,0,0,0,377,0,8,385
310,250,323,363,0,11,53,14,0,0,1,0,765,0,7,772
311,251,134,261,1,2,35,8,0,3,0,1,445,0,3,448
312,252,309,360,1,14,52,2,0,1,0,1,740,0,11,751
313,253,65,653,3,4,33,9,2,2,0,4,775,0,13,788
314,254,221,426,2,2,50,19,0,0,0,0,720,0,1,721
315,255,314,425,1,8,26,9,1,0,1,2,787,0,6,793
316,256,251,274,3,27,38,7,0,1,0,2,603,0,5,608
317,257,320,284,0,5,40,33,0,1,0,1,684,0,1,685
318,258,230,185,1,7,45,13,0,0,0,0,481,0,2,483
319,258(A),222,233,1,3,11,8,0,0,0,0,478,0,0,478
320,259,252,293,0,9,27,5,1,0,0,0,587,0,2,589
321,260,279,168,2,5,42,5,0,0,0,1,502,0,4,506
322,261,129,219,1,4,24,1,0,0,0,0,378,0,2,380
323,262,202,207,0,20,79,5,0,0,0,1,514,0,5,519
324,262(A),189,244,2,21,38,0,0,2,0,2,498,0,2,500
325,263,341,191,3,6,41,5,0,0,2,2,591,0,3,594
326,264,254,285,3,4,56,1,2,0,1,0,606,0,2,608
327,265,173,182,1,5,16,0,0,0,0,1,378,0,2,380
328,266,310,451,3,13,87,6,1,0,2,7,880,0,10,890
329,267,181,152,0,3,30,3,1,0,0,1,371,0,1,372
330,268,350,335,2,7,43,12,0,0,1,3,753,0,6,759
331,269,266,358,0,6,68,4,0,0,0,1,703,0,6,709
332,270,299,257,2,22,82,6,0,3,0,0,671,0,5,676
333,271,176,186,0,11,40,5,1,1,0,0,420,0,3,423
334,272,260,387,1,27,40,1,0,0,0,0,716,0,5,721
335,273,340,319,0,32,38,3,2,1,0,2,737,0,13,750
336,274,274,309,3,6,37,11,0,0,1,1,642,0,5,647
337,275,134,260,0,4,36,3,0,0,0,1,438,0,5,443
338,275(A),101,316,0,2,9,2,0,0,1,3,434,0,4,438
339,276,260,412,5,12,61,9,0,0,1,0,760,0,3,763
340,277,239,175,2,3,48,10,0,0,0,0,477,0,6,483
341,278,245,366,1,23,47,3,0,0,0,0,685,0,2,687
342,279,431,312,0,5,39,12,0,0,0,0,799,0,5,804
343,280,388,333,7,6,79,21,1,0,0,1,836,0,6,842
344,281,252,253,2,2,49,2,0,0,0,1,561,0,1,562
345,282,365,274,9,8,62,7,0,0,0,0,725,0,6,731
346,283,363,193,5,2,48,8,0,0,0,1,620,0,6,626
347,284,186,225,0,7,35,12,0,0,0,0,465,0,3,468
348,284(A),154,265,2,3,9,5,0,0,0,4,442,0,0,442
349,285,196,242,3,10,27,2,0,2,1,3,486,0,6,492
350,286,251,367,0,13,33,8,1,1,1,1,676,0,7,683
351,287,319,490,4,4,68,22,0,0,0,5,912,0,6,918
352,288,132,209,0,14,33,11,1,1,0,0,401,0,2,403
353,289,423,300,2,6,62,54,0,1,0,1,849,0,2,851
354,290,281,332,4,23,62,12,0,2,0,1,717,0,3,720
355,291,167,250,0,33,29,3,0,0,0,0,482,0,1,483
356,292,167,165,0,12,29,2,0,0,1,1,377,0,6,383
357,292(A),196,190,1,11,18,2,1,1,0,0,420,0,3,423
358,293,319,311,3,6,82,5,1,0,0,0,727,0,0,727
359,294,133,254,4,9,29,1,0,0,2,0,432,0,0,432
360,295,302,416,8,4,47,21,0,0,1,0,799,0,3,802
361,296,197,295,2,14,66,12,0,0,0,3,589,0,4,593
362,297,186,267,1,12,41,13,0,0,0,3,523,0,3,526
363,298,77,114,0,19,15,2,0,0,0,0,227,0,3,230
364,299,230,191,4,11,86,3,0,0,0,1,526,0,1,527
365,299(A),230,253,1,5,39,4,0,1,1,2,536,0,3,539
366,300,295,212,10,10,72,17,0,1,0,1,618,0,5,623
367,301,197,170,12,1,25,19,0,0,0,0,424,0,1,425
368,302,182,74,3,9,63,0,0,0,0,0,331,0,2,333
369,303,276,213,4,24,127,4,0,0,0,1,649,0,4,653
370,304,188,93,8,14,83,2,0,1,1,0,390,0,2,392
371,305,272,171,7,25,69,0,0,0,0,1,545,0,5,550
372,306,186,183,2,4,57,3,0,0,0,0,435,0,4,439
373,306(A),167,218,5,3,24,5,0,0,1,1,424,0,2,426
374,307,349,351,54,5,53,3,1,0,0,1,817,0,2,819
375,308,429,221,42,7,71,10,1,2,0,1,784,0,9,793
376,309,205,331,4,12,54,13,3,0,0,1,623,0,17,640
377,310,321,314,11,11,74,10,0,0,0,4,745,0,4,749
