Sl. No,Polling Station No,Bahujan Samaj Party .NANHSIRKIHDAA P,N THANGARAJ. Dravida Kazhagam Murpokku Desiya,KARUPPAIYA.R Katchi Tamilar Naam,SHANMUGAM.N Nala Makkal Katchi Samaniya,DHANALAKSHMI.M India of Party Ganasangam,MOHANRAJ.S Maiam Needhi Makkal,JOSEPH.M.A Sakthi Independent Katchi Makkal Desiya,ABILAZAN.N,AMARNATH.K Independent,AMARSRI.M Independent,ANBAZHAGAN Independent,RAVI.P Independent,KANNAN.T Independent,KATHIRAVAN.P Independent,KARUNAMOORTHY.S Independent,RAJ.K KALAI Independent,Independent P.JARAMAK,KRISHNAKUMAR.S Independent,GOPALAKRISHNAN.A Independent,SAKTHIKUMAR Independent,SANTHANAKUMAR.M Independent,SATHISH.P Independent,SAMPATH.S Independent,SARAVANAN.R Independent,SAMIAPPAN.K Independent,SAMIVEL.A Independent,SHIVAKUMAR.K Independent,SIVAKUMAR.N Independent,SIVAKUMAR.V Independent,SIVASAMY.P Independent,SUDHAKAR.S Independent,SUDHAKAR.L Independent,MALAYALAM.T SUBASH Independent,SURYA Independent,SENTHILKUMAR.A Independent,SENTHILKUMAR.A.M Independent,SELVAKUMAR.M Independent,DANIYA Independent,TAMILARASAN.K Independent,THAMILALAGAN Independent,DHANABAL Independent,THIRUGNANAM.M Independent,N DEEPANANDH. Independent,J DURAISAMY. Independent,MOHAMMED THOUFFIC.A NOOR Independent,P PALANIVEL. Independent,K BALAMANIKANDAN. Independent,BANUMATHY Independent,A PRAKASH. Independent,N PRAKASH. Independent,V PRAKASH. Independent,S PRASANTH. Independent,P PUSHPARAJ. Independent,P BOOPATHI. Independent,MAHENDRAN Independent,K MANIKANDAN. Independent,S MANIVANNAN. Independent,MANOJ.P Independent,MUTHU.K.R Independent,G MUTHUKUMAR. Independent,M MURALI. Independent,T MURUGANANTHAM. Independent,A MURUGESAN. Independent,MOHAN.M.L.M Independent,MOUNAGURUBALUSAMY. K Independent,KANNAN.S RAJESH Independent,P VIGNESHWARAN. Independent,VINOTHKUMAR Independent,VIJAYABHASKAR.R.V Independent,K VIJAYAN. Independent,T VEERAKUMAR. Independent,K VENGADESH. Independent,K PRABU. VENKATESH Independent,G KUMAR. JAYA Independent,SUTHARSAN JOTHI Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
11,11,1,251,4,267,11,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,544,0
12,12,1,413,8,467,25,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,927,0,0,927,0
13,13,0,195,1,292,12,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,509,0,1,510,0
14,14,1,205,3,369,7,0,0,4,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,1,600,0
15,15,1,243,3,415,23,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,698,0,5,703,0
16,16,0,247,3,209,11,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,479,0,1,480,0
17,17,0,263,2,243,10,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,2,528,0
18,18,0,216,1,273,12,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,513,0,2,515,0
19,19,1,374,3,349,25,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,763,0,0,763,0
20,20,1,403,2,233,16,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Pag
0","e 1 of
0","18
0",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,1,665,0
21,21,1,517,6,360,22,0,0,17,0,1,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,941,0,3,944,0
22,22,0,323,0,180,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,1,519,0
23,23,0,343,3,396,13,0,0,6,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,769,0,1,770,0
24,24,1,259,1,297,16,0,0,6,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,1,586,0
