Sl. No,Polling Station No,R.THIRUMENeedhi Makkal )( MNM,S.PURACHIBALAN r )( AIADMK,S.MUNIARAJU Makkal Kazagam Amma )( AMMK,SUBBIAH ALAGU C. )( IND,M.KARTHICK )( IND,emaN srotcelE R.SUNDARAM )( IND,LARENEG eht K.SELVAKUMAR )( IND,S M.SELVAKUMAR )( IND,ALNT S.SELVAKUMAR )( IND,TRAP M.SELVAKUMAR )( IND,I mayamurihT,K.SELVAKUMAR )( IND,M.SELVAKUMAR )( IND,DURAIRAJAN M. )( IND,PALANIYAPPAN R. )( IND,S.MANIKANDAN )( IND,AL.MATHIALAGAN )( IND,@ MUTHUADAIKKAN ADAIKKALAM )( IND,r )(,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
42,36M,215,188,0,0,23,1,0,0,2,0,0,0,0,0,0,72,0,1,0,0,0,0,502,0,1,503,0
43,36A(W),194,252,5,0,7,0,1,0,0,1,0,0,0,0,4,41,1,1,0,0,0,0,507,0,1,508,0
44,37,314,308,1,0,32,7,1,0,1,2,0,0,0,0,0,13,0,1,0,0,0,0,680,0,0,680,0
45,38,367,303,3,0,23,2,0,1,1,0,0,0,0,2,1,21,2,1,0,0,0,1,728,0,2,730,0
46,39,301,320,1,1,46,1,0,2,7,0,0,0,0,1,0,39,2,1,0,1,0,0,723,0,1,724,0
47,40,196,398,3,0,29,1,0,2,1,0,0,0,0,0,0,17,3,1,1,0,0,1,653,0,1,654,0
48,41,250,408,0,0,28,0,0,0,0,0,0,0,0,1,0,85,2,2,0,0,0,1,777,0,2,779,0
49,42,228,371,1,1,28,2,0,1,0,0,1,0,0,0,0,12,2,2,0,0,1,0,650,0,1,651,0
50,43,306,264,4,0,49,3,0,4,5,0,0,0,0,0,2,6,5,2,1,1,0,0,652,0,0,652,0
51,44,437,183,6,2,55,1,0,2,117,0,1,1,1,1,2,21,2,0,2,0,1,0,835,0,1,836,0
52,45,219,394,2,1,36,2,0,0,4,0,0,0,0,0,0,33,0,2,0,0,0,0,693,0,3,696,0
53,46,202,263,2,0,38,0,0,0,1,1,1,0,0,0,1,38,2,0,0,0,0,1,550,0,3,553,0
54,47,300,334,0,1,30,3,0,0,5,1,0,0,0,0,0,114,2,1,0,0,1,0,792,0,3,795,0
55,48,204,278,0,1,41,0,0,2,10,0,0,0,0,0,3,70,0,0,0,0,0,0,609,0,1,610,0
56,49,333,146,1,0,32,2,0,0,4,0,0,0,1,0,1,23,3,2,0,0,2,0,550,0,1,551,0
57,50,268,297,4,0,28,4,1,3,4,1,0,0,0,1,2,97,3,0,0,0,0,0,713,0,1,714,0
58,51,187,208,1,0,26,2,1,1,0,0,1,1,0,1,0,272,1,0,0,0,0,1,703,0,5,708,0
59,52,212,201,2,1,41,3,1,0,0,0,0,0,0,1,1,33,0,2,0,0,0,0,498,0,2,500,0
60,53,300,335,2,2,68,2,0,4,0,0,0,0,0,0,1,0,2,3,1,0,0,0,720,0,0,720,0
61,54,233,249,0,0,44,3,1,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,543,0,1,544,0
62,55M,167,153,1,2,36,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,366,0,0,366,0
63,55A(W),204,273,2,0,18,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,2,0,505,0,1,506,0
64,56,63,139,0,1,4,1,0,4,0,1,0,0,0,0,1,177,1,0,0,1,0,0,393,0,0,393,0
65,57,290,150,0,0,27,3,0,7,0,0,1,0,0,0,0,10,0,0,0,0,0,0,488,0,4,492,0
66,58,88,89,0,0,8,0,0,1,0,0,0,0,1,0,0,154,1,1,0,0,0,0,343,0,0,343,0
67,59,190,278,0,2,51,4,0,9,0,1,0,0,1,3,3,95,0,0,1,0,0,0,638,0,4,642,0
68,60,202,335,1,0,59,1,0,2,0,0,0,0,0,1,2,13,0,0,0,0,0,0,616,0,2,618,0
69,61M,212,142,1,0,27,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,387,0,3,390,0
70,61A(W),228,189,3,0,18,4,0,1,0,0,0,0,0,0,1,8,1,2,0,1,0,0,456,0,0,456,0
71,62,269,168,1,0,33,9,0,2,1,0,0,0,0,0,1,71,0,0,0,0,0,1,556,0,1,557,0
72,63,171,204,1,1,37,2,1,3,1,1,2,0,0,0,0,11,0,2,0,1,0,0,438,0,1,439,0
73,64,210,214,2,0,48,1,0,2,5,1,0,0,0,0,4,29,2,0,0,0,0,0,518,0,4,522,0
74,65,291,342,0,2,60,7,0,8,1,1,0,0,0,1,2,11,0,0,0,1,0,0,727,0,2,729,0
75,66,221,306,1,0,50,6,0,0,3,0,1,0,0,0,0,57,2,2,1,0,0,0,650,0,0,650,0
76,67,265,277,1,0,25,0,0,2,1,0,0,0,1,0,1,42,1,2,0,1,0,0,619,0,1,620,0
77,68,211,312,2,0,33,0,0,0,1,1,0,0,0,0,1,242,1,1,0,0,0,0,805,0,2,807,0
78,69,209,238,3,0,41,0,1,1,4,0,0,0,1,0,1,174,3,0,4,0,0,0,680,0,9,689,0
79,70M,151,132,0,0,38,13,0,4,1,0,1,0,0,0,0,5,0,0,0,0,0,0,345,0,4,349,0
80,70A(W),143,160,3,0,21,5,0,2,0,0,1,0,0,0,1,8,0,0,0,0,0,0,344,0,1,345,0
81,71,307,205,2,0,48,11,0,10,0,0,0,0,0,0,1,10,0,0,0,0,0,1,595,0,1,596,0
82,72M,186,117,1,0,43,18,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,1,374,0,5,379,0
83,72A(W),179,171,2,0,27,12,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,398,0,2,400,0
84,73M,178,135,1,0,33,7,1,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,382,0,0,382,0
85,73A(W),203,194,1,0,14,2,0,0,1,0,0,0,0,0,2,20,1,1,1,1,1,0,442,0,3,445,0
86,74,359,295,2,1,35,9,1,4,0,0,1,0,0,1,0,13,3,0,0,0,0,0,724,0,1,725,0
87,75,246,185,1,0,38,12,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,489,0,0,489,0
88,76,244,242,1,0,47,12,1,2,0,0,0,0,1,0,0,4,0,1,0,0,0,0,555,0,3,558,0
89,77,304,291,3,0,54,15,1,1,1,1,0,0,1,0,0,8,0,2,0,0,0,0,682,0,2,684,0
90,78M,208,153,1,0,43,16,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,429,0,3,432,0
91,78A(W),208,213,1,0,39,12,0,1,1,1,0,0,0,0,0,3,0,3,0,1,0,0,483,0,1,484,0
92,79M,213,169,1,0,36,11,0,7,1,0,0,0,0,0,0,4,1,0,0,0,0,0,443,0,3,446,0
93,79A(W),194,209,2,0,22,15,0,4,1,0,0,1,0,2,1,6,0,1,1,0,0,1,460,0,2,462,0
94,80,304,166,2,0,48,4,1,2,1,1,0,0,0,0,1,4,0,0,1,0,0,0,535,0,0,535,0
95,81,347,193,2,0,28,11,0,13,0,0,1,0,0,1,0,1,2,0,0,0,0,0,599,0,3,602,0
96,82M,208,135,1,0,49,5,0,4,1,0,0,0,0,0,0,45,2,0,0,1,0,0,451,0,4,455,0
