Sl. No,Polling Station No,P KRISHNAGOPAL Dravida Kazhagam Murpokku Desiya,K UMARANI Katchi Jananayaka Indiya,KANIMOZHI.P Katchi Tamilar Naam,SAKTHIVEL.M (Marxist‐Leninist)(Liberation) India of Party Communist,VARADAN.M Party Shakti Jan Lok,V ARPUTHASAMY Independent,S ILANGOVAN Independent,C ELAYARAJA Independent,P KRISHNA KARTHICK Independent,A PRIYA SATHYA Independent,V CHANDRASEKAR Independent,T CHITHAIYAN Independent,P CHINNAN Independent,P SUBRAMANIAN Independent,P DAVID Independent,M KUMAR NIRMAL Independent,P KUMAR PRASANNA Independent,P RASU Independent,D JEYAPANDIAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
42,36,487,17,140,3,119,9,0,0,3,3,0,0,0,4,2,3,4,2,1,1,1,0,799,0,3,802,0
43,37,306,13,353,9,100,2,0,1,1,1,3,0,1,6,0,5,2,0,1,0,0,0,804,0,3,807,0
44,38,230,14,218,2,36,0,0,0,2,1,1,0,0,3,1,1,1,0,2,0,0,0,512,0,5,517,0
45,39,232,12,164,2,67,0,0,0,2,0,0,0,0,2,0,1,2,1,0,0,0,0,485,0,3,488,0
46,39(A),258,6,209,1,35,0,0,0,2,0,0,0,1,4,0,0,0,0,0,1,0,0,517,0,4,521,0
47,40,276,16,211,2,68,1,0,1,2,0,16,2,1,8,4,1,2,0,1,0,0,0,612,0,1,613,0
48,41,139,14,182,3,41,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,386,0,1,387,0
49,42,327,6,208,3,99,0,0,0,1,0,0,0,0,3,1,6,2,1,6,2,1,0,666,0,4,670,0
50,43,219,9,103,4,61,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,398,0,1,399,0
51,43(A),209,4,146,3,16,2,0,0,2,1,1,0,2,2,1,3,4,0,1,0,1,0,398,0,3,401,0
52,44,233,13,103,0,120,1,0,1,0,0,1,1,1,2,0,0,4,1,1,0,3,0,485,0,0,485,0
53,44(A),229,8,118,3,78,0,0,0,2,3,1,0,0,1,2,2,3,2,1,1,1,0,455,0,0,455,0
54,45,260,19,174,4,71,0,3,0,0,1,0,0,3,7,3,3,6,0,2,0,2,0,558,0,4,562,0
55,46,186,36,154,0,62,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,441,0,1,442,0
56,46(A),225,17,152,1,19,1,1,0,0,1,1,0,2,2,1,0,0,0,5,0,0,0,428,0,2,430,0
57,47,391,13,227,5,181,2,0,0,0,0,0,0,3,7,1,0,1,2,0,0,1,0,834,0,4,838,0
58,48,365,17,176,2,157,1,1,0,2,2,0,0,2,4,1,2,3,0,1,0,1,1,738,0,4,742,0
59,49,191,21,180,2,81,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,477,0,1,478,0
60,49(A),214,8,237,2,50,1,0,0,1,1,2,0,0,2,0,1,1,0,1,0,0,0,521,0,1,522,0
61,50,314,23,210,1,68,0,0,0,1,0,1,0,0,3,0,4,3,0,1,0,0,0,629,0,4,633,0
62,51,178,60,200,2,62,1,0,0,1,0,1,1,1,3,1,2,2,0,1,1,0,0,517,0,5,522,0
63,52,204,11,129,0,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,407,0,1,408,0
64,52(A),187,4,176,3,33,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,2,1,412,0,1,413,0
65,53,198,6,103,1,75,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,389,0,0,389,0
66,54,275,5,167,0,45,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0,0,0,501,0,2,503,0
67,55,244,8,90,0,54,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,398,0,1,399,0
68,55(A),273,3,95,1,41,1,0,0,1,1,0,0,0,1,1,4,0,0,1,1,1,0,425,0,2,427,0
69,56,223,14,92,2,59,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,395,0,3,398,0
70,56(A),254,12,123,1,49,2,1,0,1,0,0,1,0,4,0,1,6,1,0,0,0,1,457,0,2,459,0
71,57,290,45,269,6,42,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,657,0,5,662,0
72,58,331,42,194,1,59,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,634,0,6,640,0
73,59,300,27,183,1,44,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,561,0,2,563,0
74,60,252,25,226,4,54,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,567,0,3,570,0
75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,61(A),213,15,199,2,14,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,0,0,451,0,0,451,0
77,62,205,21,215,3,83,0,1,0,0,0,0,0,0,3,0,3,1,0,0,0,0,1,536,0,0,536,0
78,63,221,39,195,2,56,2,0,0,0,0,0,2,0,3,2,3,1,1,0,0,0,0,527,0,2,529,0
79,64,204,16,141,1,49,0,0,0,1,0,2,0,0,0,0,0,3,0,2,0,0,0,419,0,4,423,0
80,64(A),210,5,197,5,22,2,1,0,2,0,3,1,0,2,0,0,2,0,4,1,2,1,460,0,2,462,0
81,65,351,10,26,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,401,0,0,401,0
82,66,383,2,28,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,422,0,0,422,0
83,67,230,13,85,2,20,1,0,0,0,0,41,1,0,1,0,1,0,0,0,0,0,0,395,0,1,396,0
84,67(A),269,2,74,3,10,1,2,0,3,0,27,0,0,7,0,6,5,1,2,1,0,0,413,0,0,413,0
85,68,439,4,36,0,21,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,507,0,0,507,0
86,69,189,36,151,1,58,3,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,444,0,2,446,0
87,69(A),211,14,179,2,22,5,0,0,0,1,1,0,0,2,3,3,0,1,1,0,0,1,446,0,3,449,0
88,70,286,16,228,2,74,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,613,0,5,618,0
89,71,225,30,122,0,71,0,1,0,0,0,0,0,0,3,0,3,1,1,0,0,0,0,457,0,2,459,0
90,71(A),213,9,197,2,24,1,0,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,453,0,2,455,0
91,72,284,36,396,4,66,1,4,0,1,0,0,0,1,6,0,0,0,0,1,2,0,0,802,0,1,803,0
92,73,127,60,134,1,65,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,393,0,0,393,0
93,73(A),158,38,142,1,38,0,0,0,1,0,1,0,0,3,3,1,1,0,1,0,2,1,391,0,0,391,0
94,74,199,27,179,1,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,454,0,1,455,0
