Sl. No,Polling Station No,V.M.S. MUBARAK. MOHAMED,LARENEG RAJA,S emaN VEERASUBRAMANIYAN,srotcelE,OT eht K SADAGOPAN.,ALNT,TRAP M RAJ. INFANT LEO,I SAMUVEL JOHN,D JESUPATHAM.,IATTOKMAYALAP,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
292,199,555,8,4,2,74,0,0,2,0,0,645,0,2,647,
293,200,178,113,74,9,14,1,1,0,1,0,391,0,7,398,
294,200A,254,112,63,7,8,1,0,2,3,0,450,0,6,456,
295,201,167,56,46,13,23,12,0,0,1,2,320,0,4,324,
296,201A,168,77,38,11,22,13,0,0,1,1,331,0,3,334,
297,202,178,112,79,11,7,0,0,0,1,4,392,0,1,393,
298,202A,202,82,59,5,1,0,1,2,0,1,353,0,4,357,
299,203,204,226,69,20,13,4,4,2,1,5,548,0,8,556,
300,204,244,32,9,0,63,0,0,1,0,0,349,0,0,349,
301,204A,299,32,3,2,70,0,0,2,0,0,408,0,1,409,1
302,205,269,43,11,6,69,1,0,0,0,0,399,0,3,402,
303,205A,357,35,10,3,70,0,0,1,0,0,476,0,1,477,
304,206,552,12,8,3,95,0,0,0,0,0,670,0,3,673,
305,207,398,13,7,1,90,0,2,2,0,0,513,0,4,517,
306,208,428,19,8,3,81,0,0,1,0,0,540,0,3,543,
307,209,517,13,12,6,103,0,1,0,0,0,652,0,2,654,
308,210,280,5,6,0,40,1,1,0,0,0,333,0,0,333,
309,210A,349,8,2,2,50,0,0,3,0,1,415,0,3,418,
310,211,219,185,38,21,69,1,1,1,0,0,535,0,5,540,
311,212,222,254,49,20,43,2,4,3,1,1,599,0,10,609,
312,213,223,73,67,10,10,0,0,2,0,0,385,0,0,385,
313,213A,339,86,76,11,23,1,1,2,3,3,545,0,8,553,
314,214,159,67,29,6,111,1,0,0,0,0,373,0,1,374,
315,215,496,20,13,3,65,0,0,1,0,0,598,0,3,601,
316,216,132,206,82,13,153,2,0,0,2,2,592,0,5,597,
317,217,412,7,15,0,40,0,1,0,0,0,475,0,1,476,
318,218,254,24,8,3,74,0,1,0,0,0,364,0,1,365,
319,218A,352,15,2,1,57,0,0,0,0,0,427,0,2,429,
320,219,229,3,4,2,35,0,0,0,0,1,274,0,0,274,
321,220,230,21,14,2,57,0,0,0,0,0,324,0,0,324,
322,221,157,93,21,8,45,0,1,0,0,0,325,0,2,327,
323,221A,180,83,16,7,41,0,0,0,0,1,328,0,1,329,1
324,222,219,103,24,11,29,0,0,1,0,0,387,0,3,390,
325,223,272,7,8,1,101,0,0,1,0,1,391,0,2,393,
326,223A,378,6,4,1,99,0,0,2,0,0,490,0,0,490,
327,224,113,4,0,0,30,1,0,0,0,0,148,0,0,148,
328,225,326,4,8,0,65,0,0,0,1,0,404,0,0,404,
329,226,405,3,6,0,47,1,0,0,1,0,463,0,1,464,
330,227,385,22,6,1,64,0,0,2,0,0,480,0,0,480,
331,228,74,1,4,1,11,0,0,1,0,0,92,0,1,93,
332,229,247,4,4,1,66,0,1,0,0,0,323,0,1,324,
333,229A,364,5,4,2,89,1,1,1,0,0,467,0,2,469,
334,230,491,20,14,3,101,0,0,2,0,0,631,0,4,635,
335,231,521,14,6,0,117,0,0,0,0,0,658,0,1,659,
336,232,252,18,7,0,76,0,1,0,0,0,354,0,0,354,
337,232A,351,6,1,1,66,0,0,0,0,0,425,0,4,429,
338,233,277,10,7,3,61,0,0,0,0,0,358,0,0,358,
339,233A,342,3,2,5,50,0,0,1,0,0,403,0,2,405,
340,234,421,17,11,6,63,0,0,0,1,0,519,0,3,522,
341,235,241,80,48,9,18,0,0,0,0,1,397,0,4,401,
342,235A,305,69,19,9,16,0,0,2,2,1,423,0,6,429,
343,236,303,17,28,4,60,1,0,0,1,0,414,0,0,414,
344,236A,371,21,5,2,50,1,0,0,0,0,450,0,2,452,
345,237,281,16,26,6,49,0,0,0,1,0,379,0,3,382,
346,237A,348,21,11,0,60,0,1,0,0,0,441,0,4,445,
347,238,409,100,35,21,48,4,0,2,3,2,624,0,4,628,
348,239,295,2,10,1,58,0,0,0,0,0,366,0,2,368,
