Polling Station No.,Building,Polling Areas
16,"GOVERNMENT HIGH SCHOOL (LEFT SIDE) ( MAIN HALL ) , MILIDHANE - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 MILIDHANE , 2.NEDUGULA(R.V) And (P), WARD NO. 4 LILLIHATTY , 999.OVERSEAS ELECTORS"
17,"GOVERNMENT HIGH SCHOOL, (SOUTH SIDE) MILIDHANE - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 3 ERISIBETTA , 2.NEDUGULA(R.V) And (P), WARD NO. 3 INDIRA NAGAR , 999.OVERSEAS ELECTORS"
18,"PANCHAYAT UNION PRIMARY SCHOOL , ( RIGHT SIDE) KADAIKKAMBATTY- 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 PALLIHADA , 2.NEDUGULA(R.V) And (P), WARD NO.4 KADAIKAMBATTY , 999.OVERSEAS ELECTORS"
19,"PANCHAYAT UNION PRIMARY SCHOOL , ( LEFT SIDE) KAPPATTY - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 KAPPATTY , 999.OVERSEAS ELECTORS"
20,"PANCHAYAT UNION PRIMARY SCHOOL, ( NEW BUILDING) KADAIKKAMBATTY - 643217","1.NEDUGULA(R.V) And (P), WARD NO. 4 KUNNIHATTY , 2.NEDUGULA(R.V) And (P), WARD NO. 4 JACKALODAI , 3.NEDUGULA(R.V) And (P), WARD NO. 4 SAMILTHITTU , 999.OVERSEAS ELECTORS"
21,"PANCHAYAT UNION PRIMARY SCHOOL ( LEFT SIDE), (NEWBUILDING) KADAIKKAMBATTY-643217","1.NEDUGULA(R.V) And (P), WARD NO. 5 V.O.C NAGAR , 2.NEDUGULA(R.V) And (P), WARD NO. 5 KUTTIMANI NAGAR , 3.NEDUGULA(R.V) And (P), WARD NO. 5 NERIKUDA , 4.NEDUGULA(R.V) And (P), WARD NO. 5 M. KAIKATTY , 5.NEDUGULA(R.V) And (P), WARD NO. 5 NARAGIRI , 6.NEDUGULA(R.V) And (P), WARD NO. 5 PATTAMOKKAI , 999.OVERSEAS ELECTORS"
22,"PANCHAYAT UNION PRIMARY SCHOOL, SHOLURMATTAM - 643216","1.DENAD(R.V) And (P), WARD NO. 1 KADASOLAI , 2.DENAD(R.V) And (P), WARD NO. 1 CHEDIKAL , 3.DENAD(R.V) And (P), WARD NO. 1 AADUMANTHAI , 4.DENAD(R.V) And (P), WARD NO. 1 KARAKODUMATTAM , 5.DENAD(R.V) And (P), WARD NO. 1 BYNARI , 6.DENAD(R.V) And (P), WARD NO. 1 GURUKUNTHA , 7.DENAD(R.V) And (P), WARD NO. 1 KONAKATTY , 8.DENAD(R.V) And (P), WARD NO. 1 EERAPANAI , 9.DENAD(R.V) And (P), WARD NO. 1 NIMSHIPURAM , 10.DENAD(R.V) And (P), WARD NO. 1 BOMMAN , 999.OVERSEAS ELECTORS"
23,"PANCHAYAT UNION MIDDLE SCHOOL, (RIGHT SIDE) SHOLURMATTAM - 643216","1.DENAD(R.V) And (P), WARD NO. 3 SAGAYAPURAM , 2.DENAD(R.V) And (P), WARD NO. 3 PUDUCOLONY , 3.DENAD(R.V) And (P), WARD NO. 3 HOSAKKERI , 4.DENAD(R.V) And (P), WARD NO. 3 AMBETHKAR NAGAR , 999.OVERSEAS ELECTORS"
24,"PANCHAYAT UNION MIDDLE SCHOOL, (LEFT SIDE) SHOLURMATTAM - 643216","1.DENAD(R.V) And (P), WARD NO. 3 SHOLUR MATTAM , 2.DENAD(R.V) And (P), WARD NO.3 KATTABETTU , 3.DENAD(R.V) And (P), WARD NO.3 BOMMAN , 999.OVERSEAS ELECTORS"
25,"ESTATE CHILD CRECHE, (LEFT SIDE) NERGUNDY - 643216","1.DENAD(R.V) And (P), WARD NO. 2 NEERKANDY , 2.DENAD(R.V) And (P), WARD NO. 2 ATHIYOORMATTAM , 999.OVERSEAS ELECTORS"
26,"GOVERNMENT HIGHER SEC SCHOOL ( NEW BUILDING), ( SOUTH SIDE) KILKOTAGIRI - 643216","1.DENAD(R.V) And (P), WARD NO.1 KURUKUNTHA , 2.DENAD(R.V.) AND (P), WARD NO 4 DENADKILHATTY , 3.DENAD(R.V) And (P), WARD NO. 4 DENADNADUHATTY , 4.DENAD(R.V) And (P), WARD NO. 4 DENADMELATTY , 5.DENAD(R.V) And (P), WARD NO. 4 DENADUCOOPU , 999.OVERSEAS ELECTORS"
27,"GOVERNMENT HIGHER SEC SCHOOL( RIGHT SIDE), KILKOTAGIRI - 643216","1.DENAD(R.V) And (P), WARD NO. 5 ANNANAGAR , 2.DENAD(R.V) And (P), WARD NO. 5 KIL KOTAGIRI , 3.DENAD(R.V) And (P), WARD NO. 5 KOKKAL , 4.DENAD(R.V) And (P), WARD NO. 5 AMMAN NAGAR , 999.OVERSEAS ELECTORS"
28,"GOVERNMENT HIGHER SEC SCHOOL( LEFT SIDE), KILKOTAGIRI - 643216","1.DENAD(R.V) And (P), WARD NO. 5 HONNATTY , 2.DENAD(R.V) And (P), WARD NO. 5 KILMELPORT , 3.DENAD(R.V) And (P), WARD NO. 5 QUINSOLAIHATTY , 4.DENAD(R.V) And (P), WARD NO. 5 FOREST HILL , 999.OVERSEAS ELECTORS"
29,"GOVERNMENT HIGH SCHOOL , (NEW BUILDING) SULLIGUDU - 643217","1.DENAD(R.V) And (P), WARD NO 5 KAGGULA , 2.DENAD(R.V) And (P), WARD NO. 5 OMNAGAR , 3.DENAD(R.V) And (P), WARD NO. 5 KATHAGATTY , 4.DENAD(R.V) And (P), WARD NO. 5 BATTAGORAI , 999.OVERSEAS ELECTORS"
30,"GOVERNMENT HIGH SCHOOL , SULLIGUDU - 643217","1.DENAD(R.V) And (P), WARD NO. 5 TANTEA , 2.DENAD(R.V) And (P), WARD NO. 5 QUINSHOLAI GANAPATHIPURAM COLONY , 3.DENAD(R.V) And (P), WARD NO. 5 CURZON VALLEY , 4.DENAD(R.V) And (P), WARD NO. 5 KAGGULA , 5.DENAD(R.V) And (P), WARD NO. 5 OM NAGAR , 6.DENAD(R.V) And (P), WARD NO. 5 KATHAGATTY , 7.DENAD(R.V) And (P), WARD NO. 5 BATTAKORAI , 999.OVERSEAS ELECTORS"
31,"GOVERNMENT BOARDING SCHOOL ( NEW BUILDING) , GARIKAIYUR - 643216","1.ARAKODU(R.V) And (P), WARD NO. 1 KARAPPANAI, MALLIKOPPAIYUR , 2.ARAKODU(R.V) And (P), WARD NO. 1 GARIKAIYUR, NADUR , 3.ARAKODU(R.V) And (P), WARD NO. 1 BARGOOR,KUMUGAM,KANDISET , 4.ARAKODU(R.V) And (P), WARD NO. 2 BUNGALOW, PADIGAI,PONGAMUKKAI,MUDIYOOR , 5.KOKODE(R.V), ARAKODU (P), WARD NO. 2 VAKKANAMARAM,CHAKKAPADIGAI , 6.KOKODE(R.V), ARAKODU (P), WARD NO. 2 PAVIKKARAI, SAMAKODAL , 7.KOKODE(R.V), ARAKODU (P), WARD NO. 2 KOKKODU, KUMARAMUDI , 999.OVERSEAS ELECTORS"
32,"GOVERNMENT BOARDING SCHOOL ( NEW BUILDING) (RIGHT SIDE), GARIKAIYUR - 643216","1.NANDHIPURAM(R.V), ARAKODU (P), WARD NO. 3 SELARAI, PATTICOMBAI , 2.KADINAMALA(R.V) And (P), WARD NO. 1 KULLANGARAI,KANDIPATTI,BETTOLA , 3.KADINAMALA(R.V) And (P), WARD NO. 1 ATHIKUDU, ARASAKADAVU, KOLIYATTY , 4.KADINAMALA(R.V) And (P), WARD NO. 1 NERAMOKKAI, THUMBIBETTU , 5.KADINAMALA(R.V) And (P), WARD NO.2 ANTHIYARAI, KOTHIMUKKU,NANDHI PATTI , 6.KADINAMALA(R.V) And (P), WARD NO. 2 KOPPAIYUR, GOLIKUTTAI , 999.OVERSEAS ELECTORS"
33,"GOVERNMENT HIGHER SEC SCHOOL ( CENTRAL SIDE), KILKOTAGIRI - 643216","1.KENGARAI(R.V) And (P), WARD NO. 1 KIL KOTAGIRI BAZAAR , 2.KENGARAI(R.V) And (P), WARD NO 1 SIVA NANDHAPURAM , 3.KENGARAI(R.V) And (P), WARD NO. 1 BIKKATTY , 4.KENGARAI(R.V) And (P), WARD NO. 1 HOSAHATTY , 5.KENGARAI(R.V) And (P), WARD NO. 1 HITTAKKAL HADA , 6.KENGARAI(R.V) And (P), WARD NO. 1 KILMEL FORT ESTATE , 7.KENGARAI(R.V) And (P), WARD NO. 1 ITTAKKAL MELATTY , 8.KENGARAI(R.V) And (P), WARD NO. 1 HITTAKKAL KILATTY , 9.KENGARAI(R.V) And (P), WARD NO. 1 MUTHAMIZH NAGAR , 999.OVERSEAS ELECTORS"
34,"PANCHAYAT UNION PRIMARY SCHOOL, ( NORTH SIDE) AVOOR - 643216","1.KENGARAI(R.V) And (P), WARD NO. 1 HOSATTY , 2.KENGARAI(R.V) And (P), WARD NO. 1 BIKKATTY , 3.KENGARAI(R.V) And (P), WARD NO. 2 PADUMUDI , 4.KENGARAI(R.V) And (P), WARD NO. 2 DODDAMANAIYATTY , 5.KENGARAI(R.V) And (P), WARD NO. 2 PAKKADA , 6.KENGARAI(R.V) And (P), WARD NO. 2 IMBIMARAHATTY , 7.KENGARAI(R.V) And (P), WARD NO. 2 MELUR , 8.KENGARAI(R.V) And (P), WARD NO. 2 AVOOR , 999.OVERSEAS ELECTORS"
35,"PANCHAYAT UNION PRIMARY SCHOOL ( NEW BUILDING), (NORTH SIDE) AVOOR - 643216","1.KENGARAI(R.V) And (P), WARD NO. 2 PAKKADA , 2.KENGARAI(R.V) And (P), WARD NO. 2 AVOOR , 3.KENGARAI(R.V) And (P), WARD NO. 2 MELUR , 4.KENGARAI(R.V) And (P), WARD NO. 2 AMBAL COLONY , 5.KENGARAI(R.V) And (P), WARD NO. 2 ATTIYADI , 6.KENGARAI(R.V) And (P), WARD NO. 2 MUTHIRBIKKAI , 7.KENGARAI(R.V) And (P), WARD NO 2 THUNERI , 8.KENGARAI(R.V) And (P), WARD NO.2 ODAYARATTY , 9.KENGARAI(R.V) And (P), WARD NO.2 BELLADA , 10.KENGARAI(R.V) And (P), WARD NO. 2 AGANADU , 999.OVERSEAS ELECTORS"
36,"GOVERNMENT HIGH SCHOOL, SHOLURMATTAM - 643216","1.KENGARAI(R.V) And (P), WARD NO. 3 GOGULAM NAGAR , 2.KENGARAI(R.V) And (P), WARD NO.3 THUMBIMALAI , 3.KENGARAI(R.V) And (P), WARD NO. 3 BANAKKAMBAI , 4.KENGARAI(R.V) And (P), WARD NO. 3 NEERGUNDI , 5.KENGARAI(R.V) And (P), WARD NO. 3 KAMBAIYOOR , 6.KENGARAI(R.V) And (P), WARD NO 3 BAVIYOOR , 7.KENGARAI(R.V) And (P), WARD NO. 3 METTUKAL , 8.KENGARAI(R.V) And (P), WARD NO. 3 KODAGUR , 9.KENGARAI(R.V) And (P), WARD NO. 3 KANATTY , 999.OVERSEAS ELECTORS"
37,"CSI PRIMARY SCHOOL, KOTTADA - 643236","1.KENGARAI(R.V) And (P), WARD NO.3 KOTTADA ESTATE , 2.KENGARAI(R.V) And (P), WARD NO 3 FAIRVIEW ESTATE , 3.KENGARAI(R.V) And (P), WARD NO. 3 NATTAKKAL , 4.KENGARAI(R.V) And (P), WARD NO. 3 KILIPPI , 5.KENGARAI(R.V) And (P), WARD NO. 3 VAGAPANAI , 999.OVERSEAS ELECTORS"
38,"PANCHAYAT UNION PRIMARY SCHOOL, ( LEFT SIDE) KENGARAI 643236","1.KENGARAI(R.V) And (P), WARD NO. 4 KUVADI ESTATE , 2.KENGARAI(R.V) And (P), WARD NO.4 SOORIYADA MATTAM , 3.KENGARAI(R.V) And (P), WARD NO. 4 KENGARAI MANTHATTY , 4.KENGARAI(R.V) And (P), WARD NO. 4 KENGARAI , 5.KENGARAI(R.V) And (P), WARD NO. 4 GUNDADA , 6.KENGARAI(R.V) And (P), WARD NO. 4 KARAPATHAI , 7.KENGARAI(R.V) And (P), WARD NO. 4 KILHATTY , 8.KENGARAI(R.V) And (P), WARD NO. 4 VANAKAMBAI KILIPPI , 999.OVERSEAS ELECTORS"
39,"PANCHAYAT UNION PRIMARY SCHOOL ( NEW BUILDING), BETALADA - 643217","1.KONAVAKORAI(R.V) And (P), WARD NO. 2 APPACHI LINE NEERADA , 2.KONAVAKORAI(R.V) And (P), WARD NO. 4 BETLADDA , 3.KONAVAKORAI(R.V) And (P), WARD NO. 5 THAPPACOMBAI , 4.KONAVAKORAI(R.V) And (P), WARD NO. 6 IMBADA MATTAM , 999.OVERSEAS ELECTORS"
40,"PANCHAYAT UNION PRIMARY SCHOOL ( OLD BUILDING), KONAVAKKARAI - 643217","1.KONAVAKORAI(R.V) And (P), WARD NO. 7 PATHIMATTAM , 2.KONAVAKORAI(R.V) And (P), WARD NO. 7 KONAVAKORAI KILATTY , 3.KONAVAKORAI(R.V) And (P), WARD NO. 8 KONAVAKORAI NADUHATTY , 4.KONAVAKORAI(R.V) And (P), WARD NO.9 KONAVAKORAI NADUHATTY , 999.OVERSEAS ELECTORS"
41,"CSI PRIMARY SCHOOL BLOCK NO 3, ( RIGHT SIDE) BURNSIDE - 643217","1.KONAVAKORAI(R.V) And (P), WARD NO. 10 ATHIYADA , 2.KONAVAKORAI(R.V) And (P), WARD NO. 10 COFFEE STORE , 3.KONAVAKORAI(R.V) And (P), WARD NO. 10 MURUNGAI , 4.KONAVAKORAI(R.V) And (P), WARD NO. 10 ANNA NAGAR , 5.KONAVAKORAI(R.V) And (P), WARD NO. 11 DEEPDALE , 6.KONAVAKORAI(R.V) And (P), WARD NO. 11 KURA KARAI , 7.KONAVAKORAI(R.V) And (P), WARD NO. 11 MURUNGAI , 999.OVERSEAS ELECTORS"
42,"GOVERNMENT AIDED PRIMARY SCHOOL, HAVUKKAL - 643217","1.KONAVAKORAI(R.V) And (P), WARD NO. 12 MARIS NAGAR , 2.KONAVAKORAI(R.V) And (P), WARD NO. 13 HAVUKKAL , 3.KONAVAKORAI(R.V) And (P), WARD NO. 14 WARWICK , 999.OVERSEAS ELECTORS"
43,"GOVERNMENT AIDED PRIMARY SCHOOL, ( LEFT SIDE) HAVUKKAL - 643217","1.KONAVAKORAI(R.V) And (P), WARD NO. 15 PARAVAKADU , 2.KONAVAKORAI(R.V) And (P), WARD NO. 15 KENGARAI TANTEA , 999.OVERSEAS ELECTORS"
44,"PANCHAYAT UNION MIDDLE SCHOOL(6TH CLASS ), ( NEW BUILDING) HORASOLAI - 643217","1.KOTAGIRI(TP), WARD NO.1 ORASHOLAI , 2.KOTAGIRI(TP), WARD NO.1 ANNODAI , 3.KOTAGIRI(TP), WARD NO.1 KAMARAJ NAGAR , 999.OVERSEAS ELECTORS"
45,"PANCHAYAT UNION PRIMARY SCHOOL, KIL ANAIHATTY - 643217","1.KOTAGIRI(TP), WARD NO.2 MEL ANAIHATTY , 2.KOTAGIRI(TP), WARD NO.2 CORSELY , 3.KOTAGIRI(TP), WARD NO.3 KIL ANAIHATTY , 999.OVERSEAS ELECTORS"
46,"PANCHAYAT UNION PRIMARY SCHOOL, THANTHANADU- 643217","1.KOTAGIRI(TP), WARD NO. 2 THANTHANADU , 999.OVERSEAS ELECTORS"
47,"PANCHAYAT UNION PRIMARY SCHOOL, KIL ANAIHATTY ( DHIMBATTY) - 643217","1.KOTAGIRI(TP), WARD NO.2 FREIRY THOLORAI , 2.KOTAGIRI(TP), WARD NO.3 DHIMBATTY KADAKODU , 999.OVERSEAS ELECTORS"
48,"GOVERNMENT HIGH SCHOOL ,KANNERIMUKKU - 643217","1.KOTAGIRI(TP), WARD NO.4 KETCHIGATTY , 2.KOTAGIRI(TP), WARD NO.4 ALIYOOR ARAIHATTY , 3.KOTAGIRI(TP), WARD NO.5 WINDICAP , 4.NADUHATTY(R.V) And (P), WARD NO . 5 THAVACOMBAI , 5.NADUHATTY(R.V) And (P), WARD NO. 5 PANDIAN NAGAR , 6.NADUHATTY(R.V) And (P), WARD NO. 5 PANDIAN NAGAR , 7.NADUHATTY(R.V) And (P), WARD NO. 5 UYILATTY , 999.OVERSEAS ELECTORS"
49,"GOVERNMENT HIGH SCHOOL , (RIGHT SIDE) KANNERIMUKKU - 643217","1.KOTAGIRI(TP), WARD NO.5 KANNERIMUKKU , 999.OVERSEAS ELECTORS"
50,ST ANTONY'S MIDDLE SCHOOL( LEFT SIDE 3RD HALL) KOTAGIRI - 643217,"1.KOTAGIRI(TP), WARD NO.6 BENTHATTY , 999.OVERSEAS ELECTORS"
