Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
232,159,207,0,379,0,0,23,43,14,0,0,0,0,0,0,0,0,0,0,0,0,666,4,0,670
233,160,284,1,328,1,1,24,51,2,0,0,0,0,0,1,0,1,0,0,0,1,695,7,0,702
234,161,140,1,211,0,0,10,32,2,0,0,0,0,0,0,0,1,0,0,0,0,397,3,0,400
235,162,202,1,261,0,0,25,40,6,0,0,0,0,0,0,0,1,0,0,0,0,536,4,0,540
236,163,192,1,250,2,0,14,41,0,0,0,0,0,0,1,0,0,2,0,0,0,503,6,0,509
237,164M,214,0,170,0,0,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,408,5,0,413
238,164A(W),214,0,143,0,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,375,1,0,376
239,165,177,1,380,0,3,17,40,0,0,0,0,2,0,0,0,0,0,0,1,0,621,2,0,623
240,166,202,1,423,3,0,9,40,0,0,0,0,1,0,0,0,0,0,0,0,0,679,4,0,683
241,167,238,0,423,1,0,9,46,2,0,0,0,0,0,1,0,2,3,0,0,1,726,7,0,733
242,168,218,1,393,1,4,16,35,4,0,0,0,0,0,0,0,0,0,0,0,0,672,2,0,674
243,169,109,1,311,0,0,10,17,1,0,0,0,0,0,0,0,0,1,0,2,1,453,2,0,455
244,170M,88,0,310,0,0,13,32,2,0,0,0,1,0,0,0,0,0,0,0,0,446,0,0,446
245,170A(W),89,1,288,1,0,3,31,3,0,0,0,0,0,0,0,0,1,0,0,0,417,1,0,418
246,171M,446,0,34,1,0,15,7,2,0,0,0,0,0,0,1,0,1,0,0,1,508,1,0,509
247,171A(W),444,0,28,0,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,484,2,0,486
248,172M,216,0,231,0,0,17,33,4,1,0,0,1,0,0,0,0,0,0,0,0,503,6,0,509
249,172A(W),222,1,216,0,0,12,24,4,0,0,0,0,0,0,1,0,1,0,0,0,481,3,0,484
250,173M,326,1,85,0,0,27,18,3,0,0,0,1,0,0,0,0,0,0,0,0,461,1,0,462
251,173A(W),359,1,83,1,0,4,8,2,0,0,0,0,0,0,0,1,0,0,0,0,459,0,0,459
252,174M,211,1,169,0,0,20,17,2,0,0,0,0,0,0,1,0,0,0,0,0,421,1,0,422
253,174A(W),199,2,157,0,0,12,11,1,0,0,0,0,0,0,0,1,0,0,0,0,383,1,0,384
254,175M,317,0,54,0,0,12,7,1,0,0,0,1,0,0,0,0,0,0,2,0,394,1,0,395
255,175A(W),320,0,56,0,0,9,2,1,0,0,0,1,0,0,0,1,2,0,0,0,392,3,0,395
256,176M,362,0,89,0,1,14,9,1,1,0,0,0,0,0,0,0,0,0,0,0,477,2,0,479
257,176A(W),320,0,56,1,1,6,9,1,0,0,0,0,0,0,0,0,1,0,0,1,396,1,0,397
258,177,426,2,208,0,1,24,39,2,0,0,0,0,0,0,0,2,1,0,0,0,705,9,0,714
259,178,180,2,324,1,1,15,65,1,0,0,0,0,0,0,0,0,0,0,0,0,589,4,0,593
260,179,387,1,268,2,0,39,35,5,0,0,0,0,1,1,0,0,1,0,0,1,741,7,0,748
261,180M,261,0,141,1,1,9,18,3,0,0,0,0,0,0,0,0,0,0,0,0,434,5,0,439
262,180A(W),234,0,129,0,0,8,25,1,0,0,0,1,0,0,0,0,0,0,0,0,398,1,0,399
263,181M,241,0,166,0,0,20,22,2,0,0,0,0,0,0,0,0,1,0,0,1,453,8,0,461
264,181A(W),229,0,178,0,0,13,23,0,0,0,0,0,0,1,0,0,0,1,0,0,445,2,0,447
265,182M,403,0,50,0,0,10,11,8,0,0,0,0,0,0,0,0,0,0,0,0,482,4,0,486
266,182A(W),396,2,54,0,1,4,10,5,0,0,0,0,2,1,0,0,0,0,0,0,475,3,0,478
267,183,409,1,288,0,0,20,40,3,0,1,0,0,0,0,0,2,0,0,0,0,764,4,0,768
268,184,256,1,300,2,0,31,53,1,0,0,0,0,0,0,0,1,0,0,0,1,646,5,0,651
269,185M,169,0,178,2,1,16,25,3,0,0,0,0,0,0,0,0,0,0,0,0,394,2,0,396
270,185A(W),179,1,207,3,0,8,29,3,0,0,0,0,0,2,0,0,0,0,0,0,432,0,0,432
271,186,185,2,296,0,0,25,56,4,0,0,0,0,0,0,0,1,0,0,0,0,569,12,0,581
272,187M,294,0,92,0,0,19,11,3,0,0,0,0,0,0,0,0,0,0,0,0,419,2,0,421
273,187A(W),266,1,100,0,0,6,9,0,0,0,0,0,0,0,0,0,1,0,0,0,383,3,0,386
274,188M,285,1,73,0,1,11,23,4,0,0,0,0,0,0,0,0,1,0,0,0,399,1,0,400
275,188A(W),311,1,75,0,0,7,19,3,0,0,0,1,0,0,0,0,2,0,0,1,420,2,0,422
276,189M,176,0,171,2,0,17,34,0,0,0,0,1,1,0,0,0,1,0,0,0,403,2,0,405
277,189A(W),137,0,160,1,0,8,29,0,0,0,0,0,2,0,0,0,1,0,1,0,339,4,0,343
278,190M,331,0,127,2,0,16,24,1,0,0,0,0,0,0,0,0,1,0,0,0,502,4,0,506
279,190A(W),335,1,130,1,0,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,490,2,0,492
280,191,312,1,252,1,1,20,28,4,0,0,0,0,0,0,1,3,0,0,0,0,623,9,0,632
281,192M,397,0,43,0,0,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,462,1,0,463
282,192A(W),366,0,29,0,1,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,410
283,193M,302,0,79,0,0,19,10,7,0,0,1,0,0,0,0,0,0,0,0,0,418,1,0,419
284,193A(W),322,0,107,0,0,17,13,4,0,0,0,0,0,0,0,1,0,0,0,0,464,5,0,469
285,194M,148,0,172,0,0,9,22,6,0,0,0,0,0,0,0,0,0,0,0,0,357,5,0,362
286,194A(W),159,5,154,0,1,8,18,4,0,0,0,0,0,0,0,1,0,0,0,1,351,3,0,354
287,195,173,2,199,0,0,10,15,0,0,0,0,0,0,1,0,0,1,0,0,0,401,2,0,403
288,196M,112,0,208,1,0,22,35,0,0,0,0,0,0,0,0,1,0,0,0,0,379,9,0,388
289,196A(W),98,1,229,0,1,10,32,0,0,0,0,1,0,0,0,2,1,0,1,0,376,5,0,381
290,197M,129,0,276,0,0,21,39,5,0,0,0,0,0,0,0,0,1,0,0,0,471,6,0,477
291,197A(W),113,1,305,0,1,14,37,5,0,0,1,0,1,0,0,0,0,0,0,0,478,9,0,487
292,198,213,1,448,1,0,29,75,2,0,3,0,1,0,1,0,1,0,0,1,0,776,9,0,785
293,199M,149,1,274,0,1,20,60,0,0,0,0,1,1,0,0,0,0,0,0,0,507,9,0,516
294,199A(W),157,3,268,1,2,10,51,1,1,0,0,1,0,2,0,0,0,0,1,0,498,2,0,500
295,200M,251,0,120,2,0,23,18,1,0,0,1,0,0,0,1,0,0,0,0,0,417,5,0,422
296,200A(W),255,1,142,0,1,15,17,1,0,0,0,0,0,0,1,1,0,0,0,1,435,2,0,437
297,201,293,0,342,1,0,24,49,4,0,0,0,1,0,0,0,0,1,0,0,0,715,4,0,719
298,202,161,2,158,0,0,14,25,3,0,0,0,0,0,0,0,0,0,0,1,0,364,3,0,367
299,203M,145,0,232,0,0,14,34,1,0,0,0,1,0,0,0,0,0,0,0,0,427,5,0,432
300,203A(W),138,0,253,0,0,12,29,1,0,0,0,0,0,1,0,0,0,1,1,0,436,8,0,444
301,204,169,2,334,0,1,19,50,4,1,0,0,0,1,0,0,0,1,0,0,0,582,9,0,591
302,205,296,1,368,0,0,35,54,1,0,0,0,0,0,3,0,0,0,0,0,0,758,7,0,765
303,206,176,3,218,0,0,9,22,4,0,0,0,0,0,0,0,0,1,0,0,0,433,0,0,433
304,207M,180,0,178,0,0,17,33,2,0,0,0,0,0,1,0,0,0,0,0,0,411,5,0,416
305,207A(W),174,0,198,0,0,4,37,2,0,0,0,0,0,0,0,0,0,0,0,0,415,1,0,416
306,208M,153,0,219,2,0,25,38,1,0,0,0,0,0,3,0,0,1,0,1,0,443,4,0,447
307,208A(W),162,1,231,0,0,13,37,3,0,0,0,0,1,2,0,0,0,0,0,0,450,3,0,453
308,209,283,3,282,0,0,19,54,1,0,0,0,0,0,0,0,1,2,0,0,0,645,8,0,653
309,210,348,1,313,0,0,23,58,1,0,0,0,0,0,0,0,0,0,0,0,0,744,8,0,752
310,211,309,0,327,0,0,26,28,3,0,0,0,0,0,0,0,1,1,0,1,0,696,5,0,701
311,212M,168,0,219,1,0,28,27,4,0,0,0,0,1,0,0,1,0,0,2,0,451,1,0,452
312,212A(W),173,0,256,4,0,13,18,1,0,0,0,0,0,0,0,3,4,0,1,0,473,2,0,475
313,213,239,1,258,0,0,29,45,2,0,0,0,0,0,0,0,0,0,0,0,0,574,6,0,580
314,214,225,1,286,2,0,16,16,4,1,0,1,0,0,0,0,0,0,1,1,0,554,1,0,555
315,215,201,2,312,2,0,24,11,2,0,0,0,0,1,0,0,0,0,0,1,0,556,1,0,557
316,216,298,3,383,0,0,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,783,4,0,787
317,217,288,1,326,2,1,31,24,6,0,0,0,0,0,0,0,1,1,0,2,0,683,6,0,689
318,218,286,0,240,0,0,21,38,3,0,0,0,0,0,0,0,0,0,0,0,0,588,8,0,596
319,219,296,1,336,1,0,29,22,3,0,0,0,0,1,2,0,0,5,0,1,0,697,7,0,704
320,220M,212,1,207,1,0,34,34,4,0,1,0,0,0,1,0,0,0,0,0,0,495,7,0,502
321,220A(W),196,1,234,0,0,13,29,4,0,0,1,0,0,2,0,0,1,0,0,0,481,4,0,485
322,221M,222,0,216,0,0,22,47,5,0,0,0,0,0,2,0,2,0,1,1,0,518,7,0,525
323,221A(W),210,1,248,0,0,9,37,3,1,0,1,0,0,3,0,0,1,0,0,0,514,3,0,517
324,222,342,2,269,1,0,18,42,1,0,0,0,0,1,1,0,2,0,0,0,0,679,5,0,684
325,223,337,2,266,1,2,23,40,5,0,0,0,0,0,0,0,1,0,0,1,0,678,5,0,683
326,224M,157,1,177,0,1,27,32,1,0,0,0,0,0,0,0,0,0,0,0,0,396,6,0,402
327,224A(W),167,0,168,0,3,15,29,2,0,0,0,0,0,1,0,0,0,1,0,1,387,3,0,390
328,225,285,1,312,4,0,17,16,4,0,0,0,0,1,0,1,3,3,0,1,0,648,0,0,648
329,226,420,0,366,3,0,24,18,2,0,0,0,1,0,0,0,1,0,0,1,0,836,2,0,838
330,227,380,1,177,1,4,32,40,2,0,0,0,0,0,0,1,1,1,0,0,0,640,5,0,645
331,228,318,2,333,0,0,35,41,7,0,0,0,1,0,0,0,2,1,0,0,0,740,11,0,751
332,229M,219,0,137,0,0,30,28,3,0,0,0,0,0,1,0,0,0,0,0,0,418,2,0,420
333,229A(W),243,1,175,0,0,18,27,2,0,0,0,1,0,1,0,1,0,0,0,0,469,4,0,473
334,230,480,2,215,0,1,35,26,17,0,0,0,0,0,0,1,3,7,1,1,1,790,8,0,798
335,231M,233,1,111,2,0,15,14,0,0,0,0,0,0,0,1,0,0,0,1,0,378,5,0,383
336,231A(W),267,0,141,1,0,9,9,4,0,0,0,0,1,0,0,1,0,0,0,0,433,1,0,434
337,232M,275,1,200,1,0,47,12,5,0,0,0,0,0,0,0,0,0,0,0,0,541,3,0,544
338,232A(W),285,2,246,1,0,21,12,2,1,0,0,0,0,0,0,2,1,1,0,1,575,1,0,576
339,233M,203,1,221,1,0,28,30,3,1,0,0,0,0,0,1,0,0,0,0,0,489,7,0,496
340,233A(W),205,0,268,1,0,22,23,2,0,0,1,0,0,0,0,1,0,0,1,0,524,5,0,529
341,234,283,2,346,0,0,36,22,1,0,0,0,0,0,0,0,0,1,0,0,0,691,3,0,694
342,235,314,3,250,1,0,29,32,0,0,0,0,0,0,1,1,0,1,0,1,0,633,7,0,640
343,236,264,1,401,2,0,28,49,14,1,0,0,0,0,1,0,0,1,0,1,0,763,5,0,768
344,237M,195,1,172,2,0,23,34,2,0,0,0,0,0,0,0,0,0,0,0,1,430,3,0,433
345,237A(W),184,1,189,1,0,13,21,1,1,0,0,1,0,0,0,1,0,0,0,0,413,2,0,415
346,238M,182,1,188,0,0,27,20,3,0,0,0,0,1,0,0,0,0,0,0,0,422,8,0,430
347,238A(W),197,1,216,2,0,15,19,1,0,0,1,0,0,1,0,1,2,0,3,0,459,1,0,460
348,239,154,1,212,1,0,19,16,1,1,0,0,0,0,3,0,1,2,0,2,0,413,5,0,418
349,240,229,1,260,0,0,20,38,4,0,0,0,0,0,1,0,1,0,0,1,0,555,8,0,563
350,241,323,1,364,0,0,29,49,3,0,0,0,0,0,1,0,2,1,0,1,0,774,6,0,780
351,242M,188,1,231,0,0,22,22,4,0,0,0,0,0,0,0,0,1,0,0,0,469,10,0,479
352,242A(W),177,0,252,1,0,8,42,1,0,0,0,0,0,1,0,1,0,0,0,0,483,6,0,489
353,243M,235,1,217,2,0,26,35,1,0,0,0,0,0,1,0,0,1,0,0,1,520,4,0,524
354,243A(W),201,1,257,0,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,518,1,0,519
355,244M,234,3,186,0,0,40,9,0,0,0,4,0,0,0,0,0,0,0,0,0,476,4,0,480
356,244A(W),211,2,258,1,0,12,6,0,0,0,6,0,0,0,0,0,1,0,3,0,500,2,0,502
357,245M,280,1,189,0,1,31,3,0,0,0,10,0,0,0,0,2,0,0,0,0,517,2,0,519
358,245A(W),252,3,266,2,0,15,2,1,0,0,6,0,0,4,0,3,0,0,1,0,555,2,0,557
359,246,113,0,127,0,0,19,11,0,0,1,0,0,0,0,0,1,1,0,0,0,273,2,0,275
360,247M,238,0,178,0,0,32,17,2,0,1,0,0,0,0,0,0,0,1,1,0,470,8,0,478
361,247A(W),240,2,196,3,0,21,24,0,1,1,0,0,1,1,0,3,6,1,3,1,504,2,0,506
362,248,259,0,349,1,0,34,25,4,0,0,1,0,2,0,0,0,0,1,2,2,680,3,0,683
363,249M,214,1,227,0,0,30,15,2,1,0,0,0,0,0,0,0,0,0,0,0,490,6,0,496
364,249A(W),194,0,287,0,0,5,15,3,0,1,0,0,0,0,0,0,0,0,0,0,505,1,0,506
365,250M,210,0,226,2,0,26,24,1,0,0,0,0,0,0,0,0,0,1,0,0,490,5,0,495
366,250A(W),197,1,254,0,0,16,17,0,1,0,0,0,0,2,0,0,0,0,2,0,490,5,0,495
367,251M,198,2,199,1,0,27,29,4,0,0,0,0,0,0,0,1,0,0,0,1,462,6,0,468
368,251A(W),180,0,239,1,0,13,25,1,0,0,0,0,0,0,0,0,1,0,0,0,460,6,0,466
369,252M,185,0,198,1,1,23,49,2,0,0,0,0,0,0,1,0,0,0,0,0,460,10,0,470
370,252A(W),166,1,216,1,0,13,33,2,0,0,0,1,0,0,1,0,0,0,1,0,435,4,0,439
371,253,187,1,393,0,0,25,23,2,1,1,0,0,0,2,0,2,0,0,1,0,638,3,0,641
372,254,243,1,408,4,0,41,16,1,0,0,0,1,3,3,0,1,1,0,2,0,725,7,0,732
373,255M,270,1,250,0,0,26,14,7,0,0,0,0,0,0,0,0,0,0,1,0,569,5,0,574
374,255A(W),236,1,326,1,0,15,13,0,0,0,0,0,1,0,1,1,0,0,0,0,595,2,0,597
375,256M,184,3,197,0,0,31,22,4,0,0,0,0,1,0,0,0,0,0,0,0,442,4,0,446
376,256A(W),188,1,210,1,0,13,23,2,0,0,0,0,0,0,0,1,0,0,0,0,439,2,0,441
377,257M,237,1,208,1,0,39,13,1,0,0,0,0,0,0,0,0,3,0,0,0,503,0,0,503
378,257A(W),242,2,252,2,1,12,14,0,0,0,1,0,0,0,0,2,3,1,1,0,533,2,0,535
379,258M,222,0,146,0,0,23,46,2,0,0,0,1,0,0,0,0,0,0,0,0,440,8,0,448
380,258A(W),204,0,185,1,0,17,34,0,0,0,0,0,0,1,0,0,0,0,1,0,443,4,0,447
381,259M,183,1,230,2,0,18,13,0,0,0,0,0,0,0,0,1,0,0,0,0,448,2,0,450
382,259A(W),163,2,264,2,0,9,7,0,0,0,0,1,0,1,1,0,0,0,1,0,451,1,0,452
383,260M,295,0,191,0,0,36,26,0,0,0,0,0,0,1,0,0,0,0,0,0,549,7,0,556
384,260A(W),275,1,219,0,0,10,18,0,0,0,0,0,0,1,0,0,2,0,0,0,526,3,0,529
385,261M,193,1,226,0,0,26,7,1,1,0,0,1,0,0,0,1,0,0,0,0,457,5,0,462
386,261A(W),154,2,287,2,0,13,9,1,0,0,1,1,0,2,0,1,0,0,0,1,474,3,0,477
387,262,337,1,378,3,0,35,16,3,0,0,0,0,0,0,0,1,0,0,1,0,775,4,0,779
388,263M,188,1,221,0,1,36,18,0,0,0,0,0,0,1,1,1,0,0,0,0,468,2,0,470
389,263A(W),158,0,263,4,0,16,16,1,0,0,0,0,0,0,1,0,2,0,0,0,461,5,0,466
390,264M,210,0,221,1,0,24,10,1,0,0,0,0,0,0,0,0,0,0,0,1,468,5,0,473
391,264A(W),140,1,250,2,1,8,4,2,1,0,0,0,1,0,1,6,0,0,1,0,418,3,0,421
392,265,260,0,340,3,0,30,25,2,0,0,0,0,0,1,0,1,1,0,1,0,664,6,0,670
393,266,318,1,329,2,1,29,41,2,0,0,0,1,0,2,0,3,6,0,2,1,738,7,0,745
394,267M,185,0,222,0,0,26,17,1,0,0,1,0,0,0,1,0,1,0,3,0,457,9,0,466
395,267A(W),155,1,293,0,0,12,19,1,0,0,0,0,0,0,0,2,0,0,3,0,486,2,0,488
396,268M,189,2,251,0,0,32,15,3,0,0,0,0,0,1,0,0,0,0,0,0,493,5,0,498
397,268A(W),164,0,291,1,0,16,11,2,0,0,0,1,0,0,0,0,2,0,0,0,488,1,0,489
