Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
57,37A(W),295,2,243,3,0,4,2,0,0,0,0,0,0,2,0,1,3,0,1,0,556,1,0,557
58,38M,255,0,211,1,0,18,8,3,0,0,0,0,0,1,0,2,0,0,0,0,499,3,0,502
59,38A(W),207,3,253,1,3,13,11,1,0,0,0,1,0,3,1,2,4,0,4,0,507,2,0,509
60,39M,164,0,178,1,1,26,24,3,0,0,0,0,0,0,0,0,0,0,0,0,397,4,0,401
61,39A(W),162,1,193,1,1,17,28,1,0,0,0,0,0,0,0,1,0,0,0,0,405,3,0,408
62,40M,232,0,142,1,0,33,25,1,0,0,0,1,0,0,0,0,1,0,0,0,436,3,0,439
63,40A(W),238,1,168,0,0,21,17,0,0,0,0,0,0,1,1,1,0,1,0,0,449,6,0,455
64,41M,235,0,197,0,1,24,9,2,0,0,0,0,1,0,0,0,0,0,0,0,469,2,0,471
65,41A(W),222,1,235,1,0,15,11,1,0,0,2,0,0,1,0,3,1,0,1,0,494,2,0,496
66,42,409,2,284,1,0,28,21,1,0,0,0,0,0,1,0,1,0,0,0,0,748,5,0,753
67,43,452,2,206,3,0,49,28,1,0,0,0,0,0,2,0,1,0,0,0,0,744,2,0,746
68,44M,365,0,222,3,0,28,7,0,0,0,0,1,0,0,0,0,1,0,0,0,627,3,0,630
69,44A(W),329,5,248,0,0,13,3,2,0,0,0,0,0,3,0,2,2,0,1,0,608,0,0,608
70,45M,257,1,201,0,0,37,15,1,0,0,0,0,0,0,0,0,0,0,0,0,512,8,0,520
71,45A(W),252,3,238,0,0,9,11,1,0,0,0,1,0,0,1,2,0,0,0,0,518,2,0,520
72,46M,303,1,271,1,0,31,14,1,0,1,0,0,0,1,1,2,0,0,0,0,627,6,0,633
73,46A(W),244,2,300,1,0,8,21,2,0,0,0,0,1,0,0,0,1,0,0,0,580,3,0,583
