Polling Station No.,Building,Polling Areas
15,"GOVERNMENT ATHIVASI BOARDING SCHOOL ( MAIN BUILDING)RIGHT WING, ( LEFT SIDE), KALLICHAL - 643239","1.CHERANGODE(R.V) And (P), WARD NO 5 KAVAYAL , 2.CHERANGODE(R.V) And (P), WARD NO 5 PUNJAKKOLLI , 999.OVERSEAS ELECTORS"
16,"GOVERNMENT ATHIVASI BOARDING SCHOOL ( NEW BUILDING), ( RIGHT SIDE) KALLICHAL - 643239","1.CHERANGODE(R.V) And (P), WARD NO 6 POODHAMOOLA , 2.CHERANGODE(R.V) And (P), WARD NO 6 KARAKKOLLI , 3.CHERANGODE(R.V) And (P), WARD NO 5 KAVAYAL , 4.CHERANGODE(R.V) And (P), WARD NO 5 POONJAKOLLI , 5.CHERANGODE(R.V) And (P), WARD NO 5 KARAKKOLLI SOUTH , 999.OVERSEAS ELECTORS"
17,"GOVERNMENT ATHIVASI BOARDING SCHOOL ( OLD BUILDING), (LEFT SIDE) KALLICHAL - 643239","1.CHERANGODE(R.V) And (P), WARD NO 6 KALLICHAL , 2.CHERANGODE(R.V) And (P), WARD NO 6 MAANUR , 999.OVERSEAS ELECTORS"
18,"GOVERNMENT ATHIVASI BOARDING SCHOOL, ( LEFT SIDE) KALLICHAL - 643239","1.CHERANGODE(R.V) And (P), WARD NO 7 KOLAPPALLI TANTEA , 999.OVERSEAS ELECTORS"
19,"GOVERNMENT PRIMARY SCHOOL (LEFT WING), KAVAYAL - 643239","1.CHERANGODE(R.V) And (P), WARD NO 6 ATHICHAAL , 2.CHERANGODE(R.V) And (P), WARD NO 6 PADRIMOOLA , 3.CHERANGODE(R.V) And (P), WARD NO 7 KOLAPPALLI TANTEA , 4.CHERANGODE(R.V) And (P), WARD NO 6 CHULLIPURA , 5.CHERANGODE(R.V) And (P), WARD NO 6 KUNTAADA , 999.OVERSEAS ELECTORS"
20,"GOVERNMENT PRIMARY SCHOOL RIGHT WING), KAVAYAL -643239","1.CHERANGODE(R.V) And (P), WARD NO 6 PADACHERY , 2.CHERANGODE(R.V) And (P), WARD NO 6 MALAIPUTTU , 3.CHERANGODE(R.V) And (P), WARD NO 6 CHALI VAYAL , 4.CHERANGODE(R.V) And (P), WARD NO 6 SEENATH , 5.CHERANGODE(R.V) And (P), WARD NO 6 C POONDI , 6.CHERANGODE(R.V) And (P), WARD NO 6 SANNAKKOLLI , 7.CHERANGODE(R.V) And (P), WARD NO 6 AMBETHKAR COLONY , 999.OVERSEAS ELECTORS"
21,"G T R SCHOOL ( NEW BUILDING), AYYANKOLLI - 643239","1.CHERANGODE(R.V) And (P), WARD NO 7 AIYANKOLLI , 2.CHERANGODE(R.V) And (P), WARD NO 7 AIYANKOLLI , 3.CHERANGODE(R.V) And (P), WARD NO 7 SANNAKOLLI , 4.CHERANGODE(R.V) And (P), WARD NO 6 AIYANKOLLI , 5.CHERANGODE(R.V) And (P), WARD NO 6 CHERIYERI , 999.OVERSEAS ELECTORS"
22,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. BUILDING, KOLAPPALLI- 643253","1.CHERANGODE(R.V) And (P), WARD NO 9 MYNES , 2.CHERANGODE(R.V) And (P), WARD NO 9 KOLLAPALLI , 3.CHERANGODE(R.V) And (P), WARD NO 9 FACTORY MATTAM , 4.CHERANGODE(R.V) And (P), WARD NO 9 PADASALAI STREET , 5.CHERANGODE(R.V) And (P), WARD NO 9 MURAANI HATTY , 999.OVERSEAS ELECTORS"
23,"GOVERNMENT HIGHER SEC SCHOOL ( RIGHT SIDE ), KOLAPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD N0 12 PADASALAI STREET , 2.CHERANGODE(R.V) And (P), WARD NO 9 AMMANKAVU , 3.CHERANGODE(R.V) And (P), WARD NO 9 FACTORY MATTAM , 4.CHERANGODE(R.V) And (P), WARD NO 9 MANGHAMOOLA , 5.CHERANGODE(R.V) And (P), WARD NO 9 KOLAPALLI , 6.CHERANGODE(R.V) And (P), WARD NO 9 KALPARA , 7.CHERANGODE(R.V) And (P), WARD NO 9 MURUKKAM PAADI , 8.CHERANGODE(R.V) And (P), WARD NO 9 KARAKAMPADY , 9.CHERANGODE(R.V) And (P), WARD NO 9 MINES , 10.CHERANGODE(R.V) And (P), WARD NO 9 KARUTHADU , 11.CHERANGODE(R.V) And (P), WARD NO 9 THANIKOLLI , 12.CHERANGODE(R.V) And (P), WARD NO 9 KARIKUTRI , 13.CHERANGODE(R.V) And (P), WARD NO 9 SULLIMOOLA , 14.CHERANGODE(R.V) And (P), WARD NO 9 ARANGAKULAM , 15.CHERANGODE(R.V) And (P), WARD NO 9 PALAMVAYAL , 16.CHERANGODE(R.V) And (P), WARD NO 9 ODAKAM VAYAL , 999.OVERSEAS ELECTORS"
24,"GOVERNMENT HIGHER SEC SCHOOL ( LEFT WING), KOLAPPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 8 KURINJI NAGAR , 2.CHERANGODE(R.V) And (P), WARD NO 8 MURANI HATTY , 3.CHERANGODE(R.V) And (P), WARD NO 8 YEDHATHAL , 4.CHERANGODE(R.V) And (P), WARD NO 8 HOSATTY , 5.CHERANGODE(R.V) And (P), WARD NO 8 FACTORY MATTAM , 6.CHERANGODE(R.V) And (P), WARD NO 8 MANGHAMOOLA , 999.OVERSEAS ELECTORS"
25,"GOVERNMENT HIGHER SEC SCHOOL ADDL BUILDUING, KOLAPPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 8 PADASALAI STREET , 2.CHERANGODE(R.V) And (P), WARD 8 MINES , 3.CHERANGODE(R.V) And (P), WARD NO 10 OLIMADAVU , 4.CHERANGODE(R.V) And (P), WARD NO 10 AMMANKAVU , 5.CHERANGODE(R.V) And (P), WARD NO 10 NELLIYALAM THEYILAI KOTTAM , 999.OVERSEAS ELECTORS"
26,"PANCHAYAT UNION PRIMARY SCHOOL ( LEFT SIDE), MAZHAVANCHERAMBADI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 11 MAZAVAN CHERAMBADI , 2.CHERANGODE(R.V) And (P), WARD NO 11 THATTAM PARAI , 3.CHERANGODE(R.V) And (P), WARD NO 11 KOTTAPADI , 4.CHERANGODE(R.V) And (P), WARD NO 11 YADHATHAL , 5.CHERANGODE(R.V) And (P), WARD NO 11 KARUTHADU , 6.CHERANGODE(R.V) And (P), WARD NO 11 MURUKAMPADI , 7.CHERANGODE(R.V) And (P), WARD NO 14 CHERAMBADI THEYILAI KOTTAM , 999.OVERSEAS ELECTORS"
27,"PANCHAYAT UNION PRIMARY SCHOOL, KOLAPPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 10 NELLIYALAM THEYILAI KOTTAM(OLIMADAVU,AMMANKAVU,NO.1&2 DIVISION) , 999.OVERSEAS ELECTORS"
28,"PANCHAYAT UNION PRIMARY SCHOOL,ADDL. BUILDING(LEFT SIDE), KOLAPPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 10 NELLIYALAM THEYILAI KOTTAM(NO.3&4 DIVISION) , 999.OVERSEAS ELECTORS"
29,"PANCHAYAT UNION PRIMARY SCHOOL,ADDITIONAL BUILDING, KOLAPPALLI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 10 OLIMADAVU , 2.CHERANGODE(R.V) And (P), WARD NO 10 AMMANKAVU , 3.CHERANGODE(R.V) And (P), WARD NO 10 PHANDAPILAVU , 999.OVERSEAS ELECTORS"
30,"PANCHAYAT UNION PRIMARY SCHOOL( RIGHT WING), MAZHAVANCHERAMBADI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 12 MAZAVAN CHARAMBADI , 2.CHERANGODE(R.V) And (P), WARD NO 11 KURINJI NAGAR , 999.OVERSEAS ELECTORS"
31,"PANCHAYAT UNION PRIMARY SCHOOL ADDL BUILDING( LEFT SIDE), MAZHAVANCHERAMBADI - 643253","1.CHERANGODE(R.V) And (P), WARD NO 12 CHERANGODU THEYALI KOTTAM , 999.OVERSEAS ELECTORS"
32,"PANCHAYAT UNION MIDDLE SCHOOL, ADDL BUILDING( RIGHT SIDE), CHERANGODU BAZAAR - 643220","1.CHERANGODE(R.V) And (P), WARD NO 12 PADACHERY , 2.CHERANGODE(R.V) And (P), WARD NO 12 FACTORY MATTAM , 3.CHERANGODE(R.V) And (P), WARD NO 14 CHERAMBADI THEYILAI KOTTAM , 999.OVERSEAS ELECTORS"
33,"PANCHAYAT UNION MIDDLE SCHOOL ADDITIONAL BUILDING, (LEFT SIDE) CHERANGODU BAZAAR-643220","1.CHERANGODE(R.V) And (P), WARD NO 12 CHERANGODU THEYILAI KOTTM , 999.OVERSEAS ELECTORS"
