Polling Station No.,Building,Polling Areas
17,"PANCHAYAT UNION MIDDLE SCHOOL,KONDAPALAYAM ,SINGLE CLASS ROOM BUILDING","1.Dharmapatti,Kondapalayam union, Dharmapatti (RV) W-3 kondapalayam , 2.Dharmapatti,Kondapalayam union, Dharmapatti (RV) W-2 idaiyapatti , 3.Dharmapatti,Kondapalayam union, Dharmapatti (RV) Tharmapatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"PANCHAYAT UNION MIDDLE SCHOOL, DHARMAPATTI","1.Dharmapatti,Kondapalayam union, Dharmapatti (RV) W-1 dharmapatti east street , 2.Dharmapatti,Kondapalayam union, Dharmapatti (RV) W-1 dharmapatti west street , 3.Dharmapatti,Kondapalayam union, Dharmapatti (RV) W-1 dharmapatti north street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"PANCHAYAT UNION PRIMARY SCHOOL,CHETTIKURUCHI ,BLOCK NO-1","1.Settikuruchi union, (RV) W-1 settikuruchi , 2.Settikuruchi union, (RV) W-2 ulahooranipatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"PANCHAYAT UNION PRIMARY SCHOOL,CHETTIKURUCHI ,EASTERN BLOCK SOUTHERN WING BLOCK NO-1","1.Settikuruchi union, (RV) W-3 uththampatti , 2.Settikuruchi union ( RV) W-4 pallarsettikkurichi , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"PANCHAYAT UNION PRIMARY SCHOOL, PULUTHIPATTI ,NORTH WING","1.Pulithippatti (P), Settikuruchi (RV) Ward-1 puluthippatti Northstreet , 2.Pulithippatti (P), Settikuruchi (RV) Ward-1 Puluthippatti Southstreet , 3.Pulithippatti (P), Settikuruchi (RV) Ward-1 Puluthippatti Eaststreet , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, WEST PORTION SOUTH SIDE. (EAST FACING) PULUTHIPATTI.","1.Puzhuthipatti (p), Settikuruchi (RV) W-2 puzhuthipatti vadakalam , 2.Puzhuthipatti (p), Settikuruchi (RV) W-2 sathirampatti , 3.Puzhuthipatti (p), Settikuruchi (RV) W-2 meenatchipuram , 4.Puzhuthipatti (p) Settikuruchi (RV) W-2 manappatti , 5.Puzhuthipatti (p) Piranpatti (RV) W-2 varnapatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"GOVT HIGH SCHOOL, V.PUDUR ,MAIN BUILDING EAST SIDE WING","1.S.pudur (p) (RV) S.pudur , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"GOVT HIGH SCHOOL, V.PUDUR ,MAIN BUILDING WESTERN BLOCK","1.Kilavayal (p) (RV) Maniyakaranpatti , 2.Kilavayal (p) (RV) Ponnadapatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"GOVT . HIGH SCHOOL, V.PUDUR ,SOUTH BUILDING","1.S. pudur (p) (RV) W-2 semmam patti , 2.S. pudur (p) (RV) W-2 poosari patti , 3.S. pudur (p) (RV) W-2 sullaam patti , 4.S. puthur union (RV) W-1 s. puthur , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"PANCHAYAT UNION MIDDLE SCHOOL, NEW BUILDING, SOUTH PORTION. (NORTH FACING) KILAVAYAL.","1.Kilavayal (p) (RV) W-1 periyakizhavayal , 2.Kilavayal (p) (RV) W-2 chinnakizhavayal , 3.Kilavayal (p) (RV) W-2 nallavampatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
