Polling Station No.,Building,Polling Areas
15,"Nadar Hindu High School,New Building North Portion,Keelapavoor.","1.Keelapavoor (T.P) Chellaiah Nadar St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
16,"Nadar Hindu High School,New Building Middle Portion,Keelapavoor.","1.Keelapavoor (T.P) Santhai Thoppu East Street. , 2.Keelapavoor (T.P) Santhai Thoppu St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
17,"T.D.T.A. St. Pauls Middle School,West Building,Adaikalapattanam.","1.Keelapavoor (T.P) Salaiputhur North St. , 2.Keelapavoor (T.P) Salaiputhur East St. , 3.Keelapavoor (T.P) Salaiputhur Middle Street. , 4.Keelapavoor (T.P) Salaiputhur South Street. , 5.Keelapavoor (T.P) SalaiputhurTirunelveli Road. , 6.Keelapavoor (T.P) Salaiputhur Harijan Colony. , 7.Keelapavoor (T.P) Adaikalapattanam Tirunelveli Road. , 8.Keelapavoor (T.P) Adaikalapattanam South Street. , 9.Keelapavoor (T.P) Adaikalapattanam South Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"T.D.T.A. St. Pauls Middle School,East Building,Adaikalapattanam.","1.Keelapavoor (T.P) Adaikalapattanam Vethakovil St. , 2.Keelapavoor (T.P) Adaikalapattanam Middle St. , 3.Keelapavoor (T.P) Adaikalapattanam North Street , 4.Keelapavoor (T.P) Vedamputhur South St. , 5.Keelapavoor (T.P) Ramanathapuram Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"Hindu Middle School,Sivagamipuram.","1.Keelapavoor (T.P) North Sivagamipuram , 2.Keelapavoor (T.P) Pattangaddiyar Street. , 3.Keelapavoor (T.P) Sivagamipuram North St. , 4.Keelapavoor (T.P) Arumuga Nadar St Sivagamipuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"Hindu Middle School,North Portion,Sivagamipuram.","1.Keelapavoor (T.P) Vaikunda Nadar St. , 2.Keelapavoor (T.P) Sivagamipuram Middle St. , 3.Keelapavoor (T.P) Sivagamipuram East St. , 4.Keelapavoor (T.P) Sivagamipuram South St. , 5.Keelapavoor (T.P) Sivagamipuram West st. , 6.Keelapavoor (T.P) South Sivagamipuram RajiveGandhi Nagar. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"T.D.T.A. Middle SchoolSouthern Building, Melapattamudaiyarpuram.","1.Keelapavoor (T.P) Sankaranarayanapuram South Street. , 2.Keelapavoor (T.P) Sankaranarayanpuram Middle St. , 3.Keelapavoor (T.P) Sankaranarayanapuram North Street. , 4.Keelapavoor (T.P) Kaliamman Kovil st. , 5.Keelapavoor (T.P) Vetha Kovil St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"T.D.T.A. Middle School,West Building, Melapattamudaiyarpuram.","1.Keelapavoor (T.P) Athithravidar Nagar St. , 2.Keelapavoor (T.P) Nadar Middle Street. , 3.Keelapavoor (T.P) Devar Middle Street. , 4.Keelapavoor (T.P) Devar South Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"T.D.T.A .Primary School,New Building North,Nagalkulam.","1.Pethanadarpatti 2 (R.V), Nagal Kulam (P) Nagalkulam North Street 1. , 2.Pethanadarpatti 2 (R.V),Nagalkualm (P), Nagalkulam Main Road Vadapuram 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"T.D.T.A .Primary School,New Building East,Nagalkulam.","1.Pethanadarpatti 2 (R.V),Nagalkulam (P) Nagalkulam Main Road South Portion 1. , 2.Pethanadarpatti 2 (R.V),Nagalkulam (P), VedaKovil Street 2. , 3.Pethanadarpatti 2 (R.V),Nagalkulam (P), Pillayar Kovil Street 2. , 4.Pethanadarpatti 2 (R.V), Nagalkulam (P), Uchimahali amman Kovil Street 3 , 5.Pethanadarpatti 2 (R.V),Nagalkulam (P), Kammalar Street 3. , 6.Pethanadarpatti 2 (R.V),Nahalkulam (P) Mettumadaiyur 3. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
