Sl. No,Polling Station No,"M,Chinnanann BSP",DMKA.K.Tharun,M. Rajamuthu AIADMK,ahtumA .R IJK,Dhesiya KM Sathiyavani,AMMKS.K.Selvam,KTVV P. Prabakaran,PIMM.Mani,KMJIA S. Manikandan,ICUS)Communist(P.Mohan,S. Rajeshkumar NTK,Guptha Indrajith IND,J. Senthilkumar IND,"E. Murugan, Senthil IND",INDM.Sekar,INDV.Mohan,C. Ramesh IND,K. Rajarathinam IND,A. Venkat IND,M. Vaithi IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
79,67,0,281,338,3,0,2,0,2,0,0,35,3,0,1,2,1,0,1,0,0,669,9,0,678
80,68,0,160,341,1,0,8,0,0,1,0,22,1,1,1,0,0,0,1,1,0,538,3,0,541
81,69,2,194,358,2,0,4,0,0,0,0,26,0,0,2,0,0,0,1,0,0,589,3,0,592
82,70,1,325,314,2,0,8,0,3,1,2,30,0,0,2,0,3,0,0,0,1,692,3,0,695
83,71,2,264,353,4,0,9,0,0,2,0,39,0,1,1,0,2,1,4,0,0,682,2,0,684
84,72M,0,207,189,3,0,10,0,0,0,0,51,0,0,0,0,0,1,0,0,0,461,3,0,464
85,72A(W),1,186,245,3,1,6,0,1,0,0,22,0,0,0,3,1,0,1,2,0,472,3,0,475
86,73,1,212,397,3,2,2,0,1,0,0,42,0,0,0,0,1,0,1,3,0,665,5,0,670
87,74,0,248,464,5,1,9,0,0,0,0,56,3,1,0,0,1,0,1,4,0,793,3,0,796
88,75M,2,201,301,2,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,537,1,0,538
89,75A(W),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,76,0,165,153,2,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,334,3,0,337
91,77,0,201,251,6,0,2,0,0,1,0,14,0,0,0,0,1,0,1,0,0,477,2,0,479
92,78,0,173,392,4,0,0,0,0,0,0,31,0,0,0,0,0,0,1,1,0,602,7,0,609
93,79M,0,173,310,5,0,6,0,0,0,1,16,1,1,0,0,0,0,0,0,0,513,4,0,517
94,79A(W),0,167,319,2,1,1,0,0,0,0,9,0,0,1,1,1,0,0,0,0,502,2,0,504
95,80,0,247,473,1,0,5,0,0,0,1,25,1,0,0,1,0,0,1,0,0,755,1,0,756
96,81,0,280,241,8,1,22,0,0,0,0,29,2,1,0,0,0,0,0,0,0,584,1,0,585
97,82,2,354,182,7,0,10,0,0,0,0,28,0,0,1,0,0,1,1,2,0,588,1,0,589
98,83,1,106,147,1,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,263,1,0,264
99,84,0,247,308,2,0,4,0,0,0,0,24,1,0,1,2,0,0,1,2,0,592,2,0,594
100,85,1,375,170,5,2,9,0,0,0,0,46,2,0,0,0,1,0,0,0,0,611,1,0,612
101,86,2,221,569,5,0,7,0,1,0,0,40,0,0,2,1,1,1,1,2,0,853,5,0,858
102,87,2,389,253,3,7,15,0,0,1,0,28,4,0,0,0,0,0,0,0,0,702,1,0,703
103,88M,0,176,196,1,0,6,0,0,0,0,39,1,0,0,0,1,1,0,0,0,421,6,0,427
104,88A(W),1,176,236,3,0,7,0,0,0,0,22,0,0,0,0,2,1,1,0,0,449,3,0,452
105,89,1,271,342,3,1,9,0,2,0,0,36,1,1,1,3,2,0,0,0,1,674,5,0,679
106,90,2,298,221,6,0,1,0,0,0,0,14,0,0,0,0,2,0,0,0,0,544,3,0,547
107,91M,1,237,159,2,0,8,0,1,0,0,39,2,0,1,0,1,0,0,0,0,451,3,0,454
108,91A(W),1,244,165,2,1,6,0,1,0,0,13,0,0,0,0,2,0,0,0,0,435,3,0,438
109,92,0,230,364,2,1,5,1,0,1,0,36,1,0,0,0,2,1,0,1,1,646,8,0,654
110,93,0,262,404,5,0,6,0,0,0,0,21,1,1,1,0,1,0,1,0,0,703,0,0,703
111,94M,0,212,280,0,0,7,0,0,0,0,46,0,1,0,0,0,0,0,0,0,546,6,0,552
112,94A(W),0,174,335,3,0,7,1,0,1,0,16,0,0,0,0,1,0,0,0,0,538,6,0,544
113,95,1,322,373,2,0,7,1,0,1,1,89,2,0,1,0,3,0,1,2,0,806,0,0,806
114,96,0,143,469,5,0,4,0,0,0,0,37,0,0,0,0,2,0,0,1,0,661,4,0,665
115,97,0,224,446,7,0,2,0,1,0,0,51,4,0,0,1,3,0,0,0,0,739,9,0,748
116,98,0,227,445,4,0,9,0,0,0,0,50,0,0,0,0,0,0,2,1,0,738,5,0,743
117,99,0,239,425,3,0,5,0,0,0,2,39,1,0,1,0,0,0,1,0,1,717,5,0,722
118,100,2,169,319,1,0,12,1,2,0,1,26,0,0,0,0,0,1,0,1,0,535,2,0,537
119,101,0,259,405,8,0,45,1,0,0,2,40,0,0,0,1,3,0,0,0,0,764,5,0,769
120,102M,0,192,231,5,0,2,0,0,1,0,35,1,0,0,1,1,0,0,0,0,469,5,0,474
121,102A(W),1,171,246,5,0,3,0,0,0,0,15,0,0,0,1,2,0,0,0,0,444,2,0,446
122,103M,0,244,143,0,0,8,0,0,0,0,38,1,1,0,0,0,0,1,0,0,436,2,0,438
123,103A(W),0,228,175,4,0,6,0,0,0,0,33,0,0,1,1,0,0,1,0,0,449,2,0,451
124,104,0,380,304,5,1,11,0,0,0,1,86,1,0,2,1,1,0,0,2,0,795,3,0,798
125,105,2,359,392,3,0,2,0,0,0,1,28,0,1,1,0,0,0,0,1,1,791,2,0,793
126,106,2,291,467,9,0,12,0,1,0,0,24,0,0,0,1,3,0,1,1,0,812,8,0,820
127,107M,0,203,231,3,0,5,2,0,0,0,28,0,0,0,0,0,0,0,0,0,472,8,0,480
128,107A(W),0,175,273,0,0,6,0,2,0,0,11,0,0,0,0,0,0,0,0,0,467,6,0,473
129,108,0,335,357,2,0,8,0,0,0,0,33,0,0,1,1,2,0,0,0,0,739,7,0,746
130,109,1,362,455,5,1,12,0,1,0,0,29,0,0,1,2,1,0,1,1,0,872,4,0,876
131,110,0,219,380,3,0,15,1,1,0,0,32,1,0,1,0,0,0,1,0,0,654,6,0,660
132,111,3,465,309,5,0,28,0,0,0,0,22,0,0,3,1,3,0,3,3,0,845,5,0,850
133,112,1,205,289,3,1,5,0,0,0,0,16,0,0,1,0,0,0,0,0,1,522,2,0,524
134,113M,0,210,282,0,0,8,0,1,0,0,17,1,0,1,0,0,0,0,0,0,520,2,0,522
135,113A(W),0,148,306,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,1,0,473,2,0,475
136,114M,0,211,280,1,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,0,548,6,0,554
137,114A(W),2,164,341,3,0,13,0,2,0,0,11,0,0,0,0,0,0,0,2,0,538,1,0,539
138,115,1,298,315,6,0,1,0,0,0,0,18,0,0,1,1,1,0,3,0,1,646,5,0,651
139,116,2,277,282,3,1,4,0,0,0,0,30,0,1,2,0,1,0,2,1,0,606,6,0,612
140,117,2,310,312,2,0,18,2,0,0,1,22,2,0,0,0,0,0,0,0,0,671,3,0,674
141,118,2,382,371,2,1,12,0,0,0,0,30,1,0,0,2,1,1,2,4,0,811,3,0,814
142,119,0,293,297,0,0,8,0,0,0,0,22,0,0,0,0,0,0,1,0,0,621,7,0,628
143,120,0,256,351,1,0,24,0,1,0,0,11,1,0,1,1,0,0,0,0,0,647,7,0,654
144,121M,0,208,199,11,0,4,0,0,1,0,34,0,0,1,0,0,0,1,0,0,459,5,0,464
145,121A(W),3,165,247,4,0,8,0,0,0,0,9,0,0,2,0,2,0,1,2,0,443,3,0,446
146,122M,0,216,269,10,0,3,0,0,0,0,29,0,0,1,0,0,0,0,0,0,528,6,0,534
147,122A(W),1,175,321,4,0,2,0,1,0,1,9,0,0,0,0,1,0,2,2,0,519,3,0,522
148,123M,0,170,216,4,0,15,0,0,0,0,43,0,0,0,0,0,0,0,0,0,448,3,0,451
149,123A(W),0,138,274,2,2,10,0,1,1,0,8,0,0,1,1,3,0,1,1,0,443,5,0,448
150,124M,0,167,236,11,0,5,0,0,1,0,44,0,0,0,0,0,0,0,0,0,464,7,0,471
151,124A(W),0,127,252,10,0,4,0,1,0,0,13,3,0,0,0,1,0,0,0,0,411,4,0,415
152,125,2,267,318,5,0,10,0,0,0,0,23,1,0,0,0,0,0,0,1,0,627,3,0,630
153,126,0,419,271,1,0,10,0,0,0,0,23,1,0,0,0,1,0,1,0,1,728,4,0,732
154,127,1,252,340,16,0,8,0,0,0,0,31,0,0,1,0,0,0,0,0,1,650,3,0,653
155,128M,1,204,250,13,0,10,0,0,0,0,41,1,0,0,0,0,0,0,0,1,521,5,0,526
156,128A(W),1,182,283,9,0,6,0,2,2,0,11,0,0,0,1,1,0,0,1,0,499,1,0,500
157,129,0,243,314,7,0,20,0,1,0,0,29,0,0,0,0,0,0,1,0,0,615,3,0,618
158,130,0,285,328,5,0,2,0,1,0,0,19,0,0,1,0,2,0,1,1,0,645,12,0,657
159,131,1,233,429,9,0,4,0,1,0,0,41,0,0,0,0,2,0,1,2,0,723,7,0,730
160,132,0,270,380,3,0,8,0,0,0,0,45,0,0,0,0,0,0,1,0,0,707,6,0,713
161,133,0,200,153,3,0,2,0,0,0,0,11,0,0,0,0,1,0,1,1,0,372,1,0,373
162,134,0,234,315,5,0,9,0,0,0,0,32,1,0,0,0,1,0,0,0,0,597,11,0,608
163,135M,1,213,244,6,0,5,0,0,0,0,56,0,1,1,0,1,0,1,0,0,529,6,0,535
164,135A(W),3,200,251,2,0,5,0,1,0,0,25,0,1,0,1,3,0,4,4,0,500,4,0,504
165,136M,1,226,229,2,0,6,0,0,1,1,29,0,0,0,0,0,0,0,1,0,496,0,0,496
166,136A(W),2,181,298,3,0,7,1,0,0,0,10,0,0,0,0,2,0,3,0,1,508,1,0,509
167,137,0,272,347,4,0,5,0,0,0,0,53,0,0,1,0,1,0,0,3,0,686,8,0,694
168,138,2,364,407,4,0,23,0,0,0,0,41,2,0,0,1,0,0,2,6,0,852,4,0,856
169,139,0,320,487,1,0,39,0,1,0,1,40,0,1,2,1,3,0,0,0,0,896,8,0,904
170,140,0,394,334,0,0,26,0,0,0,0,10,0,0,0,0,0,0,2,0,0,766,5,0,771
171,141,2,269,373,2,0,15,0,0,0,0,7,0,0,1,2,0,0,0,0,0,671,5,0,676
172,142,0,354,311,0,0,110,0,0,0,0,16,2,0,0,0,1,0,0,0,1,795,5,0,800
173,143M,1,187,300,0,1,42,0,0,0,0,15,0,0,0,0,0,0,0,1,0,547,1,0,548
174,143A(W),0,139,290,2,1,35,1,1,0,0,8,0,0,0,0,2,0,2,4,0,485,2,0,487
175,144,1,342,470,8,1,34,0,1,0,1,30,0,2,0,0,1,0,0,1,0,892,8,0,900
176,145,2,288,312,2,0,25,0,0,1,0,32,2,0,0,0,0,0,0,1,0,665,4,0,669
177,146,0,301,283,3,0,16,0,0,0,1,27,0,0,1,0,1,0,1,1,0,635,6,0,641
178,147M,0,287,221,1,0,24,0,0,0,0,42,0,0,0,0,1,0,0,0,1,577,5,0,582
179,147A(W),3,245,280,1,0,24,0,0,0,1,14,0,0,1,0,2,0,1,2,0,574,3,0,577
180,148M,0,232,268,2,0,16,0,0,0,0,18,1,0,0,0,0,0,1,3,0,541,2,0,543
181,148A(W),0,165,278,5,0,13,0,0,2,0,10,0,0,1,0,0,0,0,0,0,474,1,0,475
182,149,0,208,312,5,0,25,9,0,1,1,43,1,1,0,0,0,0,0,0,0,606,3,0,609
183,150,1,254,442,4,0,13,1,0,0,0,55,1,1,0,1,0,1,1,0,0,775,6,0,781
184,151M,1,210,144,2,0,16,0,0,0,0,44,2,2,1,2,2,1,0,0,0,427,4,0,431
185,151A(W),1,209,193,2,0,6,0,2,0,0,15,2,0,1,2,1,0,2,0,0,436,2,0,438
186,152M,1,220,251,1,1,16,0,0,0,0,57,1,0,0,1,2,0,0,0,0,551,4,0,555
187,152A(W),2,158,275,5,0,9,0,0,0,0,24,3,0,0,2,3,0,1,0,0,482,1,0,483
188,153,0,366,449,4,2,12,2,1,1,0,39,0,1,3,4,2,0,0,2,0,888,10,0,898
189,154,3,315,368,1,3,41,0,0,0,0,24,0,0,0,1,2,0,1,0,0,759,6,0,765
190,155,2,251,308,4,3,14,1,0,0,2,16,0,1,1,1,2,0,0,1,0,607,8,0,615
191,156M,0,272,179,2,0,39,1,1,0,0,23,0,0,0,0,1,0,0,0,0,518,4,0,522
192,156A(W),2,239,177,5,0,20,0,1,0,1,14,0,0,0,0,0,0,1,1,0,461,1,0,462
193,157,1,296,351,5,0,47,1,1,0,0,28,1,0,0,0,0,0,0,2,0,733,5,0,738
194,158,2,393,262,4,1,108,0,0,0,0,16,0,1,0,2,0,0,0,0,0,789,2,0,791
195,159,5,460,239,2,2,108,0,3,0,0,31,2,2,4,0,4,1,3,1,0,867,6,0,873
196,160,0,421,299,6,1,69,1,0,0,0,22,0,0,1,0,5,0,3,1,1,830,9,0,839
