Sl. No,Polling Station No,"M,Chinnanann BSP",DMKA.K.Tharun,M. Rajamuthu AIADMK,ahtumA .R IJK,Dhesiya KM Sathiyavani,AMMKS.K.Selvam,KTVV P. Prabakaran,PIMM.Mani,KMJIA S. Manikandan,ICUS)Communist(P.Mohan,S. Rajeshkumar NTK,Guptha Indrajith IND,J. Senthilkumar IND,"E. Murugan, Senthil IND",INDM.Sekar,INDV.Mohan,C. Ramesh IND,K. Rajarathinam IND,A. Venkat IND,M. Vaithi IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
252,208,0,384,309,1,0,17,0,0,0,0,48,0,1,1,1,0,0,1,0,0,763,4,0,767
253,209,1,248,415,1,1,6,0,0,0,0,35,1,1,2,1,2,0,8,14,2,738,5,0,743
254,210,0,124,359,0,0,10,0,0,0,0,42,2,0,0,0,1,1,3,1,0,543,0,0,543
255,211,2,292,343,5,0,14,0,2,0,0,13,0,1,0,0,2,0,3,4,0,681,5,0,686
256,212M,0,208,243,2,0,3,0,0,0,1,52,1,0,0,0,0,0,0,0,0,510,6,0,516
257,212A(W),1,178,262,3,0,3,0,0,0,1,20,0,0,2,1,2,0,0,2,0,475,5,0,480
258,213,0,216,306,2,1,8,0,0,0,0,17,0,1,2,0,2,0,0,0,0,555,0,0,555
259,214,2,272,428,7,2,14,0,0,0,0,18,1,0,2,0,1,0,0,0,1,748,4,0,752
260,215,1,256,368,4,0,3,0,0,0,0,52,0,0,1,0,0,0,0,4,0,689,7,0,696
261,216,3,310,287,9,0,2,0,2,2,0,74,2,0,0,0,2,1,2,2,0,698,6,0,704
262,217,4,340,262,7,0,3,1,0,0,0,35,1,0,0,1,0,0,0,0,0,654,5,0,659
263,218,0,250,263,2,0,2,0,1,0,0,31,0,0,0,0,1,0,1,0,0,551,6,0,557
264,219,1,292,260,5,1,7,0,1,0,0,36,0,0,0,0,0,0,0,0,0,603,9,0,612
265,220,1,235,391,2,0,9,0,0,0,1,34,1,0,0,2,0,1,0,0,0,677,5,0,682
266,221,1,382,316,6,0,7,0,0,0,0,58,0,0,2,2,2,1,1,1,1,780,5,0,785
267,222,0,303,362,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,680,2,0,682
