Sl. No,Polling Station No,R R. A M K U D K M A D Y A H,S I. H P T S R B O O M,maraganneP C I. A K R S U M D D A N N A,lareneG R N. A G A K H T Z N A L I M,s K G. K I. M N P A M,ot av dil K A. M L I N K M A H S,limaT etov s V I. A R D U N D I A N N A,udaN af N M. A G D N N I I L A V I,evitalsigeL ruov o f K N. A D M N U I R A H D,P N. A G U D R N U I M U R I,A N. A P P A J D N N A I N A Y I,G K. D I. N N I A M,P I. D N N A I M,S Y. M D A S N U I N U M,s e t o V d ali V al t o T,s e t o V d e t c e j e R f o o.,n o ti p o A T O N r o f s e,s e t o V al t o T,s e t o V d e r e d n e T f o o.,Total Valid Votes
181,149,629,6,2,0,17,106,8,1,0,0,0,4,0,1,1,775,0,11,786,0
182,150M,188,3,0,0,21,247,4,0,1,0,0,2,0,0,0,466,0,4,470,0
183,150A(W),209,4,0,0,7,233,5,0,0,0,1,8,0,0,1,468,0,1,469,0
184,151,362,4,3,0,34,327,4,0,3,4,1,8,2,0,1,753,0,6,759,0
185,152,288,5,4,1,36,277,4,0,0,1,1,2,0,2,0,621,0,11,632,0
186,153,262,10,2,1,19,233,7,2,1,1,2,5,0,0,1,546,0,7,553,0
187,154,218,5,0,1,25,312,4,0,0,2,2,3,0,1,2,575,0,1,576,0
188,155M,415,8,0,0,12,46,7,0,0,2,0,0,1,0,0,491,0,5,496,0
189,155A(W),395,4,0,0,4,54,1,0,0,1,0,1,0,1,0,461,0,3,464,0
190,156M,367,7,1,0,23,17,2,0,0,0,0,0,0,0,0,417,0,8,425,0
191,156A(W),439,6,0,0,14,13,1,0,0,0,0,0,0,0,0,473,0,8,481,0
192,157M,132,2,3,0,22,362,8,0,0,1,0,3,0,0,0,533,0,3,536,0
193,157A(W),173,1,0,0,9,320,1,0,0,0,0,5,1,1,0,511,0,1,512,0
194,158,537,2,0,0,8,142,2,0,0,0,0,1,0,1,0,693,0,0,693,0
195,159M,124,0,1,0,18,350,4,0,0,0,1,0,0,0,0,498,0,4,502,0
196,159A(W),138,0,0,0,7,336,4,0,0,0,2,1,0,0,1,489,0,1,490,0
197,160,98,15,0,0,26,496,6,1,0,0,2,3,0,1,1,649,0,3,652,0
198,161,230,0,3,0,52,491,7,2,1,1,2,9,0,2,0,800,0,6,806,0
199,162,247,10,0,1,37,537,9,1,0,1,2,2,2,1,2,852,0,5,857,0
200,163,255,5,0,0,17,91,2,1,0,0,1,2,0,0,1,375,0,7,382,0
201,164M,207,13,1,0,44,207,3,1,0,0,0,2,0,0,0,478,0,6,484,0
202,164A(W),213,4,0,0,24,209,3,0,1,1,3,4,0,1,2,465,0,6,471,0
203,165M,145,7,2,0,36,239,4,0,1,0,0,3,0,0,0,437,0,4,441,0
204,165A(W),166,1,0,0,9,209,2,0,1,0,3,15,1,1,0,408,0,3,411,0
205,166M,144,11,0,0,22,265,5,0,1,0,0,4,0,1,0,453,0,4,457,0
206,166A(W),152,4,1,2,2,237,7,2,1,1,3,10,5,0,1,428,0,7,435,0
207,167,153,0,0,0,18,322,3,1,0,2,0,6,0,0,0,505,0,2,507,0
208,168,410,5,0,2,23,261,4,0,0,1,2,3,1,0,0,712,0,5,717,0
209,169,330,4,1,0,13,264,4,0,0,1,0,6,0,0,3,626,0,9,635,0
210,170M,183,12,0,0,44,251,4,0,0,0,2,1,0,0,0,497,0,6,503,0
211,170A(W),210,5,1,0,19,220,3,1,0,1,1,9,2,0,1,473,0,2,475,0
212,171,437,6,1,1,12,208,3,0,0,1,4,6,0,4,1,684,0,11,695,0
213,172,247,32,1,1,44,496,9,4,0,4,3,10,6,2,1,860,0,11,871,0
214,173M,214,3,1,0,22,176,9,0,0,1,0,1,0,0,1,428,0,6,434,0
215,173A(W),232,4,0,0,5,185,1,0,0,0,0,2,1,2,0,432,0,2,434,0
216,174,389,8,2,0,28,165,3,2,0,0,1,3,1,6,2,610,0,6,616,0
217,175,539,7,2,1,30,243,3,0,0,0,0,5,0,2,0,832,0,11,843,0
218,176,366,2,0,1,18,370,2,1,0,1,0,3,0,5,1,770,0,6,776,0
219,177,238,14,0,0,11,176,2,0,0,1,2,4,0,0,1,449,0,5,454,0
220,178,445,6,1,0,16,166,3,0,1,0,0,1,0,1,1,641,0,9,650,0
221,179,160,3,0,1,8,124,2,1,0,0,0,2,0,1,0,302,0,5,307,0
222,180,210,11,0,0,25,406,3,3,0,0,1,7,1,0,1,668,0,3,671,0
223,181,272,6,0,0,31,441,9,1,0,0,1,8,2,1,0,772,0,9,781,0
224,182,220,7,1,3,34,582,6,2,2,3,1,10,0,1,1,873,0,8,881,0
225,183M,135,13,1,0,14,294,0,0,1,0,0,1,0,1,0,460,0,6,466,0
226,183A(W),154,5,0,0,9,264,2,0,0,0,1,11,1,0,0,447,0,1,448,0
227,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,185,195,5,0,0,19,196,4,0,0,0,0,1,1,0,0,421,0,3,424,0
229,186M,264,15,0,0,51,161,5,1,0,0,1,0,0,0,0,498,0,3,501,0
230,186A(W),300,10,1,0,17,165,5,1,0,0,1,3,0,0,0,503,0,5,508,0
231,187,483,6,1,0,44,266,2,0,0,1,0,5,1,0,0,809,0,6,815,0
232,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,189,202,1,0,0,20,334,6,0,1,0,1,8,1,1,1,576,0,4,580,0
234,190M,233,4,1,1,21,229,1,1,0,0,0,2,0,1,0,494,0,6,500,0
235,190A(W),222,2,1,1,11,197,0,0,0,0,1,7,1,2,0,445,0,2,447,0
236,191M,188,6,1,1,13,265,2,1,0,0,2,4,0,0,3,486,0,3,489,0
237,191A(W),145,2,2,0,5,248,2,0,1,1,2,5,0,2,0,415,0,8,423,0
238,192,307,3,1,1,25,412,4,1,0,1,2,7,1,3,0,768,0,3,771,0
239,193M,318,1,1,0,16,156,4,1,0,0,0,0,0,0,1,498,0,0,498,0
240,193A(W),311,3,0,0,6,141,6,0,0,0,0,1,0,0,0,468,0,4,472,0
241,194,182,6,0,0,13,524,1,0,0,2,2,8,1,0,0,739,0,6,745,0
242,195,139,1,0,0,34,504,0,0,1,0,0,16,0,0,0,695,0,4,699,0
243,196,87,2,1,1,17,521,2,2,1,0,2,4,0,0,0,640,0,2,642,0
244,197,390,50,3,0,27,307,2,0,0,0,2,10,1,1,1,794,0,13,807,0
245,198,103,4,1,1,10,248,2,0,0,0,0,9,0,0,0,378,0,0,378,0
246,199M,160,1,0,0,10,282,2,0,0,2,4,2,0,1,1,465,0,3,468,0
247,199A(W),156,2,0,1,7,264,4,0,0,2,1,12,0,0,1,450,0,9,459,0
248,200,167,4,0,1,10,145,2,0,0,0,2,1,0,1,1,334,0,3,337,0
249,201M,199,7,3,0,32,227,3,1,0,0,1,3,0,0,1,477,0,6,483,0
250,201A(W),173,6,0,2,10,211,4,1,1,0,3,4,0,2,3,420,0,10,430,0
251,202,145,8,3,1,10,122,3,0,0,0,1,7,0,0,1,301,0,3,304,0
252,203,372,4,4,0,22,211,4,0,0,0,0,5,0,0,12,634,0,10,644,0
253,204,270,23,1,3,22,312,4,2,0,0,3,8,0,1,0,649,0,5,654,0
254,205,112,3,0,3,17,369,4,1,0,0,0,7,0,0,2,518,0,8,526,0
255,206,226,10,0,0,39,283,2,0,1,1,0,6,0,0,0,568,0,4,572,0
256,207,183,6,0,1,38,359,2,1,2,1,0,6,1,1,1,602,0,3,605,0
